VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.9592828653,       1.256551531,       1.556488708,       4.500345338
          0,           0,           1,     -0.9729061223,       1.354285575,       1.558405039,       4.494439842
          0,           0,           2,      -1.129439239,       1.237841595,       1.324964692,       4.337045137
          0,           0,           3,      -1.367637832,       1.030977683,       1.107953872,       4.103206057
          0,           0,           4,      -1.537587065,      0.8850463991,      0.9344695708,       3.932001764
          0,           0,           5,      -1.725058624,       0.772506628,      0.7709450305,       3.745181859
          0,           0,           6,      -1.919685557,      0.6832245348,      0.6066995792,       3.553677073
          0,           0,           7,       -2.06987315,      0.6201336549,      0.4495469959,       3.406973387
          0,           0,           8,      -2.226083749,      0.5485906218,       0.311933685,       3.262538033
          0,           0,           9,      -2.377634444,      0.4814596313,      0.1826387499,       3.131467517
          0,           0,          10,      -2.505010629,      0.4182896839,     0.06803360907,       3.022241105
          0,           0,          11,      -2.611084898,      0.3557310347,    -0.03281946461,       2.924432925
          0,           0,          12,      -2.713421522,      0.2908273048,     -0.1335032698,       2.824249551
          0,           0,          13,      -2.818282834,      0.2229853835,      -0.236641922,       2.719789468
          0,           0,          14,      -2.914980685,      0.1546124659,     -0.3355360133,       2.622167336
          0,           0,          15,      -2.995762856,     0.08865820431,     -0.4258965955,       2.539585557
          0,           0,          16,      -3.065659959,      0.0264510577,     -0.5087950184,        2.46800741
          0,           0,          17,      -3.129088047,    -0.03210295096,     -0.5863943582,       2.401819374
          0,           0,          18,      -3.186096331,    -0.08754735793,     -0.6589502017,       2.339569666
          0,           0,          19,      -3.237920857,     -0.1403616095,     -0.7259367425,       2.280822552
          0,           0,          20,      -3.286979506,     -0.1908706116,     -0.7880279384,       2.224871934
          0,           0,          21,      -3.334273127,     -0.2393279247,     -0.8465558064,       2.171643161
          0,           0,          22,      -3.379532224,     -0.2860042479,     -0.9022599615,       2.121462072
          0,           0,          23,       -3.42248659,     -0.3311961153,     -0.9551231869,       2.074369412
          0,           0,          24,      -3.463338914,     -0.3752102387,      -1.004781769,       2.030004753
