VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.180134374,       1.013518193,       1.338111664,       4.279493829
          0,           0,           1,      -1.143988313,       1.179086522,       1.365833613,       4.321233414
          0,           0,           2,      -1.342547627,         1.0295505,       1.151314452,       4.121043778
          0,           0,           3,      -1.552998571,      0.8820711546,      0.9231493333,       3.913835593
          0,           0,           4,      -1.681609819,      0.8070867878,      0.7748795514,        3.78339707
          0,           0,           5,      -1.858338392,      0.6890315317,       0.608939578,       3.605989718
          0,           0,           6,      -2.016634259,      0.5817879879,      0.4668140218,       3.448060253
          0,           0,           7,      -2.176504668,      0.4820647634,      0.3257913972,       3.291863675
          0,           0,           8,      -2.330697807,      0.4004717148,      0.1776187229,        3.14411946
          0,           0,           9,      -2.455999719,      0.3405045638,     0.05172152178,       3.027080627
          0,           0,          10,      -2.567440117,      0.2895545384,    -0.05446962607,       2.926100307
          0,           0,          11,      -2.671840983,      0.2375016501,     -0.1424705707,       2.832163432
          0,           0,          12,      -2.771901662,      0.1812402155,     -0.2201776523,       2.738901876
          0,           0,          13,      -2.863472462,      0.1233013401,     -0.2966649111,       2.647726433
          0,           0,          14,      -2.940048699,      0.0662887107,     -0.3674970773,        2.56500451
          0,           0,          15,        -2.9992159,     0.01174206994,      -0.431490504,       2.495849157
          0,           0,          16,      -3.044177357,    -0.03974804196,     -0.4921869366,         2.4407123
          0,           0,          17,         -3.082401,     -0.0886646187,     -0.5507238581,       2.394427747
          0,           0,          18,      -3.119777206,     -0.1361112422,     -0.6067009046,       2.351368996
          0,           0,          19,      -3.158511661,     -0.1831441178,     -0.6603716339,       2.308811265
          0,           0,          20,      -3.199200772,     -0.2304954819,     -0.7127038806,       2.265710189
          0,           0,          21,      -3.241940191,     -0.2785873865,     -0.7648692582,       2.221614473
          0,           0,          22,      -3.286500158,      -0.327549342,     -0.8177014289,       2.176446822
          0,           0,          23,      -3.332635624,      -0.377269795,     -0.8715000219,        2.13023416
          0,           0,          24,      -3.380157777,     -0.4275100785,     -0.9261489798,       2.083029671
          0,           0,          25,      -3.428817153,     -0.4779965501,     -0.9813262259,       2.034982318
          0,           0,          26,      -3.478363872,     -0.5284789027,      -1.036669036,        1.98625065
          0,           0,          27,      -3.528616197,      -0.578751856,      -1.091812809,       1.936938278
          0,           0,          28,      -3.579426086,     -0.6286637403,      -1.146401021,       1.887138009
          0,           0,          29,      -3.630632198,     -0.6781001977,      -1.200126242,       1.836984892
          0,           0,          30,       -3.68205649,     -0.7269929892,       -1.25280633,       1.786645162
          0,           0,          31,      -3.733488393,     -0.7752929064,       -1.30435141,       1.736327443
          0,           0,          32,      -3.784693558,     -0.8229683967,      -1.354712411,        1.68627127
          0,           0,          33,       -3.83544817,      -0.870002509,      -1.403883442,       1.636699651
          0,           0,          34,      -3.885563416,     -0.9164026109,      -1.451890514,       1.587792535
          0,           0,          35,      -3.934911124,      -0.962185265,      -1.498801152,       1.539664003
          0,           0,          36,      -3.983442534,      -1.007406226,      -1.544707368,       1.492346066
          0,           0,          37,      -4.031188674,      -1.052090893,      -1.589753535,       1.445794255
          0,           0,          38,      -4.078159652,      -1.096247079,      -1.634089052,       1.399988178
          0,           0,          39,      -4.124333627,      -1.139885955,      -1.677820431,       1.354938893
          0,           0,          40,      -4.169730177,      -1.183023094,       -1.72102992,       1.310618699
          0,           0,          41,      -4.214412688,      -1.225681954,      -1.763787203,       1.266959277
          0,           0,          42,      -4.258448537,      -1.267884489,      -1.806143944,       1.223888769
          0,           0,          43,      -4.301887202,      -1.309648763,       -1.84813201,       1.181353415
          0,           0,          44,      -4.344757043,      -1.350987637,      -1.889762788,       1.139322305
          0,           0,          45,      -4.387076411,       -1.39190918,      -1.931034954,       1.097776461
          0,           0,          46,      -4.428863425,      -1.432425894,      -1.971939103,       1.056698588
          0,           0,          47,      -4.470138657,      -1.472553957,      -2.012462889,       1.016070254
          0,           0,          48,      -4.510926181,      -1.512307664,      -2.052595855,      0.9758705922
          0,           0,          49,      -4.551253137,      -1.551708315,      -2.092332466,      0.9360761895
