VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.213193602,      0.9995351039,       1.299559318,       4.246434601
          0,           0,           1,      -1.201869216,       1.134343122,       1.338822799,       4.265545297
          0,           0,           2,      -1.400785608,      0.9365816918,        1.08271101,       4.062844943
          0,           0,           3,       -1.60311931,      0.7796053655,      0.8516285501,       3.862232633
          0,           0,           4,      -1.817099628,      0.6381394299,      0.6252100539,       3.646305374
          0,           0,           5,      -2.023106212,      0.4993091445,       0.442827233,       3.440255592
          0,           0,           6,      -2.193341225,      0.4164129855,      0.2796856827,       3.272847806
          0,           0,           7,      -2.369057066,      0.3242750207,      0.1243393017,       3.105122268
          0,           0,           8,      -2.520796503,      0.2321457589,   -0.005095047015,       2.965238611
          0,           0,           9,      -2.671984973,      0.1554623357,     -0.1212782979,       2.830148474
          0,           0,          10,      -2.817854811,     0.09021683952,     -0.2414387583,       2.703316622
          0,           0,          11,      -2.919296064,     0.02723976594,     -0.3696312942,       2.610698451
          0,           0,          12,      -2.998631281,    -0.04038256877,     -0.4825595399,       2.533169302
          0,           0,          13,      -3.089204431,     -0.1126964959,     -0.5687166679,       2.446034179
          0,           0,          14,      -3.192181136,     -0.1868934382,     -0.6473601189,       2.347480676
          0,           0,          15,       -3.29584104,     -0.2613445452,     -0.7321474464,       2.245409028
          0,           0,          16,      -3.390265484,     -0.3349544756,     -0.8220751143,       2.147642395
          0,           0,          17,      -3.473005569,     -0.4062187525,     -0.9117865914,       2.058049117
          0,           0,          18,      -3.548000055,     -0.4736612875,      -0.998324445,       1.976075495
          0,           0,          19,      -3.617692325,     -0.5362167859,      -1.082179498,       1.900963235
          0,           0,          20,      -3.680392753,     -0.5933454321,      -1.164495189,       1.833886897
          0,           0,          21,      -3.734393789,     -0.6451798864,       -1.24427175,       1.775657838
          0,           0,          22,      -3.780671653,     -0.6924640854,       -1.31837212,       1.725078911
          0,           0,          23,       -3.82177263,     -0.7362461185,      -1.383713916,       1.679851981
          0,           0,          24,      -3.859988957,     -0.7775294876,      -1.439221701,        1.63800403
          0,           0,          25,      -3.896748177,     -0.8170947455,      -1.485978201,       1.598360136
          0,           0,          26,      -3.932749149,     -0.8554792347,      -1.526170194,       1.560357095
          0,           0,          27,      -3.968229922,     -0.8930361923,      -1.562014885,       1.523746186
          0,           0,          28,      -4.003218214,      -0.930008586,       -1.59523262,       1.488351618
          0,           0,          29,      -4.037726123,     -0.9665835822,      -1.626956136,       1.453939458
          0,           0,          30,      -4.071818683,      -1.002915696,      -1.657848721,       1.420219896
          0,           0,          31,       -4.10562013,      -1.039133571,      -1.688286922,       1.386892309
          0,           0,          32,      -4.139294836,      -1.075341614,      -1.718509502,       1.353684186
          0,           0,          33,      -4.173007481,      -1.111611851,      -1.748707665,       1.320384503
          0,           0,          34,      -4.206894987,      -1.147995043,      -1.779055542,       1.286852245
          0,           0,          35,      -4.241047442,      -1.184515709,      -1.809706012,       1.253013535
          0,           0,          36,      -4.275499998,      -1.221174729,       -1.84076895,       1.218853132
          0,           0,          37,      -4.310241689,       -1.25795888,      -1.872297611,        1.18439689
          0,           0,          38,      -4.345233546,      -1.294846793,      -1.904292505,       1.149691115
          0,           0,          39,       -4.38042698,       -1.33181047,      -1.936715606,       1.114785604
          0,           0,          40,       -4.41577308,      -1.368819878,      -1.969512276,       1.079726884
          0,           0,          41,      -4.451231781,      -1.405851732,       -2.00262439,       1.044550441
          0,           0,          42,       -4.48677332,      -1.442887254,      -2.035998923,       1.009281168
          0,           0,          43,      -4.522377911,      -1.479911902,      -2.069593529,      0.9739351135
          0,           0,          44,      -4.558034899,       -1.51691734,      -2.103377474,      0.9385206842
          0,           0,          45,      -4.593738447,      -1.553897086,      -2.137330244,      0.9030428657
          0,           0,          46,      -4.629485716,      -1.590848916,      -2.171439402,      0.8675047481
