VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.8396629185,       1.403541421,       1.668453778,       4.619965284
          0,           0,           1,     -0.8257725716,       1.499012324,       1.653799563,       4.638655662
          0,           0,           2,     -0.9869788887,       1.395969608,       1.487333709,       4.482078716
          0,           0,           3,      -1.195228686,       1.294129866,       1.316054298,       4.277886251
          0,           0,           4,       -1.37630305,        1.18441722,       1.143484204,       4.098215269
          0,           0,           5,      -1.553388431,       1.070481538,      0.9644473351,       3.923822669
          0,           0,           6,      -1.702514706,      0.9822961518,      0.7976556475,       3.780813226
          0,           0,           7,      -1.827424805,      0.9090268557,      0.6617158182,       3.661332518
          0,           0,           8,      -1.945389253,      0.8381925168,       0.550189745,       3.548954266
          0,           0,           9,       -2.07780003,      0.7712481345,       0.437519749,       3.426818589
          0,           0,          10,      -2.220696121,      0.7099604491,      0.3155776454,       3.298222163
          0,           0,          11,      -2.354341674,      0.6512328978,      0.1955115267,       3.178966706
          0,           0,          12,      -2.463038077,      0.5926803234,     0.09407381298,       3.079427431
          0,           0,          13,      -2.547027951,      0.5349060681,     0.01393258904,       2.996986361
          0,           0,          14,      -2.618047333,      0.4789655797,    -0.05680875019,       2.923012168
          0,           0,          15,      -2.682843056,      0.4249111258,     -0.1281803369,       2.853838448
          0,           0,          16,      -2.740631612,      0.3722223257,     -0.2014971727,       2.790930151
          0,           0,          17,      -2.791090231,      0.3204122495,      -0.273244566,        2.73491617
          0,           0,          18,      -2.837506473,       0.269223283,     -0.3406042307,       2.683469718
          0,           0,          19,      -2.883921009,       0.218482025,     -0.4035322579,       2.633237453
          0,           0,          20,      -2.932480811,      0.1680204952,      -0.463247201,       2.582145577
          0,           0,          21,      -2.983284669,      0.1177010011,     -0.5206934348,       2.529805236
          0,           0,          22,      -3.035628121,     0.06744344323,     -0.5760683013,        2.47661209
          0,           0,          23,      -3.088342608,      0.0172457004,     -0.6295565901,       2.423417587
          0,           0,          24,      -3.140411648,    -0.03288391893,     -0.6814435972,       2.370936725
          0,           0,          25,      -3.191302855,    -0.08298614013,     -0.7319971932,       2.319491903
          0,           0,          26,      -3.240870307,     -0.1331462349,     -0.7813711773,       2.269121585
          0,           0,          27,      -3.289208566,     -0.1834572991,     -0.8296091095,       2.219704544
          0,           0,          28,      -3.336546603,      -0.233989952,     -0.8767410202,       2.171039835
