VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.8002410583,       1.451986795,       1.704084113,       4.659387145
          0,           0,           1,     -0.7748976823,       1.534560969,       1.728580323,       4.696712076
          0,           0,           2,     -0.9972081491,       1.331565772,       1.502275085,       4.471902142
          0,           0,           3,       -1.19769986,       1.164072053,       1.214899717,       4.273941053
          0,           0,           4,      -1.420653692,        1.00126814,       1.044427054,       4.055086139
          0,           0,           5,       -1.62319879,      0.8478636674,      0.8513622156,       3.853813844
          0,           0,           6,      -1.800134335,      0.7591972299,      0.6645388132,       3.685285473
          0,           0,           7,      -1.974865566,      0.6870523839,      0.5033586796,       3.523086563
          0,           0,           8,      -2.146807218,      0.6166447636,      0.3703887701,       3.367038779
          0,           0,           9,      -2.303852183,      0.5554250453,      0.2488992557,       3.227543176
          0,           0,          10,      -2.445825346,      0.4983164168,      0.1286034648,       3.103362392
          0,           0,          11,      -2.565746945,      0.4407255417,     0.01695478976,       2.995518118
          0,           0,          12,      -2.671009699,      0.3798866159,    -0.08472657232,       2.896451559
          0,           0,          13,      -2.771921489,      0.3160395694,     -0.1770166471,       2.800470224
          0,           0,          14,      -2.868447655,      0.2506799001,     -0.2618935667,        2.70905035
          0,           0,          15,      -2.955706727,      0.1852791347,     -0.3429265913,       2.624811867
          0,           0,          16,      -3.028107152,      0.1209341663,     -0.4213947342,       2.549242079
          0,           0,          17,      -3.084092555,     0.05832243783,     -0.4956882408,       2.482485634
          0,           0,          18,      -3.127925662,    -0.00218619807,     -0.5644328764,       2.423344304
          0,           0,          19,      -3.165347747,    -0.06046415179,     -0.6278826284,       2.370130794
          0,           0,          20,       -3.20023975,     -0.1165897535,     -0.6868447397,       2.321247584
          0,           0,          21,      -3.234672928,     -0.1707930771,     -0.7418805761,       2.275236871
          0,           0,          22,       -3.26958554,     -0.2233794667,     -0.7934348913,       2.230956386
          0,           0,          23,      -3.305252951,     -0.2746629283,     -0.8419341508,        2.18773641
          0,           0,          24,      -3.341700529,     -0.3249298936,     -0.8878310634,        2.14525066
          0,           0,          25,      -3.378999827,     -0.3744303529,     -0.9316590175,       2.103257249
          0,           0,          26,      -3.417255698,     -0.4233708261,     -0.9740668648,       2.061530439
          0,           0,          27,       -3.45652052,     -0.4719124198,      -1.015660298,       2.019863346
          0,           0,          28,       -3.49672532,      -0.520170384,      -1.056888602,       1.978123279
          0,           0,          29,      -3.537627932,     -0.5681818333,      -1.097960708,       1.936322377
          0,           0,          30,       -3.57907701,     -0.6159711062,      -1.139068656,       1.894407973
          0,           0,          31,      -3.620824545,     -0.6634956106,      -1.180206876,        1.85247035
          0,           0,          32,      -3.662690998,      -0.710699564,      -1.221322558,       1.810595309
          0,           0,          33,      -3.704594084,     -0.7575389918,      -1.262360146,       1.768823913
          0,           0,          34,      -3.746522713,     -0.8039861835,      -1.303290576,       1.727153154
          0,           0,          35,      -3.788506603,     -0.8500309267,      -1.344079128,       1.685552283
          0,           0,          36,      -3.830580589,     -0.8956730415,       -1.38475044,       1.643990222
          0,           0,          37,      -3.872751847,      -0.940912414,      -1.425301267,       1.602462772
          0,           0,          38,      -3.915000029,     -0.9857443896,      -1.465727646,       1.560987506
          0,           0,          39,      -3.957288781,      -1.030154727,      -1.505927514,        1.51957667
          0,           0,          40,      -3.999569437,      -1.074150738,      -1.546045399,       1.478281029
          0,           0,          41,      -4.041672593,      -1.117740168,      -1.586374231,        1.43727406
          0,           0,          42,      -4.083643802,      -1.160948526,      -1.626685377,       1.396476709
          0,           0,          43,      -4.125538878,      -1.203790161,      -1.666785174,       1.355803341
          0,           0,          44,      -4.167346852,       -1.24626417,      -1.706613491,       1.315253285
          0,           0,          45,      -4.209080459,      -1.288391296,      -1.746193595,       1.274809568
          0,           0,          46,      -4.250742362,      -1.330197012,      -1.785585658,       1.234459342
          0,           0,          47,      -4.292314634,      -1.371703617,      -1.824842311,       1.194206674
          0,           0,          48,      -4.333786555,      -1.412936614,      -1.864096051,       1.154044385
          0,           0,          49,      -4.375141761,      -1.453916078,      -1.903283085,       1.113990757
          0,           0,          50,      -4.416353631,      -1.494659345,      -1.942379112,       1.074062399
          0,           0,          51,       -4.45742797,      -1.535191371,      -1.981409313,        1.03424776
          0,           0,          52,      -4.498400822,       -1.57554162,       -2.02038895,       0.994513893
          0,           0,          53,      -4.539306385,      -1.615738604,      -2.059333715,      0.9548292094
          0,           0,          54,      -4.580165608,       -1.65580512,      -2.098259085,       0.915172153
