VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.9234996816,       1.306170557,       1.586640577,       4.536128521
          0,           0,           1,     -0.9153052939,       1.389102897,       1.605907783,       4.555917293
          0,           0,           2,      -1.180555933,       1.185832543,       1.317040195,       4.289386993
          0,           0,           3,      -1.383421866,       1.010982059,       1.059688854,       4.085001006
          0,           0,           4,      -1.587359061,      0.8675136153,      0.8675866742,       3.880580981
          0,           0,           5,      -1.768115455,      0.7608652998,      0.6939292204,       3.706371977
          0,           0,           6,      -1.947551425,      0.6859888443,      0.5278175088,       3.533960886
          0,           0,           7,      -2.123876564,      0.5966633994,      0.3847087474,       3.360773044
          0,           0,           8,      -2.276468121,      0.5218127165,      0.2665616412,       3.219419275
          0,           0,           9,      -2.418711785,      0.4635498607,      0.1321358365,       3.099811966
          0,           0,          10,      -2.559168036,      0.4089687003,    0.007617196568,       2.989087133
          0,           0,          11,      -2.690648283,      0.3520347191,    -0.09062868429,       2.886524508
          0,           0,          12,      -2.811528151,      0.2920048651,     -0.1826443091,       2.789347359
          0,           0,          13,      -2.910197679,      0.2304636785,     -0.2791146371,       2.701686606
          0,           0,          14,      -2.985519273,      0.1688195868,     -0.3697301527,       2.624158705
          0,           0,          15,      -3.049383179,      0.1080402177,     -0.4462577038,       2.552658092
          0,           0,          16,      -3.107821228,     0.04891027836,     -0.5142882572,       2.485382856
          0,           0,          17,       -3.16123304,    -0.00803840183,     -0.5812753074,       2.422814195
          0,           0,          18,      -3.209556772,    -0.06264206458,     -0.6485706662,       2.365358521
          0,           0,          19,        -3.2531492,      -0.114962313,     -0.7135239573,       2.312914024
          0,           0,          20,      -3.292622253,     -0.1651930018,     -0.7733287272,       2.264998421
          0,           0,          21,      -3.328945397,     -0.2136818171,     -0.8269929472,       2.220676853
          0,           0,          22,      -3.363485892,       -0.26085452,     -0.8751393072,       2.178700243
          0,           0,          23,      -3.397568897,     -0.3071254043,     -0.9192985488,       2.137865283
          0,           0,          24,      -3.432017753,     -0.3528194136,     -0.9611696512,       2.097390379
          0,           0,          25,      -3.467105725,     -0.3981361559,       -1.00205387,       2.056985479
          0,           0,          26,      -3.502830767,     -0.4431580145,      -1.042524484,       2.016618702
          0,           0,          27,       -3.53898346,     -0.4879044748,      -1.082887552,       1.976411972
          0,           0,          28,      -3.575328624,     -0.5323654537,      -1.123200382,       1.936511899
          0,           0,          29,      -3.611772332,     -0.5765417749,      -1.163386598,       1.896960482
          0,           0,          30,      -3.648359249,     -0.6204564016,      -1.203369656,       1.857675163
          0,           0,          31,      -3.685213057,     -0.6641461764,      -1.243142489,       1.818500818
          0,           0,          32,      -3.722466573,     -0.7076499437,       -1.28276802,       1.779282253
          0,           0,          33,      -3.760219768,     -0.7509979674,      -1.322346146,       1.739905244
          0,           0,          34,       -3.79852596,      -0.794208294,      -1.361974221,       1.700303514
          0,           0,          35,      -3.837393537,     -0.8372892363,       -1.40171785,       1.660452628
          0,           0,          36,      -3.876788234,     -0.8802367926,      -1.441600327,       1.620364179
          0,           0,          37,       -3.91665308,     -0.9230401121,      -1.481608906,         1.5800697
