VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.9595111671,       1.239585858,       1.558975635,       4.500117036
          0,           0,           1,     -0.9436465981,       1.370863295,        1.56002426,       4.521907653
          0,           0,           2,      -1.160556961,       1.205300537,        1.32031829,       4.306669115
          0,           0,           3,       -1.36923308,         1.1202039,       1.136323526,       4.101449198
          0,           0,           4,      -1.565242556,      0.9955457061,      0.9770821375,       3.909081896
          0,           0,           5,      -1.768014889,      0.8979813965,      0.8230808218,       3.710470071
          0,           0,           6,      -1.914986663,      0.8258170455,      0.6408549894,       3.565122999
          0,           0,           7,      -2.035529317,      0.7421747935,      0.4870678242,       3.446684521
          0,           0,           8,      -2.173379252,      0.6523970513,      0.3658178722,        3.31169699
          0,           0,           9,      -2.293640306,      0.5785321162,      0.2366577739,       3.192318001
          0,           0,          10,      -2.402507966,      0.5174316464,      0.1040009674,       3.089541592
          0,           0,          11,      -2.519406494,      0.4599115122,   -0.007460952598,       2.988981617
          0,           0,          12,      -2.639697558,      0.4015796513,    -0.09875083184,          2.891411
          0,           0,          13,      -2.749300264,      0.3413234137,     -0.1823053261,       2.801849253
          0,           0,          14,      -2.839557896,      0.2798495573,     -0.2630042724,       2.722806939
          0,           0,          15,      -2.912835742,      0.2184528606,     -0.3410416169,       2.653069574
          0,           0,          16,      -2.977003799,      0.1584100343,     -0.4162368268,       2.589067816
          0,           0,          17,      -3.038154072,      0.1006215366,     -0.4893733699,       2.527333699
          0,           0,          18,      -3.098419868,      0.0453844559,     -0.5614685342,       2.466156229
          0,           0,          19,       -3.15745051,   -0.007482829807,     -0.6327129451,       2.405539483
          0,           0,          20,      -3.214120254,    -0.05838072272,     -0.7026160858,       2.346418753
          0,           0,          21,      -3.267305457,     -0.1077552662,     -0.7706098482,       2.289930122
          0,           0,          22,      -3.316441442,     -0.1560390183,      -0.836145008,       2.236733391
          0,           0,          23,      -3.361820081,     -0.2036275417,      -0.898631713,       2.186726098
          0,           0,          24,      -3.404414891,     -0.2508551997,     -0.9576072138,        2.13922746
          0,           0,          25,      -3.445403936,     -0.2979840879,      -1.012959333,       2.093374742
          0,           0,          26,      -3.485681658,     -0.3452008648,      -1.064989623,       2.048484215
          0,           0,          27,      -3.525763988,     -0.3926324871,       -1.11425964,        2.00412899
          0,           0,          28,      -3.565918626,     -0.4403560247,      -1.161404612,        1.96006092
          0,           0,          29,      -3.606325049,     -0.4884092952,      -1.207019285,       1.916098288
          0,           0,          30,      -3.647075379,      -0.536802431,      -1.251668152,       1.872120031
          0,           0,          31,       -3.68821363,     -0.5855221968,      -1.295804929,       1.828039152
          0,           0,          32,       -3.72972963,     -0.6345324009,      -1.339744496,       1.783819593
          0,           0,          33,      -3.771577051,     -0.6837794418,      -1.383668435,       1.739465489
          0,           0,          34,      -3.813687161,     -0.7331973617,      -1.427644952,       1.695011949
          0,           0,          35,      -3.855978421,     -0.7827105735,      -1.471653252,       1.650519476
          0,           0,          36,      -3.898361232,     -0.8322456912,       -1.51564565,       1.606068013
          0,           0,          37,      -3.940768629,     -0.8817392283,      -1.559589851,       1.561726363
          0,           0,          38,      -3.983184571,     -0.9311132105,      -1.603368981,       1.517522789
          0,           0,          39,      -4.025535251,     -0.9802920651,      -1.646890815,       1.473530399
          0,           0,          40,      -4.067758038,      -1.029206506,      -1.690063798,       1.429815649
          0,           0,          41,      -4.109823261,      -1.077799687,      -1.732856051,       1.386415276
          0,           0,          42,      -4.151723525,      -1.126027201,      -1.775293325,       1.343339695
          0,           0,          43,      -4.193452914,      -1.173850353,      -1.817416883,       1.300593328
          0,           0,          44,      -4.235003064,      -1.221237168,      -1.859256694,       1.258180863
          0,           0,          45,      -4.276364179,      -1.268163003,      -1.900829932,       1.216107263
          0,           0,          46,      -4.317535613,      -1.314611782,      -1.942146847,       1.174367478
          0,           0,          47,      -4.358522477,      -1.360574559,      -1.983215678,       1.132949301
          0,           0,          48,      -4.399330616,      -1.406047931,       -2.02404658,       1.091837952
          0,           0,          49,      -4.439963307,      -1.451032617,      -2.064646592,       1.051019372
          0,           0,          50,      -4.480433495,      -1.495537681,      -2.105020666,       1.010468642
          0,           0,          51,      -4.520752656,      -1.539575311,       -2.14518377,       0.970162885
          0,           0,          52,       -4.56092869,      -1.583160289,      -2.185153786,      0.9300825467
          0,           0,          53,       -4.60097028,      -1.626311796,      -2.224948444,      0.8902069876
