VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.8189027473,       1.434588733,         1.6816962,       4.640725456
          0,           0,           1,     -0.8050712175,       1.489474885,        1.72143483,        4.66752921
          0,           0,           2,     -0.9913528886,       1.321615859,        1.47323783,       4.476927248
          0,           0,           3,      -1.218935368,       1.135135441,       1.207827885,       4.251027166
          0,           0,           4,      -1.456695129,      0.9769102932,       1.040383647,       4.013220393
          0,           0,           5,      -1.625711386,      0.8742138142,      0.8749916281,       3.841262553
          0,           0,           6,      -1.788890908,      0.7860735686,       0.683381258,       3.682083837
          0,           0,           7,      -1.946518764,      0.7057202742,      0.5141047093,       3.533956909
          0,           0,           8,      -2.116816041,      0.6348438519,       0.376245612,       3.384148621
          0,           0,           9,      -2.289330678,      0.5737418641,      0.2495156656,       3.242059155
          0,           0,          10,      -2.441896485,       0.515016328,      0.1298506378,       3.117460471
          0,           0,          11,      -2.562271951,       0.454802237,     0.02044494722,       3.012137074
          0,           0,          12,      -2.663830027,      0.3916022123,    -0.07711023189,       2.916170988
          0,           0,          13,      -2.757596399,      0.3255379642,      -0.164921655,       2.823655245
          0,           0,          14,      -2.844123738,      0.2582812321,     -0.2488045395,       2.735777393
          0,           0,          15,       -2.92615041,      0.1915141742,     -0.3343590542,       2.652946867
          0,           0,          16,      -3.006232537,      0.1264577667,     -0.4221252921,       2.575128263
          0,           0,          17,      -3.083317794,      0.0638622226,     -0.5079245296,       2.503144294
          0,           0,          18,      -3.155737863,    0.003926607145,     -0.5880683559,        2.43714995
          0,           0,          19,      -3.223110673,    -0.05361305604,     -0.6621831446,       2.376050466
          0,           0,          20,      -3.285890872,     -0.1091960542,     -0.7315868974,       2.318317493
          0,           0,          21,      -3.344102785,     -0.1631948002,     -0.7972455024,       2.262997864
          0,           0,          22,      -3.397052642,     -0.2158696668,     -0.8591085203,       2.209949228
          0,           0,          23,       -3.44426042,     -0.2674417917,     -0.9165428627,       2.159311346
          0,           0,          24,      -3.486195863,      -0.318116728,     -0.9688824228,        2.11106667
          0,           0,          25,      -3.524103924,     -0.3680810941,      -1.015949808,       2.064939685
          0,           0,          26,      -3.559504746,     -0.4175046048,      -1.058086642,       2.020459467
          0,           0,          27,       -3.59370848,     -0.4665031132,      -1.096520622,       1.977140801
          0,           0,          28,      -3.627482952,     -0.5151331151,      -1.132599418,       1.934647078
          0,           0,          29,      -3.661292473,     -0.5634224306,       -1.16736721,       1.892743078
          0,           0,          30,      -3.695460378,     -0.6113880913,       -1.20158181,       1.851235185
          0,           0,          31,      -3.730155613,     -0.6590366756,      -1.235771259,       1.809984018
          0,           0,          32,      -3.765399371,     -0.7063619008,      -1.270260495,       1.768925752
          0,           0,          33,      -3.801190578,     -0.7533463905,      -1.305189075,        1.72800307
          0,           0,          34,      -3.837422828,     -0.7999803501,      -1.340665361,        1.68723816
          0,           0,          35,      -3.874014891,     -0.8462416288,       -1.37666665,       1.646670157
