VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.8674561705,       1.419554298,       1.621078047,       4.592172032
          0,           0,           1,     -0.8152345998,       1.428860787,       1.680241228,       4.654412308
          0,           0,           2,      -1.088245911,       1.218581665,        1.39876525,        4.37796122
          0,           0,           3,      -1.317079331,       1.058868004,       1.130660196,       4.148570223
          0,           0,           4,      -1.531236939,      0.8937652434,       0.943549095,       3.938310884
          0,           0,           5,      -1.720753902,       0.810460773,       0.738118689,       3.756421241
          0,           0,           6,       -1.92625068,      0.7345570026,      0.5793412652,       3.567415393
          0,           0,           7,      -2.080574681,      0.6721752121,      0.4432572583,       3.427714089
          0,           0,           8,      -2.217494897,      0.6154469516,      0.3109653061,       3.308042922
          0,           0,           9,      -2.356712229,      0.5630835627,      0.1847785797,       3.197374261
          0,           0,          10,      -2.483659417,      0.5097816499,     0.07896712775,       3.100908516
          0,           0,          11,      -2.600892636,      0.4509955799,   -0.009266083817,       3.006694805
          0,           0,          12,      -2.712341746,      0.3863798701,    -0.09233465034,       2.909214291
          0,           0,          13,      -2.806805682,      0.3182818846,       -0.17633686,       2.815752578
          0,           0,          14,       -2.88122896,      0.2492167904,     -0.2619242726,       2.731436864
          0,           0,          15,      -2.947685882,      0.1808706227,     -0.3490816602,       2.653583041
          0,           0,          16,       -3.01632809,      0.1144154503,     -0.4378820895,       2.578185051
          0,           0,          17,      -3.088543914,     0.05068721865,     -0.5267755654,        2.50455212
          0,           0,          18,      -3.161379303,    -0.00995637373,     -0.6123825464,       2.434073342
          0,           0,          19,      -3.232059383,    -0.06779329205,     -0.6912491775,       2.367733597
          0,           0,          20,      -3.299127317,     -0.1235051732,     -0.7617684216,       2.305469689
          0,           0,          21,      -3.361922978,     -0.1778326434,     -0.8245902344,       2.246664254
          0,           0,          22,      -3.420375889,     -0.2313805689,     -0.8815027631,       2.190542382
          0,           0,          23,      -3.474952377,     -0.2845651206,      -0.934150294,       2.136357262
          0,           0,          24,      -3.526302056,     -0.3376223064,     -0.9835997373,       2.083555584
          0,           0,          25,      -3.574955035,     -0.3906692975,      -1.030549627,       2.031822348
          0,           0,          26,      -3.621234067,     -0.4437255226,       -1.07552683,       1.981072875
          0,           0,          27,      -3.665389665,     -0.4967583808,      -1.118989451,       1.931318158
          0,           0,          28,      -3.707734822,     -0.5497110657,      -1.161370913,       1.882561303
          0,           0,          29,      -3.748633507,     -0.6025092944,       -1.20292159,       1.834780149
          0,           0,          30,      -3.788471108,     -0.6550847957,      -1.243777113,       1.787906761
          0,           0,          31,      -3.827609706,     -0.7073737657,      -1.284078911,       1.741839293
          0,           0,          32,      -3.866281636,     -0.7593171628,      -1.323905235,       1.696508158
          0,           0,          33,      -3.904640418,     -0.8108619309,      -1.363306531,       1.651859587
          0,           0,          34,      -3.942798405,     -0.8619636738,      -1.402343656,       1.607834129
          0,           0,          35,      -3.980821251,     -0.9125833747,      -1.441077643,       1.564385384
          0,           0,          36,      -4.018732993,     -0.9626843501,      -1.479550221,       1.521488397
          0,           0,          37,      -4.056546343,      -1.012229805,      -1.517793501,       1.479123136
          0,           0,          38,      -4.094271978,      -1.061186824,      -1.555845105,       1.437268234
          0,           0,          39,      -4.131930938,       -1.10952583,       -1.59374901,       1.395891729
          0,           0,          40,      -4.169552795,      -1.157225398,      -1.631557009,       1.354953005
          0,           0,          41,      -4.207158495,      -1.204268117,       -1.66931077,       1.314416583
          0,           0,          42,      -4.244776289,      -1.250645535,      -1.707037011,       1.274237504
          0,           0,          43,      -4.282443188,      -1.296361774,      -1.744763631,       1.234359684
          0,           0,          44,      -4.320188725,      -1.341429385,      -1.782514714,       1.194729073
          0,           0,          45,      -4.358026952,      -1.385869055,      -1.820306561,       1.155303418
          0,           0,          46,      -4.395964884,      -1.429708492,      -1.858149115,       1.116045978
          0,           0,          47,      -4.434003821,      -1.472982142,      -1.896048937,       1.076925901
          0,           0,          48,      -4.472141224,      -1.515728944,       -1.93401062,       1.037917668
          0,           0,          49,      -4.510370839,      -1.557991546,      -1.972036783,      0.9990017199
          0,           0,          50,      -4.548684773,      -1.599814077,      -2.010128458,      0.9601623089
          0,           0,          51,      -4.587078639,      -1.641239247,      -2.048284471,       0.921382527
          0,           0,          52,      -4.625546431,      -1.682310344,      -2.086503761,      0.8826492997
          0,           0,          53,       -4.66408472,      -1.723069137,      -2.124784427,      0.8439493914
          0,           0,          54,      -4.702692854,      -1.763555535,      -2.163124381,      0.8052685398
          0,           0,          55,      -4.741371151,      -1.803807359,      -2.201522526,      0.7665931351
          0,           0,          56,      -4.780118891,      -1.843859853,      -2.239978593,      0.7279119679
          0,           0,          57,      -4.818934752,      -1.883745691,      -2.278492889,      0.6892157717
          0,           0,          58,      -4.857816957,      -1.923494884,      -2.317065966,      0.6504969672
          0,           0,          59,      -4.896763421,      -1.963134622,      -2.355698261,      0.6117494749
          0,           0,          60,      -4.935772376,      -2.002688816,      -2.394389906,      0.5729679719
          0,           0,          61,      -4.974841703,      -2.042179312,       -2.43314072,      0.5341487181
          0,           0,          62,      -5.013969473,      -2.081625202,      -2.471951232,      0.4952886251
          0,           0,          63,      -5.053154698,      -2.121043043,      -2.510821418,      0.4563845367
          0,           0,          64,      -5.092396657,      -2.160447116,      -2.549751574,      0.4174337877
          0,           0,          65,      -5.131695076,      -2.199849662,      -2.588742155,      0.3784339077
          0,           0,          66,       -5.17105393,      -2.239259276,      -2.627793633,      0.3393786528
          0,           0,          67,      -5.210468582,      -2.278686336,      -2.666906963,      0.3002710294
          0,           0,          68,      -5.249938053,      -2.318138689,      -2.706083066,      0.2611106379
          0,           0,          69,      -5.289462682,      -2.357622896,      -2.745322683,      0.2218960008
          0,           0,          70,      -5.329042849,      -2.397144361,      -2.784626356,      0.1826258771
          0,           0,          71,      -5.368678848,      -2.436707398,      -2.823994445,      0.1432993804
          0,           0,          72,      -5.408370929,      -2.476315426,      -2.863427163,      0.1039158793
          0,           0,          73,      -5.448119496,      -2.515971194,      -2.902924458,     0.06447476603
          0,           0,          74,      -5.487924763,      -2.555676775,      -2.942486565,     0.02497571631
          0,           0,          75,      -5.527786801,      -2.595433615,      -2.982113265,    -0.01458138046
          0,           0,          76,      -5.567705788,      -2.635242783,      -3.021804196,    -0.05419667651
          0,           0,          77,      -5.607681605,      -2.675104923,      -3.061558952,      -0.093870021
          0,           0,          78,       -5.64771386,      -2.715020311,      -3.101377119,     -0.1336009932
          0,           0,          79,      -5.687802074,      -2.754988942,      -3.141258303,     -0.1733890493
          0,           0,          80,      -5.727945685,       -2.79501059,      -3.181202069,     -0.2132335842
          0,           0,          81,      -5.768144137,      -2.835084851,      -3.221207912,     -0.2531339918
          0,           0,          82,      -5.808396976,      -2.875211177,      -3.261275253,     -0.2930897168
          0,           0,          83,      -5.848703713,      -2.915388914,      -3.301403454,     -0.3331001966
          0,           0,          84,      -5.889063843,      -2.955617317,       -3.34159182,     -0.3731648508
          0,           0,          85,      -5.929476846,      -2.995895584,       -3.38183961,     -0.4132830905
          0,           0,          86,      -5.969942184,      -3.036222871,      -3.422146049,     -0.4534543234
          0,           0,          87,      -6.010459303,      -3.076598316,      -3.462510341,     -0.4936779591
          0,           0,          88,      -6.051027639,      -3.117021044,      -3.502931666,     -0.5339534031
          0,           0,          89,      -6.091646615,      -3.157490182,      -3.543409188,     -0.5742800605
          0,           0,          90,      -6.132315643,      -3.198004859,      -3.583942061,     -0.6146573314
          0,           0,          91,      -6.173034129,      -3.238564216,      -3.624529439,     -0.6550846152
          0,           0,          92,      -6.213801453,      -3.279167284,      -3.665170466,     -0.6955613788
          0,           0,          93,      -6.254616985,      -3.319813292,      -3.705864282,      -0.736086898
          0,           0,          94,      -6.295480144,       -3.36050147,      -3.746610014,     -0.7766605695
          0,           0,          95,      -6.336390338,      -3.401231051,      -3.787406781,     -0.8172818309
          0,           0,          96,      -6.377346956,      -3.442001281,        -3.8282537,     -0.8579501097
          0,           0,          97,      -6.418349382,       -3.48281142,      -3.869149881,     -0.8986648284
          0,           0,          98,      -6.459397008,      -3.523660748,      -3.910094438,     -0.9394254205
          0,           0,          99,      -6.500489247,      -3.564548578,      -3.951086487,     -0.9802313388
          0,           0,         100,      -6.541625521,      -3.605474261,      -3.992125163,      -1.021082054
          0,           0,         101,       -6.58280526,      -3.646437181,      -4.033209611,      -1.061977053
          0,           0,         102,       -6.62402791,      -3.687436756,      -4.074338986,      -1.102915835
          0,           0,         103,      -6.665292928,      -3.728472433,      -4.115512473,      -1.143897921
          0,           0,         104,      -6.706599776,      -3.769543686,      -4.156729276,      -1.184922826
          0,           0,         105,      -6.747947933,      -3.810650017,      -4.197988627,      -1.225990092
          0,           0,         106,      -6.789336892,      -3.851790958,      -4.239289786,      -1.267099274
          0,           0,         107,      -6.830766151,      -3.892966063,      -4.280632024,      -1.308249928
          0,           0,         108,      -6.872235233,      -3.934174916,      -4.322014637,      -1.349441636
          0,           0,         109,      -6.913743661,      -3.975417116,      -4.363436931,      -1.390673979
          0,           0,         110,      -6.955290982,      -4.016692287,      -4.404898241,      -1.431946558
          0,           0,         111,      -6.996876729,      -4.058000068,      -4.446397911,      -1.473258966
          0,           0,         112,      -7.038500464,      -4.099340117,      -4.487935317,      -1.514610815
          0,           0,         113,      -7.080161753,      -4.140712105,      -4.529509849,      -1.556001723
          0,           0,         114,      -7.121860149,      -4.182115719,      -4.571120913,      -1.597431296
          0,           0,         115,      -7.163595256,      -4.223550671,      -4.612767952,      -1.638899186
          0,           0,         116,      -7.205366652,      -4.265016673,       -4.65445041,      -1.680405017
          0,           0,         117,      -7.247173928,      -4.306513459,      -4.696167761,      -1.721948433
          0,           0,         118,      -7.289016687,      -4.348040771,      -4.737919509,      -1.763529079
          0,           0,         119,      -7.330894553,      -4.389598371,       -4.77970517,      -1.805146627
          0,           0,         120,      -7.372807133,      -4.431186026,      -4.821524288,      -1.846800727
          0,           0,         121,      -7.414754058,      -4.472803516,      -4.863376431,      -1.888491058
          0,           0,         122,      -7.456734983,      -4.514450634,      -4.905261203,      -1.930217302
          0,           0,         123,      -7.498749534,      -4.556127185,      -4.947178206,      -1.971979136
          0,           0,         124,       -7.54079738,      -4.597832974,      -4.989127101,      -2.013776263
          0,           0,         125,      -7.582878188,      -4.639567832,      -5.031107539,      -2.055608385
          0,           0,         126,      -7.624991611,      -4.681331577,      -5.073119215,      -2.097475186
          0,           0,         127,      -7.667137336,      -4.723124058,      -5.115161833,      -2.139376393
          0,           0,         128,      -7.709315078,       -4.76494513,      -5.157235153,      -2.181311747
          0,           0,         129,      -7.751524544,      -4.806794627,      -5.199338923,      -2.223280976
          0,           0,         130,      -7.793765362,      -4.848672411,       -5.24147294,      -2.265283756
          0,           0,         131,      -7.836037372,      -4.890578388,       -5.28363699,      -2.307319927
          0,           0,         132,      -7.878340358,      -4.932512439,      -5.325830923,      -2.349389271
          0,           0,         133,      -7.920673964,       -4.97447443,      -5.368054592,      -2.391491464
