VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.8435304506,       1.399232051,       1.660402481,       4.616097752
          0,           0,           1,      -0.852121565,       1.437745613,        1.64515134,       4.617846616
          0,           0,           2,      -1.093936679,       1.351500575,       1.417141778,       4.372451403
          0,           0,           3,      -1.303131983,       1.184191444,       1.209595083,       4.166317994
          0,           0,           4,      -1.449078158,       1.061311623,       1.036661791,       4.021783088
          0,           0,           5,      -1.628660034,      0.9512218227,      0.8698245832,       3.850544835
          0,           0,           6,       -1.80973836,      0.8734298848,      0.7255809978,       3.675952257
          0,           0,           7,      -1.967073855,      0.8157844513,      0.5950719951,       3.521780579
          0,           0,           8,       -2.08499401,      0.7690209235,      0.4702395536,       3.412052419
          0,           0,           9,      -2.189408821,      0.7279428705,      0.3520160504,        3.32356303
          0,           0,          10,        -2.3053255,       0.684482744,      0.2509437341,       3.232314032
          0,           0,          11,      -2.423481563,      0.6360312374,      0.1720809031,       3.142512408
          0,           0,          12,      -2.523094807,      0.5825087038,      0.1070356269,       3.061853399
          0,           0,          13,      -2.598265863,      0.5250205754,     0.04480847765,        2.98953396
          0,           0,          14,      -2.659254732,      0.4648514616,    -0.02154284999,       2.921290577
          0,           0,          15,      -2.716632263,      0.4030059509,    -0.09414327021,       2.854061831
          0,           0,          16,      -2.773610792,       0.340409407,     -0.1714817444,       2.787418445
          0,           0,          17,      -2.829802304,      0.2780399366,     -0.2502636139,       2.722160915
          0,           0,          18,      -2.884825166,      0.2167941361,     -0.3270613749,         2.6588693
          0,           0,          19,      -2.938649009,      0.1572828019,     -0.3996483002,       2.597736481
          0,           0,          20,      -2.991020347,     0.09974355164,     -0.4674500829,       2.538974207
          0,           0,          21,      -3.041394634,     0.04408723728,     -0.5310627105,        2.48295298
          0,           0,          22,      -3.089322835,   -0.009971477659,     -0.5914334815,       2.429985732
          0,           0,          23,      -3.134877647,    -0.06277627019,     -0.6492204522,       2.379983912
          0,           0,          24,      -3.178576847,     -0.1146256194,     -0.7047171232,       2.332473993
          0,           0,          25,      -3.221098703,     -0.1657639917,     -0.7580203697,       2.286777784
          0,           0,          26,      -3.263076268,     -0.2163852711,     -0.8092330063,        2.24221322
          0,           0,          27,      -3.305023365,     -0.2666486339,     -0.8585784169,       2.198195714
          0,           0,          28,      -3.347338399,     -0.3166843167,     -0.9064212386,       2.154252694
          0,           0,          29,        -3.3902693,     -0.3665975438,     -0.9531871617,       2.110059356
          0,           0,          30,      -3.434007129,     -0.4165265335,     -0.9995453989,       2.065355383
          0,           0,          31,      -3.478746881,     -0.4665436488,      -1.045632481,       2.019910562
          0,           0,          32,      -3.524436685,     -0.5166421883,      -1.091654796,       1.973711985
          0,           0,          33,      -3.570878018,     -0.5667816242,      -1.137827789,       1.926902124
          0,           0,          34,      -3.617896964,     -0.6169139109,       -1.18416139,       1.879634564
          0,           0,          35,      -3.665359558,     -0.6669936023,      -1.230613747,       1.832029987
          0,           0,          36,      -3.713137345,     -0.7169712662,      -1.277148928,       1.784193472
          0,           0,          37,      -3.761095987,     -0.7667893147,      -1.323718893,       1.736233733
          0,           0,          38,      -3.809101599,     -0.8163828443,      -1.370248023,       1.688265737
          0,           0,          39,      -3.857031533,     -0.8656856484,      -1.416639415,       1.640400576
          0,           0,          40,      -3.904780775,     -0.9146350968,      -1.462793626,       1.592735882
          0,           0,          41,      -3.952260535,     -0.9631741227,      -1.508616146,       1.545354982
          0,           0,          42,      -3.999390557,      -1.011254373,      -1.554024521,       1.498333218
          0,           0,          43,      -4.046104501,      -1.058835275,      -1.598948971,       1.451733474
          0,           0,          44,      -4.092354074,      -1.105886581,      -1.643345322,       1.405602537
          0,           0,          45,      -4.138103179,      -1.152388928,        -1.6871885,        1.35997625
          0,           0,          46,      -4.183324914,      -1.198329922,       -1.73046729,       1.314881771
          0,           0,          47,      -4.227996317,      -1.243705665,      -1.773175519,       1.270342214
          0,           0,          48,      -4.272113862,      -1.288521209,       -1.81531663,       1.226362103
          0,           0,          49,      -4.315686991,      -1.332788821,      -1.856905899,       1.182932961
          0,           0,          50,       -4.35873607,      -1.376526198,      -1.897967255,       1.140035029
          0,           0,          51,       -4.40127866,      -1.419752266,      -1.938529963,       1.097650425
          0,           0,          52,      -4.443336247,      -1.462487913,       -1.97863029,       1.055757368
          0,           0,          53,       -4.48493448,       -1.50475883,      -2.018302424,       1.014329418
          0,           0,          54,      -4.526100806,      -1.546592764,      -2.057582953,      0.9733382641
          0,           0,          55,      -4.566864407,      -1.588019149,      -2.096512188,      0.9327538738
          0,           0,          56,      -4.607253471,      -1.629069172,      -2.135125088,      0.8925471679
          0,           0,          57,      -4.647296305,      -1.669772697,      -2.173455589,      0.8526893348
          0,           0,          58,      -4.687023409,      -1.710160287,      -2.211538275,      0.8131497155
          0,           0,          59,      -4.726468783,      -1.750263599,      -2.249405677,      0.7738945046
          0,           0,          60,      -4.765664669,      -1.790112951,      -2.287088705,      0.7348916419
          0,           0,          61,      -4.804643476,      -1.829737767,      -2.324617943,      0.6961089918
          0,           0,          62,      -4.843436183,      -1.869165735,      -2.362019903,      0.6575158018
          0,           0,          63,      -4.882071674,      -1.908422561,      -2.399318299,      0.6190832816
          0,           0,          64,      -4.920576902,      -1.947532196,      -2.436535195,       0.580784446
          0,           0,          65,      -4.958976388,      -1.986517586,      -2.473691181,      0.5425943812
          0,           0,          66,      -4.997289548,      -2.025397988,      -2.510805003,      0.5044934557
          0,           0,          67,      -5.035563935,      -2.064206442,      -2.547783524,      0.4664350523
          0,           0,          68,       -5.07381573,       -2.10296514,      -2.584771662,      0.4284023172
          0,           0,          69,      -5.112004031,      -2.141665996,      -2.621813242,      0.3904322203
          0,           0,          70,      -5.150142002,      -2.180311174,      -2.658901944,      0.3525111876
          0,           0,          71,      -5.188251278,      -2.218915517,      -2.696022694,      0.3146186356
          0,           0,          72,      -5.226360292,      -2.257495669,      -2.733169391,      0.2767275814
          0,           0,          73,      -5.264489372,      -2.296064439,      -2.770346064,      0.2388182101
          0,           0,          74,      -5.302646882,      -2.334630598,      -2.807559067,       0.200881688
          0,           0,          75,      -5.340835736,      -2.373200462,      -2.844813757,      0.1629145136
          0,           0,          76,      -5.379058992,      -2.411780181,      -2.882113448,      0.1249134315
          0,           0,          77,      -5.417319653,       -2.45037441,      -2.919464353,     0.08687557553
          0,           0,          78,       -5.45562336,      -2.488989528,      -2.956868865,     0.04879568667
          0,           0,          79,      -5.493975109,      -2.527630321,      -2.994332361,     0.01066920601
          0,           0,          80,      -5.532379385,      -2.566300535,      -3.031859394,    -0.02750795532
          0,           0,          81,       -5.57084038,      -2.605004045,      -3.069451487,    -0.06573974191
          0,           0,          82,      -5.609360873,      -2.643743795,      -3.107109904,     -0.1040287798
          0,           0,          83,      -5.647942939,      -2.682521858,      -3.144835108,     -0.1423767837
          0,           0,          84,      -5.686589525,      -2.721341233,      -3.182626169,     -0.1807869866
          0,           0,          85,       -5.72530308,      -2.760204262,      -3.220485749,     -0.2192618342
          0,           0,          86,      -5.764084084,      -2.799112991,      -3.258415113,     -0.2578018587
          0,           0,          87,      -5.802933651,      -2.838069005,       -3.29641381,     -0.2964082069
          0,           0,          88,      -5.841854738,      -2.877074088,      -3.334481746,     -0.3350837392
          0,           0,          89,      -5.880849624,      -2.916129802,      -3.372619767,     -0.3738307302
          0,           0,          90,      -5.919918608,      -2.955237068,      -3.410828621,     -0.4126496662
          0,           0,          91,      -5.959061025,       -2.99439643,        -3.4491084,     -0.4515401384
          0,           0,          92,      -5.998276381,      -3.033608384,      -3.487458797,     -0.4905018342
          0,           0,          93,      -6.037564461,      -3.072873336,       -3.52587915,     -0.5295346311
          0,           0,          94,      -6.076925259,      -3.112191698,      -3.564368796,      -0.568638562
          0,           0,          95,      -6.116358703,       -3.15156382,       -3.60292707,     -0.6078135756
          0,           0,          96,      -6.155864602,      -3.190989972,      -3.641553274,     -0.6470594945
          0,           0,          97,      -6.195442609,       -3.23047056,      -3.680246586,      -0.686376008
          0,           0,          98,      -6.235092472,      -3.270005544,      -3.719006857,     -0.7257628204
          0,           0,          99,      -6.274814559,      -3.309595169,      -3.757833336,      -0.765220276
          0,           0,         100,      -6.314608679,      -3.349239622,      -3.796725051,     -0.8047482028
          0,           0,         101,      -6.354473981,      -3.388938821,      -3.835681278,     -0.8443458243
          0,           0,         102,      -6.394409625,      -3.428692616,      -3.874701247,     -0.8840123786
          0,           0,         103,      -6.434418532,       -3.46851048,      -3.913776377,      -0.923749864
          0,           0,         104,      -6.474550352,      -3.508392793,      -3.952929161,     -0.9636019193
          0,           0,         105,      -6.514764723,      -3.548333911,      -3.992169889,      -1.003533031
          0,           0,         106,      -6.555026001,      -3.588325092,      -4.031477642,      -1.043512367
          0,           0,         107,      -6.595332259,      -3.628364756,       -4.07082958,        -1.0835392
          0,           0,         108,      -6.635700136,      -3.668456675,      -4.110227252,      -1.123628325
          0,           0,         109,      -6.676138445,      -3.708602792,      -4.149684416,      -1.163786822
          0,           0,         110,      -6.716643671,      -3.748802107,      -4.189208251,      -1.204011015
          0,           0,         111,      -6.757209817,      -3.789053164,      -4.228795442,      -1.244295511
          0,           0,         112,      -6.797835439,      -3.829355562,      -4.268438485,      -1.284639167
          0,           0,         113,      -6.838523228,      -3.869709738,      -4.308131806,      -1.325044456
          0,           0,         114,      -6.879276551,      -3.910116201,      -4.347873634,      -1.365514336
          0,           0,         115,      -6.920097071,      -3.950575089,      -4.387664985,      -1.406050204
          0,           0,         116,      -6.960984405,      -3.991086139,       -4.42750794,      -1.446651635
          0,           0,         117,      -7.001936801,      -4.031648822,      -4.467404356,      -1.487317026
          0,           0,         118,      -7.042952078,      -4.072262509,      -4.507355244,      -1.528044417
          0,           0,         119,      -7.084028243,      -4.112926574,      -4.547360651,      -1.568832039
          0,           0,         120,      -7.125163794,      -4.153640439,      -4.587419849,      -1.609678566
          0,           0,         121,      -7.166357741,      -4.194403581,      -4.627531649,      -1.650583119
          0,           0,         122,      -7.207609455,      -4.235215508,      -4.667694732,      -1.691545147
          0,           0,         123,      -7.248918506,      -4.276075718,      -4.707907811,      -1.732564258
          0,           0,         124,      -7.290284509,      -4.316983692,      -4.748169779,      -1.773640096
          0,           0,         125,      -7.331707037,       -4.35793887,      -4.788479714,      -1.814772253
          0,           0,         126,      -7.373185538,      -4.398940648,      -4.828836846,      -1.855960215
          0,           0,         127,      -7.414719372,       -4.43998837,       -4.86924047,       -1.89720338
          0,           0,         128,      -7.456307745,      -4.481081343,      -4.909689938,      -1.938501008
          0,           0,         129,      -7.497949827,      -4.522218834,      -4.950184591,       -1.97985234
          0,           0,         130,      -7.539644672,      -4.563400077,      -4.990723731,      -2.021256494
          0,           0,         131,      -7.581391347,      -4.604624284,      -5.031306626,      -2.062712624
          0,           0,         132,      -7.623188863,      -4.645890633,      -5.071932458,      -2.104219799
          0,           0,         133,      -7.665036223,      -4.687198297,      -5.112600432,      -2.145777108
          0,           0,         134,      -7.706932415,      -4.728546416,      -5.153309717,      -2.187383611
          0,           0,         135,      -7.748876507,      -4.769934127,      -5.194059451,      -2.229038437
          0,           0,         136,       -7.79086736,       -4.81136051,      -5.234848756,      -2.270740533
          0,           0,         137,      -7.832903955,      -4.852824653,      -5.275676754,      -2.312488942
          0,           0,         138,      -7.874985233,      -4.894325605,      -5.316542548,      -2.354282678
          0,           0,         139,      -7.917110089,      -4.935862392,      -5.357445235,      -2.396120706
          0,           0,         140,      -7.959277371,      -4.977434011,      -5.398383884,       -2.43800193
          0,           0,         141,      -8.001485781,      -5.019039418,      -5.439357526,      -2.479925175
          0,           0,         142,       -8.04373421,      -5.060677605,      -5.480365253,        -2.5218894
          0,           0,         143,      -8.086021353,      -5.102347467,      -5.521406019,      -2.563893362
          0,           0,         144,      -8.128345825,      -5.144047894,      -5.562478801,      -2.605935806
          0,           0,         145,       -8.17070646,      -5.185777825,      -5.603582658,      -2.648015581
          0,           0,         146,       -8.21310169,      -5.227536078,      -5.644716414,      -2.690131276
          0,           0,         147,      -8.255530288,      -5.269321528,      -5.685879124,      -2.732281695
          0,           0,         148,      -8.297990695,       -5.31113301,      -5.727069603,      -2.774465415
          0,           0,         149,      -8.340481418,      -5.352969324,      -5.768286749,      -2.816680994
          0,           0,         150,      -8.383001178,      -5.394829319,      -5.809529585,      -2.858927248
          0,           0,         151,      -8.425548059,      -5.436711723,      -5.850796706,      -2.901202358
          0,           0,         152,      -8.468120992,      -5.478615381,      -5.892087264,      -2.943505255
          0,           0,         153,      -8.510718013,       -5.52053905,      -5.933399841,      -2.985834143
          0,           0,         154,      -8.553337473,      -5.562481443,      -5.974733425,      -3.028187482
          0,           0,         155,      -8.595977901,      -5.604441384,      -6.016086839,      -3.070563898
          0,           0,         156,      -8.638637723,      -5.646417643,      -6.057458901,      -3.112961746
          0,           0,         157,      -8.681314788,      -5.688408917,      -6.098848194,      -3.155379216
          0,           0,         158,      -8.724007752,      -5.730413966,      -6.140253621,      -3.197814844
          0,           0,         159,      -8.766714456,      -5.772431536,      -6.181674036,      -3.240266708
          0,           0,         160,      -8.809433634,      -5.814460475,      -6.223108504,      -3.282733558
          0,           0,         161,      -8.852163374,       -5.85649944,      -6.264555348,      -3.325213551
          0,           0,         162,      -8.894901053,      -5.898547155,      -6.306013317,      -3.367704288
          0,           0,         163,      -8.937646312,      -5.940602596,      -6.347481873,       -3.41020532
          0,           0,         164,      -8.980395691,      -5.982664296,       -6.38895906,      -3.452713509
          0,           0,         165,      -9.023148536,      -6.024731244,      -6.430444194,      -3.495228038
          0,           0,         166,      -9.065902562,      -6.066802216,      -6.471935786,      -3.537746916
          0,           0,         167,      -9.108655587,      -6.108875866,      -6.513432757,      -3.580267976
          0,           0,         168,       -9.15140663,      -6.150951323,      -6.554934377,      -3.622790256
          0,           0,         169,      -9.194152902,      -6.193027237,      -6.596438408,        -3.6653114
          0,           0,         170,      -9.236892961,       -6.23510258,       -6.63794505,      -3.707829472
          0,           0,         171,      -9.279625435,      -6.277176479,      -6.679452615,       -3.75034355
          0,           0,         172,      -9.322347419,      -6.319247372,      -6.720959353,      -3.792850988
          0,           0,         173,      -9.365057925,      -6.361314621,      -6.762465578,       -3.83535066
          0,           0,         174,      -9.407754895,      -6.403377219,      -6.803969361,      -3.877840389
          0,           0,         175,      -9.450436504,      -6.445433995,       -6.84547021,      -3.920318695
          0,           0,         176,      -9.493101281,      -6.487483972,      -6.886967645,       -3.96278417
          0,           0,         177,      -9.535748253,      -6.529526431,      -6.928457666,      -4.005235482
          0,           0,         178,      -9.578375038,      -6.571560619,      -6.969943666,      -4.047671154
          0,           0,         179,      -9.620978813,      -6.613585301,      -7.011422666,      -4.090087771
          0,           0,         180,      -9.663559632,           -6.6556,      -7.052893484,      -4.132485525
          0,           0,         181,      -9.706116213,      -6.697603927,      -7.094358002,      -4.174863554
          0,           0,         182,       -9.74864652,      -6.739596453,        -7.1358119,      -4.217219929
          0,           0,         183,      -9.791148578,      -6.781576376,      -7.177255974,      -4.259551454
          0,           0,         184,       -9.83362105,      -6.823543822,      -7.218690669,      -4.301860251
          0,           0,         185,      -9.876066534,      -6.865497558,      -7.260114342,      -4.344143468
