VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.8673270343,       1.356707831,       1.642962748,       4.592301169
          0,           0,           1,     -0.9020807398,       1.410094236,       1.671073879,       4.570896085
          0,           0,           2,      -1.118634774,       1.200732875,       1.379641679,       4.349540432
          0,           0,           3,      -1.347619101,       1.013710862,       1.102660409,       4.122151318
          0,           0,           4,       -1.54535355,      0.8683113162,      0.9401313574,       3.925901297
          0,           0,           5,      -1.728700651,      0.7806342833,      0.7525201225,       3.746734114
          0,           0,           6,       -1.88843728,      0.7205712253,      0.5780979158,       3.594128313
          0,           0,           7,      -2.065587262,      0.6462772929,      0.4234015313,       3.427604058
          0,           0,           8,      -2.240993507,      0.5805488906,      0.2833717277,       3.274704987
          0,           0,           9,      -2.398640135,      0.5245047108,      0.1593008773,       3.147633068
          0,           0,          10,       -2.53199886,      0.4682743342,     0.05062570599,       3.039877571
          0,           0,          11,      -2.634174378,      0.4092910008,    -0.04604882109,       2.949600509
          0,           0,          12,      -2.727320716,      0.3459401267,     -0.1269023163,       2.862814396
          0,           0,          13,      -2.822692423,      0.2777319823,     -0.1938967824,       2.774240771
          0,           0,          14,      -2.915427454,      0.2060610683,     -0.2596883782,       2.687648029
          0,           0,          15,      -2.998697645,      0.1327795953,     -0.3331454093,       2.606098602
          0,           0,          16,      -3.070812657,     0.05946408451,     -0.4147560433,       2.529344816
          0,           0,          17,      -3.134020891,    -0.01254372176,     -0.5007882669,       2.456220023
          0,           0,          18,      -3.191374153,    -0.08206056571,     -0.5870097705,       2.386104446
          0,           0,          19,      -3.245248761,     -0.1482779084,     -0.6700168755,       2.318866271
          0,           0,          20,      -3.297162913,      -0.210883851,     -0.7475392029,       2.254541049
          0,           0,          21,      -3.347911695,     -0.2700230367,      -0.818612406,       2.193204642
          0,           0,          22,      -3.397410645,     -0.3261003018,     -0.8833816572,       2.135124935
          0,           0,          23,      -3.445134354,     -0.3795358677,     -0.9426260295,        2.08060655
          0,           0,          24,      -3.490903332,     -0.4306781444,     -0.9973367809,          2.029545
          0,           0,          25,      -3.534924456,     -0.4797980831,      -1.048305697,       1.981501907
          0,           0,          26,      -3.577468219,     -0.5271294597,      -1.095994556,       1.935986834
          0,           0,          27,      -3.618802714,     -0.5728927117,       -1.14068727,       1.892524576
          0,           0,          28,      -3.659171611,     -0.6173161645,      -1.182692633,       1.850679835
          0,           0,          29,      -3.698762051,     -0.6606200544,      -1.222432798,         1.8100807
          0,           0,          30,      -3.737699085,      -0.703002455,      -1.260390004,       1.770432261
          0,           0,          31,       -3.77610257,     -0.7446357965,      -1.297023916,       1.731480887
          0,           0,          32,      -3.814131486,     -0.7856760254,      -1.332744165,       1.692988927
          0,           0,          33,      -3.851953821,     -0.8262582967,       -1.36790135,       1.654756499
          0,           0,          34,      -3.889697297,     -0.8664899684,      -1.402786161,       1.616649843
          0,           0,          35,      -3.927452747,     -0.9065100732,      -1.437538827,        1.57858311
          0,           0,          36,      -3.965462945,     -0.9463565435,      -1.472396754,       1.540360083
          0,           0,          37,      -4.003564364,     -0.9860333254,      -1.507600908,       1.502119974
          0,           0,          38,      -4.041637133,      -1.025545598,      -1.543147001,       1.463970322
          0,           0,          39,      -4.079705824,       -1.06492784,      -1.578963398,       1.425892199
          0,           0,          40,      -4.117817843,      -1.104213801,      -1.615022387,        1.38783157
