VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.8417784145,       1.405757246,       1.660853725,       4.617849788
          0,           0,           1,      -0.874604234,       1.493304745,       1.686052127,        4.59430744
          0,           0,           2,       -1.06022136,       1.321033094,       1.446623421,       4.411402182
          0,           0,           3,      -1.294973583,        1.13888255,        1.21148535,       4.174632754
          0,           0,           4,      -1.459932608,       1.014057665,       1.024455748,       4.010665797
          0,           0,           5,      -1.645475851,      0.9146083019,      0.8587699341,       3.833548464
          0,           0,           6,       -1.83033682,      0.8366534153,      0.6988282719,       3.662807269
          0,           0,           7,      -1.969799509,      0.7757250174,      0.5417558294,       3.530535458
          0,           0,           8,      -2.094828326,      0.7102170818,      0.4318605935,        3.41036684
          0,           0,           9,       -2.21625968,      0.6470814166,      0.3200015143,       3.298825411
          0,           0,          10,      -2.323596945,      0.5924574339,      0.2058366574,       3.206827352
          0,           0,          11,      -2.419996925,      0.5388191383,      0.1152150069,       3.126674801
          0,           0,          12,      -2.520464743,        0.47883233,      0.0409055079,       3.041147018
          0,           0,          13,      -2.624268253,      0.4124864876,    -0.03251774011,       2.949511526
          0,           0,          14,      -2.722988552,      0.3419994286,      -0.109059147,       2.858748933
          0,           0,          15,      -2.816113617,      0.2691256994,     -0.1877627311,       2.770469988
          0,           0,          16,      -2.905668306,      0.1955083383,     -0.2677447809,       2.683082243
          0,           0,          17,      -2.987751455,      0.1231350436,     -0.3489644828,        2.59756635
          0,           0,          18,      -3.057383686,     0.05388146033,     -0.4308604755,       2.516691738
          0,           0,          19,      -3.114830613,     -0.0111942145,     -0.5113962386,       2.442361846
          0,           0,          20,      -3.163960565,    -0.07198972572,     -0.5881253994,       2.375152954
          0,           0,          21,       -3.20852627,      -0.129067077,     -0.6596510873,       2.314693933
          0,           0,          22,      -3.250922632,     -0.1832458985,     -0.7256514152,       2.259972735
          0,           0,          23,      -3.292489484,     -0.2353485997,     -0.7859975859,       2.209569005
          0,           0,          24,      -3.334237988,     -0.2860143695,     -0.8409513802,       2.161843632
          0,           0,          25,      -3.376442564,     -0.3356862329,     -0.8910297967,       2.115655556
          0,           0,          26,      -3.418983956,     -0.3846836816,     -0.9371853671,       2.070326664
          0,           0,          27,      -3.461640638,     -0.4332387725,     -0.9805635588,       2.025559564
          0,           0,          28,      -3.504276491,       -0.48152243,      -1.022256196,       1.981211454
          0,           0,          29,      -3.546845593,     -0.5296393939,      -1.062983148,       1.937182954
          0,           0,          30,      -3.589442003,     -0.5776601735,       -1.10327779,        1.89331507
          0,           0,          31,      -3.632160219,     -0.6256084024,      -1.143490218,       1.849495173
