VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.7318885146,       1.559798729,       1.754757679,       4.727739688
          0,           0,           1,     -0.7032823222,        1.59993082,       1.781116817,        4.76329469
          0,           0,           2,     -0.9095922022,       1.450412859,       1.562836686,       4.556420093
          0,           0,           3,      -1.151106974,       1.297078732,       1.328829593,       4.318231656
          0,           0,           4,      -1.329591192,       1.194501211,       1.170184385,       4.141906586
          0,           0,           5,      -1.489942907,       1.101922575,       1.024684907,       3.985930907
          0,           0,           6,      -1.646056831,       1.021250783,      0.8735326003,       3.836837615
          0,           0,           7,      -1.770974698,      0.9532556726,      0.7188212913,       3.717133626
          0,           0,           8,      -1.895590037,       0.877250542,      0.5834373863,       3.600676272
          0,           0,           9,      -2.029401234,      0.8085643066,      0.4741932472,       3.480596419
          0,           0,          10,       -2.16197101,      0.7495838137,      0.3780566381,       3.365005711
          0,           0,          11,      -2.287800242,      0.6925131343,      0.2900942557,        3.25757225
          0,           0,          12,      -2.400432786,      0.6339740612,      0.2058456527,       3.160482858
          0,           0,          13,      -2.493892834,      0.5737395243,       0.120016408,       3.073686053
          0,           0,          14,       -2.57379219,      0.5120775832,     0.03276879927,       2.991742159
          0,           0,          15,      -2.646935227,      0.4498528483,    -0.05233700964,       2.911668417
          0,           0,          16,      -2.712907293,      0.3883900381,     -0.1331804897,        2.83630145
          0,           0,          17,      -2.770387093,      0.3287497786,     -0.2098472841,       2.768826758
          0,           0,          18,       -2.82213893,      0.2712678519,     -0.2826582745,       2.708466221
          0,           0,          19,      -2.872281162,      0.2157705075,      -0.351080742,       2.652106545
          0,           0,          20,      -2.923302191,      0.1619078064,     -0.4146527862,       2.597143004
          0,           0,          21,      -2.975776037,      0.1092784591,     -0.4739839326,       2.542355821
          0,           0,          22,      -3.028841788,     0.05750448898,     -0.5302948093,       2.487892037
          0,           0,          23,      -3.081157337,     0.00628281873,     -0.5846073148,       2.434507522
          0,           0,          24,      -3.131973577,    -0.04458479698,     -0.6374267356,        2.38266167
          0,           0,          25,      -3.181236257,    -0.09524588344,     -0.6889925847,       2.332333928
          0,           0,          26,      -3.229282938,     -0.1458213302,     -0.7394783852,       2.283129309
          0,           0,          27,      -3.276415153,     -0.1963585557,     -0.7888140126,       2.234788811
          0,           0,          28,      -3.322949309,     -0.2468897302,     -0.8370034388,        2.18698796
          0,           0,          29,      -3.369102571,     -0.2974257422,     -0.8841107205,       2.139519333
          0,           0,          30,      -3.415032806,     -0.3479569161,     -0.9302788253,       2.092256278
          0,           0,          31,      -3.460852194,     -0.3984688545,     -0.9756917356,       2.045115392
          0,           0,          32,       -3.50663187,     -0.4489355197,      -1.020550822,       1.998052835
          0,           0,          33,      -3.552373764,     -0.4993222917,      -1.064992912,       1.951088255
          0,           0,          34,       -3.59805511,     -0.5495953701,      -1.109091472,       1.904260253
          0,           0,          35,      -3.643655219,     -0.5997271964,        -1.1528942,       1.857599771
          0,           0,          36,      -3.689165862,     -0.6496930019,      -1.196442665,       1.811120834
          0,           0,          37,      -3.734580867,     -0.6994748619,      -1.239781017,       1.764832972
          0,           0,          38,      -3.779905076,     -0.7490562734,      -1.282944855,       1.718734819
          0,           0,          39,      -3.825152018,     -0.7984271646,      -1.325961775,       1.672816033
          0,           0,          40,      -3.870338421,     -0.8475801037,      -1.368861979,       1.627061669
          0,           0,          41,      -3.915473576,     -0.8965062816,      -1.411675123,       1.581461587
          0,           0,          42,      -3.960557846,      -0.945197448,      -1.454433553,       1.536011511
          0,           0,          43,      -4.005596767,     -0.9936477955,      -1.497167199,        1.49070153
          0,           0,          44,      -4.050588723,      -1.041851381,      -1.539905769,       1.445526659
          0,           0,          45,      -4.095529644,      -1.089790546,      -1.582666244,       1.400483769
          0,           0,          46,      -4.140412204,      -1.137476177,       -1.62548661,        1.35556587
          0,           0,          47,      -4.185235591,      -1.184900747,      -1.668346139,       1.310777447
          0,           0,          48,      -4.229999424,      -1.232062378,      -1.711247599,       1.266116631
          0,           0,          49,      -4.274698766,      -1.278960243,      -1.754204713,        1.22158028
          0,           0,          50,      -4.319330111,      -1.325594748,      -1.797225359,       1.177165065
          0,           0,          51,      -4.363892668,      -1.371967842,      -1.840310001,       1.132867218
          0,           0,          52,      -4.408386841,      -1.418084406,       -1.88345473,       1.088682613
          0,           0,          53,      -4.452813773,      -1.463947296,      -1.926657729,       1.044606916
          0,           0,          54,      -4.497172916,      -1.509560577,      -1.969917376,         1.0006375
          0,           0,          55,      -4.541464198,      -1.554929218,      -2.013231051,      0.9567714248
          0,           0,          56,      -4.585687758,      -1.600056973,      -2.056593574,      0.9130056894
          0,           0,          57,      -4.629843401,      -1.644950265,      -2.099998411,      0.8693376262
          0,           0,          58,      -4.673930275,      -1.689616116,      -2.143438957,      0.8257652709
          0,           0,          59,       -4.71794611,      -1.734061588,      -2.186908223,      0.7822881654
          0,           0,          60,      -4.761889046,      -1.778294246,      -2.230399686,      0.7389057567
          0,           0,          61,      -4.805758283,      -1.822321837,       -2.27390652,      0.6956168022
          0,           0,          62,      -4.849552827,      -1.866152501,      -2.317421209,      0.6524203547
          0,           0,          63,      -4.893272342,      -1.909794731,      -2.360936907,      0.6093149803
          0,           0,          64,      -4.936917896,      -1.953257442,      -2.404447511,      0.5662981367
          0,           0,          65,       -4.98049175,      -1.996550882,      -2.447947891,      0.5233662956
          0,           0,          66,       -5.02399812,      -2.039684006,      -2.491434768,      0.4805144311
          0,           0,          67,      -5.067440545,      -2.082665302,      -2.534903266,       0.437738051
          0,           0,          68,      -5.110822058,      -2.125503193,      -2.578349427,      0.3950330383
          0,           0,          69,      -5.154143554,      -2.168205299,      -2.621769424,      0.3523973039
          0,           0,          70,      -5.197407222,      -2.210778637,      -2.665158854,      0.3098276227
          0,           0,          71,      -5.240614862,      -2.253230214,      -2.708513262,      0.2673211142
          0,           0,          72,      -5.283768237,      -2.295566621,      -2.751828607,      0.2248748959
          0,           0,          73,      -5.326869173,      -2.337793766,       -2.79510095,      0.1824861666
          0,           0,          74,      -5.369919371,      -2.379916908,      -2.838326239,       0.140152409
          0,           0,          75,      -5.412920232,      -2.421940743,       -2.88150021,     0.09787149821
          0,           0,          76,      -5.455872998,      -2.463869477,      -2.924618324,     0.05564153796
          0,           0,          77,       -5.49877885,      -2.505706845,      -2.967675772,     0.01346076577
          0,           0,          78,      -5.541638773,      -2.547456115,      -3.010667572,    -0.02867233976
          0,           0,          79,      -5.584453367,      -2.589120095,      -3.053588706,    -0.07075891302
          0,           0,          80,      -5.627222777,      -2.630701168,      -3.096434257,     -0.1127996554
          0,           0,          81,      -5.669946747,      -2.672201347,      -3.139199474,     -0.1547948923
          0,           0,          82,      -5.712624698,      -2.713622331,      -3.181879797,      -0.196744647
          0,           0,          83,      -5.755255798,      -2.754965545,      -3.224470825,     -0.2386487062
          0,           0,          84,      -5.797839023,      -2.796232168,        -3.2669683,     -0.2805066641
          0,           0,          85,      -5.840373174,      -2.837423149,      -3.309368084,     -0.3223179465
          0,           0,          86,       -5.88285688,      -2.878539212,      -3.351666167,     -0.3640818015
          0,           0,          87,      -5.925288564,      -2.919580864,      -3.393858668,     -0.4057972774
          0,           0,          88,       -5.96766641,      -2.960548405,      -3.435941846,      -0.447463195
          0,           0,          89,      -6.009988337,      -3.001441948,      -3.477912111,       -0.48907813
          0,           0,          90,      -6.052251998,      -3.042261447,      -3.519766041,     -0.5306404198
          0,           0,          91,      -6.094454796,      -3.083006731,      -3.561500403,     -0.5721481796
          0,           0,          92,      -6.136593905,      -3.123677533,      -3.603112174,     -0.6135993182
          0,           0,          93,       -6.17866631,      -3.164273519,      -3.644598561,     -0.6549915762
          0,           0,          94,      -6.220668837,      -3.204794314,      -3.685957028,     -0.6963225464
          0,           0,          95,      -6.262598167,      -3.245239515,       -3.72718532,     -0.7375896922
          0,           0,          96,      -6.304450864,      -3.285608715,      -3.768281474,     -0.7787903643
          0,           0,          97,      -6.346223414,      -3.325901513,      -3.809243836,     -0.8199218351
          0,           0,          98,      -6.387912239,      -3.366117535,      -3.850071062,     -0.8609813149
          0,           0,          99,      -6.429513737,      -3.406256438,      -3.890762121,     -0.9019659866
          0,           0,         100,      -6.471024293,      -3.446317929,      -3.931316289,     -0.9428730156
          0,           0,         101,        -6.5124393,      -3.486301862,      -3.971731829,     -0.9836989244
          0,           0,         102,      -6.553755646,      -3.526208836,      -4.012010649,      -1.024441343
          0,           0,         103,      -6.594972491,      -3.566038879,      -4.052153834,      -1.065099442
          0,           0,         104,      -6.636087401,      -3.605791538,      -4.092161324,      -1.105671214
          0,           0,         105,       -6.67709572,      -3.645466335,      -4.132033559,       -1.14615288
          0,           0,         106,      -6.717992872,      -3.685063124,      -4.171770855,      -1.186540762
          0,           0,         107,      -6.758775227,      -3.724582076,      -4.211373701,      -1.226832032
          0,           0,         108,       -6.79943989,      -3.764023578,      -4.250843287,        -1.2670245
          0,           0,         109,      -6.839984347,      -3.803388163,      -4.290181692,      -1.307116241
          0,           0,         110,      -6.880406301,      -3.842676456,       -4.32939153,      -1.347105429
          0,           0,         111,      -6.920703771,      -3.881889172,      -4.368475482,      -1.386990453
          0,           0,         112,      -6.960875193,      -3.921027131,      -4.407436184,      -1.426770042
          0,           0,         113,      -7.000919351,      -3.960091249,      -4.446276331,      -1.466443202
          0,           0,         114,      -7.040835253,      -3.999082523,      -4.484998762,      -1.506009117
          0,           0,         115,      -7.080622167,      -4.038002043,      -4.523606475,      -1.545467176
          0,           0,         116,      -7.120279708,      -4.076851004,      -4.562102622,      -1.584817045
          0,           0,         117,       -7.15980781,      -4.115630705,      -4.600490488,      -1.624058645
          0,           0,         118,      -7.199206793,      -4.154342547,      -4.638773514,      -1.663192196
          0,           0,         119,      -7.238477239,      -4.192988006,      -4.676955258,      -1.702218117
          0,           0,         120,      -7.277620068,      -4.231568638,       -4.71503935,      -1.741137091
          0,           0,         121,      -7.316636515,      -4.270086075,      -4.753029494,      -1.779950062
          0,           0,         122,       -7.35552818,      -4.308542017,      -4.790929446,      -1.818658248
          0,           0,         123,      -7.394296962,      -4.346938225,      -4.828742978,      -1.857263119
          0,           0,         124,      -7.432945063,       -4.38527652,      -4.866473931,      -1.895766385
          0,           0,         125,      -7.471474964,      -4.423558769,      -4.904126133,      -1.934169976
          0,           0,         126,      -7.509889393,       -4.46178689,      -4.941703462,       -1.97247603
          0,           0,         127,      -7.548191325,      -4.499962849,      -4.979209737,      -2.010686882
          0,           0,         128,      -7.586383957,      -4.538088644,      -5.016648809,      -2.048805066
          0,           0,         129,       -7.62447075,      -4.576166308,      -5.054024445,      -2.086833323
          0,           0,         130,      -7.662455262,      -4.614197902,      -5.091340451,      -2.124774499
          0,           0,         131,      -7.700341298,      -4.652185503,      -5.128600512,      -2.162631626
          0,           0,         132,      -7.738132751,      -4.690131204,      -5.165808347,      -2.200407852
          0,           0,         133,      -7.775833664,      -4.728037099,      -5.202967608,       -2.23810644
          0,           0,         134,      -7.813448107,      -4.765905286,      -5.240081834,      -2.275730684
          0,           0,         135,      -7.850980302,      -4.803737872,      -5.277154521,       -2.31328401
          0,           0,         136,      -7.888434483,      -4.841536943,       -5.31418908,      -2.350769914
          0,           0,         137,      -7.925814937,      -4.879304582,      -5.351188859,      -2.388191893
          0,           0,         138,      -7.963126003,      -4.917042877,       -5.38815723,      -2.425553578
          0,           0,         139,      -8.000371922,      -4.954753846,       -5.42509725,      -2.462858426
          0,           0,         140,      -8.037556991,      -4.992439558,      -5.462012147,      -2.500110092
          0,           0,         141,      -8.074685429,      -5.030101999,      -5.498904936,      -2.537312065
          0,           0,         142,      -8.111761352,      -5.067743109,      -5.535778294,      -2.574467799
          0,           0,         143,      -8.148789184,      -5.105364915,      -5.572635528,       -2.61158114
          0,           0,         144,      -8.185772684,      -5.142969283,      -5.609479113,      -2.648655201
          0,           0,         145,      -8.222715861,      -5.180558045,      -5.646311615,      -2.685693462
          0,           0,         146,      -8.259622661,      -5.218133109,      -5.683135879,      -2.722699206
          0,           0,         147,      -8.296496775,       -5.25569628,      -5.719954489,      -2.759675885
          0,           0,         148,      -8.333342186,      -5.293249254,      -5.756769291,      -2.796626711
          0,           0,         149,      -8.370162139,      -5.330793743,      -5.793582902,      -2.833554551
          0,           0,         150,      -8.406960186,      -5.368331521,      -5.830397992,      -2.870462703
          0,           0,         151,      -8.443739587,      -5.405864106,      -5.867215981,      -2.907353936
          0,           0,         152,      -8.480503416,       -5.44339314,       -5.90403943,      -2.944230961
          0,           0,         153,       -8.51725509,      -5.480920085,      -5.940869903,      -2.981096919
          0,           0,         154,      -8.553997385,      -5.518446501,      -5.977709543,      -3.017954311
          0,           0,         155,      -8.590733343,      -5.555973757,      -6.014560263,      -3.054805583
          0,           0,         156,      -8.627465111,       -5.59350327,      -6.051423335,      -3.091653117
          0,           0,         157,      -8.664195915,      -5.631036464,      -6.088300747,      -3.128499702
          0,           0,         158,      -8.700928177,      -5.668574619,      -6.125194332,      -3.165347763
          0,           0,         159,      -8.737663573,       -5.70611879,      -6.162104845,      -3.202198346
          0,           0,         160,      -8.774404871,      -5.743670407,      -6.199034018,      -3.239054613
          0,           0,         161,       -8.81115379,      -5.781230495,      -6.235983438,      -3.275917679
          0,           0,         162,      -8.847913266,      -5.818800332,      -6.272954917,        -3.3127907
          0,           0,         163,      -8.884683206,      -5.856380657,      -6.309947773,       -3.34967345
          0,           0,         164,       -8.92146779,      -5.893972927,      -6.346965141,      -3.386569999
          0,           0,         165,        -8.9582671,       -5.93157756,      -6.384006011,      -3.423480193
          0,           0,         166,      -8.995083404,      -5.969196158,       -6.42107489,      -3.460406275
          0,           0,         167,       -9.03191807,      -6.006828806,      -6.458168289,      -3.497349862
          0,           0,         168,       -9.06877206,      -6.044477355,       -6.49529101,       -3.53431186
          0,           0,         169,      -9.105647261,      -6.082141664,      -6.532440919,      -3.571293849
          0,           0,         170,      -9.142544555,      -6.119823014,       -6.56962091,      -3.608296887
          0,           0,         171,      -9.179463382,      -6.157521958,      -6.606831298,      -3.645321011
          0,           0,         172,      -9.216407861,      -6.195239047,      -6.644071898,       -3.68236902
          0,           0,         173,      -9.253378184,      -6.232975515,      -6.681344289,      -3.719442876
          0,           0,         174,      -9.290373817,      -6.270730979,      -6.718645626,      -3.756540388
          0,           0,         175,      -9.327397186,      -6.308507069,      -6.755983006,      -3.793665052
          0,           0,         176,      -9.364446918,      -6.346303115,      -6.793351352,      -3.830814262
          0,           0,         177,      -9.401524808,      -6.384120582,      -6.830752768,      -3.867990998
          0,           0,         178,       -9.43863317,      -6.421960379,      -6.868191167,      -3.905198525
          0,           0,         179,      -9.475769435,      -6.459821874,      -6.905661989,      -3.942432865
          0,           0,         180,      -9.512939133,      -6.497705458,      -6.943166428,      -3.979699798
          0,           0,         181,      -9.550136076,      -6.535612462,      -6.980706592,      -4.016994359
          0,           0,         182,      -9.587365283,      -6.573541171,      -7.018279613,      -4.054319535
          0,           0,         183,      -9.624625047,      -6.611495748,      -7.055892338,      -4.091675556
          0,           0,         184,      -9.661920982,      -6.649472367,      -7.093537867,      -4.129065463
          0,           0,         185,      -9.699242859,      -6.687473199,      -7.131216957,      -4.166483763
          0,           0,         186,      -9.736595092,      -6.725497483,       -7.16892822,      -4.203929802
          0,           0,         187,      -9.773983939,      -6.763548103,       -7.20668509,      -4.241414468
          0,           0,         188,      -9.811404401,      -6.801620618,      -7.244468403,      -4.278929777
          0,           0,         189,      -9.848864103,      -6.839719448,      -7.282296029,      -4.316482665
          0,           0,         190,      -9.886353784,      -6.877843811,      -7.320148466,      -4.354070132
          0,           0,         191,      -9.923860385,      -6.915989916,      -7.358047765,      -4.391672776
          0,           0,         192,      -9.961409247,      -6.954163853,      -7.395981286,      -4.429314555
          0,           0,         193,      -9.999000535,      -6.992362748,      -7.433947032,      -4.467004114
          0,           0,         194,      -10.03661228,      -7.030588507,      -7.471959456,      -4.504712558
          0,           0,         195,      -10.07426557,      -7.068834146,      -7.509981343,      -4.542460791
          0,           0,         196,      -10.11195077,      -7.107112177,      -7.548073153,        -4.5802481
          0,           0,         197,      -10.14966532,      -7.145407582,      -7.586168459,      -4.618058262
          0,           0,         198,      -10.18741868,      -7.183734541,      -7.624321832,      -4.655913206
          0,           0,         199,      -10.22519016,      -7.222076569,      -7.662486359,      -4.693778195
          0,           0,         200,      -10.26302141,      -7.260460961,      -7.700719598,      -4.731713457
          0,           0,         201,      -10.30084855,      -7.298846405,      -7.738934335,      -4.769639017
          0,           0,         202,      -10.33872787,      -7.337277346,      -7.777241192,      -4.807636493
          0,           0,         203,      -10.37661587,      -7.375719643,       -7.81556287,      -4.845628549
          0,           0,         204,      -10.41455792,      -7.414187572,      -7.853884253,      -4.883675774
          0,           0,         205,      -10.45253298,      -7.452684985,      -7.892286197,       -4.92175352
          0,           0,         206,      -10.49055657,      -7.491205462,      -7.930707218,      -4.959882363
          0,           0,         207,      -10.52857536,      -7.529743847,      -7.969142073,      -4.998016906
          0,           0,         208,      -10.56660813,      -7.568306969,      -8.007632456,      -5.036174062
          0,           0,         209,      -10.60474625,          -7.60692,      -8.046186752,      -5.074432269
          0,           0,         210,       -10.6428067,      -7.645495526,      -8.084633588,      -5.112573086
          0,           0,         211,       -10.6809847,      -7.684149696,      -8.123301208,      -5.150885845
          0,           0,         212,      -10.71916984,      -7.722791784,       -8.16181206,       -5.18917431
          0,           0,         213,      -10.75734243,      -7.761472594,      -8.200511206,      -5.227492739
          0,           0,         214,      -10.79557005,      -7.800154226,      -8.239061678,      -5.265846288
          0,           0,         215,      -10.83383843,      -7.838898937,      -8.277919439,      -5.304253563
          0,           0,         216,      -10.87209304,      -7.877621599,       -8.31647867,      -5.342578696
          0,           0,         217,      -10.91044938,      -7.916394978,      -8.355292135,      -5.381120462
          0,           0,         218,      -10.94873402,      -7.955172684,      -8.394119111,       -5.41951168
          0,           0,         219,      -10.98722086,      -7.994004902,      -8.432937985,      -5.458188167
          0,           0,         220,      -11.02553477,      -8.032781558,      -8.471742424,      -5.496619258
          0,           0,         221,      -11.06391686,      -8.071663459,      -8.510644369,      -5.535194214
          0,           0,         222,      -11.10233024,      -8.110515072,      -8.549404676,      -5.573743898
          0,           0,         223,      -11.14081769,      -8.149411744,       -8.58841607,      -5.612389492
          0,           0,         224,      -11.17932637,      -8.188229789,       -8.62724393,      -5.650909777
          0,           0,         225,      -11.21792601,      -8.227153429,      -8.666043239,      -5.689687762
          0,           0,         226,      -11.25631824,      -8.266100284,      -8.705196961,      -5.728292451
          0,           0,         227,      -11.29503873,      -8.305020601,      -8.744025312,      -5.767099449
          0,           0,         228,      -11.33330964,      -8.344048396,      -8.783323594,      -5.805632894
          0,           0,         229,      -11.37189099,       -8.38295198,      -8.822395093,      -5.844395954
          0,           0,         230,      -11.41053907,      -8.421891857,      -8.861325169,      -5.883102462
          0,           0,         231,      -11.44940928,      -8.461068301,      -8.900922576,      -5.922299343
          0,           0,         232,      -11.48789044,      -8.499958267,      -8.939280853,      -5.960828194
          0,           0,         233,      -11.52655224,      -8.538905168,      -8.978103434,      -5.999611983
          0,           0,         234,      -11.56534631,      -8.578117833,      -9.017945076,       -6.03868393
          0,           0,         235,      -11.60429897,      -8.617205195,      -9.057217284,      -6.077752824
          0,           0,         236,      -11.64292271,      -8.656056451,      -9.096121145,      -6.116532015
          0,           0,         237,      -11.68179153,      -8.695219293,      -9.135320083,      -6.155553308
          0,           0,         238,      -11.72019113,      -8.734311462,      -9.174469745,      -6.194397117
          0,           0,         239,      -11.75889675,       -8.77361613,      -9.214367129,      -6.233451785
          0,           0,         240,      -11.79769525,      -8.812571413,       -9.25301165,      -6.272424276
          0,           0,         241,      -11.83617258,      -8.851611571,      -9.291909569,      -6.310941036
          0,           0,         242,      -11.87558092,      -8.890769425,       -9.33129761,      -6.350676328
          0,           0,         243,      -11.91371192,      -8.929896849,      -9.371088656,        -6.3886295
          0,           0,         244,      -11.95307548,      -8.969027562,      -9.409610167,      -6.428301679
          0,           0,         245,      -11.99193559,      -9.008014208,      -9.448964485,      -6.467326881
          0,           0,         246,      -12.03026423,      -9.047145309,      -9.487642915,      -6.505610071
          0,           0,         247,       -12.0699235,      -9.087002724,      -9.528644229,      -6.546313954
          0,           0,         248,      -12.10784106,      -9.125338415,      -9.566089546,      -6.583670948
          0,           0,         249,      -12.14775585,      -9.164693489,      -9.605798667,      -6.624014147
          0,           0,         250,       -12.1857033,      -9.203889155,      -9.646359548,      -6.662265481
          0,           0,         251,      -12.22524001,      -9.243442349,       -9.68579167,      -6.702012556
          0,           0,         252,      -12.26418924,      -9.282631123,      -9.726292684,      -6.741633802
