VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.8709016556,       1.372114317,       1.637776143,       4.588726547
          0,           0,           1,     -0.8794041052,       1.441939119,       1.612005504,       4.583966419
          0,           0,           2,      -1.061940684,       1.329669632,       1.397649275,       4.405259549
          0,           0,           3,      -1.274369731,       1.203725323,       1.198057293,       4.196562333
          0,           0,           4,      -1.424227262,       1.086115105,       1.065747172,       4.046358946
          0,           0,           5,      -1.593610142,      0.9932219274,      0.9315843219,       3.878675231
          0,           0,           6,      -1.764816393,      0.9167812728,      0.7621781635,       3.712249767
          0,           0,           7,      -1.905595337,      0.8451417513,      0.6076259917,       3.575888581
          0,           0,           8,      -2.042260491,      0.7711672709,      0.4858326967,       3.446429204
          0,           0,           9,      -2.168552484,      0.7076182892,       0.371277052,       3.330143839
          0,           0,          10,      -2.288613589,      0.6510898738,      0.2531501021,       3.223631266
          0,           0,          11,      -2.402257112,      0.5969207002,      0.1411737357,       3.125676634
          0,           0,          12,      -2.506033946,       0.542152755,     0.04429377746,       3.036021553
          0,           0,          13,       -2.60130056,      0.4854245305,    -0.03906928981,       2.951379834
          0,           0,          14,      -2.688695009,      0.4271579506,     -0.1171915766,       2.870638935
          0,           0,          15,      -2.767508606,      0.3683553699,     -0.1955106891,       2.794845438
          0,           0,          16,      -2.838929865,      0.3098068668,     -0.2735100303,       2.724295265
          0,           0,          17,       -2.90403696,       0.252031745,     -0.3475934274,       2.658868416
          0,           0,          18,      -2.963153863,      0.1953124839,     -0.4150019568,       2.598185716
          0,           0,          19,      -3.017240233,      0.1397025779,      -0.475847363,       2.541135259
          0,           0,          20,       -3.06768324,     0.08512330323,     -0.5319098188,       2.486500013
          0,           0,          21,      -3.115783714,     0.03141743225,     -0.5849490494,        2.43336875
          0,           0,          22,      -3.162448384,    -0.02162003153,     -0.6360041311,       2.381243174
          0,           0,          23,         -3.208159,    -0.07419487326,     -0.6855244302,        2.32995918
          0,           0,          24,      -3.253091358,     -0.1264825802,     -0.7336798462,       2.279537506
          0,           0,          25,      -3.297280646,     -0.1786137053,     -0.7805327519,       2.230039276
          0,           0,          26,      -3.340725768,     -0.2306703464,     -0.8261023052,       2.181505218
          0,           0,          27,      -3.383462214,     -0.2826985436,      -0.870405463,       2.133922788
          0,           0,          28,      -3.425592496,     -0.3347223985,     -0.9135108786,       2.087216105
          0,           0,          29,      -3.467275319,     -0.3867547141,     -0.9555704254,       2.041257259
          0,           0,          30,      -3.508685732,     -0.4387993763,     -0.9968081593,       1.995898213
          0,           0,          31,      -3.549991689,     -0.4908575655,      -1.037477475,       1.950991982
          0,           0,          32,      -3.591337082,     -0.5429237354,      -1.077819655,       1.906408223
          0,           0,          33,      -3.632837579,     -0.5949867277,      -1.118043096,       1.862037393
          0,           0,          34,      -3.674589386,     -0.6470319075,      -1.158317137,        1.81778356
          0,           0,          35,      -3.716669162,      -0.699038942,      -1.198766669,       1.773563829
          0,           0,          36,      -3.759139054,     -0.7509844713,       -1.23947219,       1.729303301
          0,           0,          37,      -3.802028372,     -0.8028401864,       -1.28048016,       1.684952854
          0,           0,          38,      -3.845328668,     -0.8545725442,      -1.321808535,       1.640495314
          0,           0,          39,       -3.88900663,     -0.9061408469,      -1.363448571,       1.595936982
          0,           0,          40,      -3.933032137,     -0.9574832546,      -1.405489924,       1.551285178
          0,           0,          41,      -3.977285986,      -1.008554643,      -1.447790279,       1.506632505
