VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -0.556336474,       1.812504439,       1.879867376,       4.903291729
          0,           0,           1,     -0.5683697477,       1.756930309,       1.979750196,        4.90745585
          0,           0,           2,      -0.719012256,       1.608748322,       1.725768313,       4.752468715
          0,           0,           3,     -0.9852060434,       1.458530515,       1.446029194,       4.488279413
          0,           0,           4,      -1.191525632,       1.333385091,       1.318720313,       4.285856316
          0,           0,           5,      -1.337972007,       1.232707664,       1.226747473,       4.143608557
          0,           0,           6,      -1.346454059,       1.206141399,       1.223548283,       4.132996197
          0,           0,           7,      -1.276211683,       1.250423858,       1.314842885,       4.198667362
          0,           0,           8,      -1.165592574,       1.361113492,         1.4531752,       4.304918441
          0,           0,           9,      -1.003605627,       1.550427683,       1.636783626,       4.461386028
          0,           0,          10,     -0.4957011489,       1.967529813,       2.027849357,         4.9580758
          0,           0,          11,      -0.639693165,       1.801938002,       1.778662118,       4.824881096
          0,           0,          12,     -0.8426323522,       1.648946258,        1.60918937,       4.628555336
          0,           0,          13,      -1.025211335,       1.560895934,       1.444126098,       4.449548769
          0,           0,          14,      -1.113688198,       1.532757806,       1.372286666,       4.359355528
          0,           0,          15,      -1.182506273,       1.494678844,       1.329618201,       4.293061299
          0,           0,          16,       -1.19401971,       1.447479028,       1.317341717,       4.283309959
          0,           0,          17,       -1.18648646,        1.40663242,       1.317473197,       4.289284354
          0,           0,          18,      -1.201661134,       1.360171462,       1.306885815,       4.271152464
          0,           0,          19,      -1.238097601,       1.296809701,       1.280828878,       4.232511308
          0,           0,          20,       -1.28723151,         1.2213261,       1.242438242,       4.183147804
          0,           0,          21,      -1.337590352,       1.156577518,       1.211694845,       4.133825329
          0,           0,          22,      -1.364709443,       1.127857335,       1.215948613,       4.107594287
          0,           0,          23,      -1.342109716,       1.150203282,       1.266831171,        4.12987076
          0,           0,          24,       -1.26948382,       1.214013024,       1.351645627,        4.20199055
          0,           0,          25,      -1.174176071,       1.297014203,       1.446979754,        4.29740898
          0,           0,          26,      -1.080663516,       1.387201194,       1.536208171,       4.391495962
          0,           0,          27,     -0.9942737514,       1.487530926,       1.614338078,       4.478168915
          0,           0,          28,     -0.9053897177,       1.608261336,       1.686031355,       4.566148708
          0,           0,          29,     -0.7615778977,       1.787169774,       1.793152377,       4.707178431
          0,           0,          30,     -0.7491914156,       1.842253226,       1.762453765,       4.722457297
          0,           0,          31,     -0.6969924805,        1.89519975,        1.82153689,       4.773883028
          0,           0,          32,     -0.6929919095,       1.794676505,       1.737401183,       4.759248545
          0,           0,          33,      -0.853232017,       1.645670852,          1.574292,       4.608674382
          0,           0,          34,      -1.039689774,       1.546952862,       1.401880929,       4.427926678
          0,           0,          35,      -1.129334349,       1.470895373,       1.363333841,       4.343313959
          0,           0,          36,      -1.258784634,       1.348178245,       1.248304404,       4.211805396
          0,           0,          37,      -1.298098581,       1.352779114,        1.21897721,       4.164143377
          0,           0,          38,      -1.172635807,       1.354419382,       1.311664432,       4.284568084
          0,           0,          39,      -1.180888489,       1.381434597,       1.321587675,       4.279887453
          0,           0,          40,       -1.22942443,       1.401276353,       1.283466157,        4.23843762
          0,           0,          41,      -1.321266836,       1.417583034,       1.226113378,       4.152891331
          0,           0,          42,      -1.402698771,       1.414409605,        1.18667969,       4.070884638
          0,           0,          43,      -1.437378596,       1.377081998,        1.18328973,       4.030512584
          0,           0,          44,      -1.421874678,       1.326976458,       1.178033343,       4.042934283
          0,           0,          45,      -1.431659924,        1.27247735,       1.135916795,       4.034270684
          0,           0,          46,      -1.515665131,       1.200500841,       1.043804538,       3.953382009
          0,           0,          47,      -1.626195216,        1.14700501,      0.9379179607,       3.845440008
          0,           0,          48,      -1.483861137,       1.210091657,       1.080107448,       3.981588849
          0,           0,          49,      -1.294693553,       1.294641941,         1.2799504,        4.16832626
          0,           0,          50,      -1.155010387,       1.365798732,        1.44893337,       4.307314087
          0,           0,          51,      -1.043994256,       1.436142688,       1.591664942,       4.418173315
          0,           0,          52,     -0.9324066707,       1.545295411,       1.716916534,       4.530153127
          0,           0,          53,     -0.8095032998,       1.705246704,       1.838911422,       4.652791751
          0,           0,          54,     -0.3922455596,       2.041424179,        2.17218644,       5.073026785
          0,           0,          55,     -0.4683465442,        2.09489308,       2.091815337,       4.996465881
          0,           0,          56,     0.04647392026,       2.607576487,        2.44239165,       5.503392991
          0,           0,          57,     -0.1069736869,       2.483604061,         2.3484015,       5.335406857
          0,           0,          58,     -0.2521639051,        2.29665852,       2.273235002,       5.221624401
          0,           0,          59,     -0.3358421944,       2.139344488,       2.136185832,       5.127339102
          0,           0,          60,     -0.4755894471,       2.084026682,       1.995085794,       4.981803954
          0,           0,          61,     -0.6328459141,       1.987012971,       1.863086363,       4.829681665
          0,           0,          62,     -0.7583284786,       1.872865359,       1.701455686,       4.701888226
          0,           0,          63,     -0.9055185681,       1.755427038,       1.562202215,        4.55032919
          0,           0,          64,      -1.060821583,       1.658197435,       1.443361289,        4.39389678
          0,           0,          65,      -1.157050606,       1.586310354,       1.331466845,       4.300670138
          0,           0,          66,      -1.191377396,       1.531860804,       1.287567139,       4.275449926
          0,           0,          67,       -1.17123553,       1.506710285,       1.365481678,       4.300960959
          0,           0,          68,      -1.082669668,       1.548797668,       1.519966743,       4.385726726
          0,           0,          69,     -0.7575290375,       1.747276033,       1.831930593,       4.707334657
          0,           0,          70,     -0.5838539804,       1.877545827,       1.881278799,        4.88018823
          0,           0,          71,    -0.08451728048,       2.671207184,       2.335547976,       5.354825073
          0,           0,          72,    -0.09399262136,       2.472690042,        2.28434473,       5.364990228
          0,           0,          73,     -0.3745143132,       2.174040245,       2.082621877,       5.075442269
          0,           0,          74,     -0.5244907391,       2.272743913,       1.935541642,       4.915043028
          0,           0,          75,     -0.6496440302,       2.170203244,       1.817486551,       4.803739741
          0,           0,          76,     -0.7368666256,       1.948768644,        1.71650872,       4.727545409
          0,           0,          77,     -0.8405689976,       1.770177779,       1.647452101,       4.621217661
          0,           0,          78,     -0.9685292942,       1.615625923,        1.52522701,       4.494344002
          0,           0,          79,      -1.081510449,       1.544738156,       1.337404113,       4.384380394
          0,           0,          80,      -1.168747687,       1.497221684,       1.289119074,       4.303268784
          0,           0,          81,      -1.177789999,       1.456738318,       1.342547266,       4.294699857
          0,           0,          82,      -1.148683991,        1.43472216,       1.399400495,       4.320592306
          0,           0,          83,      -1.117097832,       1.440299375,       1.459331441,       4.349889986
          0,           0,          84,      -1.068206194,       1.494529504,       1.540581553,       4.396470489
          0,           0,          85,     -0.9323349054,       1.636817337,       1.698155836,       4.529008195
          0,           0,          86,     -0.8577356524,       1.706538198,       1.698372309,       4.608228278
