VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.9041502484,       1.329299476,       1.600439632,       4.555477955
          0,           0,           1,     -0.8972931833,       1.402930232,       1.610652401,          4.572181
          0,           0,           2,      -1.088595634,       1.214404705,       1.312587606,       4.372531481
          0,           0,           3,      -1.351774988,      0.9780212477,         1.0463924,       4.110062899
          0,           0,           4,      -1.607245221,      0.8617294342,      0.8602291775,       3.862326266
          0,           0,           5,      -1.796008551,      0.7636806487,      0.6561498876,       3.679601937
          0,           0,           6,      -1.944939047,      0.6687182573,      0.5002273454,       3.537767441
          0,           0,           7,      -2.113056376,      0.5914999053,      0.3721428396,       3.388641847
          0,           0,           8,      -2.276788458,      0.5322144124,       0.246234354,        3.25295581
          0,           0,           9,      -2.426852247,      0.4773299769,      0.1271855845,        3.12894201
          0,           0,          10,      -2.563207414,      0.4211224225,     0.02087460583,       3.012235003
          0,           0,          11,      -2.682033259,      0.3609209653,    -0.07668176623,       2.906224353
          0,           0,          12,       -2.78175289,      0.2950109745,     -0.1676025276,        2.81182697
          0,           0,          13,      -2.863023125,      0.2240648894,     -0.2491092886,       2.727728247
          0,           0,          14,      -2.935232006,       0.150135146,     -0.3232604977,       2.648980052
          0,           0,          15,      -3.007584191,     0.07545291898,     -0.3974160838,       2.570756343
          0,           0,          16,      -3.081868621,    0.001927117861,     -0.4769550769,       2.491734018
          0,           0,          17,      -3.156537443,    -0.06898024728,      -0.562521672,       2.412834168
          0,           0,          18,      -3.230662078,     -0.1363293621,     -0.6515639602,       2.335352546
          0,           0,          19,      -3.303455919,     -0.1997539627,     -0.7402112879,        2.26064462
          0,           0,          20,      -3.373071688,      -0.259393682,      -0.824614198,       2.190177541
          0,           0,          21,      -3.437203621,     -0.3157120069,     -0.9018667423,       2.125063795
          0,           0,          22,      -3.494183536,     -0.3692882569,     -0.9704620797,       2.065770732
          0,           0,          23,       -3.54385786,     -0.4206631576,       -1.03001069,       2.011991147
          0,           0,          24,       -3.58745667,     -0.4702872706,      -1.081035681,       1.962839816
          0,           0,          25,      -3.627014678,      -0.518540412,      -1.124882987,       1.917077322
          0,           0,          26,      -3.664585379,     -0.5657441607,      -1.163344021,       1.873475678
          0,           0,          27,      -3.701674698,     -0.6121271874,      -1.198272434,       1.831104579
          0,           0,          28,      -3.739056843,     -0.6578448358,      -1.231303296,       1.789420845
          0,           0,          29,      -3.776938166,     -0.7029932539,      -1.263655457,       1.748181636
          0,           0,          30,       -3.81524429,     -0.7476253581,      -1.296076358,       1.707283914
          0,           0,          31,      -3.853757862,     -0.7917748728,       -1.32901412,       1.666712498
          0,           0,          32,      -3.892282901,     -0.8354636514,       -1.36263241,       1.626457006
          0,           0,          33,      -3.930703579,     -0.8787033313,      -1.396896384,       1.586484859
          0,           0,          34,      -3.968973388,     -0.9215027569,       -1.43168983,       1.546750763
          0,           0,          35,      -4.007093797,     -0.9638751031,      -1.466874525,       1.507217275
          0,           0,          36,      -4.045080001,       -1.00583451,      -1.502327684,        1.46786845
          0,           0,          37,      -4.082938579,      -1.047395461,      -1.537989813,       1.428704132
          0,           0,          38,      -4.120685102,      -1.088579723,      -1.573788802,       1.389730449
          0,           0,          39,      -4.158334434,      -1.129408187,      -1.609660777,       1.350957833
          0,           0,          40,      -4.195879812,      -1.169898431,      -1.645565672,       1.312394588
          0,           0,          41,      -4.233322587,      -1.210076428,      -1.681542833,       1.274032571
          0,           0,          42,      -4.270664227,      -1.249962842,      -1.717607473,       1.235867798
          0,           0,          43,      -4.307889191,      -1.289572352,      -1.753755553,        1.19789822
          0,           0,          44,      -4.344993767,      -1.328920847,      -1.789989619,       1.160125462
          0,           0,          45,      -4.381980645,      -1.368025082,      -1.826303931,       1.122543408
