VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.019530555,       1.159137147,       1.504157581,       4.440097648
          0,           0,           1,      -1.024206015,       1.271977129,       1.527226877,       4.442523589
          0,           0,           2,      -1.280341728,        1.04101844,       1.243653116,       4.183261062
          0,           0,           3,      -1.493609361,      0.9077672797,      0.9630595354,       3.969818465
          0,           0,           4,      -1.709114921,      0.7310102805,      0.7452973088,       3.753454969
          0,           0,           5,      -1.906714547,       0.612676046,      0.5690265291,       3.556656977
          0,           0,           6,      -2.082644298,       0.528751724,      0.4069538216,       3.383455681
          0,           0,           7,      -2.229365901,      0.4458852275,      0.2588524541,        3.24133167
          0,           0,           8,      -2.387256163,      0.3692268164,      0.1184492293,       3.095944248
          0,           0,           9,        -2.5407514,      0.3127551182,    -0.01679222845,       2.964538813
          0,           0,          10,      -2.668849584,      0.2660292577,     -0.1471992248,       2.862946758
          0,           0,          11,      -2.772464436,      0.2172821714,     -0.2543200035,       2.781401686
          0,           0,          12,       -2.86613441,      0.1630497927,     -0.3327232437,       2.702253809
          0,           0,          13,      -2.961150186,      0.1038736155,     -0.4024390726,       2.616654064
          0,           0,          14,      -3.060749537,     0.04180122785,     -0.4768069125,       2.525013507
          0,           0,          15,       -3.15749556,    -0.02057782424,     -0.5553692805,       2.434477942
          0,           0,          16,      -3.241799331,    -0.08117468542,     -0.6330067144,       2.352181289
          0,           0,          17,      -3.311503049,     -0.1388162242,     -0.7064878067,        2.28014753
          0,           0,          18,      -3.370105586,     -0.1929932331,     -0.7753859136,        2.21695887
          0,           0,          19,      -3.420000051,     -0.2436527353,     -0.8401484992,       2.161545119
          0,           0,          20,       -3.46265085,     -0.2911124831,     -0.9007272948,       2.112904543
          0,           0,          21,      -3.500494223,     -0.3360889336,     -0.9568551358,       2.068926296
          0,           0,          22,      -3.536136102,     -0.3794796969,      -1.008603947,       2.027220031
          0,           0,          23,      -3.571346392,     -0.4221409665,      -1.056573119,        1.98613803
          0,           0,          24,      -3.606992606,     -0.4646882324,       -1.10168989,       1.944964773
          0,           0,          25,      -3.643317673,     -0.5074402605,      -1.144923775,       1.903617239
