VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.8418595133,       1.390328636,       1.665007775,        4.61776869
          0,           0,           1,     -0.8181960387,        1.47003005,       1.720007523,       4.655007327
          0,           0,           2,      -1.055835866,       1.280564242,       1.416482844,       4.412406513
          0,           0,           3,      -1.295484921,       1.110694361,       1.165912934,       4.170507791
          0,           0,           4,       -1.47243801,      0.9602002275,      0.9664430131,       3.991674371
          0,           0,           5,      -1.656972737,      0.8480172461,      0.8125616833,       3.808693658
          0,           0,           6,      -1.847056626,      0.7488929776,      0.6740711669,       3.622289484
          0,           0,           7,      -2.014969823,      0.6737768168,       0.512043567,       3.465854514
          0,           0,           8,      -2.174123603,      0.6170015646,      0.3597866538,       3.332795896
          0,           0,           9,      -2.310970855,      0.5694607659,      0.2389669287,       3.224227185
          0,           0,          10,      -2.434005832,       0.517720045,      0.1446008612,       3.123750546
          0,           0,          11,        -2.5521036,      0.4568764031,     0.06289621868,        3.02365862
          0,           0,          12,      -2.662271306,      0.3890542795,    -0.01889170891,       2.925218052
          0,           0,          13,      -2.762756279,       0.317423265,     -0.1075011314,       2.829895495
          0,           0,          14,      -2.851830553,      0.2442215212,     -0.2015043034,       2.740298368
          0,           0,          15,      -2.927795732,      0.1713131367,     -0.2949877912,       2.658168459
          0,           0,          16,      -2.994447373,      0.1003822598,     -0.3845758423,       2.581361198
          0,           0,          17,      -3.056838819,     0.03279952158,     -0.4702595847,       2.507347219
          0,           0,          18,        -3.1170247,    -0.03047563908,     -0.5518720005,       2.435994943
          0,           0,          19,      -3.174795427,    -0.08900049492,     -0.6282301154,       2.368557471
          0,           0,          20,      -3.228902084,     -0.1429849749,     -0.6984606837,       2.306354605
          0,           0,          21,       -3.27843513,      -0.193196002,     -0.7625505376,       2.249968442
          0,           0,          22,      -3.323777672,     -0.2406807236,     -0.8208928718,       2.198924258
          0,           0,          23,      -3.366305357,     -0.2864712475,     -0.8740317114,       2.151984587
          0,           0,          24,      -3.407306774,      -0.331346481,     -0.9229254166,       2.107871158
          0,           0,          25,      -3.447804158,     -0.3757881099,     -0.9685971594,       2.065376841
          0,           0,          26,      -3.488579728,     -0.4200547304,      -1.012082128,       2.023433909
          0,           0,          27,      -3.529928152,     -0.4642684451,      -1.054137241,       1.981439941
          0,           0,          28,      -3.571769059,     -0.5084751142,      -1.095174443,       1.939214557
          0,           0,          29,      -3.613766203,     -0.5526739906,      -1.135442045,       1.896849873
          0,           0,          30,      -3.655552492,     -0.5968396494,      -1.175042264,       1.854507428
          0,           0,          31,      -3.696911437,      -0.640933843,      -1.214085478,       1.812321377
          0,           0,          32,       -3.73776358,     -0.6849125907,      -1.252688565,       1.770393473
          0,           0,          33,      -3.778160168,     -0.7287406121,      -1.290986868,        1.72875033
          0,           0,          34,      -3.818236336,      -0.772400406,      -1.329130508,         1.6873662
          0,           0,          35,      -3.858143678,     -0.8158856139,      -1.367254219,       1.646199678
          0,           0,          36,      -3.898009644,     -0.8591987072,      -1.405450952,       1.605205674
          0,           0,          37,       -3.93794496,     -0.9023524705,      -1.443770207,       1.564320927
          0,           0,          38,      -3.978035492,     -0.9453673796,       -1.48224327,       1.523477909
          0,           0,          39,      -4.018329055,     -0.9882644633,      -1.520897833,       1.482624965
          0,           0,          40,       -4.05883756,      -1.031058496,      -1.559757319,       1.441733374
          0,           0,          41,      -4.099553578,      -1.073758986,      -1.598835896,       1.400789054
          0,           0,          42,      -4.140462753,      -1.116370002,      -1.638137138,       1.359785243
          0,           0,          43,      -4.181543647,      -1.158887701,      -1.677652339,       1.318723964
          0,           0,          44,      -4.222771807,       -1.20130324,      -1.717358273,       1.277612179
          0,           0,          45,       -4.26412057,       -1.24360623,      -1.757230859,       1.236459503
          0,           0,          46,      -4.305560657,      -1.285785797,      -1.797228655,       1.195280352
          0,           0,          47,       -4.34706289,      -1.327833522,      -1.837317884,       1.154089778
          0,           0,          48,      -4.388661216,      -1.369755325,      -1.877420887,       1.112845921
          0,           0,          49,      -4.430260883,      -1.411547935,      -1.917621228,       1.071628378
          0,           0,          50,      -4.471764792,      -1.453179407,      -1.957850284,       1.030519599
          0,           0,          51,      -4.513206513,      -1.494653152,      -1.998037747,      0.9894848843
          0,           0,          52,      -4.554608702,      -1.535982111,      -2.038159654,      0.9485014471
          0,           0,          53,       -4.59593738,      -1.577171474,      -2.078213533,      0.9075964391
          0,           0,          54,      -4.637148057,      -1.618223646,      -2.118191552,      0.8668063752
          0,           0,          55,      -4.678213622,      -1.659143654,      -2.158076815,      0.8261534935
          0,           0,          56,       -4.71912424,      -1.699939835,      -2.197849363,      0.7856455384
          0,           0,          57,      -4.759880156,       -1.74062223,      -2.237492212,       0.745281111
          0,           0,          58,       -4.80048126,      -1.781201108,      -2.276993581,       0.705058775
          0,           0,          59,      -4.840922824,       -1.82168516,      -2.316345904,      0.6649813265
          0,           0,          60,      -4.881197449,       -1.86208234,      -2.355543803,      0.6250540473
          0,           0,          61,       -4.92129717,      -1.902399759,      -2.394582609,      0.5852829867
          0,           0,          62,       -4.96121527,       -1.94264389,      -2.433458012,      0.5456733279
          0,           0,          63,      -5.000946832,      -1.982820623,      -2.472166697,      0.5062288822
          0,           0,          64,      -5.040488666,      -2.022935109,        -2.5107064,      0.4669521265
          0,           0,          65,      -5.079839265,      -2.062992099,      -2.549075564,      0.4278442259
          0,           0,          66,      -5.118998618,      -2.102995734,      -2.587274075,      0.3889052225
          0,           0,          67,      -5.157968105,      -2.142949453,      -2.625304191,      0.3501341008
          0,           0,          68,      -5.196749928,      -2.182855469,      -2.663169572,      0.3115294386
