VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.8718760221,       1.373461619,       1.633593775,       4.587752181
          0,           0,           1,     -0.8577285345,       1.462975914,       1.678544323,       4.608684292
          0,           0,           2,      -1.082136873,       1.304591009,       1.440923237,       4.383861729
          0,           0,           3,      -1.249392227,       1.179182256,       1.212312797,       4.220294233
          0,           0,           4,      -1.417080971,        1.05920462,       1.049252388,       4.057796568
          0,           0,           5,      -1.602402786,      0.9678079059,      0.8534540274,       3.878681962
          0,           0,           6,      -1.797197842,      0.8884471542,      0.6900810834,       3.691025965
          0,           0,           7,      -1.979092866,      0.8099856783,       0.545947538,        3.51519758
          0,           0,           8,      -2.137252552,      0.7380780189,      0.4056738171,        3.36420837
          0,           0,           9,      -2.281088229,      0.6812217127,      0.2742407131,       3.233312319
          0,           0,          10,      -2.414260904,      0.6342753989,      0.1488423125,       3.121647278
          0,           0,          11,      -2.524987214,      0.5891496667,     0.03563117362,       3.036081659
          0,           0,          12,      -2.612592396,      0.5407902264,    -0.05567241056,       2.967843348
          0,           0,          13,      -2.686971434,      0.4883811606,       -0.13118277,       2.903529332
          0,           0,          14,      -2.754371523,      0.4336242429,     -0.2012037102,       2.838876381
          0,           0,          15,      -2.817762177,      0.3783821227,     -0.2689177179,       2.774959885
          0,           0,          16,       -2.87830379,      0.3236792946,     -0.3334310163,        2.71326961
          0,           0,          17,      -2.935260323,      0.2697663131,     -0.3944785847,       2.654482434
          0,           0,          18,      -2.988094801,      0.2165366234,     -0.4535226307,       2.598208142
          0,           0,          19,      -3.037930757,      0.1638395734,     -0.5123082338,       2.543302691
          0,           0,          20,      -3.086649026,      0.1115821601,      -0.571617864,        2.48869507
          0,           0,          21,      -3.135265196,     0.05975136643,     -0.6311401223,       2.434147895
          0,           0,          22,       -3.18350585,    0.008364633307,     -0.6900267055,       2.380237012
          0,           0,          23,      -3.230546433,    -0.04261315086,     -0.7474258078,       2.327745875
          0,           0,          24,      -3.275849451,    -0.09329860322,     -0.8027113978,       2.277104762
          0,           0,          25,       -3.31948897,     -0.1438579619,     -0.8555558052,       2.228216877
          0,           0,          26,      -3.361958572,     -0.1944731654,     -0.9059201391,       2.180615275
          0,           0,          27,      -3.403858146,     -0.2453048042,     -0.9539994893,       2.133742473
          0,           0,          28,      -3.445689449,     -0.2964691219,      -1.000204723,       2.087133306
          0,           0,          29,      -3.487823149,     -0.3480344214,      -1.045069041,       2.040451101
          0,           0,          30,      -3.530456762,     -0.4000272913,      -1.089179353,       1.993511353
          0,           0,          31,      -3.573648094,     -0.4524333769,      -1.132982135,       1.946254517
          0,           0,          32,      -3.617400777,     -0.5052150369,       -1.17680604,       1.898678101
          0,           0,          33,      -3.661685606,     -0.5583163775,      -1.220877681,       1.850816862
          0,           0,          34,      -3.706429875,     -0.6116644015,       -1.26529708,       1.802743213
          0,           0,          35,      -3.751523609,     -0.6651765933,      -1.310042056,       1.754560333
          0,           0,          36,      -3.796858874,     -0.7187702224,      -1.355019907,       1.706371249
          0,           0,          37,      -3.842355928,     -0.7723658395,      -1.400130403,       1.658254252
          0,           0,          38,      -3.887970567,     -0.8258901648,      -1.445271336,       1.610254705
          0,           0,          39,      -3.933671334,     -0.8792743533,      -1.490413292,       1.562411053
          0,           0,          40,      -3.979418367,     -0.9324493338,      -1.535517878,       1.514756297
          0,           0,          41,      -4.025182125,     -0.9853489165,      -1.580538827,       1.467312859
          0,           0,          42,      -4.070933284,      -1.037908441,      -1.625427421,       1.420105079
          0,           0,          43,      -4.116634466,      -1.090065023,      -1.670133743,        1.37316294
          0,           0,          44,      -4.162246951,      -1.141760057,      -1.714617684,       1.326514196
          0,           0,          45,      -4.207732025,      -1.192940663,      -1.758849671,       1.280184198
          0,           0,          46,      -4.253055867,      -1.243561288,      -1.802810652,       1.234193075
