VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -0.683925699,       1.555254659,       1.823325877,       4.775702504
          0,           0,           1,     -0.7071876978,       1.607380859,       1.819092255,        4.76457285
          0,           0,           2,     -0.8828113597,       1.422837154,       1.606583876,       4.585154592
          0,           0,           3,       -1.12704723,       1.283119138,       1.323404884,       4.343363502
          0,           0,           4,      -1.330071516,       1.150032038,       1.161134083,       4.145040082
          0,           0,           5,       -1.51423402,       1.044497801,      0.9971707612,       3.966055669
          0,           0,           6,      -1.699470649,      0.9725695122,      0.8283273666,       3.787356085
          0,           0,           7,      -1.869890209,      0.9048325353,       0.683606759,       3.626161935
          0,           0,           8,      -2.028466169,      0.8432061273,      0.5490276789,       3.490807525
          0,           0,           9,      -2.161952063,      0.7921178839,      0.4226812211,       3.390031914
          0,           0,          10,      -2.278838924,      0.7430879637,       0.309830614,       3.303152031
          0,           0,          11,        -2.3870609,      0.6917175335,      0.2107169731,       3.217835307
          0,           0,          12,      -2.485713163,      0.6367905532,      0.1200105092,       3.133739082
          0,           0,          13,      -2.573055058,      0.5784542872,      0.0372996899,       3.052720963
          0,           0,          14,      -2.650751393,      0.5179040475,    -0.03846911349,       2.975209567
          0,           0,          15,      -2.721774133,      0.4566947144,     -0.1122467876,       2.900976304
          0,           0,          16,      -2.787324234,      0.3962968286,     -0.1872500124,       2.830134953
          0,           0,          17,      -2.847045477,      0.3377062833,     -0.2626086484,       2.763289517
          0,           0,          18,      -2.902567048,      0.2814158739,     -0.3357341455,       2.700131139
          0,           0,          19,      -2.956194842,      0.2274644946,     -0.4045951817,       2.639896418
          0,           0,          20,       -3.00865237,      0.1756666137,     -0.4684901145,       2.582300605
          0,           0,          21,      -3.058963512,      0.1257224286,     -0.5275199757,       2.527673621
          0,           0,          22,      -3.105872309,     0.07725800447,     -0.5818410518,       2.476388168
          0,           0,          23,      -3.149008667,     0.02985064263,     -0.6316112428,       2.428346013
          0,           0,          24,      -3.189024653,    -0.01692374726,      -0.677314505,       2.382933135
          0,           0,          25,      -3.227069035,    -0.06345424603,     -0.7198759589,       2.339278418
          0,           0,          26,      -3.264391537,     -0.1100367415,     -0.7602731467,       2.296479338
          0,           0,          27,      -3.301734202,     -0.1568894785,     -0.7994773977,       2.253943728
          0,           0,          28,      -3.339517241,     -0.2041650065,     -0.8383193888,        2.21127844
          0,           0,          29,      -3.377935043,     -0.2519638163,     -0.8773510135,       2.168280929
          0,           0,          30,      -3.417100725,     -0.3003487564,     -0.9168971493,       2.124847168
          0,           0,          31,      -3.457081942,     -0.3493504415,     -0.9571676639,       2.080916365
          0,           0,          32,      -3.497913209,     -0.3989757134,     -0.9983006129,       2.036448573
          0,           0,          33,      -3.539605638,     -0.4492033154,      -1.040315376,       1.991433763
          0,           0,          34,      -3.582087089,     -0.5000054915,      -1.083244317,       1.945898061
          0,           0,          35,      -3.625327149,     -0.5513323523,      -1.127077524,       1.899863698
          0,           0,          36,      -3.669306734,      -0.603121685,      -1.171644258,       1.853347174
          0,           0,          37,      -3.714053001,     -0.6553159932,      -1.216802554,       1.806325917
          0,           0,          38,      -3.759522188,     -0.7078444588,       -1.26246099,       1.758829572
          0,           0,          39,      -3.805589762,     -0.7606214271,      -1.308529514,       1.710951306
          0,           0,          40,      -3.852105911,     -0.8135565602,      -1.354889586,       1.662810049
          0,           0,          41,      -3.898936133,     -0.8665621785,      -1.401413329,       1.614518136
          0,           0,          42,      -3.945970912,     -0.9195548036,      -1.447982438,       1.566170503
          0,           0,          43,      -3.993123914,     -0.9724552202,      -1.494500775,        1.51784424
          0,           0,          44,       -4.04032558,       -1.02518734,      -1.540892496,       1.469603885
          0,           0,          45,      -4.087536447,      -1.077682857,      -1.587102888,       1.421490519
          0,           0,          46,      -4.134741774,      -1.129881472,      -1.633112788,       1.373524319
          0,           0,          47,      -4.181863539,      -1.181714383,      -1.678912584,       1.325780535
          0,           0,          48,      -4.228853307,      -1.233119139,       -1.72448532,       1.278307039
          0,           0,          49,      -4.275702669,      -1.284047345,      -1.769812974,       1.231114304
          0,           0,          50,      -4.322405362,       -1.33445724,      -1.814887674,       1.184209019
          0,           0,          51,      -4.368943118,      -1.384309677,       -1.85970404,        1.13760667
          0,           0,          52,      -4.415299298,      -1.433573101,      -1.904256269,       1.091319682
          0,           0,          53,      -4.461456308,      -1.482223322,      -1.948540631,       1.045358558
          0,           0,          54,      -4.507392518,      -1.530243065,      -1.992550416,       0.999735206
          0,           0,          55,      -4.553090211,      -1.577623956,      -2.036278245,      0.9544556069
          0,           0,          56,       -4.59853477,      -1.624367628,      -2.079722255,      0.9095218365
          0,           0,          57,      -4.643716716,       -1.67048425,      -2.122883205,       0.864930759
          0,           0,          58,      -4.688631224,      -1.715991814,      -2.165761831,      0.8206744512
          0,           0,          59,      -4.733276588,      -1.760915027,      -2.208371649,      0.7767420612
          0,           0,          60,      -4.777655184,      -1.805284513,       -2.25072417,      0.7331194443
          0,           0,          61,      -4.821770406,      -1.849134383,      -2.292832464,      0.6897921558
          0,           0,          62,      -4.865628702,      -1.892501264,      -2.334709962,       0.646743782
          0,           0,          63,      -4.909238267,      -1.935422832,      -2.376369588,      0.6039574122
          0,           0,          64,      -4.952608782,      -1.977936827,      -2.417823423,      0.5614158376
          0,           0,          65,       -4.99575114,      -2.020080452,      -2.459083279,      0.5191017759
          0,           0,          66,      -5.038676509,      -2.061889521,      -2.500160362,      0.4769986688
          0,           0,          67,      -5.081396578,      -2.103398073,      -2.541065075,      0.4350904211
          0,           0,          68,      -5.123923466,       -2.14463811,      -2.581807167,      0.3933614087
          0,           0,          69,      -5.166269074,      -2.185639265,       -2.62239631,      0.3517970447
          0,           0,          70,      -5.208444306,      -2.226428261,      -2.662841174,      0.3103843051
          0,           0,          71,      -5.250460391,      -2.267029607,      -2.703149681,      0.2691104586
          0,           0,          72,      -5.292328052,      -2.307465426,      -2.743329377,      0.2279637582
          0,           0,          73,      -5.334057429,      -2.347755438,       -2.78338669,      0.1869334627
          0,           0,          74,      -5.375657037,      -2.387917108,      -2.823330588,      0.1460106692
          0,           0,          75,      -5.417134539,      -2.427965518,      -2.863167906,      0.1051875893
          0,           0,          76,      -5.458497501,      -2.467914233,      -2.902905044,     0.06445682508
          0,           0,          77,      -5.499752764,      -2.507775266,      -2.942548207,     0.02381188513
          0,           0,          78,      -5.540906778,      -2.547559331,      -2.982103599,    -0.01675314221
          0,           0,          79,      -5.581965743,      -2.587276613,      -3.021576954,    -0.05724374854
          0,           0,          80,      -5.622935741,      -2.626935587,      -3.060975026,    -0.09766522464
          0,           0,          81,      -5.663822762,      -2.666543827,      -3.100304704,     -0.1380226134
          0,           0,          82,       -5.70463272,      -2.706108433,      -3.139572591,     -0.1783207822
          0,           0,          83,      -5.745371245,      -2.745635807,      -3.178785138,     -0.2185643067
          0,           0,          84,      -5.786044028,      -2.785131794,      -3.217948676,     -0.2587577319
          0,           0,          85,      -5.826656424,      -2.824601652,      -3.257069357,     -0.2989052913
          0,           0,          86,      -5.867213224,      -2.864050124,      -3.296152973,     -0.3390107683
          0,           0,          87,      -5.907718953,      -2.903481578,      -3.335205057,     -0.3790777251
          0,           0,          88,      -5.948178019,      -2.942900073,       -3.37423096,     -0.4191096289
          0,           0,          89,      -5.988594393,      -2.982309905,      -3.413235769,     -0.4591095299
          0,           0,          90,      -6.028971186,      -3.021716173,       -3.45222422,     -0.4990796741
          0,           0,          91,      -6.069313989,      -3.061120409,      -3.491201704,     -0.5390250064
          0,           0,          92,      -6.109626968,      -3.100525875,      -3.530172964,     -0.5789488632
          0,           0,          93,      -6.149914098,      -3.139935695,      -3.569142596,     -0.6188544748
          0,           0,          94,      -6.190179277,       -3.17935295,       -3.60811456,      -0.658745042
          0,           0,          95,      -6.230426611,      -3.218780476,      -3.647093764,     -0.6986239819
          0,           0,          96,      -6.270659293,      -3.258220881,      -3.686084475,     -0.7384939876
          0,           0,          97,      -6.310880136,      -3.297676602,      -3.725090488,     -0.7783574628
          0,           0,          98,      -6.351091923,      -3.337149912,      -3.764115266,     -0.8182168017
          0,           0,          99,      -6.391297454,      -3.376642948,      -3.803162008,     -0.8580744277
          0,           0,         100,      -6.431499404,      -3.416157742,      -3.842233692,     -0.8979326968
          0,           0,         101,      -6.471700297,      -3.455696215,      -3.881333083,     -0.9377938633
          0,           0,         102,      -6.511902543,      -3.495260191,      -3.920462767,     -0.9776601058
          0,           0,         103,      -6.552108438,      -3.534851379,      -3.959625174,      -1.017533523
          0,           0,         104,      -6.592320168,      -3.574471373,      -3.998822575,       -1.05741614
          0,           0,         105,      -6.632539797,      -3.614121644,      -4.038057091,      -1.097309893
          0,           0,         106,      -6.672769256,       -3.65380355,      -4.077330684,      -1.137216618
          0,           0,         107,      -6.713010317,      -3.693518331,      -4.116645166,      -1.177138029
          0,           0,         108,      -6.753264623,      -3.733267121,      -4.156002196,      -1.217075735
          0,           0,         109,      -6.793533718,      -3.773050954,      -4.195403285,      -1.257031272
          0,           0,         110,      -6.833819078,      -3.812870776,      -4.234849808,      -1.297006118
          0,           0,         111,      -6.874122098,       -3.85272745,      -4.274343028,      -1.337001679
          0,           0,         112,      -6.914444106,      -3.892621749,      -4.313884094,      -1.377019309
          0,           0,         113,      -6.954786327,      -3.932554365,      -4.353474047,      -1.417060261
          0,           0,         114,      -6.995149921,      -3.972525907,      -4.393113828,      -1.457125736
          0,           0,         115,       -7.03553596,      -4.012536902,      -4.432804279,      -1.497216844
          0,           0,         116,      -7.075945404,      -4.052587809,       -4.47254615,      -1.537334634
          0,           0,         117,      -7.116379231,      -4.092679001,      -4.512340089,      -1.577480083
          0,           0,         118,      -7.156838283,      -4.132810777,      -4.552186644,      -1.617654099
          0,           0,         119,      -7.197323295,      -4.172983367,      -4.592086271,      -1.657857493
          0,           0,         120,      -7.237834955,      -4.213196927,      -4.632039335,      -1.698091004
          0,           0,         121,      -7.278373904,      -4.253451558,      -4.672046117,      -1.738355324
          0,           0,         122,      -7.318940717,      -4.293747299,      -4.712106819,      -1.778651085
          0,           0,         123,      -7.359535892,      -4.334084127,      -4.752221558,      -1.818978844
          0,           0,         124,      -7.400159869,      -4.374461961,      -4.792390378,      -1.859339101
          0,           0,         125,      -7.440812998,      -4.414880676,      -4.832613264,       -1.89973227
          0,           0,         126,      -7.481495593,      -4.455340084,       -4.87289012,       -1.94015872
          0,           0,         127,       -7.52220787,      -4.495839969,      -4.913220818,      -1.980618735
          0,           0,         128,      -7.562950029,      -4.536380072,       -4.95360514,      -2.021112588
          0,           0,         129,      -7.603722193,      -4.576960093,       -4.99404284,      -2.061640447
          0,           0,         130,      -7.644524444,      -4.617579702,      -5.034533618,      -2.102202462
          0,           0,         131,      -7.685356832,      -4.658238549,      -5.075077105,      -2.142798756
          0,           0,         132,      -7.726219328,      -4.698936253,      -5.115672942,      -2.183429357
          0,           0,         133,      -7.767111882,      -4.739672411,      -5.156320695,      -2.224094288
          0,           0,         134,      -7.808034432,      -4.780446598,      -5.197019878,       -2.26479353
          0,           0,         135,       -7.84898684,      -4.821258374,      -5.237770025,      -2.305527018
          0,           0,         136,      -7.889969001,      -4.862107312,      -5.278570628,      -2.346294702
          0,           0,         137,      -7.930980663,      -4.902992942,      -5.319421143,      -2.387096394
          0,           0,         138,      -7.972021737,      -4.943914802,      -5.360320963,      -2.427932036
          0,           0,         139,      -8.013091921,      -4.984872435,      -5.401269568,      -2.468801397
          0,           0,         140,      -8.054191056,      -5.025865365,      -5.442266329,      -2.509704356
          0,           0,         141,      -8.095318841,      -5.066893132,      -5.483310656,      -2.550640648
          0,           0,         142,      -8.136475108,      -5.107955259,      -5.524401867,      -2.591610119
          0,           0,         143,      -8.177659473,      -5.149051305,      -5.565539419,      -2.632612478
          0,           0,         144,       -8.21887176,      -5.190180806,      -5.606722633,      -2.673647533
          0,           0,         145,      -8.260111676,      -5.231343313,      -5.647950881,      -2.714715019
          0,           0,         146,      -8.301378994,      -5.272538408,      -5.689223542,       -2.75581473
          0,           0,         147,      -8.342673451,      -5.313765642,      -5.730539949,      -2.796946367
          0,           0,         148,      -8.383994673,      -5.355024643,      -5.771899458,      -2.838109655
          0,           0,         149,      -8.425342547,      -5.396314966,      -5.813301447,      -2.879304357
          0,           0,         150,      -8.466716664,      -5.437636233,      -5.854745337,      -2.920530175
          0,           0,         151,      -8.508116973,      -5.478988073,      -5.896230433,       -2.96178694
          0,           0,         152,      -8.549543109,      -5.520370126,       -5.93775616,      -3.003074391
          0,           0,         153,      -8.590994857,      -5.561782036,      -5.979321893,      -3.044392133
          0,           0,         154,      -8.632472111,      -5.603223527,      -6.020927126,      -3.085740147
          0,           0,         155,      -8.673974551,      -5.644694281,       -6.06257115,      -3.127118085
          0,           0,         156,      -8.715502217,      -5.686193927,        -6.1042536,      -3.168525743
          0,           0,         157,       -8.75705461,      -5.727722278,      -6.145973677,      -3.209962837
          0,           0,         158,      -8.798631948,      -5.769278994,      -6.187730996,      -3.251429396
          0,           0,         159,      -8.840233721,      -5.810863894,      -6.229525115,      -3.292924919
          0,           0,         160,      -8.881860147,      -5.852476743,      -6.271355454,      -3.334449459
          0,           0,         161,      -8.923510847,      -5.894117243,      -6.313221425,      -3.376002661
          0,           0,         162,      -8.965185808,      -5.935785323,      -6.355122676,      -3.417584496
          0,           0,         163,      -9.006885152,      -5.977480758,      -6.397058826,      -3.459194788
          0,           0,         164,       -9.04860876,      -6.019203313,      -6.439029221,       -3.50083338
          0,           0,         165,      -9.090356546,      -6.060952967,      -6.481033826,      -3.542500289
          0,           0,         166,      -9.132128309,      -6.102729486,      -6.523071765,      -3.584195307
          0,           0,         167,      -9.173924346,      -6.144532799,      -6.565143048,       -3.62591827
          0,           0,         168,      -9.215744672,       -6.18636283,      -6.607246923,      -3.667669324
          0,           0,         169,      -9.257589237,      -6.228219363,      -6.649384133,      -3.709448221
          0,           0,         170,      -9.299457813,      -6.270102451,      -6.691552785,      -3.751255007
          0,           0,         171,      -9.341350815,       -6.31201202,      -6.733753699,      -3.793089594
          0,           0,         172,      -9.383267943,      -6.353948009,      -6.775986319,      -3.834951768
          0,           0,         173,      -9.425210163,      -6.395910237,      -6.818249497,      -3.876841955
          0,           0,         174,      -9.467176441,      -6.437898634,      -6.860544445,       -3.91875967
          0,           0,         175,      -9.509167036,      -6.479913407,      -6.902870745,       -3.96070487
          0,           0,         176,      -9.551182909,      -6.521954425,      -6.945226988,      -4.002678441
          0,           0,         177,      -9.593222249,      -6.564021631,       -6.98761383,      -4.044678396
          0,           0,         178,      -9.635288854,      -6.606115195,      -7.030031033,      -4.086708369
          0,           0,         179,       -9.67737874,      -6.648235052,      -7.072478334,      -4.128764419
          0,           0,         180,      -9.719495542,      -6.690381274,      -7.114954998,      -4.170849631
          0,           0,         181,      -9.761637198,      -6.732553622,      -7.157461989,      -4.212962346
          0,           0,         182,      -9.803803245,      -6.774752172,      -7.199998608,      -4.255102249
          0,           0,         183,       -9.84599578,      -6.816977186,      -7.242564382,      -4.297270945
          0,           0,         184,       -9.88821184,      -6.859228084,      -7.285160461,      -4.339466091
          0,           0,         185,      -9.930456688,       -6.90150614,      -7.327785121,      -4.381691132
          0,           0,         186,      -9.972726932,      -6.943810494,      -7.370439355,      -4.423943918
          0,           0,         187,      -10.01502439,      -6.986140906,      -7.413121082,      -4.466226156
          0,           0,         188,      -10.05735054,      -7.028499004,        -7.4558318,      -4.508539171
          0,           0,         189,      -10.09969612,      -7.070881795,      -7.498573543,      -4.550873438
          0,           0,         190,      -10.14206942,      -7.113292051,      -7.541343113,      -4.593238189
          0,           0,         191,      -10.18447602,      -7.155729475,       -7.58414105,      -4.635635679
          0,           0,         192,      -10.22690731,      -7.198193429,      -7.626965726,      -4.678061426
          0,           0,         193,      -10.26935975,       -7.24068312,      -7.669822465,      -4.720510887
          0,           0,         194,       -10.3118429,      -7.283201124,      -7.712706057,      -4.762992118
          0,           0,         195,       -10.3543558,      -7.325745828,      -7.755618206,      -4.805501222
          0,           0,         196,      -10.39689206,      -7.368316331,      -7.798561824,      -4.848038483
          0,           0,         197,      -10.43946455,      -7.410914876,      -7.841528384,      -4.890610099
          0,           0,         198,      -10.48205763,      -7.453540969,      -7.884528022,      -4.933204508
          0,           0,         199,      -10.52467686,      -7.496193992,      -7.927555496,      -4.975832833
          0,           0,         200,      -10.56732458,      -7.538872093,      -7.970612445,      -5.018484941
          0,           0,         201,      -10.61000382,      -7.581580682,      -8.013692353,      -5.061172618
          0,           0,         202,      -10.65270823,      -7.624315134,      -8.056801099,      -5.103882664
          0,           0,         203,      -10.69544519,      -7.667075878,      -8.099937174,      -5.146627038
          0,           0,         204,      -10.73822218,      -7.709866884,      -8.143101486,      -5.189411289
          0,           0,         205,      -10.78100273,      -7.752680038,      -8.186294952,      -5.232207565
          0,           0,         206,      -10.82381635,      -7.795525441,      -8.229535837,      -5.275033036
          0,           0,         207,      -10.86666151,      -7.838397008,      -8.272766646,      -5.317892922
          0,           0,         208,      -10.90954902,      -7.881301443,      -8.316040313,      -5.360794609
          0,           0,         209,      -10.95245057,       -7.92422243,      -8.359360221,      -5.403708886
          0,           0,         210,      -10.99538154,       -7.96717868,      -8.402686556,      -5.446657784
          0,           0,         211,      -11.03835555,      -8.010162243,      -8.446042455,      -5.489649978
          0,           0,         212,      -11.08131194,       -8.05316507,      -8.489431956,      -5.532634404
          0,           0,         213,      -11.12434279,      -8.096205388,      -8.532859205,      -5.575684504
          0,           0,         214,      -11.16738371,       -8.13926799,      -8.576309595,      -5.618738538
          0,           0,         215,      -11.21051846,      -8.182373189,      -8.619777599,      -5.661872232
          0,           0,         216,      -11.25356016,      -8.225469411,      -8.663272858,        -5.7049453
          0,           0,         217,      -11.29672583,      -8.268635748,      -8.706822933,      -5.748143591
          0,           0,         218,      -11.33986182,      -8.311813698,      -8.750351791,      -5.791315444
          0,           0,         219,      -11.38306049,      -8.355008528,      -8.793944997,      -5.834548585
          0,           0,         220,      -11.42624862,      -8.398237265,      -8.837555293,      -5.877758874
          0,           0,         221,      -11.46953375,      -8.441499718,      -8.881119868,      -5.921062074
          0,           0,         222,      -11.51285755,       -8.48479335,      -8.924845932,      -5.964397871
          0,           0,         223,      -11.55610602,      -8.528123211,       -8.96850557,      -6.007704742
          0,           0,         224,      -11.59946691,      -8.571437569,      -9.012256304,      -6.051065159
          0,           0,         225,      -11.64271191,      -8.614798918,       -9.05602808,      -6.094357427
          0,           0,         226,      -11.68619902,      -8.658239839,      -9.099736764,      -6.137902779
          0,           0,         227,      -11.72949546,      -8.701616633,      -9.143582723,      -6.181224907
          0,           0,         228,      -11.77301776,      -8.745089822,      -9.187397851,      -6.224768924
          0,           0,         229,       -11.8163067,      -8.788526303,      -9.231211108,      -6.268127685
          0,           0,         230,      -11.86005092,      -8.832079972,      -9.275034595,      -6.311878238
          0,           0,         231,      -11.90349916,      -8.875605389,      -9.319000102,      -6.355325788
          0,           0,         232,      -11.94683149,      -8.919161212,       -9.36284639,      -6.398799905
          0,           0,         233,      -11.99066111,      -8.962780698,      -9.406892399,      -6.442562793
          0,           0,         234,      -12.03438233,      -9.006405718,      -9.450826228,      -6.486321001
          0,           0,         235,      -12.07792399,      -9.050003523,      -9.494810329,      -6.529950889
          0,           0,         236,      -12.12137538,      -9.093699826,      -9.538747319,      -6.573551271
          0,           0,         237,      -12.16528703,      -9.137450637,      -9.582816706,      -6.617418963
          0,           0,         238,      -12.20894916,      -9.181175267,      -9.626844433,      -6.661136135
          0,           0,         239,      -12.25266239,      -9.224848251,      -9.671248267,      -6.705034666
          0,           0,         240,       -12.2965048,      -9.268734975,      -9.715458405,      -6.748835485
          0,           0,         241,      -12.34000701,      -9.312513726,      -9.759385323,      -6.792361368
          0,           0,         242,      -12.38363507,      -9.356268429,      -9.803381526,      -6.836274872
          0,           0,         243,      -12.42783749,      -9.400230219,      -9.847577002,      -6.880423791
          0,           0,         244,      -12.47151165,      -9.444044182,      -9.891587375,      -6.924129892
          0,           0,         245,      -12.51525584,      -9.487984798,      -9.936059616,      -6.968120613
          0,           0,         246,      -12.55926137,      -9.531859869,      -9.980510339,      -7.012177496
          0,           0,         247,      -12.60276113,      -9.575922209,      -10.02472141,      -7.055782963
          0,           0,         248,      -12.64702155,      -9.619852329,      -10.06827212,      -7.100205042
          0,           0,         249,      -12.69037219,      -9.664054269,      -10.11310985,      -7.144063452
          0,           0,         250,       -12.7341841,      -9.707951732,       -10.1567551,      -7.187682168
          0,           0,         251,      -12.77798195,      -9.751924365,      -10.20137893,      -7.231365422
          0,           0,         252,      -12.82275581,      -9.796195707,      -10.24623094,      -7.276153015
          0,           0,         253,      -12.86614675,      -9.840061617,      -10.29064558,      -7.318868578
          0,           0,         254,      -12.90937682,      -9.884480804,      -10.33440906,      -7.363136897
          0,           0,         255,      -12.95241249,        -9.9283706,      -10.37989461,       -7.40661382
          0,           0,         256,      -12.99804964,      -9.972743536,      -10.42360337,      -7.452795488
          0,           0,         257,      -13.03394165,      -10.01564887,      -10.46788886,      -7.491462119
          0,           0,         258,      -13.07828058,      -10.06029402,      -10.51015147,      -7.531539937
          0,           0,         259,      -13.11532218,      -10.10314462,      -10.55590118,      -7.573593513
          0,           0,         260,      -13.16316186,      -10.14873241,      -10.59814096,      -7.620441316
          0,           0,         261,      -13.21277813,      -10.19337115,      -10.64343035,      -7.670181333
          0,           0,         262,      -13.25149057,      -10.23519462,      -10.68996029,      -7.706195047
          0,           0,         263,      -13.29262319,      -10.27953446,      -10.73183194,      -7.749223415
          0,           0,         264,      -13.33336478,      -10.32407334,      -10.77582177,      -7.793355306
          0,           0,         265,      -13.38134767,      -10.36966254,      -10.81670148,      -7.839523022
          0,           0,         266,       -13.3947024,      -10.40994353,      -10.84507718,      -7.866409284
          0,           0,         267,      -13.46461978,      -10.45729112,      -10.90058383,      -7.922666218
          0,           0,         268,      -13.47471968,      -10.49978952,      -10.92845742,      -7.938677611
          0,           0,         269,      -13.52882865,      -10.54227332,      -10.98191924,      -7.989039408
          0,           0,         270,      -13.57554332,      -10.58533372,      -11.03637853,      -8.036579999
          0,           0,         271,       -13.5797783,      -10.62965791,      -11.05039929,      -8.061349904
          0,           0,         272,      -13.57551788,      -10.67292796,      -11.04722087,      -8.055802485
          0,           0,         273,      -13.63180094,      -10.70751474,      -11.14275488,      -8.100358172
          0,           0,         274,      -13.65105578,       -10.7491314,      -11.17736218,      -8.153002462
          0,           0,         275,      -13.68435043,      -10.79836524,      -11.19997907,      -8.172187077
          0,           0,         276,      -13.69708769,      -10.82953733,      -11.22001039,      -8.185280531
          0,           0,         277,       -13.7106876,      -10.86814267,      -11.26168732,      -8.242765144
          0,           0,         278,      -13.79591203,      -10.92275987,      -11.28716385,      -8.262703645
          0,           0,         279,      -13.80226097,      -10.95836326,      -11.33616648,      -8.286627556
          0,           0,         280,       -13.7354845,      -10.97201009,      -11.36275456,      -8.214844324
          0,           0,         281,      -13.81327142,      -10.99104241,        -11.313454,      -8.264718127
          0,           0,         282,      -13.72972611,      -10.98017385,      -11.40152594,      -8.223144189
          0,           0,         283,      -13.69379848,      -10.97843123,       -11.4311254,       -8.20901429
          0,           0,         284,      -13.92801482,      -11.13154233,      -11.42676641,      -8.437243632
          0,           0,         285,      -13.86755989,      -11.17130855,      -11.35954593,      -8.365657905
          0,           0,         286,      -13.89121358,      -11.18017393,      -11.46669812,      -8.312697396
          0,           0,         287,      -13.95602374,      -11.24072268,      -11.43944875,      -8.443022041
          0,           0,         288,       -13.8980885,      -11.24727963,      -11.37886399,      -8.432130572
          0,           0,         289,      -13.73120825,      -11.19623763,      -11.27339757,      -8.253077507
          0,           0,         290,      -13.89543958,      -11.27153979,      -11.41875124,      -8.424776815
          0,           0,         291,      -13.67449442,      -11.02800595,       -11.3425352,      -8.139544731
          0,           0,         292,      -13.80950367,      -11.25918294,      -11.47021465,      -8.308465692
          0,           0,         293,      -13.81663456,      -11.23551801,      -11.48070764,      -8.337625207
          0,           0,         294,      -13.90179974,      -11.34729082,      -11.43569564,      -8.441399287
          0,           0,         295,       -13.8881501,      -11.28913483,      -11.42184357,      -8.394710058
          0,           0,         296,      -13.83401388,       -11.3248313,      -11.45444472,      -8.324607067
          0,           0,         297,      -13.84956268,      -11.33508334,      -11.43346931,      -8.391227646
          0,           0,         298,      -13.82211023,      -11.31677384,      -11.43277173,      -8.312373919
          0,           0,         299,      -13.81432398,      -11.32723492,      -11.35686499,      -8.342802945
          0,           0,         300,      -13.75536075,      -11.22248408,      -11.38057522,      -8.313146544
          0,           0,         301,      -13.82028789,      -11.32352623,      -11.41220448,      -8.318800072
          0,           0,         302,      -13.93003579,      -11.40061578,      -11.50369319,      -8.469343944
          0,           0,         303,      -13.73500443,      -11.10681988,      -11.53470162,      -8.220945941
          0,           0,         304,      -13.86123252,      -11.29019426,      -11.45532099,      -8.366111631
          0,           0,         305,      -13.93938427,      -11.50120013,      -11.51031577,      -8.449666959
          0,           0,         306,      -13.97178985,      -11.38189348,       -11.5263911,      -8.488551056
          0,           0,         307,      -13.78150082,      -11.11509131,      -11.51843837,      -8.234055747
          0,           0,         308,      -13.67555253,      -11.13136737,      -11.40922832,      -8.248910932
          0,           0,         309,      -13.75360227,      -11.12481964,      -11.56283967,      -8.293018834
          0,           0,         310,      -13.84680878,      -11.35738304,       -11.3362287,      -8.393636786
          0,           0,         311,      -13.89667342,      -11.35810358,      -11.49463663,       -8.44245758
          0,           0,         312,      -13.73213272,      -11.27625335,      -11.27669911,      -8.263112174
          0,           0,         313,      -13.75245353,      -11.28206135,      -11.28243848,      -8.246891698
          0,           0,         314,      -13.85352264,      -11.26629934,      -11.51024628,      -8.319300636
          0,           0,         315,      -13.79289519,      -11.28541827,       -11.4233865,      -8.331794678
          0,           0,         316,      -13.76857583,      -11.15256264,      -11.56228215,      -8.246243415
          0,           0,         317,      -13.73349302,      -11.12837716,      -11.37686854,      -8.234566559
          0,           0,         318,      -13.73770434,      -11.12274905,      -11.42768405,      -8.259032412
          0,           0,         319,      -13.76175137,      -11.32098414,      -11.40956884,      -8.308231747
          0,           0,         320,       -13.9110652,      -11.21052876,      -11.47129383,      -8.326307435
          0,           0,         321,      -13.71212041,      -11.13747246,      -11.41662327,      -8.230362855
          0,           0,         322,      -13.89959217,      -11.36124463,      -11.42462695,      -8.404619842
          0,           0,         323,      -13.85592307,      -11.35155485,       -11.4651965,      -8.371866557
          0,           0,         324,      -13.85391496,      -11.27401933,      -11.48369656,      -8.338941895
          0,           0,         325,      -13.82515884,      -11.39665199,      -11.31134915,      -8.344524507
          0,           0,         326,      -13.92255895,      -11.36116009,      -11.50456157,      -8.457221843
          0,           0,         327,      -13.82497065,      -11.32809689,      -11.41452375,      -8.343376006
          0,           0,         328,       -13.8433619,      -11.38252543,      -11.43507206,       -8.41308091
          0,           0,         329,      -13.89492116,      -11.22836049,      -11.53299144,      -8.277128312
          0,           0,         330,      -13.77151673,      -11.23435531,      -11.37865441,      -8.253393845
          0,           0,         331,      -13.85808012,      -11.39143827,      -11.46431309,      -8.380893406
          0,           0,         332,      -13.70983835,      -11.11336231,      -11.43008791,      -8.234761988
          0,           0,         333,      -13.77550267,      -11.27934902,      -11.55028982,      -8.273271294
          0,           0,         334,       -13.8475767,      -11.32336938,      -11.37245792,      -8.368664142
          0,           0,         335,      -13.81385918,      -11.32087865,      -11.38500614,      -8.315781634
          0,           0,         336,      -13.88574165,      -11.32885307,      -11.45893765,      -8.337936117
          0,           0,         337,      -13.81853896,      -11.13301228,      -11.51841896,      -8.216354351
