VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.7318595278,       1.531195104,       1.769131739,       4.727768675
          0,           0,           1,     -0.7192248982,         1.5449328,       1.797409612,       4.748584358
          0,           0,           2,     -0.9765765905,       1.412016441,       1.560395294,       4.492906911
          0,           0,           3,      -1.161130419,       1.274642269,       1.337188423,       4.309927923
          0,           0,           4,      -1.348808596,       1.123885419,       1.171845843,       4.124591779
          0,           0,           5,      -1.557728812,       1.002369679,       0.996268619,       3.922444274
          0,           0,           6,      -1.742772501,      0.9316514939,      0.8228701014,       3.746098575
          0,           0,           7,       -1.89200883,      0.8735443074,      0.6653905372,        3.60791114
          0,           0,           8,       -2.03081226,      0.8116181024,      0.5222001328,        3.48486032
          0,           0,           9,      -2.160507575,      0.7527552479,      0.3886935903,       3.373268675
          0,           0,          10,      -2.277152718,      0.6976599566,      0.2703568522,        3.27562856
          0,           0,          11,      -2.379707736,      0.6436797364,      0.1742238562,        3.18846808
          0,           0,          12,      -2.474025113,      0.5882900353,      0.0909478917,       3.104280959
          0,           0,          13,      -2.562161628,      0.5306023528,    0.008522690459,       3.020975598
          0,           0,          14,      -2.643395926,      0.4711992628,    -0.07598383969,       2.939907254
          0,           0,          15,      -2.717888272,      0.4113058342,     -0.1594725462,       2.862415742
          0,           0,          16,      -2.786165557,      0.3522667063,      -0.238176765,       2.789355143
          0,           0,          17,      -2.848978615,      0.2950248521,     -0.3100670937,       2.720982712
          0,           0,          18,      -2.906699448,        0.23987474,     -0.3752473369,       2.657412741
          0,           0,          19,       -2.95943957,      0.1866257576,     -0.4348611409,       2.598641544
          0,           0,          20,      -3.007772933,      0.1348804345,     -0.4898964705,       2.544226804
          0,           0,          21,       -3.05268296,     0.08421710065,      -0.540984544,       2.493418413
          0,           0,          22,      -3.095204753,     0.03424232482,     -0.5887998469,       2.445379282
          0,           0,          23,      -3.136181074,    -0.01539689136,     -0.6341779689,       2.399325137
          0,           0,          24,      -3.176320672,    -0.06499859766,     -0.6779408963,       2.354512422
          0,           0,          25,       -3.21623109,     -0.1147957111,     -0.7207675873,       2.310280937
          0,           0,          26,      -3.256392917,     -0.1649402201,     -0.7632672016,       2.266108021
          0,           0,          27,      -3.297191192,      -0.215529918,     -0.8058480487,       2.221605444
          0,           0,          28,      -3.338878678,     -0.2666100725,     -0.8488469508,       2.176513962
          0,           0,          29,      -3.381516738,     -0.3181693954,     -0.8924447582,       2.130754672
          0,           0,          30,      -3.425040699,     -0.3701667903,     -0.9366850004,       2.084368668
          0,           0,          31,      -3.469410725,     -0.4225674032,     -0.9815276866,        2.03738319
          0,           0,          32,      -3.514545778,     -0.4752939068,      -1.026942111,        1.98986218
          0,           0,          33,      -3.560255131,     -0.5282516559,      -1.072855106,        1.94196777
          0,           0,          34,      -3.606370132,     -0.5813393565,      -1.119227376,       1.893856872
          0,           0,          35,      -3.652839207,     -0.6344781254,      -1.165858525,       1.845584649
          0,           0,          36,      -3.699586511,     -0.6875779263,      -1.212588112,       1.797225181
          0,           0,          37,      -3.746535876,     -0.7405495508,       -1.25926202,       1.748856822
