VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.005897894,       1.187881376,       1.515589856,       4.453730309
          0,           0,           1,      -1.050550225,       1.269746679,       1.473357292,       4.421035238
          0,           0,           2,      -1.281245811,       1.051448774,       1.230914264,       4.187239543
          0,           0,           3,      -1.485012276,      0.9122363002,      0.9485168817,       3.981884133
          0,           0,           4,      -1.694377575,      0.7754892304,      0.7835874034,       3.772502604
          0,           0,           5,      -1.878455211,      0.6397147153,      0.6057963292,       3.593481475
          0,           0,           6,      -2.036522899,      0.5686241021,      0.4258105428,       3.437775916
          0,           0,           7,      -2.190005931,      0.4874322647,      0.2786138297,       3.281782587
          0,           0,           8,      -2.356546153,      0.3993325214,      0.1474665359,        3.11758643
          0,           0,           9,       -2.52157735,      0.3222729758,     0.01887124872,       2.964067301
          0,           0,          10,       -2.66037769,      0.2537467797,     -0.1048236122,       2.842019557
          0,           0,          11,      -2.765998237,      0.1924383248,     -0.2200828377,       2.749477459
          0,           0,          12,      -2.861380711,      0.1352104987,     -0.3202951324,       2.663882744
          0,           0,          13,      -2.962259144,     0.07900206453,     -0.4046404204,       2.574565037
          0,           0,          14,      -3.064344107,     0.02280548414,     -0.4824466802,       2.486758748
          0,           0,          15,      -3.155324556,    -0.03314275278,     -0.5589893988,       2.408865379
          0,           0,          16,      -3.227781085,    -0.08829161798,     -0.6320425048,       2.343926762
          0,           0,          17,       -3.28310729,     -0.1422311126,     -0.6976828917,       2.289493411
          0,           0,          18,      -3.328903371,     -0.1948685067,     -0.7547020147,       2.240378759
          0,           0,          19,      -3.373327782,      -0.246340512,     -0.8052215389,       2.191742115
          0,           0,          20,      -3.420598005,     -0.2968584642,     -0.8526787013,       2.141200791
          0,           0,          21,      -3.470623267,     -0.3466407784,     -0.8997182405,       2.088881988
          0,           0,          22,      -3.521396421,     -0.3958732242,     -0.9473115082,       2.036061386
          0,           0,          23,      -3.571084098,     -0.4446999872,     -0.9950881343,       1.983961356
          0,           0,          24,       -3.61877526,     -0.4932189453,      -1.042104271,       1.933307007
          0,           0,          25,      -3.664403806,     -0.5414934361,      -1.087595987,        1.88429657
          0,           0,          26,      -3.708407361,      -0.589575876,      -1.131258462,       1.836740815
          0,           0,          27,      -3.751381351,     -0.6375179785,      -1.173189291,       1.790257549
          0,           0,          28,      -3.793837576,     -0.6853614467,      -1.213711988,       1.744450762
          0,           0,          29,      -3.836084637,     -0.7331233369,       -1.25320584,       1.699033921
          0,           0,          30,      -3.878203941,     -0.7807903948,      -1.291993465,       1.653881024
          0,           0,          31,      -3.920103236,     -0.8283182233,       -1.33029925,       1.609012392
          0,           0,          32,      -3.961621121,     -0.8756426603,      -1.368264396,       1.564530564
          0,           0,          33,      -4.002633819,     -0.9226934177,      -1.405985273,        1.52054065
          0,           0,          34,      -4.043105589,     -0.9694091457,      -1.443540161,       1.477101965
          0,           0,          35,       -4.08308012,      -1.015741644,      -1.480998989,       1.434222355
          0,           0,          36,      -4.122651023,      -1.061662539,      -1.518420772,       1.391868026
          0,           0,          37,      -4.161920515,      -1.107153618,       -1.55584513,       1.349987492
          0,           0,          38,      -4.200970255,      -1.152209492,      -1.593290551,       1.308531348
          0,           0,          39,      -4.239851974,       -1.19682415,      -1.630754592,       1.267462089
          0,           0,          40,      -4.278592857,       -1.24099529,      -1.668216653,       1.226752808
          0,           0,          41,      -4.317206324,      -1.284723811,      -1.705651779,       1.186383557
          0,           0,          42,      -4.355702525,      -1.328014036,        -1.7430452,        1.14633318
          0,           0,          43,      -4.394093292,      -1.370871685,      -1.780392524,       1.106576389
          0,           0,          44,      -4.432387797,      -1.413305308,      -1.817689029,       1.067091471
          0,           0,          45,      -4.470591993,      -1.455325896,       -1.85492764,       1.027859688
          0,           0,          46,      -4.508708598,      -1.496948276,      -1.892101755,      0.9888644197
          0,           0,          47,      -4.546740056,       -1.53818994,       -1.92920743,      0.9500889517
          0,           0,          48,      -4.584688928,      -1.579071614,        -1.9662441,      0.9115169223
          0,           0,          49,      -4.622558627,      -1.619615621,      -2.003214493,      0.8731322164
          0,           0,          50,      -4.660354452,      -1.659845123,      -2.040124115,      0.8349180839
          0,           0,          51,      -4.698083872,      -1.699785266,      -2.076980668,      0.7968564904
          0,           0,          52,      -4.735754597,      -1.739462292,      -2.113793322,      0.7589300313
          0,           0,          53,      -4.773374511,      -1.778902082,      -2.150572087,      0.7211219485
          0,           0,          54,      -4.810951615,      -1.818129454,      -2.187327121,      0.6834161518
          0,           0,          55,      -4.848493995,      -1.857167698,      -2.224067812,      0.6457972669
          0,           0,          56,      -4.886007778,      -1.896040518,      -2.260803441,      0.6082526763
          0,           0,          57,      -4.923501411,       -1.93477124,      -2.297541535,      0.5707678616
          0,           0,          58,      -4.960978567,      -1.973378082,      -2.334289072,      0.5333340164
          0,           0,          59,       -4.99844386,      -2.011877977,      -2.371052854,      0.4959421591
          0,           0,          60,      -5.035904039,       -2.05028887,      -2.407839125,      0.4585815656
          0,           0,          61,      -5.073366246,      -2.088625935,      -2.444654354,      0.4212417538
          0,           0,          62,      -5.110837282,      -2.126903898,      -2.481504355,      0.3839131408
