VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.4622230581,       1.933875988,        1.94278146,       4.997405145
          0,           0,           1,     -0.4881502947,       1.871316116,       2.047127016,        4.98164837
          0,           0,           2,     -0.6977106611,       1.650679452,       1.806288523,       4.773362934
          0,           0,           3,     -0.9026327671,       1.507887595,       1.559811249,       4.572905228
          0,           0,           4,      -1.093618433,       1.404636874,       1.422892232,       4.386824252
          0,           0,           5,       -1.25576831,       1.312475822,       1.285279706,       4.229476713
          0,           0,           6,      -1.394985903,       1.268431409,       1.136012666,       4.103781264
          0,           0,           7,      -1.545835236,       1.222451338,       1.000371863,       3.974418233
          0,           0,           8,      -1.694450991,       1.172172697,      0.8752692672,       3.852921793
          0,           0,           9,      -1.839004205,       1.123372021,      0.7474466846,       3.743621805
          0,           0,          10,      -1.975079153,       1.073789691,      0.6334872131,        3.64434862
          0,           0,          11,      -2.095874667,       1.018510896,      0.5454580398,       3.550572286
          0,           0,          12,      -2.200179404,      0.9553546281,      0.4695710365,       3.458411011
          0,           0,          13,      -2.280114508,      0.8862544581,       0.395046386,       3.371790893
          0,           0,          14,      -2.343992682,      0.8136682956,      0.3201942981,       3.291048189
          0,           0,          15,      -2.405700614,      0.7393290487,      0.2443015085,       3.213004735
          0,           0,          16,      -2.468348856,      0.6645866405,      0.1666247448,       3.136609207
          0,           0,          17,      -2.530847817,      0.5907606243,     0.08789535654,       3.062049882
          0,           0,          18,      -2.593564887,      0.5190236739,    0.009933369375,       2.989033289
          0,           0,          19,      -2.657014355,      0.4502339681,    -0.06568820298,       2.917394404
          0,           0,          20,      -2.720218108,      0.3848504219,     -0.1379171217,       2.847885247
          0,           0,          21,      -2.781277911,      0.3228502351,     -0.2060175672,       2.781600186
          0,           0,          22,       -2.83852994,      0.2638303794,     -0.2693006238,       2.719309946
          0,           0,          23,      -2.891320959,       0.207181692,     -0.3272767174,       2.661143342
          0,           0,          24,      -2.940278975,      0.1522449623,      -0.379817697,       2.606481344
          0,           0,          25,      -2.986526993,      0.0984651447,     -0.4275978937,       2.554470958
          0,           0,          26,      -3.031107283,     0.04539582574,      -0.471740627,       2.504296476
          0,           0,          27,      -3.074785216,   -0.007270584841,     -0.5134664028,       2.455367311
          0,           0,          28,      -3.118087201,    -0.05978417797,     -0.5538897379,       2.407247522
          0,           0,          29,      -3.161263238,     -0.1122737025,     -0.5938226526,       2.359753865
          0,           0,          30,      -3.204462964,     -0.1648188412,     -0.6337791384,       2.312750939
          0,           0,          31,      -3.247850182,     -0.2174720409,     -0.6740541482,       2.266067816
          0,           0,          32,      -3.291594358,     -0.2702694461,     -0.7148075757,       2.219515733
          0,           0,          33,      -3.335847196,     -0.3232380719,      -0.756137695,       2.172916679
          0,           0,          34,       -3.38059535,     -0.3763948637,     -0.7982595511,       2.126237931
          0,           0,          35,      -3.425624249,     -0.4297525195,     -0.8415466942,       2.079621975
          0,           0,          36,      -3.471455344,     -0.4833291927,     -0.8857073927,       2.032561046
          0,           0,          37,      -3.518241921,     -0.5370946824,     -0.9306227537,       1.984867683
          0,           0,          38,      -3.565871305,     -0.5909609455,     -0.9762378887,       1.936634572
          0,           0,          39,      -3.614233648,      -0.644841207,       -1.02249003,       1.887941752
          0,           0,          40,      -3.663209781,     -0.6986564495,       -1.06932988,       1.838850127
          0,           0,          41,      -3.712678812,     -0.7523198364,      -1.116703463,        1.78943618
