VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.6719970904,       1.623354283,       1.809497552,       4.787631113
          0,           0,           1,     -0.6753681883,       1.654506678,       1.843771435,       4.796266247
          0,           0,           2,     -0.8550804908,       1.474196778,       1.616207942,       4.620207516
          0,           0,           3,      -1.072614021,       1.378089253,       1.413077162,       4.408532674
          0,           0,           4,      -1.257109043,       1.271334959,       1.291407103,       4.230211289
          0,           0,           5,      -1.428155836,       1.164253281,       1.152826605,       4.063701618
          0,           0,           6,      -1.580792976,       1.094421399,      0.9979796675,        3.92037893
          0,           0,           7,      -1.699736609,       1.053477268,      0.8494713909,       3.810360504
          0,           0,           8,      -1.842103278,       1.005208612,      0.7155529768,       3.685083811
          0,           0,           9,      -1.986801333,      0.9591516464,      0.5990531113,       3.565423103
          0,           0,          10,      -2.105225275,      0.9159809388,      0.4960290701,       3.470137682
          0,           0,          11,      -2.198021776,      0.8714821555,      0.4063204132,        3.39224199
          0,           0,          12,      -2.281557678,      0.8226871681,      0.3291605405,       3.317946656
          0,           0,          13,      -2.364536902,      0.7685208283,      0.2582515177,       3.241507595
          0,           0,          14,      -2.441047239,      0.7095379518,      0.1882351208,       3.166170852
          0,           0,          15,      -2.506491486,      0.6469956095,      0.1184901217,       3.095049154
          0,           0,          16,      -2.565888781,      0.5822339022,     0.05053766348,       3.026918094
          0,           0,          17,      -2.624856165,      0.5164653719,    -0.01549960303,       2.959662411
          0,           0,          18,      -2.684227898,      0.4507103288,    -0.08101566362,       2.892858149
          0,           0,          19,        -2.7420434,       0.385700395,     -0.1469767617,       2.827379423
          0,           0,          20,      -2.796723977,      0.3217801967,     -0.2130858706,       2.764023742
          0,           0,          21,      -2.847924951,      0.2589782324,     -0.2779147948,       2.703253629
          0,           0,          22,      -2.896505937,      0.1970817765,     -0.3399092672,       2.644931002
          0,           0,          23,      -2.943872146,      0.1357775354,     -0.3982406469,       2.588430868
          0,           0,          24,      -2.991232359,     0.07478282006,     -0.4530601113,       2.533018744
          0,           0,          25,      -3.039331567,     0.01391357024,     -0.5053265418,       2.478076511
          0,           0,          26,      -3.088489963,    -0.04692028277,     -0.5562121917,       2.423195545
          0,           0,          27,       -3.13849913,     -0.1077082785,     -0.6065891107,        2.36837662
          0,           0,          28,      -3.188931782,     -0.1683428928,     -0.6568733081,       2.313827709
          0,           0,          29,      -3.239344302,     -0.2287018395,     -0.7071386562,       2.259806307
          0,           0,          30,      -3.289433387,     -0.2886543353,     -0.7572154194,        2.20649111
          0,           0,          31,        -3.3390648,     -0.3480799022,     -0.8069360082,       2.153962899
          0,           0,          32,      -3.388204641,     -0.4068734629,     -0.8561288046,       2.102243474
          0,           0,          33,      -3.436845589,     -0.4649476682,     -0.9046923423,       2.051344155
          0,           0,          34,      -3.484927911,      -0.522282579,     -0.9526964792,         2.0013194
          0,           0,          35,      -3.532666505,     -0.5787871168,     -0.9996501473,       1.951949527
          0,           0,          36,      -3.580038902,     -0.6343630657,      -1.045842815,       1.903298192
          0,           0,          37,      -3.626862426,     -0.6889229618,      -1.091709993,       1.855552718
          0,           0,          38,        -3.6732595,     -0.7424330614,      -1.137535138,       1.808588022
          0,           0,          39,      -3.719468342,      -0.794900414,      -1.183381043,       1.762154095
          0,           0,          40,      -3.765588028,     -0.8463225356,      -1.229031292,        1.71610571
          0,           0,          41,      -3.811477484,     -0.8966776305,      -1.274441576,       1.670567824
          0,           0,          42,      -3.857018448,     -0.9459759413,      -1.319486848,       1.625610305
          0,           0,          43,      -3.902234255,     -0.9942815464,      -1.364110106,       1.581150593
          0,           0,          44,      -3.947197805,      -1.041674844,      -1.408266627,        1.53708182
          0,           0,          45,      -3.991906128,      -1.088219703,      -1.451891224,       1.493392864
          0,           0,          46,      -4.036296044,      -1.133970942,      -1.494937081,       1.450132709
          0,           0,          47,      -4.080313129,       -1.17898964,       -1.53740255,       1.407335919
          0,           0,          48,      -4.123915876,      -1.223332792,      -1.579296769,       1.365027049
          0,           0,          49,      -4.167122173,      -1.267071416,      -1.620654224,        1.32316459
          0,           0,          50,      -4.209928515,      -1.310287245,      -1.661557143,       1.281726445
          0,           0,          51,      -4.252439766,      -1.353069309,       -1.70211247,       1.240598071
          0,           0,          52,      -4.294806143,      -1.395511733,      -1.742482145,        1.19962591
          0,           0,          53,      -4.337138226,      -1.437689886,       -1.78280736,       1.158697136
          0,           0,          54,      -4.379498373,      -1.479662674,      -1.823179636,       1.117743732
          0,           0,          55,       -4.42191721,      -1.521481378,      -1.863648443,       1.076725582
          0,           0,          56,      -4.464405945,      -1.563190861,      -1.904231599,       1.035621206
          0,           0,          57,      -4.506962889,      -1.604829111,      -1.944925836,      0.9944233941
          0,           0,          58,      -4.549580093,      -1.646427609,      -1.985715253,      0.9531330585
          0,           0,          59,      -4.592247457,      -1.688011599,       -2.02658064,      0.9117550147
          0,           0,          60,      -4.634955626,      -1.729601588,      -2.067504719,      0.8702947768
          0,           0,          61,      -4.677697863,      -1.771214236,      -2.108475577,      0.8287567258
          0,           0,          62,      -4.720471583,      -1.812863061,      -2.149486539,      0.7871425806
          0,           0,          63,      -4.763277357,      -1.854558659,      -2.190537273,      0.7454521447
          0,           0,          64,      -4.806120059,      -1.896309744,      -2.231633679,      0.7036818262
          0,           0,          65,      -4.849008911,       -1.93812409,      -2.272784575,      0.6618249116
          0,           0,          66,      -4.891957008,      -1.980008248,      -2.314000671,      0.6198719185
          0,           0,          67,      -4.934976737,      -2.021967243,      -2.355293338,      0.5778142196
          0,           0,          68,      -4.978080125,      -2.064002948,      -2.396672799,      0.5356434336
          0,           0,          69,      -5.021260015,      -2.106112725,      -2.438140434,      0.4933677412
          0,           0,          70,      -5.064519924,      -2.148297015,      -2.479695589,      0.4509861687
          0,           0,          71,      -5.107860255,      -2.190555035,      -2.521332556,      0.4085004351
