VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -0.682793431,       1.611136417,       1.802468622,       4.776834772
          0,           0,           1,     -0.7170883521,       1.620654048,       1.822564526,       4.753358202
          0,           0,           2,     -0.8930334844,       1.483895464,       1.583538557,       4.579055102
          0,           0,           3,      -1.101323362,       1.364147847,        1.34291883,       4.374680887
          0,           0,           4,      -1.293278525,       1.247712882,       1.206623777,       4.190403984
          0,           0,           5,      -1.480255794,       1.144844632,       1.039142197,        4.01375752
          0,           0,           6,      -1.642400945,       1.089263341,      0.9070214717,       3.863603669
          0,           0,           7,      -1.770982101,       1.043358786,      0.7915032174,       3.740550145
          0,           0,           8,      -1.914325589,      0.9908832965,      0.6649117139,       3.611142015
          0,           0,           9,      -2.050795339,      0.9454668406,      0.5304616992,       3.503345465
          0,           0,          10,      -2.157815321,      0.9066906853,      0.4188477061,       3.427142985
          0,           0,          11,      -2.243607664,      0.8665561104,      0.3394176768,       3.361832518
          0,           0,          12,      -2.318355071,      0.8214355684,      0.2714269573,       3.295502218
          0,           0,          13,       -2.38707072,      0.7713013641,      0.2041713562,       3.227082226
          0,           0,          14,      -2.451810768,      0.7174002373,      0.1382378225,        3.15857097
          0,           0,          15,      -2.512947924,      0.6610192118,     0.07355795098,       3.091733278
          0,           0,          16,      -2.570957878,      0.6031928809,    0.009089094721,       3.027260609
          0,           0,          17,      -2.627255647,      0.5446535143,    -0.05545320116,       2.964634229
          0,           0,          18,      -2.683114526,      0.4858969446,     -0.1197468772,       2.903047517
          0,           0,          19,      -2.739141025,       0.427224673,     -0.1835603396,       2.841913567
          0,           0,          20,      -2.795316911,      0.3687639388,     -0.2467569472,       2.781015212
          0,           0,          21,      -2.851140923,      0.3105183357,     -0.3090109427,       2.720539425
          0,           0,          22,      -2.906088296,      0.2523805929,     -0.3698655763,       2.660711932
          0,           0,          23,      -2.959814074,      0.1941968909,     -0.4288564276,       2.601731383
          0,           0,          24,      -3.012205912,       0.135810334,     -0.4856340657,       2.543689005
          0,           0,          25,      -3.063418435,      0.0770797598,     -0.5401420263,       2.486491732
          0,           0,          26,      -3.113727934,     0.01790668767,     -0.5925290973,       2.429987615
          0,           0,          27,       -3.16342058,    -0.04176090711,     -0.6430723835,       2.374044919
          0,           0,          28,      -3.212774386,     -0.1019400485,     -0.6921212145,       2.318530982
          0,           0,          29,      -3.261978441,     -0.1625935009,     -0.7400689938,       2.263377781
          0,           0,          30,      -3.311157312,     -0.2236515866,     -0.7872784571,       2.208538929
          0,           0,          31,      -3.360407219,     -0.2850248529,      -0.833981496,       2.153962149
          0,           0,          32,      -3.409709585,     -0.3465768518,     -0.8803964906,       2.099679928
          0,           0,          33,      -3.458713327,     -0.4081360537,     -0.9259892237,       2.046019438
          0,           0,          34,      -3.507646578,     -0.4695946561,       -0.97105487,       1.992860769
          0,           0,          35,      -3.557004047,     -0.5308768772,      -1.016425606,       1.939830848
          0,           0,          36,      -3.607260032,     -0.5919099565,      -1.062732621,        1.88653242
          0,           0,          37,      -3.658577348,     -0.6525984834,      -1.110203427,       1.832783478
          0,           0,          38,       -3.71080123,     -0.7128155106,      -1.158691944,       1.778656908
          0,           0,          39,      -3.763569266,     -0.7724076437,      -1.207787663,       1.724416507
          0,           0,          40,      -3.816421486,     -0.8312088655,      -1.256948473,       1.670434999
          0,           0,          41,       -3.86891372,     -0.8890495758,      -1.305630585,       1.617093835
          0,           0,          42,      -3.920686899,     -0.9457867354,       -1.35338366,       1.564719293
          0,           0,          43,      -3.971502153,       -1.00131765,      -1.399949207,       1.513548135
          0,           0,          44,      -4.021228832,      -1.055550916,      -1.445236651,         1.4637174
          0,           0,          45,      -4.069918882,      -1.108437216,      -1.489325685,       1.415186048
          0,           0,          46,      -4.117684327,      -1.159962235,      -1.532451799,       1.367839141
          0,           0,          47,       -4.16465205,      -1.210145769,      -1.574883881,       1.321531148
          0,           0,          48,      -4.210962088,      -1.259040354,      -1.616871312,       1.276097926
          0,           0,          49,      -4.256768176,      -1.306729818,      -1.658616384,       1.231355803
          0,           0,          50,      -4.302214759,      -1.353317474,      -1.700281555,       1.187124611
          0,           0,          51,       -4.34739709,      -1.398922981,      -1.741982977,       1.143273552
          0,           0,          52,      -4.392355237,      -1.443663009,      -1.783767122,       1.099732364
          0,           0,          53,      -4.437094217,      -1.487654264,      -1.825622309,        1.05646515
          0,           0,          54,      -4.481617599,      -1.531015029,      -1.867509709,       1.013438033
          0,           0,          55,      -4.525955534,      -1.573860613,      -1.909405522,      0.9705993958
          0,           0,          56,      -4.570142922,      -1.616298857,      -1.951314441,      0.9279007122
          0,           0,          57,      -4.614203904,      -1.658421119,      -1.993243196,      0.8853077444
          0,           0,          58,      -4.658164182,      -1.700306209,      -2.035192185,      0.8427866328
          0,           0,          59,      -4.702044149,      -1.742020676,      -2.077163593,      0.8003088142
          0,           0,          60,      -4.745859191,      -1.783620185,      -2.119162001,      0.7578518414
          0,           0,          61,      -4.789620981,      -1.825149694,       -2.16119224,      0.7153997306
          0,           0,          62,      -4.833340095,      -1.866644381,      -2.203260768,      0.6729408168
          0,           0,          63,      -4.877028426,      -1.908131952,      -2.245376054,      0.6304642193
          0,           0,          64,      -4.920698004,      -1.949633548,      -2.287546661,      0.5879600329
          0,           0,          65,      -4.964358718,      -1.991164627,      -2.329779862,      0.5454207662
          0,           0,          66,      -5.008017845,      -2.032735942,      -2.372080484,      0.5028416325
          0,           0,          67,      -5.051680651,      -2.074354466,      -2.414450204,      0.4602199952
          0,           0,          68,      -5.095351441,      -2.116024278,      -2.456887839,      0.4175543782
          0,           0,          69,      -5.139034023,      -2.157747229,      -2.499390211,      0.3748439468
          0,           0,          70,      -5.182723047,      -2.199522397,       -2.54195511,      0.3320953129
          0,           0,          71,      -5.226409218,      -2.241346894,      -2.584578461,        0.28931847
          0,           0,          72,      -5.270114067,      -2.283218787,      -2.627240321,      0.2464990311
          0,           0,          73,      -5.313862044,      -2.325138967,      -2.669938617,      0.2036198871
          0,           0,          74,       -5.35764744,      -2.367105774,      -2.712679926,      0.1606871089
          0,           0,          75,      -5.401456669,       -2.40911386,      -2.755468292,      0.1177134661
          0,           0,          76,      -5.445282928,      -2.451156352,        -2.7983015,     0.07470715997
          0,           0,          77,      -5.489126863,      -2.493227405,       -2.84117506,     0.03167009565
          0,           0,          78,      -5.532991663,      -2.535322323,      -2.884084782,    -0.01139851142
          0,           0,          79,      -5.576879304,      -2.577436702,      -2.927026731,    -0.05449872098
          0,           0,          80,      -5.620789571,      -2.619566069,      -2.969996926,    -0.09762879737
          0,           0,          81,      -5.664720658,      -2.661705985,      -3.012991567,     -0.1407856798
          0,           0,          82,      -5.708670063,      -2.703852184,      -3.056007288,        -0.1839658
          0,           0,          83,      -5.752635218,      -2.746000601,      -3.099041134,     -0.2271656783
          0,           0,          84,      -5.796613782,      -2.788147355,       -3.14209038,     -0.2703822099
          0,           0,          85,      -5.840603684,      -2.830288734,      -3.185152323,     -0.3136127148
          0,           0,          86,      -5.884603002,      -2.872421193,      -3.228224123,     -0.3568548272
          0,           0,          87,      -5.928609767,       -2.91454135,      -3.271302664,       -0.40010631
          0,           0,          88,      -5.972621809,      -2.956645974,      -3.314384474,     -0.4433649069
          0,           0,          89,      -6.016636682,      -2.998731981,        -3.3574657,     -0.4866282596
          0,           0,          90,      -6.060651655,      -3.040796411,       -3.40054213,     -0.5298938791
          0,           0,          91,      -6.104663766,      -3.082836434,      -3.443609253,     -0.5731591915
          0,           0,          92,      -6.148669858,      -3.124849335,      -3.486662333,     -0.6164215562
          0,           0,          93,      -6.192666634,       -3.16683251,      -3.529696479,      -0.659678303
          0,           0,          94,      -6.236650674,      -3.208783454,      -3.572706723,     -0.7029267474
          0,           0,          95,      -6.280618457,      -3.250699752,      -3.615688066,     -0.7461641866
          0,           0,          96,      -6.324566364,      -3.292579066,      -3.658635537,     -0.7893878913
          0,           0,          97,      -6.368490703,      -3.334419129,      -3.701544222,     -0.8325951152
          0,           0,          98,      -6.412387705,      -3.376217743,      -3.744409311,     -0.8757830842
          0,           0,          99,      -6.456253547,      -3.417972768,      -3.787226109,     -0.9189489915
          0,           0,         100,      -6.500084359,      -3.459682122,      -3.829990053,     -0.9620900122
          0,           0,         101,      -6.543876228,      -3.501343783,      -3.872696714,      -1.005203289
          0,           0,         102,      -6.587625208,      -3.542955779,      -3.915341808,      -1.048285934
          0,           0,         103,       -6.63132733,      -3.584516194,      -3.957921184,      -1.091335048
          0,           0,         104,      -6.674978615,      -3.626023166,      -4.000430831,      -1.134347716
          0,           0,         105,       -6.71857502,      -3.667474877,      -4.042866888,      -1.177320955
          0,           0,         106,      -6.762112535,      -3.708869564,      -4.085225611,      -1.220251813
          0,           0,         107,       -6.80558709,      -3.750205509,      -4.127503429,      -1.263137265
          0,           0,         108,      -6.848994627,      -3.791481045,      -4.169696917,      -1.305974278
          0,           0,         109,      -6.892331065,      -3.832694559,      -4.211802817,      -1.348759787
          0,           0,         110,      -6.935592354,       -3.87384449,       -4.25381807,      -1.391490736
          0,           0,         111,      -6.978774416,      -3.914929332,      -4.295739792,      -1.434164003
          0,           0,         112,      -7.021873248,      -3.955947636,      -4.337565334,      -1.476776506
          0,           0,         113,       -7.06488485,      -3.996898037,        -4.3792923,      -1.519325146
          0,           0,         114,       -7.10780529,      -4.037779217,      -4.420918487,      -1.561806795
          0,           0,         115,      -7.150630726,      -4.078589958,      -4.462442007,      -1.604218409
          0,           0,         116,      -7.193357388,      -4.119329104,      -4.503861229,      -1.646556914
          0,           0,         117,      -7.235981664,      -4.159995609,      -4.545174831,      -1.688819325
          0,           0,         118,       -7.27850005,      -4.200588524,      -4.586381761,      -1.731002708
          0,           0,         119,      -7.320909258,      -4.241106989,      -4.627481295,      -1.773104247
          0,           0,         120,      -7.363206155,      -4.281550282,      -4.668472998,      -1.815121174
          0,           0,         121,      -7.405387814,      -4.321917772,      -4.709356758,      -1.857050864
          0,           0,         122,      -7.447451605,      -4.362208963,      -4.750132739,      -1.898890846
          0,           0,         123,       -7.48939505,      -4.402423469,      -4.790801395,      -1.940638696
          0,           0,         124,      -7.531216034,      -4.442561077,      -4.831363552,      -1.982292323
          0,           0,         125,      -7.572912651,      -4.482621646,       -4.87182016,      -2.023849627
