VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.6977383876,       1.581043017,       1.797810553,       4.761889815
          0,           0,           1,     -0.7102452687,       1.572065486,       1.812090796,       4.763427694
          0,           0,           2,     -0.9397623442,       1.427354879,       1.554273587,         4.5313536
          0,           0,           3,       -1.16750852,         1.2676042,       1.278958009,       4.304552661
          0,           0,           4,      -1.345341214,       1.111421921,       1.136710032,       4.129145088
          0,           0,           5,      -1.514554164,      0.9962603693,      0.9599087181,       3.964035739
          0,           0,           6,      -1.688025221,      0.9072027121,      0.7964265915,       3.796107263
          0,           0,           7,      -1.865751529,      0.8291478502,      0.6310518134,       3.627121499
          0,           0,           8,      -2.037661964,      0.7685169102,      0.4767793186,       3.473204043
          0,           0,           9,      -2.187151982,      0.7161215552,      0.3599117768,       3.347122957
          0,           0,          10,      -2.328919138,      0.6602233547,       0.263610011,       3.232061157
          0,           0,          11,       -2.46699725,      0.5978943567,      0.1693947926,       3.123086646
          0,           0,          12,      -2.585025768,      0.5307246661,     0.07504498224,       3.027955508
          0,           0,          13,      -2.676966508,      0.4612232436,    -0.01741726834,        2.94603544
          0,           0,          14,      -2.754396439,      0.3914812331,     -0.1093594643,        2.86907752
          0,           0,          15,      -2.826302018,      0.3230652751,     -0.2021043783,       2.792773569
          0,           0,          16,      -2.895568393,      0.2570677199,     -0.2933866971,       2.717250676
          0,           0,          17,      -2.962761316,      0.1941869239,     -0.3798179566,       2.644133848
          0,           0,          18,      -3.027454044,      0.1347637234,      -0.459857544,        2.57516426
          0,           0,          19,      -3.088975503,     0.07875962511,     -0.5337536479,       2.511363102
          0,           0,          20,      -3.147001589,     0.02581885267,     -0.6018655132,       2.452565043
          0,           0,          21,      -3.201248475,    -0.02460179025,      -0.663884194,        2.39801268
          0,           0,          22,      -3.251338693,    -0.07311974451,     -0.7192884171,       2.346903042
          0,           0,          23,      -3.297305323,     -0.1203392223,     -0.7681042418,       2.298439665
          0,           0,          24,      -3.339846005,     -0.1667811275,     -0.8111845335,       2.251850709
          0,           0,          25,      -3.380026036,     -0.2128447228,     -0.8500496704,       2.206451231
          0,           0,          26,      -3.418870659,     -0.2588060496,     -0.8862761156,        2.16174328
          0,           0,          27,      -3.457051737,     -0.3048323835,     -0.9213386738,       2.117420589
          0,           0,          28,      -3.494966399,     -0.3510089275,     -0.9562981634,       2.073317948
          0,           0,          29,      -3.532845991,      -0.397357997,     -0.9917612857,       2.029384239
          0,           0,          30,      -3.570830716,     -0.4438629908,      -1.027975436,       1.985615711
          0,           0,          31,      -3.609008222,     -0.4904871104,       -1.06496051,       1.942015112
          0,           0,          32,      -3.647453391,     -0.5371762024,      -1.102591209,        1.89856371
          0,           0,          33,      -3.686224999,     -0.5838770921,       -1.14073067,       1.855225228
          0,           0,          34,      -3.725378062,     -0.6305452001,      -1.179264799,       1.811941499
          0,           0,          35,      -3.764934948,     -0.6771391895,       -1.21809426,       1.768668392
          0,           0,          36,      -3.804897354,     -0.7236225792,      -1.257166877,       1.725375123
          0,           0,          37,      -3.845226697,       -0.76996358,      -1.296464456,       1.682064923
          0,           0,          38,      -3.885860508,     -0.8161325143,      -1.335985379,       1.638766482
