VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.8218205619,       1.426974211,       1.682343671,       4.637807641
          0,           0,           1,     -0.8081237978,        1.47292208,       1.698620452,       4.661672092
          0,           0,           2,      -1.014255025,       1.262334368,       1.483419254,       4.452939875
          0,           0,           3,      -1.236203489,        1.11994475,       1.228938516,       4.235505137
          0,           0,           4,      -1.430430983,      0.9715249936,       1.041653115,       4.043370376
          0,           0,           5,      -1.606772421,      0.8334914102,      0.8479116483,       3.866454489
          0,           0,           6,      -1.801619861,      0.7303687284,      0.6600626469,       3.675515728
          0,           0,           7,      -2.004857149,      0.6491400062,      0.5037030685,       3.488441981
          0,           0,           8,      -2.199708039,      0.5794104572,      0.3688102891,       3.320554814
          0,           0,           9,      -2.362448827,       0.519624896,      0.2388780536,       3.184025022
          0,           0,          10,      -2.490212787,      0.4635764392,      0.1187126326,       3.074381412
          0,           0,          11,      -2.592881619,      0.4061224498,     0.01490418276,       2.981356495
          0,           0,          12,      -2.688249798,      0.3442664664,    -0.07936503681,       2.892197008
          0,           0,          13,      -2.785732162,      0.2780221426,     -0.1691206061,       2.800411722
          0,           0,          14,      -2.880653467,      0.2093893895,     -0.2557098672,       2.708442675
          0,           0,          15,      -2.964875386,      0.1407318394,     -0.3399185538,       2.621292313
          0,           0,          16,      -3.036169645,     0.07366875414,     -0.4215681607,        2.54145219
          0,           0,          17,      -3.098453549,    0.008813117703,     -0.4998130349,        2.46805115
          0,           0,          18,      -3.156008661,    -0.05383275006,     -0.5739685119,       2.399180112
          0,           0,          19,      -3.210489263,       -0.11441647,     -0.6441151922,        2.33383386
          0,           0,          20,      -3.261768045,     -0.1730480921,     -0.7107688244,       2.272188182
          0,           0,          21,      -3.309745043,      -0.229767347,       -0.77446229,       2.214703187
          0,           0,          22,      -3.354961929,     -0.2846044775,     -0.8353448907,        2.16142557
          0,           0,          23,      -3.398225458,     -0.3376588653,     -0.8930782905,       2.111899888
          0,           0,          24,      -3.440176823,     -0.3891347554,     -0.9471247008,       2.065384004
          0,           0,          25,      -3.481107188,     -0.4392736424,     -0.9971514215,       2.021174727
          0,           0,          26,      -3.521127306,     -0.4883221003,       -1.04328602,       1.978674928
          0,           0,          27,      -3.560363334,     -0.5364920158,      -1.086081608,       1.937376984
          0,           0,          28,      -3.598995398,     -0.5839456493,      -1.126272065,       1.896873444
          0,           0,          29,      -3.637246179,     -0.6307909004,      -1.164629286,       1.856847725
          0,           0,          30,      -3.675280651,     -0.6770779151,      -1.201840665,       1.817112456
          0,           0,          31,      -3.713166783,     -0.7228457758,       -1.23865547,       1.777604904
          0,           0,          32,      -3.751067286,     -0.7681056652,      -1.275016698,       1.738216818
          0,           0,          33,      -3.789010361,     -0.8128476881,      -1.311177301,       1.698918096
