VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.8599130318,       1.437360431,       1.617678865,       4.599715171
          0,           0,           1,     -0.8136731496,       1.555813967,       1.687296519,       4.653824716
          0,           0,           2,     -0.9612271825,        1.39935327,       1.466736178,        4.50584261
          0,           0,           3,      -1.239263176,       1.269745441,        1.27693968,       4.234510936
          0,           0,           4,      -1.398588894,       1.177390001,       1.117102702,        4.07488544
          0,           0,           5,       -1.55544184,       1.083181208,      0.9840562317,        3.91692767
          0,           0,           6,      -1.714602263,       1.015567827,       0.849324934,       3.757606466
          0,           0,           7,      -1.855802698,      0.9400026011,      0.7223581873,       3.620173176
          0,           0,           8,      -1.986150769,      0.8576488298,      0.5965236599,       3.499989033
          0,           0,           9,       -2.09520859,       0.785324003,      0.4682002348,       3.402158998
          0,           0,          10,      -2.193827637,      0.7211728689,      0.3635259125,       3.313013501
          0,           0,          11,       -2.29284853,      0.6579979385,      0.2810418722,       3.222680593
          0,           0,          12,      -2.391353226,      0.5919539293,      0.2030466574,       3.131319664
          0,           0,          13,      -2.484966299,      0.5227190878,      0.1219275895,        3.04107337
          0,           0,          14,      -2.572735247,      0.4517808204,     0.03705388355,        2.95209443
          0,           0,          15,      -2.655064788,      0.3809017956,    -0.05095412299,       2.864838639
          0,           0,          16,      -2.730854015,      0.3114379669,     -0.1400214622,       2.781912182
          0,           0,          17,      -2.798549617,          0.244274,     -0.2270384495,       2.706537797
          0,           0,          18,       -2.85870402,      0.1799315168,      -0.309873372,       2.639581587
          0,           0,          19,       -2.91367727,      0.1185440889,     -0.3880854573,       2.579273455
          0,           0,          20,      -2.965649413,     0.05986196961,      -0.462228736,       2.523190574
          0,           0,          21,      -3.015729063,     0.00337169533,     -0.5327110173,       2.469712899
          0,           0,          22,      -3.064321741,    -0.05149882908,     -0.5996756119,       2.418087486
          0,           0,          23,       -3.11163579,     -0.1052134496,     -0.6635292439,       2.368004804
          0,           0,          24,      -3.157938509,     -0.1581001722,     -0.7248991638,       2.319257612
          0,           0,          25,      -3.203656534,     -0.2103964629,     -0.7843372968,       2.271530441
          0,           0,          26,      -3.249284357,     -0.2622988546,      -0.842117195,       2.224389699
          0,           0,          27,      -3.295292574,     -0.3139778241,     -0.8983814743,       2.177335248
          0,           0,          28,      -3.342063291,     -0.3655770661,     -0.9533318094,       2.129897606
          0,           0,          29,      -3.389815765,      -0.417198976,      -1.007280805,       2.081754138
          0,           0,          30,      -3.438579074,     -0.4688856155,      -1.060564996,       2.032790978
          0,           0,          31,      -3.488208918,     -0.5206171183,      -1.113450689,        1.98309785
          0,           0,          32,      -3.538455555,       -0.57232851,      -1.166100051,        1.93289379
          0,           0,          33,      -3.589034951,     -0.6239339958,      -1.218577971,        1.88244571
          0,           0,          34,      -3.639693991,     -0.6753509609,      -1.270881938,         1.8319963
          0,           0,          35,      -3.690246309,     -0.7265138097,      -1.322971143,       1.781724789
          0,           0,          36,      -3.740578208,     -0.7773746677,      -1.374783761,       1.731739024
          0,           0,          37,      -3.790636541,      -0.827901593,      -1.426251198,         1.6820864
          0,           0,          38,      -3.840604173,      -0.878132219,      -1.477317024,       1.632580102
          0,           0,          39,       -3.89038478,     -0.9280013863,      -1.527924029,       1.583305794
          0,           0,          40,       -3.93977902,     -0.9774228404,      -1.578013638,       1.534456684
          0,           0,          41,      -3.988686206,      -1.026337692,      -1.627440747,       1.486127681
          0,           0,          42,      -4.037079931,      -1.074722196,       -1.67607023,       1.438339117
          0,           0,          43,      -4.084970731,      -1.122570504,       -1.72382841,       1.391079397
