VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.6680908249,       1.610841073,       1.824703467,       4.791537378
          0,           0,           1,     -0.6458536871,       1.618178392,       1.856976855,       4.822151543
          0,           0,           2,     -0.8892208005,       1.435657953,        1.56286987,        4.57900186
          0,           0,           3,        -1.1278802,       1.259926088,        1.31802467,       4.346700098
          0,           0,           4,      -1.300663972,        1.13582139,       1.145641255,       4.177993574
          0,           0,           5,      -1.459474515,        1.06547038,       1.033237174,       4.021612134
          0,           0,           6,      -1.650398527,      0.9914444684,      0.9009864061,       3.842133949
          0,           0,           7,      -1.816111406,      0.9389696489,      0.7665435045,       3.695340073
          0,           0,           8,      -1.945290757,      0.8939421925,      0.6404016359,        3.58320818
          0,           0,           9,      -2.064482063,       0.849145333,       0.511048353,       3.480807041
          0,           0,          10,      -2.186825655,      0.8023343813,      0.3897721861,       3.381137879
          0,           0,          11,      -2.310354633,      0.7504074206,      0.2941970853,        3.28456863
          0,           0,          12,      -2.422340079,      0.6920195729,      0.2184173755,       3.193596219
          0,           0,          13,      -2.515414567,       0.627831235,      0.1474702522,       3.108666509
          0,           0,          14,      -2.594508092,      0.5596811606,     0.07344353651,       3.027792072
          0,           0,          15,       -2.66484468,      0.4897604017,    -0.00564366829,       2.950036725
          0,           0,          16,      -2.728952126,      0.4200526895,    -0.08780483715,       2.875560526
          0,           0,          17,      -2.789484037,      0.3520425172,     -0.1698207067,       2.804162186
          0,           0,          18,      -2.848752499,      0.2866543384,      -0.249666112,       2.735322939
          0,           0,          19,      -2.907692514,      0.2242755179,      -0.326749641,       2.668793925
          0,           0,          20,      -2.965978202,      0.1647984453,     -0.4009151462,       2.604768514
          0,           0,          21,      -3.022660404,        0.10777212,      -0.471773544,       2.543697633
          0,           0,          22,      -3.077034135,     0.05259566365,     -0.5387264559,       2.485850689
          0,           0,          23,      -3.128933295,   -0.001304366785,     -0.6014783015,        2.43106067
          0,           0,          24,      -3.178501462,    -0.05443850987,     -0.6601519458,       2.378873154
          0,           0,          25,       -3.22644246,     -0.1071714021,     -0.7153059951,        2.32841949
          0,           0,          26,      -3.273474916,     -0.1597591116,     -0.7677254022,       2.278816924
          0,           0,          27,      -3.320012621,     -0.2123216215,     -0.8181759501,       2.229517319
          0,           0,          28,      -3.366117645,     -0.2648885791,       -0.86728562,         2.1803626
          0,           0,          29,       -3.41183691,     -0.3174261086,     -0.9155199875,       2.131319088
          0,           0,          30,      -3.457181458,     -0.3698728925,     -0.9630112451,        2.08246522
