VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.053706723,       1.169168819,       1.460106724,        4.40592148
          0,           0,           1,      -1.040808344,       1.271659781,       1.469936319,       4.426649195
          0,           0,           2,      -1.281445931,        1.05015418,        1.20556285,       4.183657723
          0,           0,           3,      -1.494450387,      0.8788029983,      0.9556403831,       3.970212487
          0,           0,           4,      -1.696365726,      0.7127018494,       0.775941721,       3.764346132
          0,           0,           5,       -1.88911784,      0.6009244203,      0.5944563431,       3.573637887
          0,           0,           6,      -2.056462018,      0.5092816549,      0.4205838075,        3.41402357
          0,           0,           7,       -2.19767075,      0.4321370276,      0.2548844644,        3.27935263
          0,           0,           8,      -2.352339662,      0.3671329397,      0.1170840711,       3.140806964
          0,           0,           9,      -2.522793755,      0.3092321813,    0.003739768656,       3.000045458
          0,           0,          10,      -2.694451866,       0.250649907,    -0.09227279423,       2.864999917
          0,           0,          11,      -2.829420087,      0.1884597153,     -0.1896342066,       2.752564833
          0,           0,          12,      -2.920421872,      0.1225632397,     -0.2945566948,       2.661176301
          0,           0,          13,      -2.993075363,      0.0539465874,     -0.3987391075,       2.576991173
          0,           0,          14,      -3.063630194,    -0.01578069488,     -0.4929727456,       2.492816065
          0,           0,          15,       -3.13411651,    -0.08482053131,     -0.5760631239,        2.40946821
          0,           0,          16,      -3.201945633,      -0.151851238,     -0.6528300133,       2.329946592
          0,           0,          17,      -3.264673322,     -0.2161298727,     -0.7280534618,       2.256399654
          0,           0,          18,      -3.322500097,     -0.2774040241,     -0.8028345432,       2.188912732
          0,           0,          19,      -3.377362409,     -0.3358323883,     -0.8752492454,       2.126252931
          0,           0,          20,        -3.4306274,     -0.3917604984,     -0.9429789798,       2.067426439
          0,           0,          21,      -3.482546485,     -0.4455099379,      -1.005239305,        2.01207504
          0,           0,          22,       -3.53258514,     -0.4972417469,      -1.062856193,       1.960291844
          0,           0,          23,      -3.579918895,     -0.5469868611,       -1.11701872,       1.912328399
          0,           0,          24,      -3.624063754,     -0.5947150736,      -1.168297688,       1.868142749
          0,           0,          25,      -3.665190539,     -0.6404354653,      -1.216625263,       1.827175973
          0,           0,          26,      -3.703975234,      -0.684254079,       -1.26182253,       1.788504719
          0,           0,          27,      -3.741206446,     -0.7263643928,      -1.303987443,       1.751213066
          0,           0,          28,      -3.777490082,     -0.7670154925,      -1.343511105,       1.714661231
          0,           0,          29,      -3.813186151,     -0.8064680538,      -1.380904942,        1.67852277
          0,           0,          30,      -3.848487027,     -0.8449712063,      -1.416701475,       1.642677655
          0,           0,          31,      -3.883528162,     -0.8827594962,      -1.451307341,       1.607084841
          0,           0,          32,      -3.918483329,     -0.9200716714,      -1.485118647,       1.571660532
          0,           0,          33,      -3.953417368,     -0.9570588755,      -1.518779843,       1.536408494
          0,           0,          34,      -3.988406154,     -0.9938394165,      -1.552506389,       1.501264231
          0,           0,          35,      -4.023564487,      -1.030515966,      -1.586433835,        1.46610746
          0,           0,          36,      -4.058979846,        -1.0671693,      -1.620661472,       1.430840976
          0,           0,          37,      -4.094697867,      -1.103850925,      -1.655229765,       1.395394644
          0,           0,          38,        -4.1307206,      -1.140589773,      -1.690135143,        1.35973166
          0,           0,          39,      -4.166988104,      -1.177387475,      -1.725336909,       1.323878336
          0,           0,          40,      -4.203461391,      -1.214242813,      -1.760771583,       1.287852103
          0,           0,          41,      -4.240110923,      -1.251147457,      -1.796375056,       1.251671321
          0,           0,          42,      -4.276900038,      -1.288089768,      -1.832095162,       1.215365723
          0,           0,          43,      -4.313791877,      -1.325057405,      -1.867893985,       1.178967808
          0,           0,          44,       -4.35075457,      -1.362035986,      -1.903741627,       1.142506564
          0,           0,          45,        -4.3877648,      -1.399015042,      -1.939614704,       1.106002985
          0,           0,          46,      -4.424762804,      -1.435972482,      -1.975500284,       1.069520756
          0,           0,          47,      -4.461757907,      -1.472917989,      -2.011379342,       1.033031187
          0,           0,          48,       -4.49876238,       -1.50985432,      -2.047225703,       0.996527016
          0,           0,          49,      -4.535771156,      -1.546782408,      -2.083025934,      0.9600149271
          0,           0,          50,      -4.572771605,      -1.583703577,       -2.11878726,      0.9235029826
          0,           0,          51,      -4.609757553,      -1.620622494,      -2.154518294,      0.8869937579
          0,           0,          52,      -4.646727322,      -1.657544046,      -2.190224518,      0.8504871186
          0,           0,          53,      -4.683679883,       -1.69447213,      -2.225911159,      0.8139830741
          0,           0,          54,      -4.720615848,      -1.731411124,      -2.261584308,      0.7774803682
          0,           0,          55,      -4.757538557,      -1.768366286,      -2.297250787,      0.7409753898
          0,           0,          56,      -4.794454001,      -1.805343363,      -2.332918301,      0.7044622769
          0,           0,          57,      -4.831369312,      -1.842348472,      -2.368594132,      0.6679343049
          0,           0,          58,      -4.868292241,      -1.879386142,      -2.404284995,      0.6313844779
          0,           0,          59,      -4.905230657,      -1.916461323,      -2.439997728,      0.5948057605
          0,           0,          60,      -4.942191258,      -1.953578177,      -2.475738299,      0.5581922843
          0,           0,          61,      -4.979179833,      -1.990740254,      -2.511511505,      0.5215390826
          0,           0,          62,      -5.016201404,      -2.027950763,      -2.547321105,      0.4848419385
          0,           0,          63,       -5.05326041,      -2.065212443,      -2.583170649,      0.4480972306
          0,           0,          64,      -5.090360736,      -2.102527518,      -2.619062967,      0.4113017963
          0,           0,          65,      -5.127506166,      -2.139898089,      -2.655000825,      0.3744525823
          0,           0,          66,      -5.164700086,      -2.177326078,      -2.690986859,      0.3375469155
          0,           0,          67,      -5.201945142,      -2.214813121,       -2.72702345,      0.3005828331
          0,           0,          68,      -5.239244176,      -2.252360783,       -2.76311221,      0.2635581836
          0,           0,          69,       -5.27659917,      -2.289970303,      -2.799254912,      0.2264716143
          0,           0,          70,      -5.314011738,      -2.327642686,      -2.835453275,      0.1893220675
          0,           0,          71,      -5.351483664,      -2.365379119,      -2.871708721,      0.1521082807
          0,           0,          72,      -5.389016173,      -2.403179917,      -2.908022452,      0.1148295289
          0,           0,          73,      -5.426610271,      -2.441045491,      -2.944395676,     0.07748527271
