VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.9729711059,       1.343842488,        1.49546775,       4.486657097
          0,           0,           1,      -0.967077002,       1.371988447,       1.580639293,       4.504119628
          0,           0,           2,      -1.140396503,        1.17658803,       1.298820196,       4.327380445
          0,           0,           3,       -1.42975292,       1.035804864,       1.044344033,       4.040386187
          0,           0,           4,      -1.615490108,       0.931197698,      0.8228045792,       3.853937108
          0,           0,           5,      -1.795351765,      0.8290027611,      0.6945173798,       3.679441762
          0,           0,           6,      -1.949697173,      0.7628382255,      0.5694115005,       3.524121766
          0,           0,           7,       -2.06116677,      0.6994084408,       0.495045562,        3.41648272
          0,           0,           8,      -2.176999908,      0.6176651868,      0.3998293207,       3.311035014
          0,           0,           9,      -2.315531228,      0.5254800856,      0.2680224142,       3.187167721
          0,           0,          10,      -2.461119802,      0.4338581737,       0.140406387,       3.056798648
          0,           0,          11,      -2.550090323,      0.3508830682,     0.03550864116,       2.965799625
          0,           0,          12,      -2.597326388,      0.2725001196,    -0.05739999644,       2.907377396
          0,           0,          13,       -2.66225264,      0.1905562428,     -0.1480903132,       2.838715351
          0,           0,          14,      -2.759204687,      0.1043656007,     -0.2383708843,       2.745593723
          0,           0,          15,      -2.876026787,     0.01803620263,     -0.3284367374,       2.635890769
          0,           0,          16,      -2.994395501,    -0.06614355494,      -0.420581268,       2.523121934
          0,           0,          17,      -3.103106536,     -0.1488873942,     -0.5161878533,       2.415631121
          0,           0,          18,       -3.20202922,     -0.2308965652,     -0.6132486534,       2.313826827
          0,           0,          19,      -3.293132567,      -0.311041541,      -0.708464664,       2.216186854
          0,           0,          20,      -3.374618556,       -0.38724876,      -0.799982762,       2.124019978
          0,           0,          21,      -3.444462215,     -0.4580883011,      -0.887651052,       2.040170759
          0,           0,          22,      -3.504017005,     -0.5232279724,     -0.9716252808,       1.966242771
          0,           0,          23,      -3.556676612,     -0.5828964101,      -1.051215442,       1.902008269
          0,           0,          24,      -3.605519136,     -0.6374454183,      -1.124774083,       1.845973222
          0,           0,          25,      -3.652607794,     -0.6873236687,      -1.190517342,       1.796002442
          0,           0,          26,       -3.69894704,     -0.7331409952,      -1.247707114,       1.750112925
          0,           0,          27,      -3.744550386,     -0.7756609822,      -1.297174015,       1.707075432
          0,           0,          28,      -3.788898971,     -0.8157041165,      -1.340836024,       1.666299148
          0,           0,          29,      -3.831520337,     -0.8540385105,      -1.380777628,       1.627403744
          0,           0,          30,      -3.872330348,     -0.8913124533,      -1.418603662,       1.589959507
          0,           0,          31,      -3.911607802,     -0.9280241476,      -1.455331772,       1.553498549
