VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.6888802509,       1.635873195,       1.782101637,       4.770747952
          0,           0,           1,     -0.6491273941,       1.601067803,       1.844495673,       4.820068177
          0,           0,           2,     -0.9258670894,       1.460313743,       1.560011209,       4.541499603
          0,           0,           3,      -1.135306051,       1.326417175,       1.308722662,       4.336940003
          0,           0,           4,      -1.281456461,       1.231787364,       1.178157652,       4.196783584
          0,           0,           5,      -1.468106816,       1.126722491,       1.042862533,       4.018281662
          0,           0,           6,      -1.640741282,       1.065209692,      0.8943678973,       3.856768057
          0,           0,           7,      -1.781458194,       1.018564971,      0.7697882433,       3.731182172
          0,           0,           8,      -1.898193022,       0.971570789,      0.6604090872,       3.627447811
          0,           0,           9,      -2.003265352,      0.9275478753,      0.5604755276,       3.533777735
          0,           0,          10,       -2.09994102,      0.8833279163,      0.4700867453,       3.448159463
          0,           0,          11,      -2.190394095,      0.8358077288,      0.3879161699,       3.367877032
          0,           0,          12,      -2.274573895,      0.7853253377,      0.3078108493,       3.291849157
          0,           0,          13,      -2.353089798,      0.7332629949,      0.2240388589,       3.219245504
          0,           0,          14,      -2.426001391,      0.6807458689,      0.1349465167,        3.14987511
          0,           0,          15,      -2.490388137,       0.628533163,     0.04443660037,       3.085211269
          0,           0,          16,      -2.542618115,      0.5769230281,    -0.03861277314,       3.027205484
          0,           0,          17,      -2.580785718,       0.525810345,     -0.1031809471,       2.977509664
          0,           0,          18,      -2.605368033,       0.474957976,     -0.1424729273,       2.937197657
          0,           0,          19,      -2.618630712,      0.4241954651,     -0.1587783418,       2.906515782
          0,           0,          20,      -2.623612994,      0.3735180069,     -0.1596051116,       2.884835051
          0,           0,          21,      -2.623430867,      0.3230104836,     -0.1524438801,       2.870592848
          0,           0,          22,      -2.621030247,      0.2729417364,     -0.1426811727,       2.861661524
          0,           0,          23,      -2.618771564,       0.223661227,      -0.133714469,       2.855714089
          0,           0,          24,      -2.618576827,      0.1754892018,     -0.1274627504,       2.850405948
          0,           0,          25,      -2.621944489,      0.1286419813,     -0.1255807358,       2.843668799
          0,           0,          26,      -2.630290095,     0.08321146843,     -0.1292353299,       2.833565949
