VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.7536658977,       1.522052043,       1.736556939,       4.705962305
          0,           0,           1,     -0.7925487545,       1.571510827,       1.733731591,       4.673641358
          0,           0,           2,     -0.9778782888,       1.409411724,       1.515651175,       4.488421311
          0,           0,           3,      -1.200405311,       1.291007498,       1.280111106,       4.271485108
          0,           0,           4,      -1.327799718,       1.185684858,       1.178105348,       4.148184485
          0,           0,           5,      -1.498982928,       1.096594657,       1.042357351,       3.983240479
          0,           0,           6,      -1.687129954,       1.021262002,      0.8680792692,       3.800041673
          0,           0,           7,      -1.864196894,      0.9398098824,      0.7191898213,       3.628081469
          0,           0,           8,      -2.033886744,      0.8517033184,      0.5984931751,       3.468195393
          0,           0,           9,      -2.154755337,      0.7765922348,      0.4844766718,       3.353663234
          0,           0,          10,      -2.244845558,      0.7138545911,      0.3682082512,       3.268145962
          0,           0,          11,      -2.332255772,      0.6565315802,       0.258335481,       3.188434813
          0,           0,          12,      -2.415024703,       0.599899619,      0.1661883017,       3.114030106
          0,           0,          13,      -2.490469293,      0.5416672429,     0.08922964327,        3.04462055
          0,           0,          14,      -2.569172481,      0.4811303957,     0.01576031827,       2.971836248
          0,           0,          15,      -2.657819122,      0.4186495579,    -0.06296831376,       2.891632848
          0,           0,          16,      -2.751460376,      0.3553609118,     -0.1493742809,       2.808219706
          0,           0,          17,      -2.839809159,      0.2927407913,     -0.2410348546,       2.728418414
          0,           0,          18,      -2.915955159,      0.2320289461,     -0.3331973221,       2.656039899
          0,           0,          19,      -2.980397897,      0.1738449998,      -0.421305668,       2.590509873
          0,           0,          20,       -3.03763483,      0.1181973313,     -0.5028017789,       2.529276825
          0,           0,          21,      -3.091097313,     0.06474193093,     -0.5772894806,       2.470515593
          0,           0,          22,       -3.14197583,     0.01302951594,     -0.6455467082,       2.413747003
          0,           0,          23,       -3.19035245,    -0.03735053731,     -0.7084729736,       2.359201401
          0,           0,          24,      -3.236500917,    -0.08675790403,     -0.7667471641,       2.306942869
          0,           0,          25,      -3.280853841,     -0.1354573262,     -0.8207489429,       2.256796497
          0,           0,          26,      -3.324031185,     -0.1836454357,     -0.8709719555,       2.208306541
          0,           0,          27,      -3.366508879,     -0.2314524221,     -0.9181090741,       2.161019253
          0,           0,          28,      -3.408537185,     -0.2789639958,     -0.9628631658,       2.114617845
          0,           0,          29,      -3.450180902,     -0.3262427973,      -1.005802413,       2.068951483
          0,           0,          30,      -3.491414977,     -0.3733441352,      -1.047349253,       2.023987517
          0,           0,          31,      -3.532213727,     -0.4203167872,      -1.087842848,       1.979734523
          0,           0,          32,      -3.572598662,     -0.4672121178,      -1.127570408,       1.936184653
          0,           0,          33,      -3.612661808,     -0.5140840376,      -1.166781623,       1.893273265
          0,           0,          34,      -3.652550119,      -0.560985337,      -1.205701507,       1.850876232
          0,           0,          35,      -3.692429355,     -0.6079554948,      -1.244545144,       1.808835031
          0,           0,          36,      -3.732451968,     -0.6550165943,      -1.283509984,       1.766986266
          0,           0,          37,      -3.772729945,     -0.7021708859,       -1.32275987,        1.72519085
          0,           0,          38,       -3.81330757,     -0.7493981324,      -1.362432739,        1.68336394
          0,           0,          39,      -3.854258265,     -0.7966849877,      -1.402607082,       1.641402282
          0,           0,          40,      -3.895575194,     -0.8439913785,      -1.443261353,       1.599274244
          0,           0,          41,      -3.937209463,      -0.891270016,      -1.484339291,       1.556994852
          0,           0,          42,      -3.979108696,     -0.9384613591,      -1.525780345,       1.514591593
          0,           0,          43,      -4.021214439,      -0.985509229,       -1.56752852,       1.472101901
          0,           0,          44,      -4.063465031,      -1.032359131,      -1.609522666,       1.429569515
          0,           0,          45,      -4.105806065,      -1.078960734,      -1.651696572,       1.387035762
          0,           0,          46,      -4.148194123,      -1.125269272,       -1.69398348,       1.344535568
          0,           0,          47,      -4.190594319,      -1.171248299,      -1.736323497,       1.302097842
          0,           0,          48,       -4.23297446,      -1.216863663,      -1.778663655,       1.259749955
          0,           0,          49,      -4.275302126,      -1.262087091,      -1.820958273,       1.217519453
          0,           0,          50,       -4.31754746,      -1.306896485,      -1.863170876,       1.175431113
          0,           0,          51,      -4.359681945,      -1.351274337,      -1.905274314,       1.133508488
          0,           0,          52,      -4.401679302,       -1.39520758,      -1.947247691,       1.091772993
          0,           0,          53,      -4.443517069,      -1.438690799,      -1.989077834,       1.050242338
          0,           0,          54,      -4.485180951,      -1.481723246,      -2.030749892,       1.008926092
          0,           0,          55,      -4.526662128,      -1.524309371,      -2.072251376,      0.9678282639
          0,           0,          56,      -4.567956667,      -1.566458564,      -2.113571528,      0.9269478801
          0,           0,          57,      -4.609063672,      -1.608184522,      -2.154703497,       0.886280784
          0,           0,          58,      -4.649984002,      -1.649504489,       -2.19564523,      0.8458210199
          0,           0,          59,      -4.690720768,      -1.690438265,      -2.236397689,      0.8055605688
          0,           0,          60,       -4.73127778,      -1.731007385,      -2.276965252,      0.7654909884
          0,           0,          61,      -4.771659284,      -1.771233993,      -2.317355147,      0.7256038387
          0,           0,          62,      -4.811870285,      -1.811140284,      -2.357574324,      0.6858904241
          0,           0,          63,      -4.851916004,      -1.850748951,       -2.39763283,      0.6463423551
          0,           0,          64,      -4.891803405,      -1.890081958,       -2.43753715,      0.6069500858
          0,           0,          65,      -4.931540472,      -1.929160615,      -2.477292048,      0.5677034303
          0,           0,          66,       -4.97113504,      -1.968005168,      -2.516902595,      0.5285927997
          0,           0,          67,      -5.010593489,      -2.006634477,      -2.556373462,      0.4896101306
