VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.8430578399,       1.383722722,       1.665963201,       4.616570363
          0,           0,           1,     -0.7978580589,       1.480526149,       1.718276453,       4.673204374
          0,           0,           2,      -1.052304844,       1.273728005,        1.43293827,       4.414281659
          0,           0,           3,      -1.303136141,       1.079489302,       1.159095794,       4.165871544
          0,           0,           4,      -1.489241638,      0.9189258617,      0.9637906743,       3.979775438
          0,           0,           5,      -1.665604521,      0.8164840827,      0.7847732966,       3.805746883
          0,           0,           6,      -1.833871714,      0.7515851235,      0.6084257521,       3.642695139
          0,           0,           7,      -1.990743371,      0.6806674233,      0.4448389925,       3.495067648
          0,           0,           8,      -2.155068048,      0.6071583773,      0.3188151524,       3.349979866
          0,           0,           9,      -2.319150873,      0.5445289884,      0.2122576553,       3.214053911
          0,           0,          10,      -2.470288882,      0.4834975919,      0.1138207249,       3.091953853
          0,           0,          11,      -2.607940918,      0.4164672367,     0.02077934666,       2.978181126
          0,           0,          12,      -2.731703492,      0.3435274112,    -0.06799270706,        2.87153522
          0,           0,          13,      -2.837911067,       0.267219428,     -0.1559083577,       2.775207526
          0,           0,          14,      -2.929743341,      0.1906777577,     -0.2465256489,       2.687788766
          0,           0,          15,      -3.012137586,      0.1163257801,     -0.3409441986,       2.605236992
          0,           0,          16,       -3.08548186,     0.04538092956,      -0.437918315,       2.525558442
          0,           0,          17,      -3.149798368,    -0.02159524833,     -0.5342713432,       2.448579891
          0,           0,          18,       -3.20750376,    -0.08435133464,     -0.6263310743,       2.374904448
          0,           0,          19,      -3.261634181,     -0.1430739869,     -0.7111755923,       2.305439373
          0,           0,          20,      -3.313339345,     -0.1982141538,     -0.7865105327,       2.241404179
          0,           0,          21,      -3.361925582,     -0.2503530806,     -0.8509512643,       2.184011892
          0,           0,          22,      -3.406612298,     -0.3000545596,     -0.9049636446,       2.133578707
          0,           0,          23,      -3.447811788,     -0.3478103445,     -0.9505622525,       2.088950628
          0,           0,          24,      -3.486479207,     -0.3939973588,      -0.990432149,       2.048312355
          0,           0,          25,      -3.523517045,     -0.4389214744,      -1.026829632,       2.009961711
          0,           0,          26,      -3.559565941,     -0.4828443897,      -1.061233693,       1.972705645
          0,           0,          27,      -3.595081558,     -0.5259920093,      -1.094582483,       1.935826551
          0,           0,          28,      -3.630481842,     -0.5685626345,       -1.12750886,        1.89887703
          0,           0,          29,      -3.666145904,     -0.6107226291,      -1.160496338,       1.861582886
          0,           0,          30,      -3.702307067,     -0.6525918811,      -1.193910158,       1.823841958
          0,           0,          31,      -3.739007778,     -0.6942474898,      -1.227968109,       1.785689996
          0,           0,          32,      -3.776232361,     -0.7357306969,      -1.262658546,       1.747195037
          0,           0,          33,      -3.813978599,     -0.7770754492,      -1.297799746,       1.708386452
          0,           0,          34,      -3.852118827,     -0.8183030707,      -1.333612632,       1.669342408
          0,           0,          35,      -3.890213182,     -0.8593287511,      -1.369984029,       1.630359305
          0,           0,          36,      -3.928118041,     -0.9001098936,      -1.406673935,        1.59153356
          0,           0,          37,      -3.965849974,     -0.9406331975,      -1.443497802,       1.552880733
          0,           0,          38,      -4.003442061,     -0.9808942182,      -1.480361096,       1.514394149
          0,           0,          39,      -4.040921883,      -1.020895247,       -1.51722317,       1.476056771
          0,           0,          40,        -4.0783112,      -1.060640749,      -1.554063632,       1.437854708
          0,           0,          41,      -4.115625231,      -1.100135341,      -1.590868624,       1.399782805
          0,           0,          42,      -4.152872108,      -1.139384432,      -1.627627935,       1.361840566
          0,           0,          43,      -4.190053043,      -1.178397178,      -1.664337497,        1.32403003
          0,           0,          44,      -4.227170525,      -1.217183514,       -1.70099889,       1.286349835
          0,           0,          45,      -4.264230051,      -1.255753385,       -1.73761517,       1.248792828
          0,           0,          46,      -4.301237098,      -1.294117658,      -1.774192578,       1.211351519
          0,           0,          47,       -4.33818984,      -1.332296194,      -1.810731912,       1.174027446
          0,           0,          48,      -4.375129184,      -1.370316329,      -1.847238392,        1.13678145
          0,           0,          49,      -4.412107996,      -1.408206943,      -1.883728122,       1.099561466
          0,           0,          50,      -4.449105027,       -1.44597813,      -1.920232481,       1.062379126
          0,           0,          51,      -4.486118733,      -1.483645839,       -1.95676279,       1.025232142
          0,           0,          52,      -4.523158766,      -1.521230533,      -1.993331561,      0.9881086521
          0,           0,          53,      -4.560217217,      -1.558738937,      -2.029931461,      0.9510111296
          0,           0,          54,      -4.597288829,      -1.596178204,        -2.0665463,      0.9139389842
          0,           0,          55,      -4.634381071,      -1.633561522,      -2.103176863,      0.8768818041
          0,           0,          56,      -4.671497291,      -1.670901324,      -2.139834654,      0.8398330197
          0,           0,          57,      -4.708637007,      -1.708208706,      -2.176526929,       0.802789341
          0,           0,          58,      -4.745801601,      -1.745492763,      -2.213256374,      0.7657463421
          0,           0,          59,      -4.782994945,      -1.782763257,      -2.250026225,      0.7286981849
          0,           0,          60,      -4.820221236,      -1.820028993,      -2.286839755,      0.6916389533
          0,           0,          61,      -4.857485183,      -1.857297755,      -2.323699643,      0.6545625268
          0,           0,          62,      -4.894791323,      -1.894576853,       -2.36060842,      0.6174630671
          0,           0,          63,       -4.93214336,      -1.931872715,      -2.397568484,      0.5803355814
          0,           0,          64,      -4.969544433,      -1.969191113,      -2.434581883,      0.5431756459
          0,           0,          65,      -5.006997167,      -2.006537287,      -2.471650512,       0.505979286
          0,           0,          66,      -5.044503544,      -2.043915994,      -2.508776259,      0.4687430862
          0,           0,          67,      -5.082064895,      -2.081331714,      -2.545960958,       0.431464161
          0,           0,          68,      -5.119681638,      -2.118787885,      -2.583205962,      0.3941406284
          0,           0,          69,      -5.157354716,       -2.15628798,      -2.620512596,      0.3567701336
          0,           0,          70,      -5.195084397,      -2.193835151,      -2.657882932,      0.3193510481
          0,           0,          71,      -5.232870616,      -2.231431692,      -2.695317405,      0.2818821478
          0,           0,          72,       -5.27071385,      -2.269079987,      -2.732816663,      0.2443618603
          0,           0,          73,      -5.308614332,       -2.30678228,      -2.770381147,      0.2067890172
          0,           0,          74,      -5.346572567,      -2.344540664,      -2.808010972,      0.1691623062
          0,           0,          75,      -5.384590419,      -2.382357088,      -2.845707571,      0.1314792269
          0,           0,          76,      -5.422667943,      -2.420232754,      -2.883471786,     0.09373910603
          0,           0,          77,      -5.460805193,       -2.45816909,       -2.92130487,      0.0559414125
          0,           0,          78,      -5.499001399,      -2.496167072,      -2.959207087,     0.01808640872
          0,           0,          79,      -5.537256469,      -2.534227574,      -2.997177612,    -0.01982622908
          0,           0,          80,      -5.575571299,      -2.572351595,      -3.035215805,    -0.05779767386
          0,           0,          81,      -5.613946819,      -2.610540134,      -3.073321689,    -0.09582909407
          0,           0,          82,      -5.652383319,      -2.648793961,      -3.111495601,     -0.1339210935
          0,           0,          83,      -5.690880825,      -2.687113732,      -3.149737525,     -0.1720740239
          0,           0,          84,      -5.729439631,      -2.725500064,      -3.188047676,     -0.2102884475
          0,           0,          85,      -5.768059748,      -2.763953443,      -3.226426037,     -0.2485646914
          0,           0,          86,       -5.80674085,      -2.802474242,      -3.264872548,     -0.2869027595
          0,           0,          87,      -5.845482699,      -2.841062793,      -3.303387059,     -0.3253026839
          0,           0,          88,      -5.884285276,      -2.879719432,      -3.341969371,     -0.3637646575
          0,           0,          89,      -5.923148646,      -2.918444475,      -3.380619333,     -0.4022889191
          0,           0,          90,      -5.962072867,      -2.957238203,      -3.419336867,     -0.4408756806
          0,           0,          91,      -6.001057968,      -2.996100854,      -3.458121907,     -0.4795251059
          0,           0,          92,      -6.040103928,      -3.035032634,      -3.496974351,     -0.5182373109
          0,           0,          93,      -6.079210817,      -3.074033713,      -3.535894003,     -0.5570124909
          0,           0,          94,      -6.118378581,      -3.113104233,      -3.574880786,     -0.5958507061
          0,           0,          95,      -6.157607227,      -3.152244316,      -3.613934606,     -0.6347520557
          0,           0,          96,      -6.196896737,       -3.19145404,      -3.653055273,     -0.6737166275
          0,           0,          97,      -6.236246999,      -3.230733451,      -3.692242566,     -0.7127444132
          0,           0,          98,      -6.275657893,      -3.270082578,      -3.731496272,     -0.7518353852
          0,           0,          99,      -6.315129361,      -3.309501449,      -3.770816203,     -0.7909895596
          0,           0,         100,      -6.354661402,      -3.348990092,      -3.810202206,     -0.8302069979
          0,           0,         101,      -6.394254041,      -3.388548529,      -3.849654147,     -0.8694877761
          0,           0,         102,      -6.433907317,      -3.428176768,      -3.889171894,     -0.9088319699
          0,           0,         103,      -6.473621275,      -3.467874808,       -3.92875531,     -0.9482396529
          0,           0,         104,      -6.513395983,      -3.507642635,      -3.968404266,     -0.9877109015
          0,           0,         105,      -6.553231505,      -3.547480231,      -4.008118644,      -1.027245784
          0,           0,         106,      -6.593127913,      -3.587387569,      -4.047898344,       -1.06684437
          0,           0,         107,      -6.633085284,      -3.627364617,      -4.087743277,       -1.10650672
          0,           0,         108,      -6.673103694,      -3.667411338,      -4.127653357,      -1.146232896
          0,           0,         109,      -6.713183238,      -3.707527688,      -4.167628503,      -1.186022969
          0,           0,         110,      -6.753324012,       -3.74771362,      -4.207668637,       -1.22587701
          0,           0,         111,      -6.793526125,      -3.787969081,       -4.24777368,      -1.265795095
          0,           0,         112,      -6.833789691,      -3.828294015,      -4.287943564,      -1.305777308
          0,           0,         113,      -6.874115395,      -3.868688836,      -4.328178504,      -1.345824236
          0,           0,         114,      -6.914504808,        -3.9091539,      -4.368481109,      -1.385937245
          0,           0,         115,      -6.954953579,      -3.949687491,      -4.408848493,       -1.42611254
          0,           0,         116,      -6.995461386,      -3.990289278,      -4.449278191,      -1.466349784
          0,           0,         117,      -7.036030649,      -4.030959909,      -4.489770375,      -1.506651023
          0,           0,         118,      -7.076663148,      -4.071699842,      -4.530325953,      -1.547017788
          0,           0,         119,      -7.117359501,      -4.112509146,      -4.570945884,      -1.587450602
          0,           0,         120,      -7.158119491,      -4.153387659,      -4.611630905,       -1.62794925
          0,           0,         121,      -7.198942626,      -4.194335141,      -4.652381246,      -1.668513267
          0,           0,         122,      -7.239828555,      -4.235351392,      -4.693196729,      -1.709142322
          0,           0,         123,      -7.280777216,      -4.276436281,      -4.734077109,      -1.749836347
          0,           0,         124,      -7.321788756,      -4.317589721,      -4.775022202,      -1.790595445
          0,           0,         125,      -7.362863373,      -4.358811646,      -4.816031942,      -1.831419763
          0,           0,         126,      -7.404001267,      -4.400101992,      -4.857106282,      -1.872309456
          0,           0,         127,      -7.445202623,      -4.441460702,      -4.898245197,      -1.913264657
          0,           0,         128,       -7.48646759,      -4.482887711,       -4.93944868,      -1.954285477
          0,           0,         129,      -7.527796378,      -4.524382964,      -4.980716799,      -1.995372079
          0,           0,         130,      -7.569189149,      -4.565946387,       -5.02204959,       -2.03652458
          0,           0,         131,      -7.610646053,      -4.607577917,      -5.063447116,       -2.07774309
          0,           0,         132,      -7.652167294,      -4.649277491,      -5.104909448,      -2.119027764
          0,           0,         133,       -7.69375299,      -4.691045044,      -5.146436677,      -2.160378687
          0,           0,         134,       -7.73540336,      -4.732880497,      -5.188028812,      -2.201796009
          0,           0,         135,      -7.777118501,      -4.774783818,      -5.229685996,      -2.243279827
          0,           0,         136,      -7.818898607,      -4.816754934,      -5.271408307,      -2.284830277
          0,           0,         137,      -7.860743834,      -4.858793797,      -5.313195816,      -2.326447491
          0,           0,         138,       -7.90265435,      -4.900900351,      -5.355048645,      -2.368131582
          0,           0,         139,      -7.944630273,      -4.943074546,      -5.396966897,      -2.409882645
          0,           0,         140,      -7.986671844,      -4.985316335,      -5.438950682,      -2.451700883
          0,           0,         141,      -8.028779185,      -5.027625679,       -5.48100015,      -2.493586385
          0,           0,         142,      -8.070952393,      -5.070002518,      -5.523115349,      -2.535539218
          0,           0,         143,      -8.113191562,       -5.11244681,      -5.565296474,      -2.577559487
          0,           0,         144,      -8.155497013,      -5.154958521,      -5.607543667,      -2.619647456
          0,           0,         145,      -8.197868848,      -5.197537609,       -5.64985702,       -2.66180317
          0,           0,         146,       -8.24030714,       -5.24018402,      -5.692236604,      -2.704026731
          0,           0,         147,       -8.28281189,      -5.282897752,      -5.734682741,      -2.746318128
          0,           0,         148,      -8.325383472,      -5.325678739,      -5.777195497,      -2.788677691
          0,           0,         149,      -8.368021845,       -5.36852694,      -5.819774896,      -2.831105372
          0,           0,         150,      -8.410727418,      -5.411442369,      -5.862421319,      -2.873601514
          0,           0,         151,      -8.453499813,      -5.454424939,      -5.905134687,      -2.916165877
          0,           0,         152,      -8.496339479,      -5.497474636,      -5.947915377,      -2.958798766
          0,           0,         153,      -8.539246424,      -5.540591445,      -5.990763517,      -3.001500263
          0,           0,         154,      -8.582220875,      -5.583775319,      -6.033679057,      -3.044270503
          0,           0,         155,      -8.625262638,      -5.627026281,      -6.076662669,      -3.087109431
          0,           0,         156,       -8.66837215,      -5.670344191,      -6.119714024,      -3.130017316
          0,           0,         157,      -8.711549471,      -5.713729108,      -6.162833588,       -3.17299436
          0,           0,         158,      -8.754794294,      -5.757181047,      -6.206021401,      -3.216040289
          0,           0,         159,      -8.798107106,      -5.800699893,      -6.249277901,      -3.259155395
          0,           0,         160,       -8.84148756,      -5.844285584,      -6.292602979,       -3.30233963
          0,           0,         161,      -8.884936363,      -5.887938165,      -6.335996951,      -3.345593334
          0,           0,         162,      -8.928453057,      -5.931657706,      -6.379460218,      -3.388916544
          0,           0,         163,      -8.972037905,      -5.975443964,      -6.422992283,      -3.432309232
          0,           0,         164,      -9.015690597,      -6.019297139,      -6.466594365,      -3.475771272
          0,           0,         165,      -9.059411589,       -6.06321688,      -6.510266403,      -3.519302914
          0,           0,         166,       -9.10320073,      -6.107203565,      -6.554007848,      -3.562904278
          0,           0,         167,      -9.147058244,      -6.151256711,      -6.597819509,      -3.606575382
          0,           0,         168,      -9.190984148,      -6.195376693,      -6.641701287,       -3.65031662
          0,           0,         169,      -9.234977214,      -6.239563081,      -6.685654052,      -3.694126766
          0,           0,         170,      -9.279039975,       -6.28381619,      -6.729678063,      -3.738007925
          0,           0,         171,      -9.323170313,      -6.328135792,      -6.773772736,      -3.781958231
          0,           0,         172,      -9.367368561,      -6.372522062,      -6.817938466,      -3.825978778
          0,           0,         173,      -9.411635647,      -6.416974479,      -6.862175161,      -3.870069113
          0,           0,         174,      -9.455971665,      -6.461493561,        -6.9064849,       -3.91423029
          0,           0,         175,      -9.500375994,      -6.506078734,      -6.950865369,       -3.95846157
          0,           0,         176,      -9.544846027,      -6.550730199,      -6.995316889,      -4.002761138
          0,           0,         177,      -9.589386609,      -6.595447849,      -7.039843059,      -4.047133142
          0,           0,         178,      -9.633993113,      -6.640232039,      -7.084439042,        -4.0915737
          0,           0,         179,      -9.678669598,      -6.685081842,       -7.12911047,      -4.136084566
          0,           0,         180,      -9.723413899,      -6.729997625,      -7.173853537,      -4.180666453
          0,           0,         181,      -9.768223719,      -6.774979946,      -7.218669967,      -4.225316745
          0,           0,         182,      -9.813103753,      -6.820027385,       -7.26355829,      -4.270038543
          0,           0,         183,      -9.858048126,      -6.865140384,      -7.308522866,      -4.314828054
          0,           0,         184,      -9.903068199,      -6.910319723,      -7.353557559,      -4.359693822
          0,           0,         185,      -9.948144593,      -6.955563237,      -7.398666107,      -4.404620587
          0,           0,         186,      -9.993297134,      -7.000874357,      -7.443852673,      -4.449623858
          0,           0,         187,      -10.03851349,      -7.046248885,      -7.489112436,      -4.494695819
          0,           0,         188,      -10.08379167,      -7.091688133,      -7.534438945,      -4.539832534
          0,           0,         189,      -10.12914218,      -7.137193527,      -7.579847248,      -4.585043854
          0,           0,         190,      -10.17456743,      -7.182764597,      -7.625330369,      -4.630330895
          0,           0,         191,      -10.22004898,      -7.228397783,      -7.670882721,      -4.675678772
          0,           0,         192,      -10.26559317,      -7.274095272,      -7.716513452,      -4.721094667
          0,           0,         193,      -10.31121335,      -7.319861182,      -7.762222771,      -4.766587359
          0,           0,         194,      -10.35689301,       -7.36568496,      -7.807993292,       -4.81214315
          0,           0,         195,      -10.40263895,      -7.411578602,      -7.853850407,      -4.857771089
          0,           0,         196,      -10.44844864,       -7.45753291,       -7.89978498,       -4.90346954
          0,           0,         197,      -10.49432912,      -7.503552747,      -7.945790109,      -4.949231783
          0,           0,         198,       -10.5402752,      -7.549638341,      -7.991884646,      -4.995072023
          0,           0,         199,      -10.58627728,      -7.595775946,      -8.038019882,       -5.04097102
          0,           0,         200,      -10.63236321,      -7.641983932,      -8.084240902,      -5.086947265
          0,           0,         201,      -10.67848778,      -7.688258053,      -8.130560727,      -5.132982886
          0,           0,         202,      -10.72467951,      -7.734583109,      -8.176942992,       -5.17908495
          0,           0,         203,      -10.77092524,      -7.780978757,       -8.22339137,      -5.225249121
          0,           0,         204,      -10.81725469,      -7.827437215,       -8.26992836,       -5.27149564
          0,           0,         205,      -10.86362178,      -7.873942088,      -8.316516215,      -5.317790522
          0,           0,         206,      -10.91009379,      -7.920518041,      -8.363185656,      -5.364186026
          0,           0,         207,      -10.95659857,      -7.967155855,      -8.409965426,      -5.410633464
          0,           0,         208,       -11.0031625,      -8.013851956,      -8.456789493,      -5.457129418
          0,           0,         209,      -11.04981484,      -8.060615819,      -8.503682887,      -5.503721422
          0,           0,         210,       -11.0964708,      -8.107419087,      -8.550631231,      -5.550333437
          0,           0,         211,      -11.14323566,      -8.154312068,       -8.59771858,      -5.597048998
          0,           0,         212,      -11.19003879,      -8.201219305,      -8.644813228,      -5.643812299
          0,           0,         213,      -11.23691052,      -8.248229511,      -8.691957145,      -5.690634828
          0,           0,         214,      -11.28382037,      -8.295234258,      -8.739207017,      -5.737532072
          0,           0,         215,      -11.33075235,      -8.342329534,      -8.786528347,      -5.784483897
          0,           0,         216,      -11.37785701,      -8.389513211,      -8.834038535,      -5.831557002
          0,           0,         217,      -11.42490932,      -8.436720137,      -8.881439823,      -5.878599701
          0,           0,         218,      -11.47200099,       -8.48394167,      -8.928988254,      -5.925723038
          0,           0,         219,      -11.51925786,      -8.531300605,      -8.976627119,      -5.973028441
          0,           0,         220,      -11.56658987,      -8.578681913,      -9.024337484,      -6.020289515
          0,           0,         221,      -11.61375398,      -8.626072005,      -9.071980686,      -6.067566079
          0,           0,         222,      -11.66102891,      -8.673548294,      -9.119787369,      -6.114891481
          0,           0,         223,      -11.70838896,      -8.721061337,      -9.167710087,      -6.162340722
          0,           0,         224,      -11.75589471,      -8.768585679,      -9.215652662,      -6.209831059
          0,           0,         225,      -11.80326746,      -8.816233657,      -9.263656403,      -6.257292905
          0,           0,         226,      -11.85105492,      -8.863867442,      -9.311559073,      -6.305082922
          0,           0,         227,      -11.89842746,       -8.91162516,      -9.359737069,      -6.352658297
          0,           0,         228,      -11.94622195,      -8.959277912,      -9.407912582,      -6.400591398
          0,           0,         229,      -11.99378206,      -9.007069025,      -9.456238956,      -6.448150236
          0,           0,         230,      -12.04129807,      -9.054914018,      -9.504494059,       -6.49594876
          0,           0,         231,      -12.08915212,      -9.102823888,      -9.552551014,      -6.543878067
          0,           0,         232,      -12.13665223,      -9.150700282,      -9.601056894,       -6.59169822
          0,           0,         233,      -12.18407719,      -9.198519559,      -9.649432845,      -6.639415941
          0,           0,         234,      -12.23248959,      -9.246683709,      -9.698207046,      -6.687568105
          0,           0,         235,      -12.28043878,       -9.29458225,       -9.74651105,      -6.735616921
          0,           0,         236,      -12.32773841,      -9.342577116,      -9.795532063,      -6.783283465
          0,           0,         237,      -12.37588208,      -9.390714886,       -9.84338422,      -6.831522419
          0,           0,         238,      -12.42430905,      -9.439015315,      -9.892379334,      -6.880282299
          0,           0,         239,      -12.47247933,      -9.487132882,      -9.940952164,      -6.928771298
          0,           0,         240,      -12.51972537,      -9.535052595,      -9.989674853,      -6.976311411
          0,           0,         241,      -12.56702643,      -9.582888029,      -10.03822413,       -7.02438328
          0,           0,         242,      -12.61494065,      -9.631390468,      -10.08799688,      -7.072508401
          0,           0,         243,      -12.66362724,      -9.679401693,       -10.1350345,      -7.121105631
          0,           0,         244,       -12.7108788,      -9.727448905,      -10.18427178,      -7.168681078
          0,           0,         245,      -12.75908851,      -9.775884482,      -10.23285406,      -7.217983497
          0,           0,         246,      -12.80425551,      -9.823510474,      -10.28043672,      -7.263977844
          0,           0,         247,      -12.85318855,      -9.872036991,      -10.33020158,      -7.313286205
          0,           0,         248,      -12.90053839,      -9.920198586,      -10.37888963,      -7.360962841
          0,           0,         249,      -12.94634025,      -9.968077188,      -10.42497048,      -7.407455689
          0,           0,         250,       -12.9948778,       -10.0169026,      -10.47632415,      -7.456146107
          0,           0,         251,      -13.04495369,      -10.06624426,      -10.52300094,      -7.507650254
          0,           0,         252,      -13.08765868,      -10.11345507,      -10.56882829,      -7.551699713
          0,           0,         253,      -13.13900112,      -10.16132117,      -10.61844823,      -7.602562878
          0,           0,         254,      -13.18526655,      -10.20965517,      -10.66384677,      -7.651543543
          0,           0,         255,      -13.22773002,      -10.25544758,      -10.71513694,      -7.692941202
          0,           0,         256,        -13.269578,      -10.30266714,      -10.76653737,      -7.737284285
          0,           0,         257,      -13.31776485,      -10.35013126,      -10.81133509,      -7.780672412
          0,           0,         258,      -13.34521772,        -10.395855,       -10.8556134,      -7.821402851
          0,           0,         259,      -13.38979553,      -10.44026764,      -10.89636784,      -7.858630374
          0,           0,         260,      -13.44380214,      -10.49188845,      -10.93279599,      -7.910804346
          0,           0,         261,      -13.47986287,      -10.54168425,      -10.97552889,      -7.959844533
          0,           0,         262,      -13.53355881,      -10.59095438,      -11.03411745,      -8.013860291
          0,           0,         263,      -13.57063855,       -10.6293935,      -11.06260175,      -8.038831183
          0,           0,         264,       -13.5949527,      -10.68516537,      -11.10470177,      -8.081847502
          0,           0,         265,      -13.60436856,      -10.72043115,      -11.15472506,      -8.083546087
          0,           0,         266,      -13.60660167,      -10.74240858,      -11.17847067,      -8.077416942
          0,           0,         267,      -13.64549774,      -10.81338366,      -11.19180097,      -8.136956031
          0,           0,         268,      -13.68106569,      -10.84969729,      -11.20437208,      -8.194258192
          0,           0,         269,      -13.71896849,      -10.90263648,      -11.29063304,      -8.214099012
          0,           0,         270,      -13.73032251,       -10.9223952,      -11.27222606,      -8.233695798
          0,           0,         271,      -13.79241896,       -10.9884302,      -11.37483616,      -8.296660435
          0,           0,         272,      -13.84185261,      -11.03222227,      -11.39544746,      -8.355605371
          0,           0,         273,      -13.75353829,      -11.04271594,      -11.37495315,      -8.261494824
          0,           0,         274,      -13.68530359,      -11.00841926,      -11.34279397,      -8.214267753
          0,           0,         275,      -13.83839654,      -11.11988633,       -11.3721764,      -8.327052531
          0,           0,         276,      -13.83273879,      -11.16287387,      -11.37846255,      -8.331354029
          0,           0,         277,      -13.82205485,      -11.11142157,      -11.50425612,      -8.313610448
          0,           0,         278,      -13.87169424,      -11.22120407,      -11.46960022,      -8.395391241
          0,           0,         279,      -13.85372898,      -11.24990468,      -11.40218718,      -8.346568255
          0,           0,         280,      -13.93735257,      -11.27281907,      -11.51829087,      -8.442601199
          0,           0,         281,      -13.74257039,      -11.28098245,       -11.2690545,      -8.255343888
          0,           0,         282,      -13.76075192,      -11.27701407,      -11.37327063,      -8.323723391
          0,           0,         283,      -13.86260009,      -11.24569405,       -11.5577384,      -8.367264793
          0,           0,         284,      -13.79564745,      -11.21869392,       -11.3439792,      -8.322383461
          0,           0,         285,        -13.919395,      -11.27516145,      -11.44386924,      -8.376530096
          0,           0,         286,      -13.80518833,      -11.25051542,      -11.39011779,      -8.312296339
          0,           0,         287,      -13.81367438,       -11.1549111,      -11.48629303,       -8.33676161
          0,           0,         288,      -13.84558265,      -11.22060627,      -11.47008281,      -8.362868077
          0,           0,         289,      -13.93721419,      -11.30634832,       -11.5422762,      -8.443777939
          0,           0,         290,      -13.93884504,      -11.47518192,      -11.52190545,      -8.449856482
          0,           0,         291,      -13.85469255,       -11.3601021,      -11.59294395,      -8.416936969
          0,           0,         292,      -13.80746405,      -11.37870569,       -11.5122506,      -8.435186299
          0,           0,         293,       -13.8223815,      -11.41673903,      -11.46314856,      -8.370162585
          0,           0,         294,      -13.86611971,       -11.3261031,       -11.3298581,      -8.323297662
          0,           0,         295,      -13.81921862,      -11.21651961,      -11.49455377,        -8.3001942
          0,           0,         296,      -13.88957771,      -11.37953618,      -11.48663201,      -8.374054356
          0,           0,         297,      -13.81455707,      -11.33616955,       -11.4748926,      -8.332031586
          0,           0,         298,      -13.95087996,      -11.39853727,      -11.51353671,      -8.419707764
          0,           0,         299,      -13.82637817,      -11.38469408,      -11.42638949,      -8.391269881
          0,           0,         300,      -13.83901779,       -11.2592367,      -11.41703284,      -8.326732034
          0,           0,         301,      -13.93776574,      -11.44745748,      -11.44094334,      -8.427022781
          0,           0,         302,      -13.92030347,      -11.32728011,      -11.45518029,       -8.45857654
          0,           0,         303,      -13.75480624,      -11.32947478,      -11.34678188,      -8.294313605
          0,           0,         304,      -13.75337989,      -11.31160205,      -11.34099162,      -8.274067283
          0,           0,         305,      -13.91401011,      -11.32220129,       -11.5241246,      -8.371964478
          0,           0,         306,      -13.80739155,      -11.34868718,      -11.45152656,      -8.333110941
          0,           0,         307,       -13.8464293,      -11.29331855,       -11.3781555,       -8.35245317
          0,           0,         308,      -13.90849428,      -11.37463683,      -11.48378486,      -8.443026434
          0,           0,         309,      -13.78598491,      -11.20972491,      -11.48944237,      -8.316251206
          0,           0,         310,      -13.89065591,      -11.21156737,      -11.55643478,      -8.386041101
          0,           0,         311,      -13.94437326,      -11.38507409,      -11.52908809,      -8.471941452
          0,           0,         312,      -13.95756054,      -11.40910773,      -11.44213466,      -8.474269254
          0,           0,         313,      -13.93486215,       -11.3166126,      -11.61255003,      -8.434969068
          0,           0,         314,      -13.91376483,      -11.34065235,      -11.45712081,      -8.413922585
          0,           0,         315,      -13.93520904,      -11.40529638,      -11.54810238,       -8.41008139
