VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.7679202359,       1.504761186,       1.724717104,       4.691707967
          0,           0,           1,      -0.713225682,       1.563224524,       1.777504631,       4.756413215
          0,           0,           2,     -0.9529062579,       1.384773408,        1.52826042,       4.516101668
          0,           0,           3,       -1.18169373,       1.214799228,       1.280276734,        4.28619138
          0,           0,           4,      -1.364017288,       1.075041683,       1.089508254,       4.102582734
          0,           0,           5,      -1.537450167,      0.9530250822,      0.8648815784,       3.936737052
          0,           0,           6,      -1.728431765,       0.863461398,      0.6768501079,       3.759741589
          0,           0,           7,      -1.891750071,      0.7873115784,      0.5176968858,       3.601395991
          0,           0,           8,      -2.058146101,      0.7048489219,      0.3746386226,        3.44213785
          0,           0,           9,      -2.212393211,      0.6366129157,      0.2288795848,       3.302099688
          0,           0,          10,      -2.349288872,      0.5791869569,      0.1067979974,       3.186376164
          0,           0,          11,      -2.475381131,      0.5229970035,     0.01614981027,       3.086885136
          0,           0,          12,      -2.591997781,      0.4639003559,    -0.05580480774,       2.995970317
          0,           0,          13,      -2.700037646,      0.4011291627,     -0.1223488413,       2.906779154
          0,           0,          14,      -2.800024135,      0.3356073796,     -0.1933265202,       2.816630356
          0,           0,          15,      -2.889621045,      0.2692842447,     -0.2712417113,       2.727848311
          0,           0,          16,      -2.966307383,      0.2042452089,     -0.3536173025,       2.644427585
          0,           0,          17,      -3.031461164,      0.1419195384,     -0.4369557014,       2.568204126
          0,           0,          18,       -3.08913551,     0.08280882101,     -0.5186556092,       2.498369938
          0,           0,          19,       -3.14259159,     0.02674931198,     -0.5970588393,       2.433500858
          0,           0,          20,      -3.193231286,    -0.02668834991,     -0.6709542133,       2.372958119
          0,           0,          21,      -3.241595004,    -0.07798548431,     -0.7398050127,        2.31660317
          0,           0,          22,      -3.288170747,     -0.1276283908,     -0.8037300417,       2.264077103
          0,           0,          23,       -3.33340515,     -0.1760867548,     -0.8631030018,       2.214686577
          0,           0,          24,      -3.377538951,     -0.2237646766,     -0.9181917305,       2.167650566
          0,           0,          25,        -3.4207143,     -0.2709764135,     -0.9690653241,       2.122251953
          0,           0,          26,      -3.462978305,     -0.3179257588,      -1.015856742,       2.077957015
          0,           0,          27,      -3.504389808,      -0.364727063,      -1.058982519,       2.034405394
          0,           0,          28,      -3.545040063,     -0.4114241041,      -1.099140611,       1.991378054
          0,           0,          29,      -3.585026803,     -0.4580288955,      -1.137112299,       1.948782519
          0,           0,          30,      -3.624432518,     -0.5045429358,      -1.173584793,       1.906606485
          0,           0,          31,      -3.663296906,     -0.5509569102,       -1.20908092,       1.864899067
          0,           0,          32,       -3.70169522,     -0.5972661258,      -1.243957225,       1.823669758
          0,           0,          33,       -3.73976139,     -0.6434735056,      -1.278553289,       1.782862951
          0,           0,          34,      -3.777633772,     -0.6895851464,      -1.313157439,       1.742396798
          0,           0,          35,      -3.815493369,     -0.7356019839,      -1.347976687,       1.702144254
          0,           0,          36,      -3.853381742,     -0.7815290107,      -1.383220358,       1.662066724
          0,           0,          37,      -3.891289813,     -0.8273583594,      -1.418902736,       1.622173193
          0,           0,          38,      -3.929235692,     -0.8730827416,      -1.454959086,       1.582461617
          0,           0,          39,      -3.967261834,     -0.9186907359,      -1.491345476,       1.542892733
          0,           0,          40,      -4.005394305,     -0.9641659336,      -1.528030141,       1.503421044
          0,           0,          41,      -4.043630649,      -1.009492814,      -1.564976798,       1.464022683
          0,           0,          42,      -4.081970097,      -1.054652713,      -1.602140271,       1.424676114
          0,           0,          43,      -4.120410778,      -1.099627504,      -1.639478626,       1.385365212
          0,           0,          44,      -4.158947468,      -1.144400959,      -1.676959593,       1.346079567
          0,           0,          45,      -4.197572528,      -1.188958868,      -1.714556748,       1.306812971
          0,           0,          46,      -4.236278622,      -1.233289762,      -1.752249463,        1.26756089
          0,           0,          47,      -4.275050983,      -1.277381797,      -1.790021347,       1.228327892
          0,           0,          48,      -4.313858771,      -1.321224269,      -1.827995104,          1.189133
          0,           0,          49,       -4.35280514,      -1.364835923,      -1.866060173,       1.149878462
          0,           0,          50,      -4.391939882,        -1.4082154,      -1.904195173,       1.110519422
          0,           0,          51,      -4.431033236,      -1.451318315,      -1.942356269,       1.071253292
          0,           0,          52,      -4.469975773,      -1.494129226,      -1.980460453,       1.032179672
          0,           0,          53,      -4.508798324,      -1.536661566,      -2.018493589,      0.9932711336
          0,           0,          54,      -4.547556099,       -1.57893529,      -2.056478515,      0.9544712254
          0,           0,          55,       -4.58628116,      -1.620969125,      -2.094439919,      0.9157438749
          0,           0,          56,      -4.624989093,        -1.6627788,      -2.132391717,      0.8770708173
          0,           0,          57,      -4.663689606,      -1.704379644,      -2.170342944,      0.8384406987
          0,           0,          58,      -4.702387279,      -1.745789332,      -2.208305404,      0.7998470844
          0,           0,          59,      -4.741089172,      -1.787025099,      -2.246285514,      0.7612803819
          0,           0,          60,      -4.779802365,      -1.828106787,      -2.284290418,      0.7227308419
          0,           0,          61,      -4.818537334,       -1.86905436,      -2.322329095,      0.6841854781
          0,           0,          62,       -4.85730154,      -1.909886352,      -2.360410731,      0.6456341909
          0,           0,          63,      -4.896109864,      -1.950604403,      -2.398557317,      0.6070588321
