VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.8791415996,       1.354668149,       1.629525936,       4.580486603
          0,           0,           1,     -0.8398723533,        1.43729295,       1.644231298,       4.631221857
          0,           0,           2,      -1.093220011,       1.223736636,       1.392618131,       4.374109868
          0,           0,           3,      -1.332561109,       1.048166614,       1.152860156,       4.134692945
          0,           0,           4,      -1.558869479,      0.9125845937,      0.9651574591,       3.909194996
          0,           0,           5,      -1.716943301,      0.8208136171,      0.7550371866,       3.752427695
          0,           0,           6,      -1.874659257,      0.7483867165,      0.5983827879,       3.601690445
          0,           0,           7,      -2.038221959,        0.66530535,      0.4637765258,       3.447639972
          0,           0,           8,      -2.205794913,      0.5913825821,      0.3365396583,         3.2956219
          0,           0,           9,      -2.359355746,      0.5323696501,      0.2098554107,       3.161936824
          0,           0,          10,      -2.495903007,      0.4805991847,     0.08729567459,       3.048417067
          0,           0,          11,      -2.604385031,      0.4314961135,    -0.02911061663,       2.960028323
          0,           0,          12,      -2.693468909,      0.3808066767,     -0.1303362419,       2.885566735
          0,           0,          13,      -2.780468498,      0.3268086832,     -0.2119410366,       2.810741674
          0,           0,          14,      -2.868156024,      0.2707071543,     -0.2838479862,       2.733013556
          0,           0,          15,      -2.948590214,      0.2145028997,     -0.3561376713,       2.657375148
          0,           0,          16,      -3.016542883,      0.1595681282,     -0.4311931266,       2.587763478
          0,           0,          17,       -3.07461314,      0.1064639628,     -0.5067133339,       2.524076338
          0,           0,          18,      -3.127915816,     0.05524293248,      -0.579772799,       2.464576555
          0,           0,          19,      -3.179286584,    0.005636342147,      -0.648864938,       2.408208202
          0,           0,          20,      -3.229325233,    -0.04280147916,     -0.7139239321,        2.35465726
          0,           0,          21,      -3.277995503,    -0.09053131639,     -0.7752817229,       2.303652843
          0,           0,          22,      -3.325466184,     -0.1379471268,     -0.8331641203,       2.254625368
          0,           0,          23,      -3.372049355,     -0.1853616551,      -0.887723483,        2.20688083
          0,           0,          24,      -3.417957781,     -0.2330026489,     -0.9391513881,       2.159849283
          0,           0,          25,      -3.463250566,     -0.2810207322,     -0.9877336644,       2.113165995
          0,           0,          26,      -3.507909269,     -0.3295019608,      -1.033843736,       2.066639399
          0,           0,          27,      -3.551932443,     -0.3784820148,      -1.077931762,       2.020175129
          0,           0,          28,      -3.595385322,     -0.4279580042,      -1.120482743,       1.973719743
          0,           0,          29,      -3.638406035,     -0.4778961727,      -1.162011509,       1.927234518
          0,           0,          30,      -3.681169828,      -0.528239074,      -1.202943817,       1.880689538
          0,           0,          31,      -3.723807449,     -0.5789177488,      -1.243527168,       1.834097757
          0,           0,          32,      -3.766351919,     -0.6298164429,      -1.284001665,        1.78754107
          0,           0,          33,      -3.808809783,     -0.6808273767,      -1.324471566,       1.741093162
          0,           0,          34,      -3.851176036,     -0.7318485071,       -1.36493807,       1.694829111
          0,           0,          35,      -3.893472332,     -0.7827923498,      -1.405269208,       1.648782825
          0,           0,          36,      -3.935740955,     -0.8335955426,      -1.445461418,         1.6029499
          0,           0,          37,      -3.977976314,     -0.8842048726,      -1.485696111,       1.557350434
          0,           0,          38,       -4.02009898,      -0.934545406,      -1.525985171,       1.512049756
          0,           0,          39,      -4.062067731,     -0.9845595529,      -1.566257768,        1.46708995
          0,           0,          40,        -4.1038816,      -1.034200745,      -1.606427593,       1.422492513
          0,           0,          41,      -4.145566146,      -1.083431044,       -1.64646297,       1.378245235
          0,           0,          42,       -4.18714639,      -1.132218872,      -1.686366321,       1.334325452
          0,           0,          43,      -4.228632829,       -1.18053606,      -1.726146845,       1.290720764
          0,           0,          44,      -4.270018126,      -1.228358166,      -1.765808685,       1.247434952
          0,           0,          45,      -4.311287565,      -1.275664059,      -1.805350786,       1.204477168
          0,           0,          46,      -4.352428643,      -1.322438415,      -1.844774607,       1.161852221
          0,           0,          47,      -4.393429777,      -1.368670576,      -1.884080045,       1.119562244
          0,           0,          48,      -4.434283881,       -1.41435596,      -1.923268364,       1.077603291
          0,           0,          49,      -4.474988886,      -1.459495907,       -1.96234096,       1.035965256
          0,           0,          50,      -4.515544535,      -1.504097959,      -2.001299462,      0.9946359092
          0,           0,          51,      -4.555953402,      -1.548174766,      -2.040145572,      0.9535999148
          0,           0,          52,      -4.596216774,      -1.591744336,      -2.078881634,      0.9128431888
          0,           0,          53,      -4.636338215,      -1.634828952,      -2.117510494,      0.8723495744
          0,           0,          54,      -4.676322341,      -1.677454583,      -2.156037002,      0.8321024806
          0,           0,          55,      -4.716176349,      -1.719650053,      -2.194466291,      0.7920834792
          0,           0,          56,      -4.755906294,      -1.761445908,      -2.232805789,      0.7522758162
          0,           0,          57,      -4.795504292,        -1.8028836,      -2.271090512,        0.71267771
          0,           0,          58,      -4.834968224,      -1.844006517,      -2.309352186,      0.6732836025
          0,           0,          59,       -4.87434913,      -1.884825755,      -2.347531603,      0.6340287721
          0,           0,          60,       -4.91366401,      -1.925375664,      -2.385642478,      0.5948895307
          0,           0,          61,      -4.952927833,      -1.965687128,       -2.42370444,      0.5558476188
          0,           0,          62,       -4.99215185,      -2.005789791,      -2.461733327,      0.5168863398
          0,           0,          63,      -5.031341329,      -2.045710897,      -2.499740709,      0.4779929846
          0,           0,          64,      -5.070497132,      -2.085475476,      -2.537736655,      0.4391590922
          0,           0,          65,      -5.109623791,       -2.12510628,      -2.575728267,       0.400373915
          0,           0,          66,      -5.148728176,      -2.164626012,      -2.613723684,      0.3616260236
          0,           0,          67,      -5.187818554,      -2.204056205,      -2.651731504,      0.3229039248
          0,           0,          68,      -5.226904148,       -2.24341595,      -2.689759156,      0.2841957546
          0,           0,          69,      -5.265992808,      -2.282722336,      -2.727812635,      0.2454913637
          0,           0,          70,      -5.305091611,      -2.321989863,       -2.76589711,      0.2067816491
          0,           0,          71,      -5.344207194,      -2.361231297,      -2.804016557,      0.1680582016
          0,           0,          72,      -5.383344767,      -2.400458338,      -2.842175412,      0.1293143456
          0,           0,          73,      -5.422509222,      -2.439681396,      -2.880378411,     0.09054402637
          0,           0,          74,      -5.461704989,      -2.478909311,      -2.918628482,     0.05174173739
          0,           0,          75,      -5.500935486,      -2.518149504,      -2.956927919,     0.01290311913
          0,           0,          76,      -5.540203611,      -2.557408596,      -2.995278469,    -0.02597540732
          0,           0,          77,      -5.579513115,      -2.596692557,      -3.033682016,    -0.06489811041
          0,           0,          78,      -5.618867196,      -2.636006561,       -3.07214093,     -0.1038685481
          0,           0,          79,      -5.658268128,      -2.675354873,      -3.110657183,     -0.1428892456
          0,           0,          80,      -5.697717904,      -2.714741013,      -3.149232114,     -0.1819623517
          0,           0,          81,      -5.737218556,      -2.754167963,      -3.187866835,     -0.2210899498
          0,           0,          82,      -5.776771812,      -2.793638203,      -3.226562383,     -0.2602737613
          0,           0,          83,      -5.816378861,      -2.833153715,      -3.265319615,     -0.2995149675
          0,           0,          84,      -5.856040508,       -2.87271604,      -3.304139125,     -0.3388143549
          0,           0,          85,      -5.895757375,      -2.912326365,      -3.343021265,     -0.3781725016
          0,           0,          86,      -5.935530036,      -2.951985559,      -3.381965934,     -0.4175899082
          0,           0,          87,      -5.975359189,      -2.991694147,      -3.420971837,     -0.4570671834
          0,           0,          88,      -6.015244998,      -3.031452337,      -3.460041225,     -0.4966043386
          0,           0,          89,      -6.055187477,       -3.07126042,      -3.499174003,     -0.5362012295
          0,           0,          90,      -6.095186884,      -3.111118681,       -3.53836981,     -0.5758579848
          0,           0,          91,       -6.13524316,      -3.151027064,      -3.577628253,      -0.615574462
          0,           0,          92,      -6.175355798,      -3.190985331,      -3.616949011,     -0.6553501025
          0,           0,          93,      -6.215524173,      -3.230993164,      -3.656331699,     -0.6951842425
          0,           0,          94,      -6.255747754,       -3.27105022,      -3.695775848,     -0.7350763085
          0,           0,          95,       -6.29602614,      -3.311156146,      -3.735280973,      -0.775025846
          0,           0,          96,      -6.336358994,      -3.351310556,      -3.774846613,     -0.8150324595
          0,           0,          97,      -6.376745994,      -3.391513016,      -3.814472339,     -0.8550957545
          0,           0,          98,      -6.417186776,      -3.431763041,      -3.854157744,     -0.8952152917
          0,           0,          99,      -6.457680921,      -3.472060112,      -3.893902431,     -0.9353905864
          0,           0,         100,      -6.498227939,      -3.512403677,      -3.933705997,     -0.9756210965
          0,           0,         101,      -6.538827279,       -3.55279316,       -3.97356801,      -1.015906235
          0,           0,         102,      -6.579478345,      -3.593227957,      -4.013488008,      -1.056245382
          0,           0,         103,      -6.620180515,      -3.633707448,      -4.053465498,      -1.096637893
          0,           0,         104,      -6.660933136,      -3.674230998,      -4.093499955,      -1.137083099
          0,           0,         105,      -6.701735528,      -3.714797961,       -4.13359083,      -1.177580308
          0,           0,         106,      -6.742586983,      -3.755407689,      -4.173737546,      -1.218128809
          0,           0,         107,      -6.783486767,      -3.796059528,        -4.2139395,      -1.258727869
          0,           0,         108,      -6.824434114,      -3.836752824,      -4.254196061,      -1.299376737
          0,           0,         109,       -6.86542824,      -3.877486924,      -4.294506581,      -1.340074648
          0,           0,         110,       -6.90646835,      -3.918261183,      -4.334870395,      -1.380820836
          0,           0,         111,      -6.947553635,      -3.959074963,      -4.375286832,      -1.421614524
          0,           0,         112,      -6.988683278,      -3.999927641,      -4.415755207,      -1.462454927
          0,           0,         113,      -7.029856473,      -4.040818605,      -4.456274831,      -1.503341279
          0,           0,         114,      -7.071072412,      -4.081747267,       -4.49684502,      -1.544272811
          0,           0,         115,      -7.112330292,      -4.122713052,      -4.537465087,      -1.585248767
          0,           0,         116,      -7.153629326,      -4.163715403,      -4.578134348,      -1.626268402
          0,           0,         117,      -7.194968725,      -4.204753788,      -4.618852119,      -1.667330977
          0,           0,         118,      -7.236347725,      -4.245827692,      -4.659617734,      -1.708435774
          0,           0,         119,      -7.277765537,      -4.286936615,      -4.700430519,       -1.74958206
          0,           0,         120,      -7.319221421,       -4.32808008,      -4.741289813,      -1.790769145
          0,           0,         121,       -7.36071459,      -4.369257621,      -4.782194967,      -1.831996298
          0,           0,         122,      -7.402244293,      -4.410468801,      -4.823145318,      -1.873262824
          0,           0,         123,      -7.443809799,      -4.451713202,      -4.864140229,      -1.914568068
          0,           0,         124,       -7.48541035,      -4.492990414,      -4.905179058,      -1.955911311
          0,           0,         125,      -7.527045227,      -4.534300071,       -4.94626119,      -1.997291915
          0,           0,         126,      -7.568713759,      -4.575641805,      -4.987385971,      -2.038709252
          0,           0,         127,      -7.610415205,      -4.617015284,      -5.028552814,      -2.080162657
          0,           0,         128,      -7.652148905,      -4.658420187,      -5.069761118,       -2.12165153
          0,           0,         129,      -7.693914235,      -4.699856226,      -5.111010275,      -2.163175303
          0,           0,         130,      -7.735710501,      -4.741323126,      -5.152299726,      -2.204733367
          0,           0,         131,      -7.777537132,      -4.782820629,      -5.193628917,      -2.246325198
          0,           0,         132,      -7.819393428,      -4.824348483,      -5.234997258,      -2.287950161
          0,           0,         133,      -7.861278869,      -4.865906493,      -5.276404239,      -2.329607804
          0,           0,         134,      -7.903192847,      -4.907494448,      -5.317849344,      -2.371297591
          0,           0,         135,      -7.945134797,      -4.949112155,      -5.359332006,      -2.413019018
          0,           0,         136,      -7.987104158,      -4.990759453,      -5.400851798,      -2.454771589
          0,           0,         137,      -8.029100433,      -5.032436178,      -5.442408182,      -2.496554854
          0,           0,         138,      -8.071123069,      -5.074142231,      -5.484000696,      -2.538368386
          0,           0,         139,      -8.113171626,      -5.115877453,       -5.52562892,      -2.580211745
          0,           0,         140,      -8.155245559,      -5.157641749,      -5.567292329,      -2.622084471
          0,           0,         141,      -8.197344526,      -5.199435018,      -5.608990594,      -2.663986279
          0,           0,         142,       -8.23946793,      -5.241257196,      -5.650723236,      -2.705916676
          0,           0,         143,      -8.281615543,      -5.283108176,      -5.692489878,      -2.747875425
          0,           0,         144,      -8.323786723,      -5.324987915,      -5.734290167,      -2.789862018
          0,           0,         145,      -8.365981237,      -5.366896357,      -5.776123637,      -2.831876265
          0,           0,         146,      -8.408198607,      -5.408833448,      -5.817990034,      -2.873917737
          0,           0,         147,       -8.45043864,      -5.450799163,      -5.859889007,      -2.915986245
          0,           0,         148,      -8.492700989,      -5.492793455,      -5.901820171,      -2.958081588
          0,           0,         149,      -8.534985129,      -5.534816263,      -5.943783258,      -3.000203259
          0,           0,         150,      -8.577290838,      -5.576867615,      -5.985777817,       -3.04235114
          0,           0,         151,      -8.619617817,      -5.618947447,      -6.027803758,      -3.084524912
          0,           0,         152,      -8.661965839,      -5.661055743,      -6.069860775,      -3.126724532
          0,           0,         153,      -8.704334501,      -5.703192421,      -6.111948563,      -3.168949384
          0,           0,         154,       -8.74672365,      -5.745357528,      -6.154066817,      -3.211199741
          0,           0,         155,       -8.78913288,      -5.787551035,      -6.196215278,      -3.253474959
          0,           0,         156,      -8.831562202,      -5.829772821,      -6.238393781,      -3.295775158
          0,           0,         157,      -8.874011077,      -5.872022924,      -6.280601992,      -3.338100072
          0,           0,         158,      -8.916479488,      -5.914301338,      -6.322839816,      -3.380449375
          0,           0,         159,      -8.958966944,      -5.956607845,      -6.365106977,      -3.422822995
          0,           0,         160,      -9.001473545,      -5.998942567,      -6.407403226,      -3.465220834
          0,           0,         161,      -9.043999189,      -6.041305391,      -6.449728577,      -3.507642694
          0,           0,         162,      -9.086543112,      -6.083696221,      -6.492082368,      -3.550087965
          0,           0,         163,       -9.12910533,      -6.126114814,      -6.534464862,      -3.592556985
          0,           0,         164,      -9.171686071,      -6.168561345,       -6.57687549,      -3.635049948
          0,           0,         165,       -9.21428441,      -6.211035195,       -6.61931432,       -3.67756539
          0,           0,         166,      -9.256900611,      -6.253537184,      -6.661781363,      -3.720104562
          0,           0,         167,      -9.299534628,      -6.296066225,      -6.704275732,      -3.762666947
          0,           0,         168,      -9.342185215,      -6.338622467,      -6.746798348,      -3.805251246
          0,           0,         169,      -9.384852937,      -6.381205804,       -6.78934813,      -3.847858168
          0,           0,         170,      -9.427538435,      -6.423815891,      -6.831924556,      -3.890488002
          0,           0,         171,      -9.470240411,      -6.466452917,      -6.874528323,      -3.933139987
          0,           0,         172,      -9.512959217,      -6.509116432,      -6.917159363,      -3.975814396
          0,           0,         173,      -9.555694489,      -6.551806248,      -6.959817198,      -4.018511095
          0,           0,         174,      -9.598443869,      -6.594521267,      -7.002500158,      -4.061227528
          0,           0,         175,      -9.641211691,      -6.637263034,      -7.045210499,      -4.103967315
          0,           0,         176,      -9.683991524,      -6.680028757,      -7.087946158,      -4.146724692
          0,           0,         177,      -9.726788987,      -6.722820798,      -7.130708106,       -4.18950669
          0,           0,         178,      -9.769598982,       -6.76563669,      -7.173495653,      -4.232306178
          0,           0,         179,       -9.81242704,      -6.808477129,      -7.216308634,      -4.275129698
          0,           0,         180,      -9.855267002,       -6.85134221,      -7.259146424,      -4.317971861
          0,           0,         181,      -9.898124104,      -6.894229881,      -7.302009545,      -4.360834584
          0,           0,         182,      -9.940989974,       -6.93714197,      -7.344896855,      -4.403713381
          0,           0,         183,      -9.983876874,      -6.980076753,      -7.387809883,       -4.44661718
          0,           0,         184,       -10.0267683,      -7.023031503,      -7.430743548,      -4.489532542
          0,           0,         185,      -10.06968041,      -7.066010226,      -7.473705099,      -4.532474056
          0,           0,         186,      -10.11260137,      -7.109010103,      -7.516688766,      -4.575430667
          0,           0,         187,      -10.15553038,      -7.152029602,       -7.55969283,      -4.618401086
          0,           0,         188,      -10.19847457,      -7.195069668,      -7.602721673,      -4.661392529
          0,           0,         189,      -10.24143696,      -7.238129334,      -7.645778429,      -4.704403339
          0,           0,         190,      -10.28440158,      -7.281209468,      -7.688850534,      -4.747427791
          0,           0,         191,      -10.32737395,      -7.324307257,      -7.731947933,      -4.790466797
          0,           0,         192,      -10.37035915,      -7.367422061,       -7.77506427,       -4.83352316
          0,           0,         193,      -10.41336454,      -7.410556578,      -7.818209602,      -4.876599898
          0,           0,         194,      -10.45637968,      -7.453708284,      -7.861366864,      -4.919694872
          0,           0,         195,      -10.49938529,      -7.496873066,      -7.904547103,      -4.962789526
          0,           0,         196,      -10.54239879,      -7.540055956,      -7.947750008,      -5.005896081
          0,           0,         197,      -10.58545218,       -7.58325479,       -7.99097039,      -5.049045007
          0,           0,         198,      -10.62848911,      -7.626464809,      -8.034219312,      -5.092182969
          0,           0,         199,      -10.67153059,      -7.669686506,      -8.077472089,      -5.135336069
          0,           0,         200,      -10.71456762,      -7.712922008,      -8.120746467,      -5.178489873
          0,           0,         201,       -10.7576349,       -7.75616984,      -8.164032042,      -5.221676332
          0,           0,         202,       -10.8006912,      -7.799423548,      -8.207349612,      -5.264862554
          0,           0,         203,      -10.84379603,      -7.842707718,      -8.250707607,      -5.308095244
          0,           0,         204,      -10.88685847,      -7.885987327,      -8.294055452,       -5.35129319
          0,           0,         205,      -10.92991191,      -7.929272431,      -8.337405713,      -5.394497809
          0,           0,         206,      -10.97303939,      -7.972574629,      -8.380784192,      -5.437760714
          0,           0,         207,      -11.01612053,      -8.015867729,      -8.424163729,       -5.48098085
          0,           0,         208,      -11.05919163,      -8.059192016,      -8.467603293,       -5.52421727
          0,           0,         209,      -11.10227646,      -8.102525884,      -8.511040975,      -5.567462819
          0,           0,         210,      -11.14543022,      -8.145822468,      -8.554418515,      -5.610769193
          0,           0,         211,      -11.18846986,      -8.189148506,      -8.597867022,      -5.653994815
          0,           0,         212,      -11.23162482,      -8.232489411,      -8.641351766,      -5.697336531
          0,           0,         213,      -11.27470181,      -8.275811391,      -8.684797762,      -5.740535334
          0,           0,         214,      -11.31771465,      -8.319155388,      -8.728403667,      -5.783808483
          0,           0,         215,      -11.36075968,      -8.362475238,      -8.771810384,      -5.827023385
          0,           0,         216,      -11.40397674,       -8.40584362,      -8.815339972,      -5.870432053
          0,           0,         217,      -11.44701295,       -8.44919416,      -8.858924053,      -5.913669661
          0,           0,         218,      -11.49023192,      -8.492565923,      -8.902441871,      -5.957089334
          0,           0,         219,      -11.53319893,      -8.535829217,      -8.945969084,      -6.000236551
          0,           0,         220,      -11.57635427,      -8.579210064,      -8.989492605,      -6.043567871
          0,           0,         221,      -11.61947972,      -8.622520053,      -9.032999667,      -6.086934409
          0,           0,         222,      -11.66254972,      -8.665839762,      -9.076532878,       -6.13023909
          0,           0,         223,      -11.70543245,       -8.70921139,      -9.120244915,      -6.173439707
          0,           0,         224,      -11.74861251,      -8.752516093,      -9.163730208,      -6.216878222
          0,           0,         225,      -11.79150352,      -8.795753554,      -9.207304842,      -6.259927835
          0,           0,         226,       -11.8350972,      -8.839201249,      -9.251265925,      -6.303672867
          0,           0,         227,      -11.87780563,      -8.882453497,       -9.29448679,      -6.346666305
          0,           0,         228,      -11.92048392,      -8.925758471,      -9.338173804,      -6.389703318
          0,           0,         229,      -11.96385817,      -8.969001952,      -9.381740356,      -6.433406119
          0,           0,         230,      -12.00675887,      -9.012365647,      -9.425410262,      -6.476524534
          0,           0,         231,      -12.04998727,      -9.055509148,      -9.468895265,      -6.520019479
          0,           0,         232,      -12.09226491,      -9.098766917,      -9.512337625,      -6.562570858
          0,           0,         233,      -12.13542961,      -9.141964794,      -9.556496737,      -6.605988789
          0,           0,         234,      -12.17931523,      -9.185265063,      -9.599993904,      -6.650103052
          0,           0,         235,      -12.22160562,       -9.22860452,       -9.64324962,      -6.692555008
          0,           0,         236,      -12.26503185,      -9.271784805,      -9.687391493,      -6.736044196
          0,           0,         237,      -12.30718587,      -9.314714208,      -9.730326326,      -6.778724736
          0,           0,         238,      -12.34956586,      -9.358128274,      -9.774946464,       -6.82206293
          0,           0,         239,      -12.39423828,       -9.40116932,      -9.817288209,      -6.866449556
          0,           0,         240,      -12.43668483,      -9.444822875,      -9.861952767,      -6.909338334
          0,           0,         241,      -12.47936084,      -9.487816811,      -9.905025536,      -6.951880285
          0,           0,         242,      -12.52352557,      -9.531200213,      -9.949186534,       -6.99639455
          0,           0,         243,      -12.56545261,      -9.574028985,      -9.991770842,      -7.039065953
          0,           0,         244,      -12.60664003,      -9.617009554,      -10.03624722,      -7.080670097
          0,           0,         245,      -12.64979139,      -9.659863444,      -10.07907945,       -7.12407557
          0,           0,         246,      -12.69134949,      -9.703291941,      -10.12311814,      -7.165454451
          0,           0,         247,      -12.73743005,      -9.745883439,      -10.16682746,      -7.212009055
          0,           0,         248,      -12.77893439,      -9.788778138,      -10.21072185,      -7.254096772
          0,           0,         249,      -12.82257654,       -9.83186321,      -10.25245308,      -7.297204031
