VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,       -1.21006955,       1.039230892,       1.289009509,       4.249558653
          0,           0,           1,      -1.173003192,       1.129461115,       1.354278225,       4.293084836
          0,           0,           2,      -1.367299944,      0.9782883016,       1.055457702,       4.097962193
          0,           0,           3,       -1.63230792,      0.8271246752,      0.8486488579,       3.833658553
          0,           0,           4,       -1.81484847,      0.7147173489,      0.6423017606,       3.650136971
          0,           0,           5,      -1.987499032,      0.6138042783,      0.4969191613,       3.481271632
          0,           0,           6,      -2.155722351,      0.5491656381,      0.3751633718,        3.31564338
          0,           0,           7,       -2.27286604,      0.4875434093,      0.2520179213,       3.196760263
          0,           0,           8,      -2.361462974,      0.4251702483,      0.1684389021,       3.111291497
          0,           0,           9,      -2.473557612,      0.3564636781,      0.0856082804,       3.008027939
          0,           0,          10,      -2.597987558,      0.2858250641,    -0.01028858256,       2.894625791
          0,           0,          11,      -2.708348243,      0.2214612306,     -0.1060940901,       2.791922465
          0,           0,          12,      -2.804230111,      0.1628219692,     -0.1919225864,       2.699532309
          0,           0,          13,      -2.882736131,      0.1073774844,     -0.2736156707,       2.620813597
          0,           0,          14,      -2.943298818,     0.05452277277,     -0.3568472065,       2.556875691
          0,           0,          15,      -2.994889304,    0.003705194258,     -0.4397387705,       2.500675312
          0,           0,          16,      -3.042963755,    -0.04602028046,     -0.5174847409,       2.447917807
          0,           0,          17,      -3.088312106,    -0.09539017838,      -0.586654955,       2.398208411
          0,           0,          18,      -3.131829571,     -0.1447846311,     -0.6463617135,       2.350921982
          0,           0,          19,      -3.175055198,     -0.1943788697,     -0.6985458147,       2.304628906
          0,           0,          20,      -3.218870404,     -0.2442268789,      -0.746871683,       2.258356088
          0,           0,          21,      -3.263358712,     -0.2943147301,     -0.7947203161,       2.211882808
          0,           0,          22,      -3.308337148,     -0.3445603127,     -0.8440146596,       2.165319107
          0,           0,          23,      -3.353746323,     -0.3948462929,     -0.8953357686,        2.11870293
          0,           0,          24,      -3.399594837,     -0.4450585285,     -0.9484747505,        2.07201182
          0,           0,          25,      -3.445887168,     -0.4950955561,      -1.002880334,       2.025216895
          0,           0,          26,      -3.492638981,     -0.5448928965,      -1.057917326,       1.978267229
          0,           0,          27,      -3.539838192,     -0.5943987526,       -1.11303252,       1.931131705
          0,           0,          28,      -3.587458174,      -0.643590854,      -1.167820283,       1.883792134
          0,           0,          29,      -3.635487003,     -0.6924836015,      -1.222021937,       1.836220422
          0,           0,          30,      -3.683882423,     -0.7410737494,      -1.275536379,       1.788415594
          0,           0,          31,      -3.732558394,     -0.7893442416,      -1.328360572,       1.740419041
          0,           0,          32,      -3.781380205,     -0.8372583753,      -1.380513015,       1.692323485
          0,           0,          33,      -3.830192501,     -0.8847578567,      -1.432005227,       1.644248509
          0,           0,          34,      -3.878849842,     -0.9317837227,      -1.482829692,       1.596312433
          0,           0,          35,      -3.927269034,     -0.9782339734,      -1.532880858,        1.54858126
          0,           0,          36,       -3.97529999,      -1.024096087,      -1.582286257,       1.501192537
          0,           0,          37,      -4.022820716,      -1.069320508,      -1.630999369,       1.454266368
          0,           0,          38,      -4.069753566,      -1.113874099,      -1.678950362,       1.407879475
          0,           0,          39,      -4.116041602,      -1.157746829,      -1.726086593,       1.362090231
          0,           0,          40,      -4.161634137,      -1.200929963,      -1.772366328,       1.316953326
          0,           0,          41,      -4.206494557,      -1.243426271,      -1.817758855,       1.272509496
          0,           0,          42,      -4.250593455,      -1.285250458,      -1.862244292,       1.228790697
          0,           0,          43,      -4.293911644,       -1.32643155,      -1.905812397,       1.185817709
          0,           0,          44,      -4.336446859,      -1.367004943,      -1.948469241,       1.143594499
          0,           0,          45,      -4.378213347,      -1.407013144,      -1.990239961,       1.102108827
          0,           0,          46,       -4.41924007,      -1.446504959,      -2.031166185,       1.061334075
          0,           0,          47,      -4.459568195,      -1.485531357,      -2.071302328,       1.021231727
          0,           0,          48,      -4.499248924,      -1.524144036,      -2.110711345,      0.9817534669
          0,           0,          49,      -4.538339699,      -1.562392256,      -2.149461461,      0.9428448647
          0,           0,          50,       -4.57690249,       -1.60032589,      -2.187623687,      0.9044469586
          0,           0,          51,      -4.615000221,      -1.637990946,      -2.225269489,      0.8664996265
          0,           0,          52,      -4.652694903,      -1.675430891,      -2.262468447,      0.8289433525
          0,           0,          53,      -4.690045914,      -1.712685413,      -2.299286327,      0.7917208906
          0,           0,          54,      -4.727108421,      -1.749790242,      -2.335784637,      0.7547788677
          0,           0,          55,      -4.763932823,      -1.786776813,       -2.37201764,      0.7180683586
          0,           0,          56,       -4.80056548,      -1.823675411,      -2.408034427,      0.6815442222
          0,           0,          57,      -4.837047178,      -1.860507983,      -2.443878653,      0.6451668447
          0,           0,          58,      -4.873413897,      -1.897295456,      -2.479588827,      0.6089012276
          0,           0,          59,       -4.90969673,      -1.934055764,      -2.515198597,      0.5727171219
          0,           0,          60,      -4.945921884,      -1.970803962,       -2.55073636,      0.5365890535
          0,           0,          61,      -4.982111657,      -2.007552716,      -2.586225738,      0.5004953789
          0,           0,          62,      -5.018285038,      -2.044312694,      -2.621686213,      0.4644176827
          0,           0,          63,      -5.054458015,      -2.081092836,      -2.657133766,      0.4283404557
          0,           0,          64,      -5.090643889,      -2.117900593,      -2.692581451,      0.3922507788
          0,           0,          65,      -5.126853593,      -2.154742154,      -2.728039848,      0.3561380096
          0,           0,          66,      -5.163095994,       -2.19162264,       -2.76351746,      0.3199934922
          0,           0,          67,      -5.199378756,      -2.228550526,      -2.799021096,      0.2838096841
          0,           0,          68,      -5.235707939,      -2.265529672,      -2.834556368,      0.2475806225
          0,           0,          69,      -5.272087815,      -2.302558718,      -2.870127848,      0.2113021353
          0,           0,          70,      -5.308521914,      -2.339640083,      -2.905739096,      0.1749707109
          0,           0,          71,      -5.345012938,      -2.376775894,      -2.941393004,      0.1385836273
          0,           0,          72,      -5.381563013,      -2.413967772,      -2.977091904,       0.102138723
          0,           0,          73,      -5.418173774,      -2.451217236,      -3.012837657,     0.06563430426
          0,           0,          74,      -5.454846506,      -2.488525434,      -3.048631767,      0.0290690186
          0,           0,          75,      -5.491582274,      -2.525893034,      -3.084475565,   -0.007558264885
          0,           0,          76,      -5.528381983,      -2.563320794,      -3.120370288,    -0.04424852513
          0,           0,          77,      -5.565246297,      -2.600809298,       -3.15631705,    -0.08100250649
          0,           0,          78,      -5.602175728,      -2.638359001,      -3.192316838,     -0.1178208037
          0,           0,          79,      -5.639170656,      -2.675970249,      -3.228370534,     -0.1547038773
          0,           0,          80,      -5.676231321,      -2.713643294,      -3.264478933,     -0.1916520504
          0,           0,          81,      -5.713357841,      -2.751378302,      -3.300642738,      -0.228665521
          0,           0,          82,      -5.750550241,      -2.789175373,      -3.336862562,     -0.2657443953
          0,           0,          83,      -5.787808496,      -2.827034555,      -3.373138941,     -0.3028887182
          0,           0,          84,      -5.825132556,      -2.864955857,      -3.409472353,     -0.3400984977
          0,           0,          85,      -5.862522264,      -2.902939246,      -3.445863285,     -0.3773736913
          0,           0,          86,      -5.899977613,       -2.94098459,      -3.482312131,     -0.4147142866
          0,           0,          87,      -5.937498422,      -2.979091928,       -3.51881934,     -0.4521201891
          0,           0,          88,      -5.975084545,      -3.017261182,      -3.555385316,     -0.4895913131
          0,           0,          89,      -6.012735863,       -3.05549224,      -3.592010475,     -0.5271275881
