VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -0.850308137,       1.422136287,       1.641229098,       4.609320066
          0,           0,           1,      -0.881893417,       1.473846638,       1.632283926,       4.583351255
          0,           0,           2,      -1.080708349,       1.280162218,       1.423808398,       4.385047901
          0,           0,           3,      -1.252840823,       1.178968881,        1.17059691,       4.215734347
          0,           0,           4,      -1.423612843,       1.051789681,       1.004359347,       4.051806106
          0,           0,           5,      -1.635547033,      0.9410228772,      0.8372733752,       3.848305547
          0,           0,           6,      -1.815721755,      0.8859134524,      0.6948816421,       3.667538357
          0,           0,           7,      -1.955976177,      0.8103513058,      0.5769433105,       3.522645478
          0,           0,           8,      -2.096114985,       0.723411557,      0.4608789475,        3.38657003
          0,           0,           9,      -2.235098273,      0.6499911255,       0.331838902,       3.262060408
          0,           0,          10,      -2.359855211,      0.5913027819,       0.201499252,       3.158908458
          0,           0,          11,      -2.453899287,      0.5397314396,     0.09060892485,       3.083165478
          0,           0,          12,      -2.529812352,      0.4880419883,    0.003699087833,       3.017113795
          0,           0,          13,       -2.60752293,      0.4327527279,    -0.07516551003,       2.944235576
          0,           0,          14,      -2.687748092,      0.3744845836,     -0.1570812732,       2.865241691
          0,           0,          15,      -2.764037055,      0.3152014334,     -0.2403670484,       2.787101868
          0,           0,          16,      -2.834604347,       0.256180674,     -0.3198450384,       2.713683404
          0,           0,          17,      -2.900784324,       0.197958247,     -0.3935306332,       2.645469918
          0,           0,          18,      -2.965608794,      0.1408575844,     -0.4625884686,       2.580224234
          0,           0,          19,      -3.030549607,     0.08518578286,     -0.5297470853,       2.516017773
          0,           0,          20,      -3.094826561,     0.03116285717,     -0.5971133315,       2.452515726
          0,           0,          21,      -3.156870655,    -0.02119901103,     -0.6652972484,       2.390383219
          0,           0,          22,      -3.215835032,    -0.07211604443,     -0.7337154942,       2.330250367
          0,           0,          23,      -3.271848407,     -0.1219425386,     -0.8013446251,       2.272312101
          0,           0,          24,       -3.32531579,     -0.1710418938,     -0.8671752683,       2.216576374
          0,           0,          25,       -3.37660229,     -0.2197140202,     -0.9303228447,       2.162960013
          0,           0,          26,      -3.426024721,     -0.2681915981,     -0.9900726628,       2.111275148
          0,           0,          27,      -3.473919929,     -0.3166509731,      -1.046075238,       2.061209592
          0,           0,          28,      -3.520655546,     -0.3652265771,      -1.098517931,       2.012356213
          0,           0,          29,      -3.566590315,     -0.4140194518,      -1.148037106,       1.964289793
          0,           0,          30,      -3.612024966,     -0.4630972464,      -1.195427558,       1.916649263
          0,           0,          31,      -3.657194835,     -0.5124977061,      -1.241421772,       1.869169811
          0,           0,          32,      -3.702256772,     -0.5622320691,      -1.286598364,       1.821696717
          0,           0,          33,      -3.747307813,     -0.6122916494,      -1.331372671,       1.774161612
          0,           0,          34,      -3.792403553,     -0.6626550453,      -1.376012258,       1.726553726
          0,           0,          35,      -3.837567684,     -0.7132926692,      -1.420650722,       1.678899555
          0,           0,          36,      -3.882806145,     -0.7641708229,      -1.465327812,       1.631240124
          0,           0,          37,      -3.928123498,     -0.8152542454,      -1.510035736,       1.583611535
          0,           0,          38,      -3.973512061,     -0.8665055295,      -1.554745449,       1.536051584
          0,           0,          39,      -4.018956294,     -0.9178861517,      -1.599441281,       1.488588834
          0,           0,          40,      -4.064454478,     -0.9693597372,      -1.644117186,       1.441230245
          0,           0,          41,      -4.110011756,      -1.020890662,      -1.688766835,       1.393970592
          0,           0,          42,       -4.15563125,      -1.072443474,      -1.733385802,       1.346802345
          0,           0,          43,      -4.201309258,       -1.12398215,      -1.777968728,       1.299722229
          0,           0,          44,      -4.247033007,      -1.175470017,      -1.822505546,       1.252735221
          0,           0,          45,      -4.292782046,      -1.226869262,      -1.866980145,       1.205854517
          0,           0,          46,      -4.338530115,      -1.278142317,      -1.911370332,       1.159100803
          0,           0,          47,      -4.384250779,      -1.329252711,      -1.955650824,       1.112496972
          0,           0,          48,      -4.429922856,       -1.38016438,      -1.999797319,       1.066062164
          0,           0,          49,       -4.47552904,      -1.430843006,      -2.043789559,       1.019812542
