VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.8379388876,       1.432450395,       1.657721881,       4.621689315
          0,           0,           1,     -0.8232582311,       1.469260716,       1.699246446,       4.647666939
          0,           0,           2,       -1.03536022,       1.297837822,       1.471109842,       4.436144733
          0,           0,           3,      -1.279109114,       1.135809613,       1.247366995,       4.193693142
          0,           0,           4,      -1.482594836,      0.9771771966,       1.051302938,       3.992499332
          0,           0,           5,      -1.652022874,      0.8838207236,      0.8401462071,       3.828915855
          0,           0,           6,      -1.847398088,      0.7843479531,      0.6660793466,        3.64647877
          0,           0,           7,      -2.021860256,      0.7047756756,      0.5090133898,        3.48129525
          0,           0,           8,      -2.169683207,      0.6379998464,      0.3690040845,       3.343821126
          0,           0,           9,      -2.317813609,      0.5775204195,      0.2425297515,       3.215397869
          0,           0,          10,      -2.462991617,      0.5184001908,      0.1279886763,       3.097225935
          0,           0,          11,      -2.580271737,      0.4603300215,     0.02458012601,       3.001510308
          0,           0,          12,      -2.672978336,      0.4016618138,    -0.06950078932,       2.917465236
          0,           0,          13,      -2.752072471,      0.3411547184,     -0.1572850693,       2.834519001
          0,           0,          14,      -2.818734185,      0.2798793622,     -0.2402900693,       2.754951312
          0,           0,          15,      -2.874850171,      0.2195497361,     -0.3192258344,       2.683432348
          0,           0,          16,      -2.927176151,      0.1609291347,     -0.3952133333,        2.61878749
          0,           0,          17,      -2.981268891,      0.1039271157,     -0.4690780244,        2.55671304
          0,           0,          18,      -3.038487834,     0.04830909828,     -0.5406724876,       2.494543491
          0,           0,          19,      -3.097388685,   -0.006039300323,      -0.609572133,       2.432098947
          0,           0,          20,      -3.156013858,    -0.05922185579,     -0.6757040554,       2.370272619
          0,           0,          21,      -3.213113365,     -0.1114200136,     -0.7392847246,       2.309943218
          0,           0,          22,       -3.26813259,     -0.1628726767,     -0.8004955132,       2.251723204
          0,           0,          23,      -3.320973567,     -0.2138084227,     -0.8592812162,       2.195937647
