VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -0.937312948,       1.311022802,       1.566027183,       4.522315255
          0,           0,           1,     -0.8944968247,       1.377647386,       1.640571578,       4.574140064
          0,           0,           2,      -1.147786441,       1.175012544,       1.344921121,       4.319203898
          0,           0,           3,      -1.390870913,       1.057661657,       1.068759371,       4.075761182
          0,           0,           4,      -1.595834364,      0.9047232209,      0.8796542085,       3.868009083
          0,           0,           5,      -1.767774542,      0.7986652412,      0.7008138461,       3.698136092
          0,           0,           6,       -1.91183228,      0.7289984626,      0.5618839717,       3.559315291
          0,           0,           7,      -2.041743578,       0.652463004,      0.4204203631,       3.435377479
          0,           0,           8,      -2.180043174,      0.5761070106,      0.2917753808,       3.307966945
          0,           0,           9,      -2.333583119,       0.512173072,      0.1905756613,       3.175391132
          0,           0,          10,      -2.494291556,      0.4585340418,      0.1003646539,       3.050226121
          0,           0,          11,      -2.640499685,       0.407114212,    0.002737524236,        2.94636681
          0,           0,          12,      -2.748125686,      0.3524202425,    -0.09689628805,       2.865080623
          0,           0,          13,      -2.825967936,      0.2922606245,     -0.1832918848,       2.791971606
          0,           0,          14,      -2.896217635,       0.227153633,     -0.2566498213,       2.716407075
          0,           0,          15,      -2.967718066,      0.1589886976,     -0.3284197847,       2.637461088
          0,           0,          16,      -3.039842494,     0.08975770033,     -0.4052715001,        2.55829772
          0,           0,          17,      -3.109109057,     0.02100979367,     -0.4862249773,       2.482174291
          0,           0,          18,      -3.173551881,    -0.04627392829,     -0.5662788379,       2.410472769
          0,           0,          19,      -3.233873547,     -0.1115216286,     -0.6403713223,       2.342649273
          0,           0,          20,      -3.291933106,      -0.174473878,      -0.706436091,       2.277422932
          0,           0,          21,      -3.348699933,     -0.2350483612,     -0.7656931678,       2.214097095
          0,           0,          22,      -3.403442735,     -0.2932813018,     -0.8206640829,       2.153124717
          0,           0,          23,      -3.454870352,      -0.349297114,      -0.873410395,        2.09545459
          0,           0,          24,      -3.502476342,     -0.4033078729,     -0.9249636683,       2.041571906
          0,           0,          25,      -3.546776287,     -0.4556033498,      -0.975473818,       1.991174903
          0,           0,          26,      -3.588732266,     -0.5065069439,      -1.024614467,       1.943501154
          0,           0,          27,      -3.629275394,     -0.5563081479,      -1.072000337,       1.897726726
          0,           0,          28,      -3.669132427,      -0.605238295,      -1.117488002,       1.853161103
          0,           0,          29,      -3.708798962,     -0.6534583036,      -1.161231956,       1.809317451
          0,           0,          30,      -3.748560742,     -0.7010649909,      -1.203579449,       1.765904338
          0,           0,          31,      -3.788545739,     -0.7481052068,      -1.244926079,        1.72277634
          0,           0,          32,       -3.82871607,     -0.7946148343,      -1.285735899,       1.679929159
          0,           0,          33,      -3.869116949,     -0.8406023705,      -1.326200039,       1.637295808
          0,           0,          34,       -3.90977456,       -0.88607274,      -1.366487128,       1.594802092
          0,           0,          35,        -3.9506123,     -0.9310218383,      -1.406561333,       1.552456585
          0,           0,          36,       -3.99160764,     -0.9754602149,       -1.44639156,         1.5102572
          0,           0,          37,       -4.03273881,      -1.019401721,      -1.486022494,       1.468204648
          0,           0,          38,      -4.073955787,      -1.062859881,      -1.525519955,       1.426310857
          0,           0,          39,      -4.115197158,      -1.105849091,      -1.564929875,       1.384600868
          0,           0,          40,      -4.156405637,      -1.148385821,       -1.60426522,       1.343106506
          0,           0,          41,      -4.197544854,      -1.190488129,      -1.643519802,       1.301846819
          0,           0,          42,      -4.238573343,      -1.232174849,      -1.682683093,       1.260843004
          0,           0,          43,      -4.279452848,      -1.273465967,      -1.721744869,       1.220110752
          0,           0,          44,      -4.320161008,      -1.314386776,      -1.760699176,       1.179650105
          0,           0,          45,      -4.360690821,      -1.354967414,      -1.799545861,       1.139447992
          0,           0,          46,      -4.401046172,      -1.395238805,      -1.838290647,       1.099483192
          0,           0,          47,      -4.441238453,      -1.435232919,      -1.876941437,       1.059729396
          0,           0,          48,      -4.481285069,      -1.474981661,      -1.915508718,        1.02015648
          0,           0,          49,      -4.521201693,      -1.514514052,      -1.954005065,      0.9807380153
          0,           0,          50,      -4.561005828,      -1.553858496,      -1.992444661,      0.9414474232
          0,           0,          51,      -4.600713076,      -1.593041011,      -2.030840979,      0.9022616172
          0,           0,          52,      -4.640321838,      -1.632092503,      -2.069238017,      0.8631759461
          0,           0,          53,      -4.679829891,      -1.671042156,       -2.10767216,      0.8241884253
          0,           0,          54,      -4.719293918,      -1.709889884,      -2.146050937,      0.7852416665
          0,           0,          55,      -4.758723297,       -1.74865309,       -2.18439778,      0.7463237152
          0,           0,          56,      -4.798106706,      -1.787343789,      -2.222733149,      0.7074395936
          0,           0,          57,      -4.837439017,      -1.825973067,      -2.261071334,       0.668593555
          0,           0,          58,      -4.876725096,      -1.864552894,      -2.299418885,        0.62978254
          0,           0,          59,      -4.915974045,      -1.903094697,      -2.337778406,      0.5909985073
          0,           0,          60,      -4.955195388,      -1.941609323,      -2.376152388,      0.5522317701
          0,           0,          61,      -4.994397215,      -1.980105717,      -2.414544467,      0.5134739556
          0,           0,          62,       -5.03358728,      -2.018591659,      -2.452958394,      0.4747175692
          0,           0,          63,      -5.072798556,      -2.057067378,      -2.491356754,       0.435932559
          0,           0,          64,      -5.112068152,      -2.095544062,      -2.529748418,      0.3970859596
          0,           0,          65,      -5.151355104,      -2.134039056,      -2.568219919,      0.3582154097
          0,           0,          66,      -5.190616901,      -2.172546395,      -2.606745019,      0.3193586775
          0,           0,          67,      -5.229853333,      -2.211066369,       -2.64530791,      0.2805161706
          0,           0,          68,      -5.269084528,      -2.249604058,      -2.683904766,      0.2416712214
          0,           0,          69,      -5.308328943,      -2.288164528,       -2.72253455,      0.2028082803
          0,           0,          70,      -5.347596682,      -2.326751435,      -2.761195645,      0.1639183734
          0,           0,          71,      -5.386890193,      -2.365366196,      -2.799886055,      0.1249990164
          0,           0,          72,        -5.4262089,      -2.404010148,      -2.838604018,     0.08605060394
          0,           0,          73,      -5.465551716,      -2.442684574,      -2.877349006,     0.04707433011
          0,           0,          74,      -5.504918853,      -2.481389508,      -2.916122222,    0.008070441695
          0,           0,          75,      -5.544312483,      -2.520126251,      -2.954924317,     -0.0309625972
          0,           0,          76,      -5.583734916,      -2.558896246,      -2.993755592,    -0.07002651381
          0,           0,          77,      -5.623187892,      -2.597700332,      -3.032616422,     -0.1091226285
          0,           0,          78,       -5.66267295,      -2.636539467,       -3.07150696,     -0.1482521256
          0,           0,          79,      -5.702190559,      -2.675414382,      -3.110427435,     -0.1874152783
          0,           0,          80,      -5.741740947,      -2.714325857,      -3.149378101,     -0.2266121753
          0,           0,          81,      -5.781324667,      -2.753274398,      -3.188359382,     -0.2658431463
          0,           0,          82,      -5.820942205,      -2.792260602,      -3.227371656,     -0.3051085067
          0,           0,          83,      -5.860594197,      -2.831285059,      -3.266415375,     -0.3444087222
          0,           0,          84,      -5.900281316,      -2.870348353,      -3.305491017,     -0.3837443279
          0,           0,          85,      -5.940004188,      -2.909451054,      -3.344599091,     -0.4231158495
          0,           0,          86,      -5.979763374,      -2.948593772,      -3.383740091,     -0.4625237825
          0,           0,          87,      -6.019559407,      -2.987777014,       -3.42291461,     -0.5019686086
          0,           0,          88,      -6.059392774,      -3.027001254,      -3.462123288,     -0.5414507888
          0,           0,          89,      -6.099263989,       -3.06626702,      -3.501366791,     -0.5809708197
          0,           0,          90,      -6.139173591,      -3.105574838,      -3.540645839,      -0.620529221
          0,           0,          91,      -6.179122098,      -3.144925223,        -3.5799612,     -0.6601264976
          0,           0,          92,          -6.21911,      -3.184318685,      -3.619313687,     -0.6997631396
          0,           0,          93,      -6.259137774,      -3.223755726,      -3.658704159,     -0.7394396295
          0,           0,          94,      -6.299205868,      -3.263236838,      -3.698133498,     -0.7791564343
          0,           0,          95,      -6.339314686,      -3.302762499,      -3.737602583,     -0.8189139913
          0,           0,          96,      -6.379464607,      -3.342333173,      -3.777112285,     -0.8587127204
          0,           0,          97,      -6.419655977,      -3.381949319,      -3.816663471,     -0.8985530191
          0,           0,          98,      -6.459889135,      -3.421611386,      -3.856257014,     -0.9384352807
          0,           0,          99,      -6.500164408,      -3.461319819,      -3.895893792,     -0.9783598878
          0,           0,         100,      -6.540482108,      -3.501075059,      -3.935574686,      -1.018327211
          0,           0,         101,      -6.580842536,      -3.540877539,      -3.975300571,      -1.058337606
          0,           0,         102,      -6.621245976,      -3.580727688,      -4.015072317,      -1.098391415
          0,           0,         103,      -6.661692702,      -3.620625929,      -4.054890783,      -1.138488966
          0,           0,         104,      -6.702182971,      -3.660572679,      -4.094756823,      -1.178630572
          0,           0,         105,      -6.742717028,      -3.700568349,      -4.134671281,      -1.218816534
          0,           0,         106,      -6.783295099,      -3.740613345,      -4.174634988,      -1.259047134
          0,           0,         107,      -6.823917397,      -3.780708063,      -4.214648762,      -1.299322641
          0,           0,         108,      -6.864584114,      -3.820852895,      -4.254713406,      -1.339643306
          0,           0,         109,      -6.905295414,      -3.861048222,      -4.294829707,      -1.380009359
          0,           0,         110,      -6.946051468,      -3.901294423,      -4.334998437,      -1.420421025
          0,           0,         111,      -6.986852404,      -3.941591865,      -4.375220343,      -1.460878505
          0,           0,         112,      -7.027698358,      -3.981940913,      -4.415496159,       -1.50138199
          0,           0,         113,      -7.068589451,      -4.022341925,      -4.455826589,      -1.541931668
          0,           0,         114,      -7.109525794,      -4.062795253,      -4.496212325,      -1.582527717
          0,           0,         115,      -7.150507484,      -4.103301244,      -4.536654046,      -1.623170303
          0,           0,         116,      -7.191534647,       -4.14386024,      -4.577152398,      -1.663859603
          0,           0,         117,      -7.232607367,       -4.18447258,      -4.617708006,      -1.704595769
          0,           0,         118,      -7.273725736,      -4.225138593,      -4.658321488,      -1.745378953
          0,           0,         119,      -7.314889858,      -4.265858612,      -4.698993441,      -1.786209319
          0,           0,         120,      -7.356099825,      -4.306632961,      -4.739724441,      -1.827087021
          0,           0,         121,       -7.39735572,      -4.347461955,      -4.780515032,      -1.868012192
          0,           0,         122,      -7.438657662,      -4.388345919,      -4.821365763,      -1.908985007
          0,           0,         123,      -7.480005751,      -4.429285159,      -4.862277158,      -1.950005608
          0,           0,         124,      -7.521400102,      -4.470279991,      -4.903249716,      -1.991074162
          0,           0,         125,      -7.562840812,      -4.511330718,      -4.944283918,      -2.032190815
          0,           0,         126,      -7.604328006,      -4.552437646,      -4.985380242,      -2.073355722
          0,           0,         127,      -7.645861865,      -4.593601073,      -5.026539133,      -2.114569096
          0,           0,         128,      -7.687442488,      -4.634821303,      -5.067761035,      -2.155831084
          0,           0,         129,       -7.72907006,      -4.676098621,      -5.109046358,      -2.197141877
          0,           0,         130,       -7.77074473,       -4.71743333,      -5.150395526,      -2.238501658
