VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.4924850012,        1.86775021,       1.948118384,       4.967143202
          0,           0,           1,      -0.524253848,       1.882187616,       1.999266332,       4.945296708
          0,           0,           2,     -0.6921627408,       1.675552264,       1.833459614,       4.781789294
          0,           0,           3,     -0.9104737112,       1.576672207,       1.615878271,       4.571856074
          0,           0,           4,       -1.08399392,       1.460276729,       1.437236722,       4.408075725
          0,           0,           5,      -1.233786816,       1.325112801,       1.268636924,       4.257447423
          0,           0,           6,      -1.372508723,       1.234094766,        1.12340327,       4.120465835
          0,           0,           7,      -1.514172149,        1.16991054,      0.9989057961,       3.986028288
          0,           0,           8,      -1.638752462,       1.126451372,      0.8906249052,       3.869526084
          0,           0,           9,      -1.746276077,       1.095651024,      0.7874127019,       3.771056705
          0,           0,          10,      -1.839018882,       1.064996962,      0.6857984985,       3.688036581
          0,           0,          11,      -1.917803084,       1.026115725,      0.5956970276,       3.617235819
          0,           0,          12,      -1.996068055,      0.9773498029,      0.5223861915,       3.545911735
          0,           0,          13,       -2.08023596,      0.9208881713,      0.4584791709,        3.46744635
          0,           0,          14,       -2.16582487,      0.8598773169,      0.3957308276,       3.384937942
          0,           0,          15,      -2.248955598,      0.7965305682,      0.3299052919,       3.302823559
          0,           0,          16,      -2.328227993,      0.7315656935,      0.2611683542,       3.224004875
          0,           0,          17,      -2.403286335,      0.6650318698,      0.1903321991,       3.149123743
          0,           0,          18,      -2.473363948,      0.5971264481,      0.1185865897,       3.078009784
          0,           0,          19,      -2.539855192,      0.5283727677,     0.04628209257,       3.009146458
          0,           0,          20,      -2.606430383,      0.4592348243,    -0.02652805219,        2.93992346
          0,           0,          21,      -2.675620962,      0.3899688215,    -0.09942887847,       2.868680744
          0,           0,          22,      -2.747551944,      0.3207546228,     -0.1715645611,       2.795370692
          0,           0,          23,      -2.820617268,      0.2517734145,     -0.2418074895,        2.72110384
          0,           0,          24,      -2.891716289,      0.1832326557,     -0.3093782856,       2.648105775
          0,           0,          25,      -2.958453519,      0.1152591348,     -0.3738009817,       2.578210667
          0,           0,          26,      -3.019681352,     0.04785795164,     -0.4348029827,        2.51257774
