VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.8496439389,        1.42258452,       1.640665959,       4.609984264
          0,           0,           1,     -0.8233614008,       1.426998861,       1.708735485,        4.64372886
          0,           0,           2,      -1.056562743,       1.240179286,       1.431754993,        4.40846574
          0,           0,           3,      -1.275104907,       1.087164331,       1.146861257,       4.191546842
          0,           0,           4,      -1.489708065,      0.9294741426,      0.9736144985,       3.979163732
          0,           0,           5,      -1.673134842,      0.8124793909,      0.7668012173,       3.797275276
          0,           0,           6,      -1.847104627,      0.7276132121,      0.5949619543,       3.625685235
          0,           0,           7,      -2.020199338,      0.6467600308,       0.453433308,       3.459437924
          0,           0,           8,      -2.173352783,      0.5818862001,       0.320039343,       3.319034945
          0,           0,           9,      -2.317481648,      0.5287136079,      0.1862329017,       3.193889892
          0,           0,          10,      -2.454314209,      0.4833618193,     0.06127609414,       3.080835011
          0,           0,          11,       -2.57991771,      0.4391376201,    -0.04334586423,       2.982456216
          0,           0,          12,      -2.688034049,      0.3908847667,     -0.1306730313,       2.897719521
          0,           0,          13,      -2.778571987,      0.3378865043,     -0.2039161687,       2.821816195
          0,           0,          14,      -2.863186283,      0.2806418481,     -0.2684266563,       2.748050186
          0,           0,          15,      -2.948153815,      0.2197985199,     -0.3326180639,       2.673554357
          0,           0,          16,      -3.030698568,      0.1563800054,     -0.4021238837,       2.599324625
          0,           0,          17,      -3.107529571,     0.09165721758,     -0.4774782762,       2.526758471
          0,           0,          18,      -3.177856089,     0.02692730752,     -0.5562410429,       2.456673979
          0,           0,          19,      -3.242844644,     -0.0367183129,     -0.6357965315,       2.389322985
          0,           0,          20,      -3.305208175,    -0.09857310868,     -0.7145780103,       2.324218912
          0,           0,          21,      -3.367409454,     -0.1583471806,     -0.7918956888,       2.260691867
          0,           0,          22,        -3.4299045,      -0.216020541,     -0.8673153974,       2.198714386
          0,           0,          23,      -3.491086495,     -0.2717975274,     -0.9402444836,       2.138948169
          0,           0,          24,      -3.548806338,     -0.3260007204,       -1.00991339,       2.082071447
          0,           0,          25,      -3.601817994,     -0.3789475851,      -1.075396912,       2.028249174
          0,           0,          26,      -3.650195395,     -0.4309083705,      -1.135969121,       1.977073482
          0,           0,          27,      -3.694667404,     -0.4820821054,      -1.191331609,       1.927985888
          0,           0,          28,      -3.735979537,     -0.5325944237,      -1.241611681,       1.880580756
          0,           0,          29,      -3.774766886,     -0.5825108052,      -1.287289265,       1.834615837
          0,           0,          30,      -3.811632813,     -0.6318595938,      -1.329141242,       1.789913597
          0,           0,          31,      -3.847137636,     -0.6806515495,      -1.368075577,       1.746315984
          0,           0,          32,      -3.881873961,      -0.728904804,      -1.405083116,        1.70359952
          0,           0,          33,      -3.916271649,     -0.7766389477,      -1.441188383,       1.661572111
          0,           0,          34,      -3.950425032,     -0.8238420378,      -1.476966589,       1.620201314
          0,           0,          35,      -3.984507161,     -0.8705137362,      -1.512697111,       1.579400899
          0,           0,          36,      -4.018706855,     -0.9166651739,       -1.54856708,       1.539052717
          0,           0,          37,      -4.053138019,     -0.9623100834,      -1.584685492,        1.49905801
          0,           0,          38,      -4.087868515,       -1.00746347,      -1.621073949,       1.459343107
          0,           0,          39,      -4.122926625,      -1.052138995,      -1.657711384,        1.41987058
          0,           0,          40,      -4.158313715,       -1.09635179,      -1.694564151,       1.380613686
          0,           0,          41,      -4.194010692,      -1.140118982,      -1.731602316,       1.341544766
          0,           0,          42,      -4.229989235,      -1.183458985,       -1.76879294,       1.302641776
          0,           0,          43,      -4.266215345,      -1.226390003,      -1.806102102,       1.263888168
          0,           0,          44,      -4.302649353,      -1.268929508,       -1.84350376,       1.225272878
          0,           0,          45,      -4.339255974,      -1.311095696,      -1.880972944,        1.18678356
          0,           0,          46,      -4.376007696,      -1.352907838,       -1.91848892,       1.148406781
          0,           0,          47,      -4.412882083,       -1.39438606,      -1.956033645,       1.110130537
          0,           0,          48,      -4.449860985,      -1.435550913,      -1.993591054,       1.071944579
          0,           0,          49,      -4.486929816,      -1.476423503,      -2.031147174,       1.033840125
          0,           0,          50,      -4.524078363,      -1.517025518,      -2.068690474,      0.9958076763
          0,           0,          51,      -4.561298061,      -1.557379626,      -2.106213466,      0.9578382931
          0,           0,          52,      -4.598583114,      -1.597507884,      -2.143711893,      0.9199227025
          0,           0,          53,      -4.635928617,      -1.637431787,      -2.181184683,      0.8820522909
          0,           0,          54,      -4.673329771,       -1.67717199,      -2.218633891,      0.8442196421
          0,           0,          55,      -4.710782376,      -1.716748144,       -2.25606216,       0.806417712
          0,           0,          56,      -4.748281683,      -1.756178225,      -2.293472937,       0.768641149
          0,           0,          57,      -4.785823129,      -1.795479053,      -2.330869984,      0.7308854066
          0,           0,          58,      -4.823402908,      -1.834666295,      -2.368257157,      0.6931461881
          0,           0,          59,      -4.861018008,      -1.873754816,        -2.4056379,      0.6554193501
          0,           0,          60,      -4.898666549,      -1.912758462,       -2.44301518,      0.6177005134
          0,           0,          61,      -4.936347263,      -1.951690298,      -2.480392364,      0.5799854307
          0,           0,          62,      -4.974059494,      -1.990562482,      -2.517772774,      0.5422699635
          0,           0,          63,      -5.011803334,       -2.02938596,       -2.55515909,      0.5045498751
          0,           0,          64,      -5.049578609,      -2.068170744,      -2.592554218,      0.4668216556
          0,           0,          65,      -5.087385814,      -2.106925784,        -2.6299609,      0.4290815659
          0,           0,          66,      -5.125224301,      -2.145659151,       -2.66738108,      0.3913273705
          0,           0,          67,       -5.16309434,      -2.184378065,      -2.704816576,      0.3535562839
          0,           0,          68,       -5.20099612,      -2.223088907,      -2.742269406,       0.315766025
          0,           0,          69,      -5.238929887,      -2.261797299,      -2.779740894,      0.2779545083
          0,           0,          70,      -5.276895564,      -2.300508335,      -2.817232496,      0.2401202012
          0,           0,          71,      -5.314893788,      -2.339226811,      -2.854745631,       0.202261167
          0,           0,          72,      -5.352925774,      -2.377957287,      -2.892282346,      0.1643749743
          0,           0,          73,      -5.390992756,      -2.416703806,      -2.929844153,       0.126459485
          0,           0,          74,      -5.429095952,      -2.455470051,      -2.967432459,     0.08851266285
          0,           0,          75,      -5.467236542,      -2.494259358,      -3.005048618,     0.05053261205
          0,           0,          76,      -5.505416331,      -2.533074898,      -3.042694395,     0.01251696214
          0,           0,          77,      -5.543636846,       -2.57191944,      -3.080371722,    -0.02553627731
          0,           0,          78,       -5.58189853,      -2.610795487,      -3.118081655,    -0.06362795211
          0,           0,          79,      -5.620201643,      -2.649704874,      -3.155823563,     -0.1017587396
          0,           0,          80,      -5.658548225,      -2.688649953,      -3.193599008,     -0.1399308243
          0,           0,          81,       -5.69693965,      -2.727632761,      -3.231410307,     -0.1781457328
          0,           0,          82,      -5.735376483,       -2.76665487,      -3.269258836,      -0.216404268
          0,           0,          83,      -5.773860091,      -2.805718104,      -3.307145253,     -0.2547079876
          0,           0,          84,      -5.812392037,      -2.844824022,      -3.345070585,     -0.2930585073
          0,           0,          85,      -5.850973547,      -2.883973931,      -3.383036271,     -0.3314570866
          0,           0,          86,      -5.889605644,      -2.923169034,      -3.421043646,     -0.3699047945
          0,           0,          87,      -5.928289298,      -2.962410494,      -3.459093748,     -0.4084026547
          0,           0,          88,      -5.967025512,      -3.001699432,      -3.497187423,     -0.4469517186
          0,           0,          89,      -6.005815314,      -3.041036901,      -3.535325462,     -0.4855530481
          0,           0,          90,      -6.044659704,      -3.080423867,      -3.573508661,     -0.5242076652
          0,           0,          91,      -6.083559613,      -3.119861202,      -3.611737843,      -0.562916516
          0,           0,          92,      -6.122515865,      -3.159349681,      -3.650013831,     -0.6016804426
          0,           0,          93,      -6.161529174,      -3.198889985,      -3.688337395,     -0.6405001809
          0,           0,          94,      -6.200600182,      -3.238482719,      -3.726709233,     -0.6793763966
          0,           0,          95,      -6.239729481,      -3.278128421,      -3.765129963,     -0.7183097033
          0,           0,          96,      -6.278917634,      -3.317827573,      -3.803600135,     -0.7573006814
          0,           0,          97,      -6.318165156,      -3.357580601,      -3.842120235,      -0.796349866
          0,           0,          98,      -6.357472513,      -3.397387873,      -3.880690691,     -0.8354577427
          0,           0,          99,      -6.396840113,      -3.437249703,      -3.919311877,     -0.8746247425
          0,           0,         100,      -6.436268303,      -3.477166349,      -3.957984119,     -0.9138512383
          0,           0,         101,      -6.475757365,      -3.517138011,      -3.996707698,      -0.953137543
          0,           0,         102,      -6.515307523,      -3.557164837,      -4.035482855,     -0.9924839132
          0,           0,         103,      -6.554918937,      -3.597246923,      -4.074309787,      -1.031890546
