VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.7934052991,       1.419156653,       1.721969318,       4.666222904
          0,           0,           1,     -0.8154181897,       1.518928346,       1.740208723,       4.658230187
          0,           0,           2,     -0.9971008932,       1.328509585,       1.489746902,       4.471812705
          0,           0,           3,      -1.217859019,       1.164917048,       1.214510251,       4.252801883
          0,           0,           4,      -1.472346472,      0.9606345805,       1.036697326,       4.000368849
          0,           0,           5,      -1.619520281,      0.8647236303,      0.8631210868,       3.850705116
          0,           0,           6,      -1.786498685,      0.7721510218,      0.6812355256,       3.695715553
          0,           0,           7,      -1.949380657,       0.685949054,        0.51216564,       3.544056621
          0,           0,           8,      -2.113355172,      0.6108115523,      0.3698159283,       3.391062258
          0,           0,           9,      -2.277957301,      0.5491241763,      0.2420746374,       3.245076866
          0,           0,          10,       -2.43094937,      0.4938770327,      0.1263278845,       3.117117289
          0,           0,          11,      -2.567601664,      0.4393278522,     0.01980082108,       3.005775633
          0,           0,          12,      -2.688773806,      0.3823145467,    -0.08065318366,       2.904733861
          0,           0,          13,      -2.796334925,      0.3215732324,     -0.1731042708,       2.809876037
          0,           0,          14,       -2.89199223,      0.2575896925,     -0.2570190396,       2.720888098
          0,           0,          15,      -2.973918441,      0.1921144705,     -0.3359649291,       2.640870929
          0,           0,          16,      -3.043932884,        0.12671966,     -0.4128500728,       2.569916428
          0,           0,          17,      -3.107072052,      0.0622720484,      -0.487718354,       2.504638726
          0,           0,          18,      -3.165965122,  -0.0006657924938,     -0.5591817579,       2.442254844
          0,           0,          19,      -3.220200478,    -0.06148152907,     -0.6260337526,       2.382138031
          0,           0,          20,      -3.268408087,     -0.1196348179,     -0.6877028048,       2.324990638
          0,           0,          21,      -3.310199357,      -0.174871268,     -0.7439910501,        2.27158275
          0,           0,          22,        -3.3468271,      -0.227289493,     -0.7947819423,       2.222038095
          0,           0,          23,      -3.380215507,     -0.2772749098,     -0.8402754114,       2.175961457
          0,           0,          24,      -3.412017668,     -0.3253657343,     -0.8812704945,       2.132733305
          0,           0,          25,      -3.443355377,     -0.3721247719,     -0.9190694908,        2.09167789
          0,           0,          26,      -3.475038767,     -0.4180591637,     -0.9551379646,       2.052036934
          0,           0,          27,      -3.507728794,     -0.4635614671,     -0.9907381899,       2.013018452
          0,           0,          28,      -3.541811386,     -0.5088963118,      -1.026762952,       1.973983031
          0,           0,          29,      -3.577388206,     -0.5541943269,       -1.06358662,       1.934537786
          0,           0,          30,       -3.61442235,     -0.5995037469,      -1.101245984,       1.894469206
          0,           0,          31,      -3.652765189,     -0.6448177606,      -1.139641378,       1.853719199
          0,           0,          32,       -3.69219361,     -0.6900950114,      -1.178638358,       1.812348024
          0,           0,          33,      -3.732469966,     -0.7352864786,      -1.218109771,       1.770476917
          0,           0,          34,      -3.773385939,     -0.7803489824,      -1.257950667,       1.728236363
          0,           0,          35,      -3.814777031,       -0.82525344,      -1.298069474,       1.685742018
          0,           0,          36,       -3.85652934,     -0.8699872953,      -1.338391949,       1.643077248
          0,           0,          37,      -3.898576391,     -0.9145435244,      -1.378824485,       1.600286646
          0,           0,          38,       -3.94097876,     -0.9589161779,      -1.419182417,       1.557298083
          0,           0,          39,      -3.983563128,      -1.003117635,      -1.459663983,       1.514266467
          0,           0,          40,      -4.026189411,      -1.047123682,      -1.500223478,       1.471314025
          0,           0,          41,      -4.068816593,      -1.090935475,      -1.540803136,        1.42846199
          0,           0,          42,      -4.111453958,      -1.134566947,      -1.581361219,       1.385698639
          0,           0,          43,      -4.154100175,      -1.178030104,      -1.621875156,       1.343023687
          0,           0,          44,      -4.196732925,      -1.221331346,      -1.662336093,       1.300450386
          0,           0,          45,      -4.239323122,       -1.26447297,      -1.702737152,       1.257994325
          0,           0,          46,      -4.281847861,      -1.307458296,      -1.743068587,       1.215665004
          0,           0,          47,      -4.324293635,      -1.350294915,      -1.783321169,       1.173464484
          0,           0,          48,      -4.366656298,      -1.392992217,      -1.823487521,       1.131387153
          0,           0,          49,      -4.408935448,       -1.43556163,      -1.863564985,       1.089424536
          0,           0,          50,      -4.451133173,      -1.478014935,      -1.903555446,       1.047566554
          0,           0,          51,      -4.493256382,      -1.520364121,      -1.943464844,       1.005799969
          0,           0,          52,      -4.535307815,      -1.562620553,      -1.983301686,      0.9641165754
          0,           0,          53,      -4.577281851,      -1.604792182,      -2.023073525,      0.9225170026
          0,           0,          54,      -4.619182517,      -1.646887269,      -2.062788321,      0.8809942032
          0,           0,          55,      -4.661020388,      -1.688916521,      -2.102455941,      0.8395355264
          0,           0,          56,      -4.702797345,      -1.730887267,       -2.14208483,      0.7981367691
