VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.073666231,       1.089567305,        1.45398246,       4.385961972
          0,           0,           1,       -1.07684185,       1.196920925,       1.411362181,       4.389405542
          0,           0,           2,      -1.320132635,      0.9941116163,       1.159247059,       4.143347611
          0,           0,           3,      -1.528270948,      0.8489270872,      0.9050991505,       3.936870439
          0,           0,           4,      -1.756539282,      0.6402009404,      0.7251843639,       3.709396457
          0,           0,           5,      -1.946787819,      0.5133760401,      0.5022211909,       3.520519953
          0,           0,           6,      -2.124787521,      0.4553280192,       0.310506674,        3.34729661
          0,           0,           7,      -2.288873078,       0.357635125,      0.1470573182,       3.185641971
          0,           0,           8,      -2.449586076,      0.2685114444,     0.01228595382,       3.032119405
          0,           0,           9,      -2.601921953,      0.2156126732,     -0.1092456397,       2.896119851
          0,           0,          10,      -2.757430323,      0.1741710817,     -0.2206540028,        2.77075195
          0,           0,          11,      -2.886632769,      0.1335659817,     -0.3139792919,       2.674175028
          0,           0,          12,      -2.976576836,     0.08936089322,     -0.3874823597,        2.60098683
          0,           0,          13,      -3.055950853,     0.03839695948,     -0.4549848354,       2.528228913
          0,           0,          14,      -3.137551314,     -0.0188849174,     -0.5277772337,       2.450319523
          0,           0,          15,      -3.216764318,    -0.08013103718,     -0.6064007898,       2.372411848
          0,           0,          16,      -3.289198192,     -0.1429293338,     -0.6862034964,       2.298695264
          0,           0,          17,      -3.355948043,     -0.2054666762,     -0.7629880478,       2.229095684
          0,           0,          18,      -3.418063428,      -0.266587657,     -0.8355318161,       2.162663354
          0,           0,          19,      -3.474707395,     -0.3256750691,     -0.9044507131,       2.099582471
          0,           0,          20,      -3.526137201,     -0.3824781375,     -0.9700828212,       2.040115366
          0,           0,          21,      -3.574283531,     -0.4370080501,      -1.032073375,       1.983890792
          0,           0,          22,      -3.620821592,     -0.4894573815,      -1.090021199,       1.930331567
          0,           0,          23,      -3.666186329,     -0.5401189504,      -1.143812057,       1.879102334
          0,           0,          24,      -3.710229896,     -0.5893048003,       -1.19365388,       1.829959398
          0,           0,          25,      -3.752862089,      -0.637293115,      -1.239897983,       1.782649662
          0,           0,          26,      -3.794210799,     -0.6843128885,      -1.282920646,       1.736914938
          0,           0,          27,      -3.834471927,     -0.7305295011,      -1.323144842,       1.692565779
