VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.9264522177,       1.396278807,       1.542164628,       4.533175985
          0,           0,           1,     -0.9072982222,       1.425437237,       1.638012322,       4.565095733
          0,           0,           2,      -1.126702426,       1.220736022,       1.384625571,       4.346323239
          0,           0,           3,      -1.339170528,       1.070593201,       1.111772524,        4.13379702
          0,           0,           4,      -1.537707335,      0.8674260059,      0.9133143984,       3.932101608
          0,           0,           5,      -1.729562744,      0.7238656878,      0.7285529011,       3.740373749
          0,           0,           6,      -1.916173308,      0.6399278447,       0.561173505,       3.562485586
          0,           0,           7,      -2.072129021,      0.5780311995,      0.3977750823,       3.416761377
          0,           0,           8,      -2.232000356,      0.5176438103,      0.2514623602,       3.274152171
          0,           0,           9,       -2.38635909,      0.4627772972,      0.1362477444,       3.144042132
          0,           0,          10,      -2.533269406,       0.411902411,     0.03562181146,       3.026498542
          0,           0,          11,      -2.680523705,      0.3602570712,    -0.06960934615,       2.913735795
          0,           0,          12,      -2.813018469,      0.3054166928,     -0.1728514864,       2.811345836
          0,           0,          13,      -2.913101301,      0.2462662437,     -0.2659052632,       2.724261073
          0,           0,          14,      -2.991674371,      0.1831487731,     -0.3530260721,       2.645749092
          0,           0,          15,      -3.066777911,      0.1179766693,     -0.4393370398,       2.568052248
          0,           0,          16,      -3.142690241,     0.05295578435,     -0.5250539844,       2.490339861
          0,           0,          17,      -3.216083474,    -0.01049807491,     -0.6085225494,       2.415814836
          0,           0,          18,      -3.284212867,    -0.07183206152,     -0.6883142595,       2.347191943
          0,           0,          19,      -3.347096374,     -0.1310646978,     -0.7632402898,       2.284831521
          0,           0,          20,      -3.406763842,     -0.1884123279,     -0.8326123534,       2.226933511
          0,           0,          21,      -3.464889023,     -0.2441565944,     -0.8964316508,       2.171312954
          0,           0,          22,      -3.521514665,     -0.2985401568,     -0.9550621587,       2.116758204
          0,           0,          23,      -3.575741868,     -0.3517439877,      -1.009116402,       2.063062649
          0,           0,          24,      -3.626849118,     -0.4038753168,      -1.059264932,       2.010494336
          0,           0,          25,      -3.674699146,     -0.4550125259,      -1.106077729,       1.959354565
          0,           0,          26,      -3.719579696,     -0.5052464029,       -1.15011322,       1.909773929
          0,           0,          27,      -3.761959602,     -0.5546989881,      -1.192020987,       1.861678381
          0,           0,          28,      -3.802373938,     -0.6035135744,      -1.232485405,       1.814835686
          0,           0,          29,      -3.841375707,     -0.6518192389,      -1.272101778,       1.768953289
          0,           0,          30,      -3.879466269,     -0.6997167592,      -1.311302012,       1.723766005
          0,           0,          31,      -3.917041227,      -0.747262927,      -1.350342216,        1.67910144
          0,           0,          32,      -3.954370326,     -0.7944728481,       -1.38932677,       1.634886436
          0,           0,          33,      -3.991612136,      -0.841331393,      -1.428247642,       1.591112812
          0,           0,          34,      -4.028848763,     -0.8878087452,      -1.467034593,       1.547790228
          0,           0,          35,      -4.066117961,     -0.9338741991,       -1.50560442,       1.504914559
          0,           0,          36,      -4.103433853,     -0.9794985804,       -1.54389627,       1.462465195
          0,           0,          37,      -4.140801281,      -1.024660663,      -1.581888665,       1.420407013
          0,           0,          38,      -4.178212988,      -1.069348294,      -1.619598256,       1.378707815
          0,           0,          39,      -4.215652238,      -1.113556455,      -1.657066412,       1.337347073
          0,           0,          40,      -4.253068506,      -1.157285502,      -1.694336679,       1.296343792
          0,           0,          41,      -4.290486495,      -1.200541476,      -1.731481556,        1.25564369
          0,           0,          42,      -4.327897916,      -1.243331506,      -1.768533446,       1.215242367
          0,           0,          43,      -4.365296277,      -1.285668451,       -1.80552143,       1.175133421
          0,           0,          44,      -4.402680233,      -1.327569154,      -1.842474838,       1.135302486
          0,           0,          45,      -4.440030565,      -1.369051054,      -1.879414581,       1.095749995
          0,           0,          46,      -4.477359876,      -1.410139795,      -1.916342342,       1.056452381
          0,           0,          47,      -4.514708498,      -1.450861962,      -1.953252561,       1.017363245
          0,           0,          48,       -4.55211061,      -1.491246926,      -1.990167083,      0.9784410862
          0,           0,          49,      -4.589566608,      -1.531321497,      -2.027109262,      0.9396714445
          0,           0,          50,      -4.627054702,      -1.571109736,       -2.06408262,      0.9010572717
          0,           0,          51,      -4.664559276,      -1.610636636,      -2.101077857,      0.8625967523
          0,           0,          52,       -4.70207912,      -1.649929234,      -2.138085592,      0.8242763164
          0,           0,          53,      -4.739620645,      -1.689014668,      -2.175102106,      0.7860764522
          0,           0,          54,      -4.777185177,      -1.727920474,      -2.212101227,      0.7479816303
          0,           0,          55,       -4.81479038,      -1.766678845,      -2.249086204,      0.7099650426
          0,           0,          56,      -4.852482729,        -1.8053195,      -2.286141873,      0.6719786219
          0,           0,          57,      -4.890224132,      -1.843847745,      -2.323269042,      0.6340389461
          0,           0,          58,      -4.927993595,      -1.882273255,       -2.36043094,      0.5961478364
          0,           0,          59,       -4.96580431,      -1.920614748,      -2.397606946,      0.5582851465
          0,           0,          60,      -5.003652687,      -1.958885491,      -2.434795477,       0.520448377
          0,           0,          61,      -5.041526988,      -1.997096855,      -2.471998601,       0.482641315
          0,           0,          62,      -5.079424714,      -2.035261878,      -2.509219176,      0.4448592886
          0,           0,          63,       -5.11735008,      -2.073393579,      -2.546461767,      0.4070926299
          0,           0,          64,      -5.155311241,      -2.111504523,      -2.583732579,      0.3693287031
          0,           0,          65,      -5.193316175,      -2.149605901,      -2.621037468,      0.3315554628
          0,           0,          66,      -5.231370069,      -2.187707433,      -2.658381434,      0.2937637051
          0,           0,          67,      -5.269473833,      -2.225816952,      -2.695768099,      0.2559486416
          0,           0,          68,      -5.307626601,      -2.263941378,      -2.733200028,      0.2181073666
          0,           0,          69,      -5.345828183,      -2.302087015,      -2.770678748,      0.1802364856
          0,           0,          70,      -5.384078163,      -2.340259424,      -2.808205749,      0.1423332656
          0,           0,          71,      -5.422377893,      -2.378463681,      -2.845782686,      0.1043937226
          0,           0,          72,      -5.460725765,      -2.416704454,      -2.883409677,     0.06641634303
          0,           0,          73,      -5.499121353,      -2.454984966,       -2.92108631,     0.02839940266
          0,           0,          74,      -5.537566776,      -2.493308866,      -2.958813914,   -0.009661028187
          0,           0,          75,      -5.576062166,      -2.531678972,       -2.99659359,    -0.04776668324
          0,           0,          76,       -5.61460755,      -2.570097745,      -3.034426127,    -0.08591896522
          0,           0,          77,      -5.653203614,      -2.608567505,      -3.072312307,       -0.12411999
          0,           0,          78,      -5.691849814,      -2.647090092,       -3.11025388,     -0.1623700479
          0,           0,          79,      -5.730546645,      -2.685667285,      -3.148251522,     -0.2006704693
          0,           0,          80,      -5.769294726,       -2.72430066,       -3.18630543,     -0.2390226298
          0,           0,          81,      -5.808094585,      -2.762991512,      -3.224415807,     -0.2774276748
          0,           0,          82,      -5.846946411,      -2.801740868,      -3.262582942,     -0.3158863516
          0,           0,          83,      -5.885849999,      -2.840549529,       -3.30080704,     -0.3543990099
