VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.7096165135,       1.618144034,       1.762191039,       4.750011689
          0,           0,           1,       -0.74133773,        1.55262191,       1.784573364,       4.729908333
          0,           0,           2,     -0.9581519005,        1.36744779,       1.524178747,       4.510701537
          0,           0,           3,      -1.164001607,       1.225356516,       1.264307185,       4.306143092
          0,           0,           4,      -1.372384225,       1.087928491,       1.087808387,       4.096832865
          0,           0,           5,      -1.559871088,      0.9662963253,      0.9194018695,       3.909168219
          0,           0,           6,      -1.715411704,      0.8829016549,        0.75484817,       3.757436701
          0,           0,           7,      -1.848433044,      0.8245612855,      0.6185192428,       3.632130094
          0,           0,           8,      -1.974476503,       0.776494695,      0.5164852936,       3.517143888
          0,           0,           9,      -2.101683875,      0.7282492872,      0.4233956192,       3.404376081
          0,           0,          10,      -2.233334548,       0.673400128,      0.3252010254,       3.291279148
          0,           0,          11,      -2.361364042,      0.6110080343,       0.233794766,       3.181220155
          0,           0,          12,      -2.466905636,      0.5430028824,      0.1557913787,       3.083634319
          0,           0,          13,      -2.542715797,      0.4717246955,     0.08464008944,       3.003506299
          0,           0,          14,      -2.601950485,      0.3992185288,     0.01651189034,       2.935143574
          0,           0,          15,      -2.655729762,       0.327426684,    -0.04609486066,       2.872291855
          0,           0,          16,      -2.704925294,      0.2579527225,      -0.100061677,       2.814427058
          0,           0,          17,      -2.748321049,      0.1914100105,     -0.1450672244,       2.762772319
          0,           0,          18,      -2.787414805,      0.1276269017,     -0.1836323792,       2.716560972
          0,           0,          19,      -2.824877182,     0.06634367649,     -0.2192285317,       2.673642219
          0,           0,          20,       -2.86257518,    0.007565670275,     -0.2544808956,       2.632123459
          0,           0,          21,        -2.9014322,     -0.0486174003,     -0.2908442385,       2.590772404
          0,           0,          22,      -2.941799675,     -0.1022128158,     -0.3290656201,       2.548891224
          0,           0,          23,      -2.983738488,     -0.1533722314,     -0.3694820777,       2.506094089
          0,           0,          24,      -3.027293375,     -0.2023416561,       -0.41218193,       2.462094143
          0,           0,          25,      -3.072580594,     -0.2494644554,     -0.4570862837,       2.416605212
          0,           0,          26,      -3.119861607,     -0.2949518757,      -0.504118262,       2.369357224
          0,           0,          27,      -3.169093222,     -0.3390193226,      -0.553013613,       2.320298378
          0,           0,          28,      -3.220182787,     -0.3818897872,     -0.6035532237,       2.269510979
          0,           0,          29,      -3.272949489,     -0.4237728283,      -0.655569203,       2.217173792
          0,           0,          30,      -3.327105703,     -0.4648587582,     -0.7088964894,       2.163570038
          0,           0,          31,      -3.382338144,     -0.5053334928,     -0.7633794014,       2.109002924
          0,           0,          32,      -3.438312383,     -0.5453588275,     -0.8188379681,       2.053788437
          0,           0,          33,       -3.49468926,     -0.5850652471,      -0.875058185,       1.998256048
          0,           0,          34,      -3.551133104,      -0.624568175,     -0.9318428886,       1.942725304
