VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.9187638452,       1.312240294,       1.591983021,       4.540864358
          0,           0,           1,     -0.9158565416,       1.382940769,       1.632188239,       4.555476082
          0,           0,           2,      -1.139722771,       1.186985198,       1.369034633,       4.324739771
          0,           0,           3,      -1.389144506,       1.008924746,       1.121280993,        4.07792141
          0,           0,           4,      -1.624474987,      0.8632294643,      0.9219523542,       3.846004344
          0,           0,           5,      -1.795641006,      0.7630208166,      0.7180915852,       3.674255842
          0,           0,           6,      -1.924588915,      0.6768240944,      0.5364307198,       3.548809018
          0,           0,           7,       -2.07147008,       0.578745472,      0.3724690808,       3.408270599
          0,           0,           8,      -2.236334596,      0.4892153653,      0.2267240295,       3.254237807
          0,           0,           9,      -2.398602151,      0.4168896412,     0.09148157331,       3.107800294
          0,           0,          10,      -2.557233788,      0.3528531631,    -0.02800941468,       2.972294815
          0,           0,          11,      -2.701695291,      0.2913442999,     -0.1321305181,       2.855528711
          0,           0,          12,      -2.818159839,      0.2303839318,      -0.231353877,       2.761599259
          0,           0,          13,      -2.909324175,      0.1687271513,     -0.3327176038,       2.682391637
          0,           0,          14,      -2.989481591,      0.1057748772,     -0.4336805819,        2.60676925
          0,           0,          15,      -3.066589207,     0.04215776126,     -0.5273220435,       2.530128981
          0,           0,          16,      -3.140845346,    -0.02072695047,     -0.6101324031,       2.453700097
          0,           0,          17,      -3.210821457,    -0.08143439012,     -0.6833794729,       2.380484519
          0,           0,          18,      -3.275932513,     -0.1391191863,     -0.7490750074,       2.312779992
          0,           0,          19,      -3.335647598,     -0.1936540615,     -0.8075755043,       2.251666578
          0,           0,          20,      -3.389129297,     -0.2454697275,     -0.8587248425,       2.197162599
          0,           0,          21,       -3.43622607,     -0.2952898864,      -0.903692831,       2.148275807
          0,           0,          22,      -3.478174714,     -0.3438731414,     -0.9450122892,       2.103263847
