VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.8411832477,       1.489950545,       1.620584032,       4.618444955
          0,           0,           1,     -0.8576721642,       1.475406874,       1.686770824,       4.612847476
          0,           0,           2,      -1.041938935,       1.310734598,         1.4186241,       4.426356186
          0,           0,           3,      -1.284157992,       1.163268602,       1.165114807,       4.187936737
          0,           0,           4,      -1.441987749,       1.044958178,      0.9775940088,       4.029841705
          0,           0,           5,      -1.595876015,      0.9729096513,      0.8607262164,       3.878419441
          0,           0,           6,      -1.776306987,      0.9112917548,      0.7441307659,       3.697679968
          0,           0,           7,       -1.93779545,      0.8328838024,      0.6145154194,       3.542994821
          0,           0,           8,      -2.067026768,      0.7589628744,      0.4839273472,       3.434373587
          0,           0,           9,      -2.183518158,      0.7028873831,      0.3670629749,       3.342883892
          0,           0,          10,      -2.291699191,      0.6567616397,      0.2600859139,       3.256485302
          0,           0,          11,      -2.390549415,      0.6088372197,      0.1625567693,       3.172947976
          0,           0,          12,      -2.481397881,       0.553126416,     0.08448591958,       3.091065488
          0,           0,          13,      -2.566802285,      0.4890750708,     0.02347363915,       3.010113072
          0,           0,          14,      -2.649349468,      0.4183391744,    -0.03520370697,       2.928719317
          0,           0,          15,      -2.731603952,       0.343074514,     -0.1010631311,       2.845451177
          0,           0,          16,      -2.814136564,      0.2653904792,       -0.17535533,       2.760203916
          0,           0,          17,      -2.895112191,      0.1874538583,     -0.2561037738,       2.674618178
          0,           0,          18,      -2.973218527,      0.1112492688,     -0.3414596841,       2.590239718
          0,           0,          19,      -3.048842161,      0.0381490507,     -0.4300178623,        2.50767729
          0,           0,          20,      -3.122382892,    -0.03121438243,     -0.5202205522,       2.427464125
          0,           0,          21,      -3.193024035,    -0.09676454319,     -0.6102030251,       2.350753567
          0,           0,          22,      -3.259215258,     -0.1587133883,     -0.6979728371,       2.279009112
          0,           0,          23,      -3.319661813,      -0.217371491,     -0.7816476502,       2.213315581
          0,           0,          24,      -3.373921952,     -0.2730759786,     -0.8595676104,       2.153973919
          0,           0,          25,      -3.422396391,     -0.3261659181,     -0.9304470013,       2.100514204
          0,           0,          26,      -3.466115745,     -0.3769984329,      -0.993611036,       2.051914923
          0,           0,          27,      -3.506382815,     -0.4259282179,      -1.049221813,       2.006961785
          0,           0,          28,      -3.544451453,     -0.4733200651,      -1.098209977,       1.964530253
          0,           0,          29,      -3.581278637,     -0.5194976787,      -1.141925381,       1.923800776
          0,           0,          30,      -3.617487696,     -0.5647369074,      -1.181804851,       1.884235095
          0,           0,          31,      -3.653425652,     -0.6092502073,      -1.219152323,       1.845508889
          0,           0,          32,      -3.689269753,     -0.6531766442,      -1.255019216,       1.807427104
          0,           0,          33,      -3.725135104,     -0.6966268471,      -1.290196558,       1.769819553
          0,           0,          34,       -3.76113276,     -0.7396874503,      -1.325213574,        1.73250808
          0,           0,          35,      -3.797372693,     -0.7824301102,      -1.360391543,       1.695314298
          0,           0,          36,      -3.833950605,     -0.8249153515,      -1.395909449,       1.658083146
          0,           0,          37,      -3.870930959,     -0.8671943957,      -1.431859117,       1.620696061
          0,           0,          38,      -3.908250892,     -0.9093116347,       -1.46836511,       1.583165247
          0,           0,          39,       -3.94605039,     -0.9513292474,      -1.505381934,       1.545327513
          0,           0,          40,      -3.984331984,     -0.9932629285,      -1.542872565,       1.507156069
          0,           0,          41,      -4.023004983,      -1.035101463,      -1.580805109,       1.468718526
          0,           0,          42,      -4.062033589,      -1.076851152,      -1.619128887,       1.430033075
          0,           0,          43,      -4.101371533,      -1.118547891,      -1.657859974,       1.391127031
          0,           0,          44,      -4.141062989,      -1.160200705,      -1.696923909,        1.35193924
          0,           0,          45,      -4.181041909,      -1.201800702,      -1.736287394,       1.312516334
          0,           0,          46,      -4.221221908,      -1.243335042,      -1.775906287,       1.272929821
          0,           0,          47,      -4.261552196,       -1.28480209,       -1.81573264,       1.233220473
          0,           0,          48,      -4.302009724,      -1.326209467,      -1.855729804,       1.193402066
          0,           0,          49,      -4.342580978,       -1.36756558,      -1.895875024,       1.153479473
          0,           0,          50,      -4.383253328,      -1.408875489,       -1.93615271,       1.113458548
          0,           0,          51,      -4.424019607,      -1.450147568,      -1.976546088,       1.073341551
          0,           0,          52,      -4.464863898,      -1.491382679,      -2.017043356,       1.033140268
          0,           0,          53,      -4.505763727,      -1.532581661,      -2.057622596,      0.9928737739
          0,           0,          54,      -4.546710324,      -1.573751336,      -2.098269531,      0.9525475761
          0,           0,          55,      -4.587707551,      -1.614898437,       -2.13898352,      0.9121555262
          0,           0,          56,      -4.628752854,      -1.656022736,       -2.17976729,      0.8716993425
          0,           0,          57,       -4.66983277,      -1.697122868,      -2.220613576,      0.8311921804
          0,           0,          58,      -4.710932534,      -1.738198159,      -2.261511605,      0.7906480181
          0,           0,          59,      -4.752042451,      -1.779249682,      -2.302450262,      0.7500758559
          0,           0,          60,      -4.793158872,      -1.820281099,      -2.343419866,      0.7094789768
          0,           0,          61,      -4.834280842,      -1.861297197,      -2.384412927,      0.6688584217
          0,           0,          62,      -4.875408052,      -1.902301366,      -2.425425992,      0.6282147883
          0,           0,          63,      -4.916540314,      -1.943295975,      -2.466457942,      0.5875486932
          0,           0,          64,      -4.957678552,      -1.984284522,      -2.507507679,      0.5468598332
          0,           0,          65,      -4.998823937,      -2.025271174,      -2.548574397,      0.5061476743
          0,           0,          66,      -5.039977893,      -2.066259941,      -2.589658318,      0.4654114762
          0,           0,          67,      -5.081141735,      -2.107253199,      -2.630761553,      0.4246506966
          0,           0,          68,      -5.122317345,       -2.14825408,       -2.67188476,      0.3838643461
          0,           0,          69,      -5.163506715,      -2.189265488,      -2.713028754,      0.3430513457
          0,           0,          70,      -5.204712039,      -2.230290207,      -2.754194404,      0.3022104155
          0,           0,          71,      -5.245935639,      -2.271330935,      -2.795382635,        0.26134014
          0,           0,          72,      -5.287179873,       -2.31239028,      -2.836594459,      0.2204390439
          0,           0,          73,      -5.328447197,      -2.353470787,      -2.877830963,      0.1795055346
          0,           0,          74,      -5.369740214,       -2.39457496,      -2.919093286,       0.138537846
          0,           0,          75,      -5.411061661,      -2.435705251,      -2.960382612,      0.0975340597
          0,           0,          76,      -5.452414361,      -2.476864014,      -3.001700194,     0.05649213809
          0,           0,          77,      -5.493801054,       -2.51805354,        -3.0430473,      0.0154100888
