VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.8732700499,       1.396970923,       1.620194381,       4.586358153
          0,           0,           1,      -0.897223542,       1.401475459,       1.648029865,        4.57577023
          0,           0,           2,      -1.088286978,        1.19917061,        1.37153958,       4.379826867
          0,           0,           3,      -1.351649528,       1.048687026,       1.121673237,       4.118967461
          0,           0,           4,      -1.577838658,      0.8676794941,      0.9006321322,       3.889756203
          0,           0,           5,       -1.74372072,       0.760863231,      0.7417527275,       3.727759693
          0,           0,           6,      -1.929872532,      0.6746029478,      0.5910703282,       3.549522681
          0,           0,           7,      -2.104339574,      0.5984934869,       0.415158366,       3.382055994
          0,           0,           8,      -2.273045389,      0.5304787834,      0.2695213327,       3.230358313
          0,           0,           9,      -2.427734168,      0.4703598666,      0.1378328737,       3.105989311
          0,           0,          10,      -2.568677786,      0.4146890192,      0.0183515451,       3.003695725
          0,           0,          11,       -2.69774453,      0.3578479757,    -0.08247889902,       2.911318492
          0,           0,          12,      -2.814630794,      0.2957870697,     -0.1706902508,        2.82103993
          0,           0,          13,        -2.9140664,      0.2282978499,     -0.2534193005,       2.732436019
          0,           0,          14,      -2.998316594,      0.1572411272,     -0.3349570837,       2.645225249
          0,           0,          15,      -3.074821998,     0.08485672845,     -0.4172997404,       2.558840157
          0,           0,          16,      -3.147817024,     0.01305353572,     -0.5006886759,       2.474196291
          0,           0,          17,      -3.218544607,    -0.05679358919,     -0.5845762915,       2.392607731
          0,           0,          18,      -3.286275783,     -0.1238376522,      -0.668266543,       2.315154637
          0,           0,          19,      -3.350111432,     -0.1876818687,     -0.7510508623,       2.242412373
          0,           0,          20,      -3.410020816,     -0.2483676112,     -0.8321018441,       2.174422549
          0,           0,          21,      -3.466351237,     -0.3061729602,     -0.9105210817,       2.111000019
          0,           0,          22,      -3.519189493,     -0.3614250601,      -0.985184295,       2.052029961
          0,           0,          23,      -3.568438573,     -0.4144279133,      -1.054695335,       1.997414917
          0,           0,          24,      -3.614142163,     -0.4654667201,       -1.11768753,       1.946861397
          0,           0,          25,      -3.656576588,      -0.514824449,      -1.173389762,       1.899831062
          0,           0,          26,      -3.696140754,     -0.5627555577,        -1.2219402,       1.855701236
          0,           0,          27,      -3.733315956,     -0.6094802634,      -1.264357774,       1.813859345
          0,           0,          28,      -3.768642873,     -0.6551786896,      -1.302028237,       1.773746351
          0,           0,          29,      -3.802690676,     -0.6999888863,      -1.336301395,       1.734885623
          0,           0,          30,      -3.835943944,     -0.7440007513,      -1.368307745,       1.696925817
          0,           0,          31,      -3.868745597,     -0.7872881501,      -1.398963058,       1.659628033
          0,           0,          32,      -3.901271332,     -0.8299259517,      -1.428999331,       1.622890909
          0,           0,          33,      -3.933725836,     -0.8719869675,      -1.458940231,       1.586579512
          0,           0,          34,       -3.96629372,     -0.9135474175,      -1.489149844,       1.550560479
          0,           0,          35,      -3.999123355,     -0.9546772526,      -1.519852489,       1.514724438
          0,           0,          36,      -4.032320756,      -0.995438353,       -1.55116543,        1.47897707
          0,           0,          37,      -4.065957865,      -1.035884624,      -1.583132948,       1.443233509
          0,           0,          38,      -4.100063983,      -1.076059034,      -1.615750635,       1.407430263
          0,           0,          39,      -4.134631296,      -1.115992884,      -1.648981948,        1.37152876
          0,           0,          40,      -4.169634558,      -1.155709935,      -1.682770809,       1.335505919
          0,           0,          41,      -4.205041331,      -1.195229877,      -1.717052504,       1.299348107
          0,           0,          42,      -4.240816657,      -1.234569816,      -1.751761435,       1.263048841
          0,           0,          43,      -4.276925456,       -1.27374707,      -1.786835979,       1.226607797
          0,           0,          44,      -4.313329249,      -1.312779225,      -1.822222646,       1.190033713
          0,           0,          45,      -4.350008669,      -1.351682048,       -1.85787122,       1.153322181
          0,           0,          46,      -4.386931633,      -1.390468396,      -1.893742787,       1.116485425
          0,           0,          47,      -4.424077845,      -1.429152074,      -1.929798405,       1.079527382
          0,           0,          48,      -4.461435684,      -1.467749319,      -1.966012832,       1.042444596
          0,           0,          49,      -4.498973316,      -1.506272937,      -2.002379558,        1.00525302
