VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.9865976545,       1.286212947,       1.509907861,       4.473030548
          0,           0,           1,     -0.9960255217,       1.318444174,       1.573099496,       4.472190769
          0,           0,           2,      -1.229554851,       1.136281332,       1.307871264,       4.234523125
          0,           0,           3,      -1.428877377,      0.9764259398,       1.005244971,       4.034434875
          0,           0,           4,      -1.633916758,      0.8084190153,      0.8196342195,       3.827290586
          0,           0,           5,      -1.802834316,       0.719716389,      0.6379730676,       3.662009275
          0,           0,           6,      -1.955740981,      0.6326282409,      0.4490121016,       3.516011674
          0,           0,           7,      -2.118435581,      0.5352243932,      0.3005515649,       3.358201637
          0,           0,           8,      -2.273030203,      0.4515829646,      0.1720149668,       3.210162602
          0,           0,           9,      -2.425581751,      0.3896678493,     0.04903297859,       3.074200984
          0,           0,          10,      -2.571290572,      0.3367046025,    -0.05892525146,       2.956854454
          0,           0,          11,      -2.702348876,      0.2822078539,      -0.148912572,       2.856908727
          0,           0,          12,      -2.821691561,      0.2226285524,     -0.2290331779,       2.762541491
          0,           0,          13,      -2.925500067,      0.1580519812,     -0.3122053851,       2.671110965
          0,           0,          14,      -3.014694171,     0.09047513179,     -0.4011191184,        2.58270334
          0,           0,          15,      -3.094120384,     0.02267936304,     -0.4901734704,       2.498131788
          0,           0,          16,       -3.16557841,    -0.04310114879,     -0.5745917583,        2.41966653
          0,           0,          17,      -3.230282815,     -0.1056363742,     -0.6516900123,        2.34833859
          0,           0,          18,      -3.289584495,     -0.1643209863,     -0.7207257225,       2.283531533
          0,           0,          19,       -3.34406711,     -0.2190496333,     -0.7831993308,       2.224398904
          0,           0,          20,      -3.393756675,     -0.2702041925,     -0.8406920464,       2.170413737
          0,           0,          21,      -3.438734862,      -0.318583565,     -0.8938815055,       2.121051689
          0,           0,          22,      -3.479507315,     -0.3651278758,     -0.9433525101,        2.07552416
          0,           0,          23,      -3.517143367,     -0.4106424852,     -0.9899369799,       2.032769602
          0,           0,          24,      -3.553016271,     -0.4556698248,      -1.034386401,       1.991681512
          0,           0,          25,      -3.588281101,      -0.500491174,      -1.077203113,       1.951411045
          0,           0,          26,       -3.62360981,     -0.5451897907,       -1.11870116,       1.911502781
          0,           0,          27,      -3.659301182,      -0.589738031,      -1.159106435,       1.871789552
          0,           0,          28,      -3.695440197,     -0.6340652375,      -1.198614412,       1.832248584
          0,           0,          29,      -3.731987282,     -0.6781022265,      -1.237393804,       1.792908563
          0,           0,          30,      -3.768859831,     -0.7218087149,      -1.275601934,       1.753772969
          0,           0,          31,      -3.805985482,     -0.7651834534,      -1.313406622,       1.714799742
          0,           0,          32,      -3.843308472,      -0.808262607,      -1.350931528,        1.67593137
