VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.7836185602,       1.477460803,        1.71699712,       4.676009643
          0,           0,           1,     -0.7575027549,       1.480418684,       1.762565142,       4.713554286
          0,           0,           2,     -0.9964992565,       1.301741981,       1.487609569,       4.474422083
          0,           0,           3,      -1.204000413,       1.140283259,       1.206222855,       4.265201386
          0,           0,           4,      -1.469057504,      0.9541267981,       1.017554069,       4.002218317
          0,           0,           5,      -1.664308338,       0.805824417,      0.8239015394,       3.809527433
          0,           0,           6,      -1.848530987,      0.7359166095,      0.6563914316,       3.633119688
          0,           0,           7,      -1.993656433,      0.6769775681,      0.5035872369,       3.494777107
          0,           0,           8,      -2.162539691,      0.6164079872,      0.3562952261,       3.344636453
          0,           0,           9,       -2.32840158,      0.5610414504,       0.228149545,       3.207907398
          0,           0,          10,      -2.458439489,      0.5066728434,      0.1219966946,       3.101062566
          0,           0,          11,      -2.580287191,      0.4473359939,     0.02969279874,       2.998644094
          0,           0,          12,      -2.694373604,      0.3820539411,    -0.05724474977,       2.897460874
          0,           0,          13,      -2.781618081,      0.3128502467,     -0.1417081669,        2.80781484
          0,           0,          14,      -2.851131857,      0.2413984947,     -0.2245723333,        2.72909071
          0,           0,          15,      -2.918681785,      0.1687388315,     -0.3069598682,       2.655173906
          0,           0,          16,      -2.989546226,     0.09580226637,     -0.3893363213,       2.580960497
          0,           0,          17,      -3.062190173,     0.02352634315,     -0.4716742802,       2.504653232
          0,           0,          18,       -3.13216633,    -0.04689419765,     -0.5538254153,       2.428387353
          0,           0,          19,      -3.196186062,     -0.1143138119,     -0.6343513865,       2.355605833
          0,           0,          20,      -3.254344203,      -0.178109606,     -0.7102882325,       2.288238963
          0,           0,          21,      -3.308698286,      -0.238277344,     -0.7789205101,       2.226243855
