VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.7816999396,       1.537049272,       1.695733546,       4.677928263
          0,           0,           1,     -0.7812970377,        1.50054788,       1.728641673,       4.689593955
          0,           0,           2,      -1.025195651,       1.321122329,       1.492936582,       4.443564135
          0,           0,           3,      -1.227294019,       1.123668123,       1.228655805,       4.241693504
          0,           0,           4,      -1.444015489,      0.9456160118,       1.041943108,        4.02484236
          0,           0,           5,      -1.634712227,      0.8355949726,       0.836872521,       3.834303936
          0,           0,           6,      -1.834160286,      0.7635775217,       0.665798845,       3.642994352
          0,           0,           7,      -1.983080013,       0.695497882,      0.5004022303,       3.500552112
          0,           0,           8,      -2.123810119,      0.6351786083,        0.35300358,       3.372667162
          0,           0,           9,      -2.275815778,      0.5845473573,      0.2295733291,       3.246426828
          0,           0,          10,      -2.419378499,      0.5322481035,      0.1313524213,       3.135207533
          0,           0,          11,      -2.538958953,       0.472937103,     0.04807424762,       3.040897296
          0,           0,          12,      -2.640751959,      0.4068552755,    -0.03406173892,       2.951035421
          0,           0,          13,      -2.730832287,       0.336918007,     -0.1207694615,       2.859930406
          0,           0,          14,      -2.812791612,      0.2664386484,     -0.2099115542,       2.768906245
          0,           0,          15,      -2.889733131,      0.1981121621,     -0.2974457299,       2.680887904
          0,           0,          16,      -2.961661966,      0.1335704162,     -0.3810744071,       2.598351301
          0,           0,          17,      -3.026288596,     0.07327882806,       -0.45999243,        2.52318102
          0,           0,          18,      -3.082790483,     0.01688012139,      -0.533536983,        2.45640305
          0,           0,          19,      -3.133671625,    -0.03639295971,     -0.6012368856,        2.39715306
          0,           0,          20,      -3.182652309,     -0.0873353173,      -0.663397766,       2.343062264
          0,           0,          21,        -3.2318819,     -0.1365637161,     -0.7210351164,       2.291912985
          0,           0,          22,      -3.281421939,     -0.1844870228,     -0.7753189189,       2.242572064
          0,           0,          23,      -3.330269648,     -0.2313697456,      -0.827087629,       2.194797953
          0,           0,          24,       -3.37750915,     -0.2774351041,     -0.8767902852,       2.148620791
          0,           0,          25,      -3.422844322,     -0.3228985268,      -0.924599605,       2.103914455
          0,           0,          26,      -3.466481245,     -0.3679621065,     -0.9705901915,       2.060378547
          0,           0,          27,      -3.508865706,     -0.4128052689,      -1.014918082,       2.017638179
          0,           0,          28,      -3.550544009,     -0.4575750422,      -1.057828337,       1.975280992
          0,           0,          29,      -3.591621541,     -0.5023889028,      -1.099680128,       1.933277513
          0,           0,          30,      -3.632340454,     -0.5473023071,      -1.140877723,       1.891464865
          0,           0,          31,      -3.673008892,     -0.5923609638,      -1.181791909,       1.849612428
          0,           0,          32,      -3.713867501,     -0.6375767352,      -1.222676954,       1.807567074
          0,           0,          33,      -3.755055214,     -0.6829287222,      -1.263706065,       1.765253345
          0,           0,          34,      -3.796611163,     -0.7283764881,      -1.304978548,        1.72266678
          0,           0,          35,      -3.838516189,     -0.7738662736,      -1.346517134,       1.679848212
          0,           0,          36,      -3.880713037,     -0.8193391992,       -1.38828013,       1.636867727
          0,           0,          37,      -3.923134146,     -0.8647410923,        -1.4302003,       1.593800293
          0,           0,          38,      -3.965714313,     -0.9100231784,      -1.472189682,       1.550710828
          0,           0,          39,      -4.008395178,     -0.9551457501,      -1.514143732,       1.507656667
          0,           0,          40,      -4.051134097,      -1.000079412,      -1.555989487,       1.464673989
