VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.9931195427,       1.228687442,       1.521094072,        4.46650866
          0,           0,           1,      -1.015149759,       1.231221409,       1.522756863,       4.453101224
          0,           0,           2,      -1.258674213,       1.053565453,       1.250705545,       4.205434215
          0,           0,           3,      -1.485587263,      0.8706050207,      0.9777607913,       3.982134843
          0,           0,           4,      -1.724830086,       0.697840272,       0.776859267,       3.740840945
          0,           0,           5,      -1.899613512,      0.6109843813,      0.5470651287,       3.565889659
          0,           0,           6,      -2.052543232,      0.5349182195,      0.3473150099,       3.418575386
          0,           0,           7,       -2.21753154,      0.4681155375,      0.2068259471,       3.264042476
          0,           0,           8,      -2.398977584,      0.4113004567,     0.08688431609,       3.106366406
          0,           0,           9,      -2.572588013,      0.3590193194,    -0.04038980157,       2.968211171
          0,           0,          10,      -2.723850067,      0.3071305624,     -0.1498696506,       2.854752118
          0,           0,          11,      -2.854670566,      0.2528639549,     -0.2382307877,       2.758022199
          0,           0,          12,      -2.968357062,      0.1947584497,     -0.3198084453,       2.671620732
          0,           0,          13,      -3.063664313,      0.1328630474,     -0.3965063542,       2.592390559
          0,           0,          14,       -3.14509259,     0.06803831204,     -0.4680947439,       2.516043221
          0,           0,          15,       -3.21647641,    0.001617825761,     -0.5394251581,        2.44003856
          0,           0,          16,      -3.276958026,    -0.06477895567,     -0.6139659588,       2.365417333
          0,           0,          17,      -3.326238965,     -0.1295700229,      -0.690455742,       2.294824044
          0,           0,          18,      -3.368450619,     -0.1915806351,     -0.7652018172,        2.22955281
          0,           0,          19,      -3.408552972,     -0.2501328436,     -0.8353513616,       2.169274704
          0,           0,          20,       -3.44850889,     -0.3050658907,     -0.8993515742,       2.113541122
          0,           0,          21,      -3.487755772,     -0.3565994853,     -0.9559652241,       2.062406781
          0,           0,          22,      -3.525475691,     -0.4052026311,      -1.004614615,       2.015656217
          0,           0,          23,      -3.561798556,     -0.4514499962,      -1.045906588,       1.972335946
          0,           0,          24,       -3.59731871,     -0.4959174908,      -1.081558193,       1.931238928
          0,           0,          25,      -3.632447762,     -0.5390911671,      -1.113644482,         1.8914913
          0,           0,          26,      -3.667478992,     -0.5813413736,      -1.143715946,       1.852521862
          0,           0,          27,      -3.702601999,     -0.6229929207,      -1.173503122,       1.814005607
          0,           0,          28,      -3.737838861,     -0.6642457774,      -1.203820516,       1.775815277
          0,           0,          29,      -3.773202778,     -0.7052435166,      -1.235119501,       1.737808166
          0,           0,          30,      -3.808779854,     -0.7460781878,      -1.267568225,       1.699833033
          0,           0,          31,      -3.844627232,     -0.7868003537,      -1.301218476,       1.661812273
          0,           0,          32,        -3.8807336,     -0.8274349743,      -1.336014506,       1.623731514
