VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.9933225827,       1.207287221,       1.524926989,        4.46630562
          0,           0,           1,     -0.9576988972,       1.317650122,       1.555016232,       4.513399884
          0,           0,           2,      -1.229135507,       1.081167091,       1.276887059,       4.238623809
          0,           0,           3,      -1.468478011,      0.9213364952,       1.008281628,        3.99987819
          0,           0,           4,        -1.6656718,      0.7633655171,      0.8003765725,       3.798640193
          0,           0,           5,      -1.875931283,      0.6487811705,      0.6168826563,       3.590091651
          0,           0,           6,       -2.05148455,      0.5899828242,      0.4463551945,       3.423864574
          0,           0,           7,      -2.191155208,      0.5149312132,       0.284155688,       3.289362551
          0,           0,           8,      -2.346246662,      0.4387601642,      0.1394203743,       3.152529583
          0,           0,           9,      -2.504769313,      0.3808642023,    0.009684390701,        3.03037555
          0,           0,          10,      -2.652689885,      0.3326631005,    -0.08617745569,       2.924532248
          0,           0,          11,      -2.787344585,      0.2822999541,     -0.1648280626,       2.825447385
          0,           0,          12,      -2.908152328,       0.225441408,      -0.249248948,       2.728945941
          0,           0,          13,      -3.004472888,      0.1629995213,     -0.3371752766,       2.640311259
          0,           0,          14,      -3.076310922,     0.09746165914,     -0.4198842767,       2.562206676
          0,           0,          15,      -3.137330421,     0.03095649276,      -0.496447656,       2.490528858
          0,           0,          16,      -3.196875136,    -0.03507854057,     -0.5709683674,       2.420684757
          0,           0,          17,      -3.256742969,    -0.09965493869,     -0.6462835545,       2.351198045
          0,           0,          18,      -3.315952989,     -0.1620497153,     -0.7223696541,       2.282968309
          0,           0,          19,      -3.373427722,     -0.2218367118,     -0.7979245164,       2.217561362
          0,           0,          20,        -3.4282812,     -0.2789075512,      -0.871723533,       2.156245222
          0,           0,          21,      -3.479743391,     -0.3333690864,     -0.9427471413,       2.099674479
          0,           0,          22,      -3.527511224,     -0.3854465289,      -1.009921444,         2.0477502
          0,           0,          23,      -3.571920616,     -0.4354309757,      -1.072264672,       1.999723979
          0,           0,          24,      -3.613670215,     -0.4836179695,      -1.129214912,       1.954587415
          0,           0,          25,       -3.65349347,     -0.5302839343,      -1.180857612,       1.911389817
          0,           0,          26,      -3.691917622,     -0.5756646449,      -1.227775917,       1.869451568
          0,           0,          27,      -3.729172475,     -0.6199451264,      -1.270749757,       1.828433698
          0,           0,          28,      -3.765295802,     -0.6632665289,      -1.310566998,       1.788242819
          0,           0,          29,      -3.800309666,      -0.705741556,      -1.347978614,       1.748876373
          0,           0,          30,      -3.834329646,     -0.7474687987,      -1.383675763,        1.71031207
          0,           0,          31,      -3.867576117,     -0.7885433062,      -1.418241337,       1.672469234
          0,           0,          32,      -3.900322612,     -0.8290594355,      -1.452113825,       1.635223454
          0,           0,          33,      -3.932846803,     -0.8691109251,      -1.485599186,       1.598428004
          0,           0,          34,      -3.965389989,     -0.9087862394,      -1.518910761,       1.561938351
          0,           0,          35,      -3.998135351,     -0.9481633527,      -1.552210883,       1.525629163
          0,           0,          36,      -4.031209485,     -0.9873065767,      -1.585628442,       1.489397611
          0,           0,          37,      -4.064681595,      -1.026263361,      -1.619258213,       1.453170502
          0,           0,          38,      -4.098575578,      -1.065066999,      -1.653160847,       1.416901352
          0,           0,          39,      -4.132884267,      -1.103739341,      -1.687363168,       1.380563876
          0,           0,          40,      -4.167578159,      -1.142293488,      -1.721863718,       1.344148729
          0,           0,          41,      -4.202615848,      -1.180737607,      -1.756637455,       1.307657607
          0,           0,          42,      -4.237953825,      -1.219078467,       -1.79164622,       1.271096313
          0,           0,          43,      -4.273549973,      -1.257323059,      -1.826846679,       1.234472926
          0,           0,          44,      -4.309368333,      -1.295478354,      -1.862197307,       1.197794389
          0,           0,          45,      -4.345374097,      -1.333551099,      -1.897663004,        1.16107097
          0,           0,          46,      -4.381542127,      -1.371549247,       -1.93321698,        1.12430823
          0,           0,          47,      -4.417852442,      -1.409482341,      -1.968837069,        1.08750985
          0,           0,          48,      -4.454288434,       -1.44735757,      -2.004509093,       1.050678986
          0,           0,          49,      -4.490838971,      -1.485181871,      -2.040225568,       1.013815608
          0,           0,          50,      -4.527495437,       -1.52296271,      -2.075982655,       0.976918613
          0,           0,          51,      -4.564249707,      -1.560706568,      -2.111777834,      0.9399875728
