VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.9723260148,       1.302504884,       1.522629284,       4.487302188
          0,           0,           1,     -0.9552132131,       1.329056118,       1.554221908,       4.513967898
          0,           0,           2,      -1.217250925,       1.162910586,       1.256821166,       4.251710803
          0,           0,           3,       -1.44497264,      0.9928862619,       1.053226406,       4.025273259
          0,           0,           4,      -1.610771242,      0.8227238287,      0.8525967116,       3.858666754
          0,           0,           5,      -1.761453994,      0.7279162413,      0.6737836442,       3.709452263
          0,           0,           6,      -1.916468544,      0.6583297334,         0.5357977,       3.556655226
          0,           0,           7,      -2.070118551,      0.5956544989,      0.4189177074,       3.410489654
          0,           0,           8,      -2.225416713,      0.5343236601,      0.3178183353,       3.274662679
          0,           0,           9,      -2.371691093,        0.47704664,      0.2090233576,       3.153503184
          0,           0,          10,      -2.497391042,      0.4193653381,     0.09353833581,       3.047813228
          0,           0,          11,      -2.611288073,      0.3584605126,    -0.01214286168,       2.948245623
          0,           0,          12,      -2.722639068,      0.2946357073,      -0.103649918,       2.848058707
          0,           0,          13,      -2.821330704,      0.2293596836,     -0.1917065426,       2.752525434
          0,           0,          14,      -2.906696641,      0.1623573531,     -0.2846749783,       2.661984189
          0,           0,          15,      -2.986245885,     0.09340787703,     -0.3816307803,       2.572985455
          0,           0,          16,      -3.058958385,     0.02385395175,     -0.4783371499,       2.487495904
          0,           0,          17,      -3.119579514,    -0.04442710675,     -0.5703658884,        2.41067311
          0,           0,          18,      -3.167539706,     -0.1101965314,     -0.6526400671,       2.345031446
          0,           0,          19,      -3.207131714,     -0.1731344122,     -0.7209000695,       2.289197389
          0,           0,          20,      -3.243273912,     -0.2335166099,     -0.7744410034,       2.240104478
          0,           0,          21,      -3.279179572,     -0.2917310369,     -0.8166333458,       2.194822074
          0,           0,          22,      -3.315979574,     -0.3479350036,     -0.8524873174,       2.151558613
          0,           0,          23,      -3.353213697,     -0.4020459044,     -0.8857267448,       2.109937252
          0,           0,          24,      -3.389999221,     -0.4539576924,     -0.9178934562,       2.070272689
          0,           0,          25,      -3.425935784,     -0.5037391108,     -0.9493061742,       2.032674534
          0,           0,          26,      -3.461231969,     -0.5516554329,      -0.980143731,       1.996746868
          0,           0,          27,      -3.496355544,     -0.5980531503,      -1.010761453,       1.961822118
          0,           0,          28,      -3.531683419,      -0.643240465,      -1.041541513,        1.92730413
          0,           0,          29,      -3.567374479,     -0.6874441325,      -1.072769874,       1.892835545
          0,           0,          30,      -3.603442595,     -0.7308301705,      -1.104643158,       1.858251793
          0,           0,          31,       -3.63989262,     -0.7735383475,      -1.137301994,       1.823447137
          0,           0,          32,      -3.676795068,     -0.8156975098,      -1.170844897,       1.788288927
          0,           0,          33,      -3.714264507,     -0.8574200431,      -1.205339685,       1.752624622
          0,           0,          34,      -3.752410278,     -0.8987939508,      -1.240827871,       1.716322399
          0,           0,          35,       -3.79129588,      -0.939879483,      -1.277322332,       1.679304327
          0,           0,          36,      -3.830931473,     -0.9807152577,      -1.314802875,       1.641549883
          0,           0,          37,       -3.87128984,      -1.021329052,      -1.353222591,       1.603078492
          0,           0,          38,      -3.912328074,      -1.061743641,      -1.392520071,       1.563927676
          0,           0,          39,      -3.954001887,      -1.101979099,      -1.432629988,       1.524138336
          0,           0,          40,      -3.996270302,      -1.142050359,      -1.473485135,       1.483749022
          0,           0,          41,      -4.039084995,      -1.181970499,      -1.515016326,       1.442805904
          0,           0,          42,       -4.08239749,      -1.221746956,      -1.557162267,       1.401353996
          0,           0,          43,      -4.126151072,      -1.261384545,      -1.599854788,       1.359444951
          0,           0,          44,      -4.170277578,      -1.300887983,      -1.643009818,       1.317141759
          0,           0,          45,      -4.214711005,      -1.340268332,      -1.686549439,       1.274504857
          0,           0,          46,      -4.259390342,      -1.379537135,      -1.730411397,       1.231589944
          0,           0,          47,      -4.304261156,      -1.418706581,      -1.774537122,       1.188446759
          0,           0,          48,      -4.349269376,      -1.457789818,      -1.818868918,       1.145125068
          0,           0,          49,      -4.394363863,      -1.496800486,      -1.863349594,       1.101672268
          0,           0,          50,      -4.439497436,      -1.535753318,      -1.907925084,       1.058132289
