VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.9304528269,       1.323732935,       1.569723646,       4.529175376
          0,           0,           1,      -0.958352159,       1.363974374,       1.598476072,       4.510168091
          0,           0,           2,      -1.151899882,       1.173677669,       1.331022833,       4.313181252
          0,           0,           3,      -1.369530151,       1.031785109,       1.078559261,       4.097548583
          0,           0,           4,       -1.58279811,      0.9034690291,       0.880698989,       3.885135525
          0,           0,           5,      -1.774582412,      0.8018487924,      0.7087599861,       3.699309637
          0,           0,           6,      -1.932706849,      0.7152991511,      0.5651011754,       3.542557545
          0,           0,           7,      -2.095449292,      0.6303553824,      0.4252121604,       3.379980714
          0,           0,           8,      -2.234678724,      0.5558306266,      0.2964542402,       3.250309298
          0,           0,           9,      -2.364333775,      0.4888601813,      0.1779404667,       3.140429962
          0,           0,          10,      -2.493939948,      0.4274007476,     0.07489615693,       3.036190735
          0,           0,          11,      -2.605552988,      0.3682897333,    -0.01240222625,       2.943964304
          0,           0,          12,      -2.701612581,      0.3055397717,    -0.09586236088,       2.857280495
          0,           0,          13,       -2.79231619,      0.2362006647,     -0.1828784007,       2.770517163
          0,           0,          14,      -2.884176963,      0.1609308317,     -0.2734551976,       2.682384284
          0,           0,          15,      -2.976327785,     0.08279635426,     -0.3667924501,       2.595004573
          0,           0,          16,      -3.064353962,     0.00534014422,     -0.4602303665,       2.510883681
          0,           0,          17,      -3.148172815,    -0.06933047522,      -0.549180004,       2.429055764
          0,           0,          18,      -3.228913948,     -0.1406248472,     -0.6312694766,       2.348162882
          0,           0,          19,      -3.303408015,     -0.2084346659,        -0.7078218,        2.27001319
          0,           0,          20,      -3.367561066,     -0.2727086801,     -0.7811102443,       2.197721926
          0,           0,          21,      -3.421811526,     -0.3335291768,     -0.8522314979,       2.132371385
          0,           0,          22,       -3.46982933,     -0.3911242631,     -0.9209962405,       2.072942357
          0,           0,          23,      -3.514416185,     -0.4457172236,     -0.9864514254,        2.01830783
          0,           0,          24,      -3.556579642,     -0.4974794471,      -1.047297912,       1.968037423
          0,           0,          25,      -3.596693582,     -0.5466010467,      -1.102232197,       1.921863508
          0,           0,          26,      -3.635305774,     -0.5933349717,      -1.150523315,       1.879130024
          0,           0,          27,      -3.672945507,     -0.6380345982,      -1.192543412,       1.838929855
          0,           0,          28,      -3.709786766,     -0.6810964436,      -1.229739238,       1.800549712
          0,           0,          29,      -3.745819589,     -0.7229036143,      -1.263840107,       1.763486677
          0,           0,          30,      -3.781131714,      -0.763782202,      -1.296296305,       1.727304544
          0,           0,          31,       -3.81596702,     -0.8040055336,      -1.328096474,       1.691612314
          0,           0,          32,      -3.850615278,     -0.8437810303,      -1.359808743,       1.656110133
          0,           0,          33,      -3.885310609,     -0.8832542486,      -1.391728935,       1.620602089
          0,           0,          34,      -3.920209162,     -0.9225341168,      -1.424022256,       1.584967326
          0,           0,          35,      -3.955401086,      -0.961701714,      -1.456796589,       1.549133379
          0,           0,          36,      -3.990932392,      -1.000815132,      -1.490121809,       1.513056171
          0,           0,          37,      -4.026817131,      -1.039915256,       -1.52402723,       1.476712949
          0,           0,          38,      -4.063044883,      -1.079025013,      -1.558505096,        1.44010183
          0,           0,          39,       -4.09958737,      -1.118153574,      -1.593519083,       1.403240536
          0,           0,          40,      -4.136412592,       -1.15729978,      -1.629013728,       1.366155808
          0,           0,          41,      -4.173489103,      -1.196459039,       -1.66492668,       1.328873149
          0,           0,          42,      -4.210793111,      -1.235626056,      -1.701196507,       1.291411817
          0,           0,          43,      -4.248307063,      -1.274797585,       -1.73777043,       1.253786787
          0,           0,          44,      -4.286008166,      -1.313964611,      -1.774607051,       1.216016611
          0,           0,          45,      -4.323874773,      -1.353123178,      -1.811674624,       1.178117389
          0,           0,          46,      -4.361887195,      -1.392268828,      -1.848945881,       1.140103439
          0,           0,          47,      -4.400020438,      -1.431396219,         -1.886391,       1.101994124
          0,           0,          48,      -4.438249628,      -1.470501455,      -1.923982282,       1.063809552
          0,           0,          49,      -4.476550365,      -1.509578335,      -1.961693872,       1.025570595
          0,           0,          50,      -4.514903408,      -1.548621777,      -1.999501081,      0.9872938661
          0,           0,          51,      -4.553294907,      -1.587628466,      -2.037382164,      0.9489915285
          0,           0,          52,      -4.591717541,      -1.626597239,      -2.075319146,      0.9106698952
          0,           0,          53,      -4.630166339,      -1.665529217,      -2.113298534,      0.8723333092
          0,           0,          54,        -4.6686379,       -1.70442512,      -2.151309765,      0.8339845061
          0,           0,          55,      -4.707129003,      -1.743285784,      -2.189345752,      0.7956263074
          0,           0,          56,      -4.745635329,      -1.782110827,      -2.227400409,        0.75726259
          0,           0,          57,      -4.784155039,      -1.820903031,      -2.265468696,      0.7188945164
          0,           0,          58,      -4.822686661,      -1.859665714,      -2.303546753,      0.6805228806
          0,           0,          59,      -4.861228708,      -1.898402433,      -2.341632274,      0.6421484901
          0,           0,          60,      -4.899779833,        -1.9371167,      -2.379724451,      0.6037720586
