VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.8379422113,       1.408995882,        1.66517588,       4.621685992
          0,           0,           1,     -0.7815422562,       1.496015348,        1.71873053,       4.689642864
          0,           0,           2,      -1.026970708,       1.277559405,       1.451223498,       4.444576265
          0,           0,           3,      -1.265591536,       1.130068184,       1.221739442,       4.207951356
          0,           0,           4,      -1.448237666,       1.009034949,       1.043749843,       4.023980056
          0,           0,           5,      -1.664630768,      0.8691202835,      0.8685826916,       3.808695046
          0,           0,           6,      -1.837589844,      0.7551335372,      0.6965663462,       3.638034354
          0,           0,           7,      -1.966239618,      0.6887123121,      0.5424942392,       3.516539772
          0,           0,           8,      -2.097130618,      0.6367821567,      0.4042808425,       3.401432015
          0,           0,           9,      -2.251401243,      0.5802479291,      0.2860868903,       3.271655216
          0,           0,          10,      -2.405435221,      0.5228579929,      0.1768213805,       3.145480508
          0,           0,          11,      -2.530998002,      0.4645434876,     0.06631338933,        3.04023074
          0,           0,          12,      -2.634957042,      0.4021870519,    -0.04056515686,       2.947149789
          0,           0,          13,      -2.729445348,      0.3364431712,     -0.1375557925,        2.85700345
          0,           0,          14,      -2.814737977,      0.2697092169,      -0.223549895,       2.769864366
          0,           0,          15,      -2.887826022,      0.2035224488,     -0.3016734284,       2.688362357
          0,           0,          16,      -2.949531426,       0.138339679,     -0.3765329523,       2.613179957
          0,           0,          17,      -3.004752502,     0.07422111844,     -0.4507662743,       2.542820481
          0,           0,          18,        -3.0582469,     0.01131995963,      -0.524581763,       2.475416151
          0,           0,          19,      -3.112401452,    -0.05011814821,     -0.5976420354,       2.409822852
          0,           0,          20,      -3.167728669,     -0.1099273737,     -0.6697525419,       2.345688407
          0,           0,          21,      -3.223926622,     -0.1681245027,     -0.7408396628,       2.283063295
          0,           0,          22,      -3.280331572,     -0.2248836123,     -0.8108451872,        2.22216181
          0,           0,          23,      -3.336055002,     -0.2804433781,     -0.8794498891,       2.163294375
          0,           0,          24,      -3.390237504,     -0.3350111727,     -0.9459543154,       2.106756368
          0,           0,          25,      -3.442215371,     -0.3887047608,      -1.009479397,       2.052767709
          0,           0,          26,      -3.491497034,     -0.4415548253,      -1.069200284,       2.001511196
          0,           0,          27,      -3.537905694,     -0.4935331284,      -1.124607431,       1.953018068
          0,           0,          28,      -3.581663307,     -0.5445862608,       -1.17559353,        1.90704997
          0,           0,          29,       -3.62329502,      -0.594667093,      -1.222489867,       1.863158603
          0,           0,          30,      -3.663442788,     -0.6437478923,      -1.265965335,       1.820838571
          0,           0,          31,      -3.702655898,     -0.6918231863,      -1.306821642,       1.779682469
          0,           0,          32,      -3.741309385,      -0.738901198,      -1.345791812,         1.7394237
          0,           0,          33,      -3.779685644,     -0.7850226556,      -1.383450951,       1.699859316
          0,           0,          34,      -3.817971903,     -0.8302485553,      -1.420229724,       1.660846397
          0,           0,          35,      -3.856276997,     -0.8746514506,      -1.456461491,       1.622284448
          0,           0,          36,      -3.894671569,     -0.9183121777,      -1.492408925,       1.584076807
          0,           0,          37,      -3.933178322,     -0.9613109992,      -1.528276308,       1.546147483
          0,           0,          38,      -3.971784574,      -1.003722377,      -1.564185517,       1.508439058
          0,           0,          39,      -4.010468166,      -1.045616919,      -1.600200695,       1.470898665
          0,           0,          40,      -4.049210898,      -1.087061351,       -1.63635533,       1.433475015
          0,           0,          41,      -4.088005631,      -1.128111799,      -1.672654255,       1.396119032
          0,           0,          42,      -4.126844955,      -1.168813906,      -1.709061451,       1.358790299
          0,           0,          43,      -4.165745799,      -1.209213357,      -1.745562969,       1.321436496
          0,           0,          44,      -4.204719858,      -1.249349185,      -1.782161057,       1.284020735
          0,           0,          45,      -4.243770748,       -1.28925183,      -1.818859277,       1.246521354
          0,           0,          46,      -4.282894132,      -1.328946594,      -1.855658515,       1.208930124
          0,           0,          47,      -4.322082114,      -1.368457172,      -1.892555564,       1.171246121
          0,           0,          48,      -4.361303288,      -1.407809983,      -1.929550085,       1.133497349
          0,           0,          49,      -4.400575362,      -1.447021532,      -1.966620987,       1.095651942
          0,           0,          50,      -4.439896477,      -1.486113321,      -2.003748072,       1.057712345
