VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.8363162055,       1.397912831,       1.669904382,       4.623311997
          0,           0,           1,     -0.8035840746,       1.471621519,       1.715785575,       4.667966713
          0,           0,           2,      -1.034212223,       1.291311023,       1.441483844,       4.433025391
          0,           0,           3,      -1.274940814,       1.121932121,       1.194946341,       4.194908813
          0,           0,           4,      -1.482460896,      0.9310235785,      0.9993411344,       3.990238029
          0,           0,           5,      -1.654936453,      0.8435357907,      0.7989316931,       3.826193482
          0,           0,           6,      -1.822222029,      0.7743217289,      0.6623036102,       3.666533329
          0,           0,           7,      -1.990932094,      0.6907247638,      0.5051563026,       3.505794835
          0,           0,           8,      -2.153315775,       0.621978869,      0.3387572956,       3.360620315
          0,           0,           9,      -2.294264792,        0.56713241,      0.2110194231,       3.241185936
          0,           0,          10,      -2.433612816,      0.5109054025,      0.1259054256,       3.128175579
          0,           0,          11,      -2.575767739,      0.4490816001,     0.04468911079,       3.017522819
          0,           0,          12,      -2.698894618,      0.3830766599,    -0.04359463504,       2.916662535
          0,           0,          13,       -2.79484693,      0.3140020522,     -0.1333008059,       2.824360574
          0,           0,          14,      -2.877206003,      0.2426213917,     -0.2241767844,        2.73532222
          0,           0,          15,      -2.956765144,       0.170334749,     -0.3194224875,       2.647979055
          0,           0,          16,      -3.036597536,     0.09905958712,      -0.418798584,       2.562952854
          0,           0,          17,       -3.11595196,     0.03050470023,     -0.5183383153,       2.481322882
          0,           0,          18,      -3.192330271,    -0.03430031281,     -0.6133070137,       2.404575638
          0,           0,          19,      -3.262724946,    -0.09520943022,      -0.699925004,       2.334280999
          0,           0,          20,      -3.325306564,     -0.1526503564,     -0.7758592875,       2.271161808
          0,           0,          21,      -3.380413784,     -0.2072840928,     -0.8408706217,       2.214556928
          0,           0,          22,      -3.429676138,      -0.259725833,     -0.8966703268,       2.163028791
          0,           0,          23,      -3.474905095,     -0.3104932531,     -0.9457750484,        2.11499856
          0,           0,          24,       -3.51742066,     -0.3600057498,     -0.9903298968,       2.069180957
          0,           0,          25,       -3.55802911,     -0.4086167865,      -1.031803795,       2.024656533
          0,           0,          26,      -3.597208302,     -0.4566069219,      -1.071226888,       1.980856107
          0,           0,          27,      -3.635339209,     -0.5041784505,      -1.109400602,       1.937443053
          0,           0,          28,       -3.67278357,     -0.5514580614,      -1.146970398,       1.894244624
          0,           0,          29,      -3.709880897,     -0.5985042783,      -1.184407707,       1.851176873
          0,           0,          30,      -3.746876171,      -0.645322431,      -1.221972941,       1.808225383
          0,           0,          31,      -3.783911762,     -0.6918818808,      -1.259749724,       1.765418542
          0,           0,          32,        -3.8210733,     -0.7381309582,      -1.297725653,       1.722792563
          0,           0,          33,      -3.858401722,     -0.7840098215,       -1.33583377,       1.680386167
          0,           0,          34,      -3.895900936,     -0.8294628107,      -1.373956392,        1.63823286
          0,           0,          35,      -3.933580703,      -0.874457629,      -1.412271279,       1.596357206
          0,           0,          36,      -3.971406452,     -0.9189679375,      -1.450721648,        1.55478749
          0,           0,          37,      -4.009349662,     -0.9629828311,      -1.489245775,       1.513519498
          0,           0,          38,      -4.047374755,      -1.006493564,      -1.527800073,        1.47255959
          0,           0,          39,      -4.085432746,      -1.049490247,      -1.566345079,       1.431924757
          0,           0,          40,      -4.123478097,      -1.091989307,      -1.604773956,       1.391632403
          0,           0,          41,      -4.161519874,      -1.133999266,      -1.643046234,       1.351640446
          0,           0,          42,      -4.199569395,       -1.17554103,      -1.681171704,       1.311906177
          0,           0,          43,      -4.237613803,      -1.216637388,      -1.719167614,       1.272418129
          0,           0,          44,      -4.275617125,      -1.257305565,      -1.757033843,       1.233186696
          0,           0,          45,      -4.313549479,      -1.297567074,      -1.794767703,       1.194217718
          0,           0,          46,       -4.35140056,      -1.337450394,      -1.832373765,       1.155501607
          0,           0,          47,      -4.389169315,      -1.376986874,      -1.869860237,       1.117022149
          0,           0,          48,      -4.426862418,      -1.416209539,      -1.907234796,       1.078757195
          0,           0,          49,      -4.464491603,      -1.455151867,      -1.944505384,       1.040680631
          0,           0,          50,      -4.502071236,      -1.493845868,      -1.981681727,         1.0027644
