VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -0.960244563,       1.251304458,       1.554565771,        4.49938364
          0,           0,           1,     -0.9311471814,       1.321894492,       1.570151356,       4.537570602
          0,           0,           2,      -1.183947938,       1.153679143,       1.293332779,       4.281523721
          0,           0,           3,      -1.401461058,      0.9995001234,       1.063812721,       4.063974345
          0,           0,           4,      -1.575399661,      0.8420940456,      0.8955741573,       3.890271443
          0,           0,           5,      -1.760799477,      0.7373347074,      0.6584343146,       3.706621727
          0,           0,           6,      -1.950245236,      0.6638304228,      0.4762260676,       3.521553932
          0,           0,           7,      -2.129328788,      0.5855289714,        0.32179596,       3.354256417
          0,           0,           8,      -2.287964518,      0.5148596008,      0.2017684634,       3.213841432
          0,           0,           9,      -2.444330526,      0.4472593897,     0.09671864117,       3.079514461
          0,           0,          10,      -2.595096324,      0.3789993137,   -0.005585696208,       2.953205075
          0,           0,          11,      -2.715046353,      0.3128295502,     -0.1058379746,       2.850039468
          0,           0,          12,      -2.805957002,      0.2486465412,     -0.2031282592,       2.764900972
          0,           0,          13,      -2.889113496,      0.1843562399,     -0.2961804677,       2.683966898
          0,           0,          14,      -2.974962826,      0.1194458792,     -0.3867129692,       2.601131451
          0,           0,          15,      -3.061986861,     0.05505044978,      -0.476666995,       2.517608272
          0,           0,          16,      -3.147287712,   -0.007360198435,     -0.5655323873,       2.435964824
          0,           0,          17,       -3.22793222,    -0.06679786987,      -0.652016048,       2.358635717
          0,           0,          18,      -3.300341642,     -0.1228533859,     -0.7354932789,       2.288145006
          0,           0,          19,      -3.363997106,     -0.1756557531,     -0.8155493654,       2.224918284
          0,           0,          20,      -3.421540426,     -0.2257277423,     -0.8916182138,       2.167256412
          0,           0,          21,      -3.475111726,     -0.2737383136,     -0.9633698252,       2.113463649
          0,           0,          22,      -3.525311215,     -0.3203104024,      -1.030648373,       2.062716803
          0,           0,          23,      -3.572366392,     -0.3659353171,      -1.092991461,        2.01458749
          0,           0,          24,      -3.616663515,     -0.4109782234,      -1.149744357,       1.968680082
          0,           0,          25,      -3.658649912,     -0.4557031517,      -1.200566074,       1.924579356
          0,           0,          26,      -3.698735143,     -0.5002953502,      -1.245895745,       1.881872837
          0,           0,          27,      -3.737316944,     -0.5448819322,      -1.286896057,       1.840162975
          0,           0,          28,      -3.774822983,     -0.5895473376,      -1.324997919,       1.799076767
          0,           0,          29,      -3.811706166,      -0.634341671,      -1.361457826,       1.758275502
          0,           0,          30,      -3.848369896,     -0.6792860073,      -1.397163803,       1.717491852
          0,           0,          31,      -3.885119825,     -0.7243769969,      -1.432651328,       1.676548069
          0,           0,          32,      -3.922124007,     -0.7695918683,      -1.468189902,       1.635375148
          0,           0,          33,      -3.959440053,     -0.8148980298,      -1.503891312,       1.593982428
          0,           0,          34,      -3.997042539,     -0.8602565943,      -1.539782569,       1.552437252
          0,           0,          35,      -4.034876004,     -0.9056288103,      -1.575867049,         1.5108215
          0,           0,          36,      -4.072883812,     -0.9509794117,       -1.61215588,       1.469209101
          0,           0,          37,      -4.111025833,     -0.9962778717,      -1.648666617,       1.427654076
          0,           0,          38,      -4.149286144,      -1.041497945,      -1.685417384,       1.386186803
          0,           0,          39,      -4.187651358,      -1.086616661,      -1.722419023,       1.344829769
          0,           0,          40,      -4.226107717,        -1.1316161,      -1.759771952,       1.303599679
          0,           0,          41,      -4.264676866,      -1.176494281,      -1.797743292,       1.262477741
          0,           0,          42,      -4.303440753,      -1.221244805,        -1.8357627,       1.221392038
          0,           0,          43,      -4.342344509,      -1.265844678,       -1.87391443,       1.180369918
          0,           0,          44,      -4.381270255,      -1.310267407,      -1.912177059,       1.139499467
          0,           0,          45,      -4.420166386,       -1.35449421,       -1.95048932,       1.098822573
          0,           0,          46,      -4.459024726,      -1.398519527,      -1.988823969,       1.058336971
          0,           0,          47,      -4.497843664,       -1.44233973,      -2.027190034,        1.01802698
          0,           0,          48,      -4.536645803,      -1.485947029,      -2.065576115,      0.9778596472
          0,           0,          49,      -4.575447455,      -1.529337216,      -2.103956546,      0.9378157635
          0,           0,          50,      -4.614232508,      -1.572502823,        -2.1423478,      0.8978990016
