VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.9844957684,       1.232042928,       1.526005043,       4.475132435
          0,           0,           1,      -0.995196146,       1.326274363,       1.541863418,       4.475075514
          0,           0,           2,       -1.22618819,       1.118216592,       1.263373121,       4.238777581
          0,           0,           3,      -1.471532998,      0.9246524971,      0.9927416817,       3.996109906
          0,           0,           4,      -1.646592368,      0.7606092953,      0.7867321888,       3.817554045
          0,           0,           5,      -1.837919751,      0.6854613903,      0.6163133968,       3.629189024
          0,           0,           6,      -2.020733041,      0.6196523581,      0.4786774939,       3.449536029
          0,           0,           7,      -2.187432736,      0.5367318556,       0.326914415,       3.290104581
          0,           0,           8,      -2.335124152,      0.4717349426,      0.1935584624,       3.161753905
          0,           0,           9,      -2.465246201,      0.4215400771,     0.08529964184,       3.058631525
          0,           0,          10,      -2.599396407,      0.3698462707,    -0.01214104799,       2.957694403
          0,           0,          11,      -2.723408802,      0.3112235555,     -0.1056565844,        2.86398154
          0,           0,          12,       -2.82447322,       0.244731019,     -0.1924051661,       2.778426719
          0,           0,          13,       -2.91524134,      0.1713326275,     -0.2739529325,       2.692345299
          0,           0,          14,      -3.003064673,     0.09348373831,      -0.355099229,       2.603846963
          0,           0,          15,      -3.088494255,     0.01379593365,     -0.4393836997,       2.514202848
          0,           0,          16,      -3.170573827,    -0.06563468716,     -0.5280650661,       2.424677507
          0,           0,          17,      -3.247170159,     -0.1431069489,     -0.6199111908,       2.337365149
          0,           0,          18,      -3.317013992,     -0.2170797821,     -0.7124926293,       2.254583184
          0,           0,          19,      -3.380607816,     -0.2863630008,     -0.8032893338,        2.17787541
          0,           0,          20,      -3.438522455,     -0.3502953489,     -0.8898343395,       2.108295441
          0,           0,          21,      -3.490545447,     -0.4088291901,     -0.9697150685,       2.046655796
          0,           0,          22,      -3.536526146,     -0.4624483549,      -1.040948881,       1.992971518
          0,           0,          23,      -3.577083805,      -0.511946419,      -1.102489488,       1.946175845
          0,           0,          24,      -3.613470217,      -0.558189877,      -1.154567707,       1.904548183
          0,           0,          25,      -3.647099042,       -0.60194078,      -1.198533097,       1.866406166
          0,           0,          26,       -3.67919433,     -0.6437852429,      -1.236262376,       1.830462083
          0,           0,          27,      -3.710628426,     -0.6841492922,      -1.269627427,       1.795856975
          0,           0,          28,      -3.741907026,     -0.7233480375,      -1.300224535,       1.762073484
          0,           0,          29,      -3.773244124,     -0.7616308931,        -1.3292947,        1.72881636
          0,           0,          30,      -3.804713886,     -0.7992116984,      -1.357751804,       1.695892646
          0,           0,          31,      -3.836376524,       -0.83628347,       -1.38623791,       1.663131861
          0,           0,          32,      -3.868327767,     -0.8730242551,      -1.415184394,       1.630358136
          0,           0,          33,      -3.900689988,     -0.9095929399,      -1.444873459,       1.597397132
          0,           0,          34,      -3.933576139,     -0.9461285653,      -1.475664955,       1.564106529
          0,           0,          35,       -3.96705049,     -0.9827433932,      -1.507360708,       1.530391801
          0,           0,          36,      -4.001059846,      -1.019474058,      -1.539952418,       1.496263022
          0,           0,          37,      -4.035536106,       -1.05633198,      -1.573339284,       1.461764525
          0,           0,          38,      -4.070443081,      -1.093326122,      -1.607417228,       1.426923825
          0,           0,          39,      -4.105741531,      -1.130455583,      -1.642104135,       1.391759066
          0,           0,          40,       -4.14138333,      -1.167714488,      -1.677329299,       1.356292368
          0,           0,          41,      -4.177329288,       -1.20509131,      -1.713023201,       1.320543469
          0,           0,          42,      -4.213544244,      -1.242569625,      -1.749119158,       1.284535278
