VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.9532387962,       1.252034865,       1.562845406,       4.506389407
          0,           0,           1,     -0.8939442931,       1.350105919,       1.594883178,       4.571355378
          0,           0,           2,      -1.175135321,       1.154532303,       1.307871346,       4.291182037
          0,           0,           3,      -1.418607314,      0.9989051534,       1.045038259,       4.049028308
          0,           0,           4,      -1.643354391,      0.8234967722,      0.8537999856,       3.824489918
          0,           0,           5,      -1.810145162,      0.7003067043,      0.6560656671,       3.661480968
          0,           0,           6,      -2.000080664,      0.6285942109,      0.4747295329,       3.475980385
          0,           0,           7,      -2.163822476,      0.5493295123,      0.3165163519,       3.315214008
          0,           0,           8,      -2.314663928,       0.472697215,      0.2035507944,       3.170088085
          0,           0,           9,      -2.456527723,      0.4135302278,     0.09126315916,       3.039970465
          0,           0,          10,      -2.574143708,      0.3664752664,    -0.03223331595,       2.938897077
          0,           0,          11,      -2.662446532,      0.3218600789,     -0.1462120574,       2.866693526
          0,           0,          12,      -2.749190799,      0.2722120715,     -0.2376036804,       2.796620936
          0,           0,          13,      -2.851417857,      0.2157598317,     -0.3138809794,       2.713953995
          0,           0,          14,      -2.962060225,        0.15462631,     -0.3867507936,       2.623581427
          0,           0,          15,      -3.065507898,     0.09193888417,     -0.4617564716,       2.535773207
          0,           0,          16,      -3.152563944,     0.03008065361,     -0.5395304067,       2.456528211
          0,           0,          17,      -3.224637989,    -0.02981456506,     -0.6185645261,        2.38619183
          0,           0,          18,      -3.287949654,    -0.08751732558,     -0.6970078115,        2.32235152
          0,           0,          19,      -3.346762447,     -0.1431911594,     -0.7730025671,       2.262883126
          0,           0,          20,      -3.401947844,     -0.1970808732,     -0.8447012778,        2.20686869
          0,           0,          21,       -3.45297713,     -0.2494771051,     -0.9108195458,       2.153942753
          0,           0,          22,       -3.49989997,     -0.3007221633,     -0.9711929686,       2.103624773
          0,           0,          23,      -3.543682731,     -0.3511948248,      -1.026613999,       2.055163017
          0,           0,          24,      -3.585476914,     -0.4012292882,       -1.07815247,       2.007867728
          0,           0,          25,      -3.626047009,     -0.4510590936,      -1.126698744,       1.961350278
          0,           0,          26,      -3.665702122,     -0.5008093247,      -1.172947388,       1.915510725
          0,           0,          27,       -3.70445001,     -0.5505140634,      -1.217447097,       1.870437102
          0,           0,          28,      -3.742207673,     -0.6001457752,      -1.260605158,       1.826276625
          0,           0,          29,        -3.7789562,     -0.6496485444,      -1.302704471,        1.78312896
          0,           0,          30,      -3.814762942,     -0.6989534718,      -1.343826883,        1.74102182
          0,           0,          31,      -3.849803987,     -0.7479928753,      -1.384037037,       1.699887851
          0,           0,          32,      -3.884320716,     -0.7967070546,      -1.423445816,       1.659582705
          0,           0,          33,      -3.918548776,     -0.8450430169,      -1.462197166,        1.61994524
          0,           0,          34,       -3.95268395,     -0.8929530146,      -1.500451937,       1.580832644
          0,           0,          35,      -3.986875326,     -0.9403969118,       -1.53837575,       1.542126588
          0,           0,          36,       -4.02122709,     -0.9873457063,      -1.576122241,       1.503731169
          0,           0,          37,      -4.055808523,      -1.033781566,      -1.613815208,       1.465567579
          0,           0,          38,      -4.090666876,      -1.079698742,      -1.651541396,       1.427566882
          0,           0,          39,      -4.125834403,      -1.125100718,      -1.689353744,       1.389667248
          0,           0,          40,      -4.161329563,      -1.169997001,      -1.727279799,       1.351815568
          0,           0,          41,      -4.197156014,      -1.214400524,      -1.765324945,       1.313971185
          0,           0,          42,      -4.233306904,      -1.258325733,      -1.803485384,       1.276104035
          0,           0,          43,      -4.269763408,      -1.301786192,      -1.841746372,       1.238196484
          0,           0,          44,      -4.306497297,      -1.344794961,      -1.880083308,       1.200243024
          0,           0,          45,      -4.343482518,      -1.387369747,      -1.918481475,       1.162240871
          0,           0,          46,      -4.380700261,      -1.429532259,      -1.956937639,       1.124184381
          0,           0,          47,      -4.418121934,      -1.471303115,       -1.99544367,       1.086079628
          0,           0,          48,      -4.455717313,       -1.51270227,      -2.033980949,       1.047937163
          0,           0,          49,       -4.49346105,      -1.553752097,      -2.072530393,       1.009765503
          0,           0,          50,      -4.531334312,      -1.594477976,      -2.111078727,       0.971568897
          0,           0,          51,      -4.569321208,      -1.634907633,      -2.149621723,      0.9333506033
          0,           0,          52,      -4.607409382,      -1.675069292,      -2.188159469,      0.8951119488
          0,           0,          53,      -4.645588183,      -1.714991221,      -2.226694577,      0.8568536622
          0,           0,          54,      -4.683849208,      -1.754701017,       -2.26523045,      0.8185752302
          0,           0,          55,      -4.722185476,      -1.794223713,      -2.303770283,      0.7802757729
          0,           0,          56,      -4.760590956,      -1.833583215,      -2.342316812,      0.7419543312
          0,           0,          57,      -4.799061008,      -1.872801999,      -2.380872629,      0.7036092863
          0,           0,          58,      -4.837592216,      -1.911900673,      -2.419440251,       0.665238543
          0,           0,          59,      -4.876182108,      -1.950897965,      -2.458021575,      0.6268397881
          0,           0,          60,      -4.914828907,      -1.989810853,      -2.496618302,      0.5884106503
          0,           0,          61,       -4.95353145,      -2.028654828,      -2.535232676,      0.5499487296
          0,           0,          62,      -4.992289239,      -2.067443708,      -2.573866502,      0.5114516587
