VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -0.886734247,        1.38801937,       1.606999991,       4.572893956
          0,           0,           1,     -0.8160909769,       1.487687758,       1.669219422,       4.650022776
          0,           0,           2,      -1.074741848,       1.306309498,        1.44728884,       4.393213417
          0,           0,           3,      -1.240661245,       1.199307135,       1.228278916,        4.22845009
          0,           0,           4,      -1.430200625,       1.035086409,        1.02939912,       4.041721571
          0,           0,           5,      -1.613850548,      0.9041798617,      0.8338448175,        3.86143667
          0,           0,           6,      -1.796016963,      0.8305139634,      0.6685014133,       3.687028366
          0,           0,           7,       -1.97013757,      0.7565556153,      0.5125578869,       3.521129668
          0,           0,           8,      -2.128299331,      0.6892626329,      0.3766665462,       3.372019146
          0,           0,           9,      -2.268997663,      0.6390908003,       0.248213193,       3.247086732
          0,           0,          10,      -2.394779942,      0.5947501583,       0.126337422,       3.144956807
          0,           0,          11,      -2.498092647,      0.5484662206,     0.02998567943,       3.063378612
          0,           0,          12,      -2.591959777,       0.497273167,    -0.04239981418,       2.986138125
          0,           0,          13,      -2.684326411,       0.441575487,     -0.1088210923,       2.906390929
          0,           0,          14,      -2.770016954,      0.3833821214,     -0.1796560982,        2.82811429
          0,           0,          15,      -2.845488186,      0.3246338638,     -0.2539966682,       2.754953568
          0,           0,          16,      -2.912573932,      0.2666233497,     -0.3270352402,       2.686982504
          0,           0,          17,      -2.973703534,      0.2100227131,     -0.3959795094,       2.623024248
          0,           0,          18,      -3.030763122,      0.1549763924,     -0.4609681906,       2.561833931
          0,           0,          19,      -3.085544912,      0.1012808771,     -0.5230297777,       2.502377884
          0,           0,          20,       -3.13888365,     0.04860981791,     -0.5831545766,        2.44427501
          0,           0,          21,      -3.190425111,   -0.003308612829,     -0.6418562775,       2.387892775
          0,           0,          22,      -3.239675503,    -0.05468431977,     -0.6991407759,       2.333664584
          0,           0,          23,      -3.286761244,     -0.1057023254,     -0.7547596172,       2.281567765
          0,           0,          24,      -3.332372674,     -0.1565370403,     -0.8084581236,       2.231116888
          0,           0,          25,      -3.377208513,      -0.207343311,     -0.8602300603,       2.181736793
          0,           0,          26,      -3.421769842,     -0.2582384709,      -0.910193533,       2.132951208
          0,           0,          27,      -3.466346246,     -0.3093040987,     -0.9585706442,       2.084438896
          0,           0,          28,       -3.51106398,     -0.3605891125,      -1.005670779,       2.036018739
          0,           0,          29,      -3.555941427,     -0.4121122712,       -1.05183914,       1.987609377
          0,           0,          30,      -3.600941723,     -0.4638650972,      -1.097384139,         1.9391914
          0,           0,          31,      -3.646013977,     -0.5158136845,      -1.142519217,       1.890778126
          0,           0,          32,      -3.691119616,     -0.5679054492,      -1.187355793,       1.842395933
          0,           0,          33,      -3.736250105,     -0.6200715161,      -1.231939142,       1.794065878
          0,           0,          34,      -3.781358521,     -0.6722305663,      -1.276289266,       1.745851984
          0,           0,          35,      -3.826392576,     -0.7242954659,      -1.320400607,       1.697833918
          0,           0,          36,      -3.871307926,     -0.7761740789,      -1.364237901,       1.650087356
          0,           0,          37,       -3.91605035,     -0.8277747576,      -1.407750038,       1.602693944
          0,           0,          38,      -3.960593944,     -0.8790125819,      -1.450904848,       1.555708796
