VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.8381222726,       1.378426848,         1.6778374,        4.62150593
          0,           0,           1,     -0.8641271492,       1.461094486,        1.61809492,       4.601425651
          0,           0,           2,      -1.063714328,       1.295609149,       1.405361679,       4.406434643
          0,           0,           3,      -1.278766783,       1.148460807,       1.180555712,       4.193406586
          0,           0,           4,      -1.458592738,       1.051383638,       1.015198613,       4.017157392
          0,           0,           5,      -1.667164462,      0.9563456433,      0.8656502831,       3.814797373
          0,           0,           6,      -1.844301337,      0.8631785089,      0.6851739188,       3.638823575
          0,           0,           7,      -1.999102929,       0.772862153,      0.5055486876,       3.486220008
          0,           0,           8,      -2.155486092,      0.6874004657,      0.3594256539,       3.339397548
          0,           0,           9,       -2.29598763,       0.614379088,      0.2434542788,       3.209720452
          0,           0,          10,      -2.406518444,      0.5487834181,      0.1343016227,       3.103505633
          0,           0,          11,      -2.501337122,      0.4862803056,     0.02984505898,        3.01204764
          0,           0,          12,       -2.60299127,      0.4243374769,    -0.06295466328,       2.920709391
          0,           0,          13,      -2.711829769,      0.3619968191,     -0.1460078449,        2.82824132
          0,           0,          14,      -2.813540088,      0.2996397898,     -0.2261839133,       2.742543169
          0,           0,          15,      -2.899821696,      0.2379809042,      -0.306996269,       2.667278996
          0,           0,          16,       -2.97357522,      0.1776296579,     -0.3868117307,       2.599887323
          0,           0,          17,      -3.040162045,      0.1191169806,     -0.4628927204,       2.536851482
          0,           0,          18,      -3.102116197,     0.06284877017,     -0.5344633917,       2.476395666
          0,           0,          19,      -3.159633271,     0.00896013804,     -0.6024209947,       2.418168272
          0,           0,          20,       -3.21238662,    -0.04277053145,     -0.6677439658,       2.362372046
          0,           0,          21,      -3.260810161,    -0.09281538425,     -0.7307158291,       2.309110636
          0,           0,          22,      -3.306209008,      -0.141715927,     -0.7911720437,       2.258078963
          0,           0,          23,      -3.349908761,     -0.1899387286,      -0.848868673,       2.208815743
          0,           0,          24,      -3.392838322,     -0.2378345611,       -0.90377175,       2.160845163
          0,           0,          25,      -3.435561725,     -0.2856496102,     -0.9561658015,       2.113721566
          0,           0,          26,      -3.478446694,       -0.33353569,      -1.006444152,       2.067023992
          0,           0,          27,      -3.521536592,     -0.3815688089,      -1.055060355,       2.020519162
          0,           0,          28,      -3.564747371,     -0.4297626121,      -1.102432747,       1.974098068
          0,           0,          29,      -3.607939697,     -0.4781030685,      -1.148909248,       1.927742903
          0,           0,          30,      -3.650997022,     -0.5265564915,      -1.194721383,       1.881487406
          0,           0,          31,      -3.693858121,     -0.5750828143,      -1.239990209,       1.835381013
          0,           0,          32,      -3.736522069,     -0.6236409797,       -1.28478197,       1.789462008
          0,           0,          33,      -3.779044091,     -0.6721949617,      -1.329156038,       1.743736447
          0,           0,          34,      -3.821518079,     -0.7207153633,      -1.373190513,       1.698173924
          0,           0,          35,      -3.864029004,     -0.7691761639,      -1.416967947,        1.65273666
          0,           0,          36,      -3.906637947,     -0.8175522966,      -1.460544707,       1.607392822
          0,           0,          37,      -3.949362754,     -0.8658181215,      -1.503940537,       1.562135311
          0,           0,          38,      -3.992193968,     -0.9139476152,      -1.547133816,       1.516973958
          0,           0,          39,      -4.035103732,     -0.9619135707,      -1.590073618,       1.471931608
          0,           0,          40,      -4.078053216,      -1.009688114,      -1.632706197,       1.427038827
          0,           0,          41,        -4.1209889,      -1.057251072,       -1.67501434,       1.382336858
          0,           0,          42,      -4.163906192,      -1.104574086,      -1.716980846,       1.337822735
          0,           0,          43,      -4.206734385,      -1.151626311,      -1.758609217,       1.293551298
          0,           0,          44,      -4.249420424,      -1.198390038,      -1.799928855,       1.249552636
          0,           0,          45,      -4.291939128,      -1.244848257,       -1.84095889,        1.20584483
          0,           0,          46,      -4.334265107,      -1.290982187,      -1.881716566,       1.162450511
          0,           0,          47,      -4.376381064,       -1.33677281,      -1.922217377,       1.119379845
          0,           0,          48,      -4.418254544,      -1.382209985,      -1.962469127,       1.076658346
          0,           0,          49,       -4.45995188,      -1.427303786,      -2.002500081,       1.034219716
          0,           0,          50,      -4.501523435,      -1.472066421,      -2.042350206,      0.9920105598
          0,           0,          51,      -4.542965701,      -1.516500654,      -2.082051029,      0.9500273978
          0,           0,          52,      -4.584261963,      -1.560607578,      -2.121618102,      0.9082799065
          0,           0,          53,      -4.625407242,      -1.604393588,      -2.161058936,        0.86676762
          0,           0,          54,      -4.666407798,      -1.647869772,      -2.200380237,      0.8254799647
          0,           0,          55,       -4.70727319,      -1.691050117,      -2.239590625,      0.7844032123
          0,           0,          56,      -4.748012229,      -1.733949785,       -2.27870038,      0.7435240432
          0,           0,          57,      -4.788632476,      -1.776584146,      -2.317720436,      0.7028300457
          0,           0,          58,      -4.829140943,      -1.818968621,      -2.356661297,      0.6623092514
          0,           0,          59,      -4.869544729,      -1.861119264,      -2.395532486,       0.621949725
          0,           0,          60,      -4.909850926,      -1.903052297,      -2.434342916,      0.5817397475
          0,           0,          61,       -4.95006602,      -1.944783655,      -2.473100686,       0.541668351
          0,           0,          62,      -4.990196273,      -1.986329171,      -2.511813113,      0.5017249675
          0,           0,          63,      -5.030249514,      -2.027702979,      -2.550488154,      0.4618975998
          0,           0,          64,       -5.07022997,      -2.068920037,      -2.589133183,      0.4221783675
          0,           0,          65,      -5.110144898,      -2.109994812,      -2.627754793,      0.3825565279
          0,           0,          66,      -5.150001664,      -2.150940888,      -2.666359506,      0.3430213436
          0,           0,          67,      -5.189806853,       -2.19177103,      -2.704953544,       0.303563025
          0,           0,          68,       -5.22956689,      -2.232497148,       -2.74354257,      0.2641721652
          0,           0,          69,      -5.269287971,      -2.273130194,      -2.782131829,      0.2248398495
          0,           0,          70,      -5.308974991,      -2.313681264,      -2.820726448,      0.1855589125
          0,           0,          71,      -5.348633859,      -2.354160489,       -2.85933105,      0.1463213296
          0,           0,          72,      -5.388270002,      -2.394577166,      -2.897949904,      0.1071198392
          0,           0,          73,      -5.427888612,      -2.434939843,      -2.936586803,     0.06794767621
          0,           0,          74,      -5.467494775,      -2.475256391,      -2.975245053,     0.02879839166
          0,           0,          75,      -5.507093041,      -2.515534006,       -3.01392731,    -0.01033376845
          0,           0,          76,      -5.546687321,      -2.555779187,      -3.052636056,    -0.04945381496
          0,           0,          77,      -5.586281578,      -2.595997982,      -3.091373593,    -0.08856664914
          0,           0,          78,      -5.625879741,      -2.636195921,      -3.130142081,       -0.12767699
          0,           0,          79,      -5.665485538,      -2.676377979,      -3.168943754,     -0.1667892921
          0,           0,          80,      -5.705102577,      -2.716548715,      -3.207781008,     -0.2059078597
          0,           0,          81,      -5.744734165,       -2.75671233,      -3.246656225,     -0.2450366694
          0,           0,          82,      -5.784383103,      -2.796872642,       -3.28557149,     -0.2841791471
          0,           0,          83,      -5.824051683,      -2.837033092,      -3.324528432,     -0.3233381449
          0,           0,          84,      -5.863741834,      -2.877196763,      -3.363528291,     -0.3625160729
          0,           0,          85,      -5.903455291,      -2.917366417,      -3.402572048,     -0.4017150703
          0,           0,          86,      -5.943193722,      -2.957544526,      -3.441660559,     -0.4409371424
          0,           0,          87,      -5.982958799,      -2.997733315,      -3.480794618,     -0.4801842454
          0,           0,          88,      -6.022752202,       -3.03793479,      -3.519974973,     -0.5194583006
          0,           0,          89,      -6.062575598,      -3.078150773,      -3.559202329,     -0.5587611871
          0,           0,          90,      -6.102430582,      -3.118382923,      -3.598477328,     -0.5980946925
          0,           0,          91,      -6.142318644,      -3.158632748,      -3.637800545,     -0.6374604858
          0,           0,          92,      -6.182241136,      -3.198901622,      -3.677172485,     -0.6768600887
          0,           0,          93,      -6.222199258,      -3.239190791,      -3.716593592,     -0.7162948666
          0,           0,          94,       -6.26219407,      -3.279501381,      -3.756064251,     -0.7557660338
          0,           0,          95,      -6.302226506,      -3.319834405,       -3.79558478,     -0.7952746704
          0,           0,          96,      -6.342297395,      -3.360190771,      -3.835155454,     -0.8348217415
          0,           0,          97,      -6.382407491,      -3.400571293,      -3.874776498,     -0.8744081279
          0,           0,          98,      -6.422557473,      -3.440976697,      -3.914448081,     -0.9140346225
          0,           0,          99,      -6.462747968,      -3.481407631,       -3.95417033,     -0.9537019542
          0,           0,         100,       -6.50297956,      -3.521864675,       -3.99394332,     -0.9934108025
          0,           0,         101,      -6.543252788,      -3.562348349,      -4.033767086,      -1.033161791
          0,           0,         102,      -6.583568156,      -3.602859125,      -4.073641632,      -1.072955506
          0,           0,         103,      -6.623926133,      -3.643397421,      -4.113566919,      -1.112792485
          0,           0,         104,      -6.664327156,      -3.683963628,      -4.153542911,      -1.152673241
          0,           0,         105,      -6.704771636,      -3.724558093,      -4.193569517,      -1.192598245
          0,           0,         106,      -6.745260323,       -3.76518116,      -4.233642552,      -1.232568298
          0,           0,         107,      -6.785794158,      -3.805832766,      -4.273765742,      -1.272584079
          0,           0,         108,      -6.826373271,      -3.846513184,      -4.313940626,      -1.312645839
          0,           0,         109,      -6.866996604,      -3.887222641,      -4.354166739,      -1.352752918
          0,           0,         110,      -6.907662864,      -3.927960909,      -4.394443311,      -1.392904287
          0,           0,         111,      -6.948372346,      -3.968728065,      -4.434769398,      -1.433100291
          0,           0,         112,      -6.989126602,      -4.009524617,      -4.475144539,      -1.473342382
          0,           0,         113,      -7.029926841,      -4.050351062,      -4.515568738,      -1.513631648
          0,           0,         114,      -7.070773413,      -4.091207662,      -4.556042143,      -1.553968408
          0,           0,         115,        -7.1116661,      -4.132094557,      -4.596564691,      -1.594352503
          0,           0,         116,      -7.152604538,       -4.17301184,      -4.637136111,      -1.634783674
          0,           0,         117,      -7.193588455,      -4.213959614,       -4.67775608,       -1.67526174
          0,           0,         118,       -7.23461769,      -4.254937942,       -4.71842425,      -1.715786596
          0,           0,         119,      -7.275692298,      -4.295946892,      -4.759140284,       -1.75635834
          0,           0,         120,      -7.316812372,      -4.336986522,      -4.799903846,       -1.79697706
          0,           0,         121,      -7.357978183,      -4.378056927,      -4.840714789,      -1.837643064
          0,           0,         122,      -7.399189891,      -4.419158171,      -4.881572838,      -1.878356489
          0,           0,         123,      -7.440447667,      -4.460290364,      -4.922477809,      -1.919117516
          0,           0,         124,      -7.481751661,       -4.50145359,      -4.963429626,      -1.959926325
          0,           0,         125,      -7.523101819,      -4.542647923,      -5.004428167,      -2.000782886
          0,           0,         126,      -7.564498152,      -4.583873423,      -5.045473291,      -2.041687262
          0,           0,         127,      -7.605940519,      -4.625130096,      -5.086564771,      -2.082639312
          0,           0,         128,      -7.647428822,      -4.666417988,      -5.127702531,         -2.123639
          0,           0,         129,      -7.688963082,      -4.707737092,      -5.168886191,      -2.164686359
          0,           0,         130,      -7.730543151,      -4.749087434,      -5.210115684,      -2.205781323
          0,           0,         131,      -7.772168675,      -4.790468974,      -5.251390526,      -2.246923522
          0,           0,         132,      -7.813839615,      -4.831881688,      -5.292710528,      -2.288113031
          0,           0,         133,      -7.855555658,      -4.873325564,      -5.334075457,      -2.329349601
          0,           0,         134,      -7.897316515,      -4.914800524,      -5.375484938,      -2.370632954
          0,           0,         135,      -7.939122016,      -4.956306546,      -5.416938587,      -2.411963012
          0,           0,         136,      -7.980971762,      -4.997843551,      -5.458436266,      -2.453339446
          0,           0,         137,      -8.022865327,      -5.039411368,      -5.499977323,      -2.494761854
          0,           0,         138,      -8.064802328,      -5.081010118,      -5.541561995,      -2.536230079
          0,           0,         139,      -8.106782372,      -5.122639501,      -5.583189389,      -2.577743678
          0,           0,         140,      -8.148805351,      -5.164299534,      -5.624859557,      -2.619302715
          0,           0,         141,      -8.190870351,      -5.205990085,      -5.666572206,      -2.660906307
          0,           0,         142,      -8.232977462,      -5.247710983,      -5.708326666,      -2.702554715
          0,           0,         143,      -8.275125409,       -5.28946207,      -5.750122758,      -2.744246762
          0,           0,         144,      -8.317314384,      -5.331243227,      -5.791960346,      -2.785982615
          0,           0,         145,      -8.359543333,      -5.373054379,      -5.833838952,      -2.827761541
          0,           0,         146,       -8.40181225,      -5.414895318,      -5.875758572,       -2.86958361
          0,           0,         147,      -8.444119718,       -5.45676572,      -5.917718078,      -2.911447485
          0,           0,         148,      -8.486465897,      -5.498665571,      -5.959718218,      -2.953353697
          0,           0,         149,      -8.528849615,      -5.540594535,      -6.001757673,       -2.99530078
          0,           0,         150,      -8.571270557,      -5.582552354,      -6.043836527,      -3.037289145
          0,           0,         151,      -8.613727642,      -5.624538766,      -6.085954182,      -3.079317426
          0,           0,         152,      -8.656219976,      -5.666553772,      -6.128111612,      -3.121385493
          0,           0,         153,      -8.698747318,      -5.708596747,       -6.17030663,      -3.163492518
          0,           0,         154,      -8.741308377,      -5.750667653,      -6.212539965,      -3.205638092
          0,           0,         155,      -8.783902425,      -5.792766029,      -6.254811052,      -3.247821447
          0,           0,         156,      -8.826528994,      -5.834891445,      -6.297119116,      -3.290042345
          0,           0,         157,      -8.869186465,      -5.877043688,       -6.33946499,       -3.33229932
          0,           0,         158,      -8.911875112,      -5.919222454,      -6.381846546,      -3.374592971
          0,           0,         159,      -8.954592947,      -5.961427113,      -6.424265868,      -3.416921706
          0,           0,         160,       -8.99733742,      -6.003656771,      -6.466718973,      -3.459282998
          0,           0,         161,      -9.040110541,      -6.045912269,      -6.509210967,      -3.501680072
          0,           0,         162,      -9.082912253,      -6.088192341,      -6.551737116,      -3.544112035
          0,           0,         163,      -9.125735084,      -6.130496081,       -6.59429522,      -3.586571952
          0,           0,         164,      -9.168585111,      -6.172823252,      -6.636890232,      -3.629065884
          0,           0,         165,      -9.211457225,      -6.215173492,      -6.679520698,      -3.671590239
          0,           0,         166,      -9.254351146,      -6.257546481,      -6.722184925,      -3.714144527
          0,           0,         167,      -9.297264916,       -6.29994083,      -6.764881514,      -3.756727263
          0,           0,         168,      -9.340197984,      -6.342356431,       -6.80761097,      -3.799338351
