VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.8000615477,       1.448565939,       1.701311653,       4.659566655
          0,           0,           1,     -0.7755196488,       1.531967223,       1.745408513,       4.693595511
          0,           0,           2,      -1.015887905,       1.365129495,       1.501917372,       4.452231598
          0,           0,           3,      -1.212092841,       1.170822408,       1.218684297,       4.257456049
          0,           0,           4,      -1.386020752,       1.066935631,       1.085119895,       4.087139151
          0,           0,           5,      -1.558254045,      0.9762300986,      0.9158720649,       3.916444892
          0,           0,           6,       -1.73315218,      0.8915103613,      0.7307708918,        3.74262181
          0,           0,           7,      -1.893184666,      0.8111333806,      0.5745869737,       3.583464813
          0,           0,           8,      -2.062414931,      0.7238843745,      0.4471774105,       3.422086398
          0,           0,           9,      -2.225760553,      0.6458568143,      0.3384615672,       3.273942824
          0,           0,          10,      -2.383883092,      0.5801247217,      0.2389845428,       3.140846555
          0,           0,          11,      -2.514572649,      0.5233838717,      0.1353891797,       3.039182423
          0,           0,          12,      -2.604605141,      0.4706167774,     0.03125804307,       2.967957785
          0,           0,          13,      -2.678424075,       0.417816544,    -0.06387917529,       2.903923211
          0,           0,          14,      -2.755315274,      0.3633566292,     -0.1497493275,        2.83447186
          0,           0,          15,      -2.834643177,      0.3074747392,     -0.2332799635,       2.761420195
          0,           0,          16,      -2.910765697,      0.2510179793,     -0.3178223703,       2.689588859
          0,           0,          17,      -2.982841578,      0.1946293876,     -0.4010249582,       2.620422554
          0,           0,          18,      -3.052599304,      0.1386710011,      -0.479970567,       2.553383947
          0,           0,          19,      -3.120371445,     0.08336398483,     -0.5543853353,       2.488316009
          0,           0,          20,      -3.184939667,     0.02883124361,      -0.625356754,       2.425646198
          0,           0,          21,      -3.244995447,    -0.02488021914,     -0.6933266141,       2.365748011
          0,           0,          22,      -3.300279661,    -0.07779624837,     -0.7578144691,       2.308502754
          0,           0,          23,      -3.351489854,     -0.1300098041,     -0.8180022371,       2.253446736
          0,           0,          24,      -3.399584652,     -0.1816576012,     -0.8732716654,       2.200131314
          0,           0,          25,      -3.445442066,     -0.2328888271,     -0.9235406585,       2.148246431
          0,           0,          26,      -3.489903435,      -0.283838959,     -0.9693301039,        2.09749569
          0,           0,          27,       -3.53367353,     -0.3346227143,      -1.011642645,       2.047604527
          0,           0,          28,      -3.577202559,     -0.3853232169,      -1.051706639,       1.998345772
          0,           0,          29,       -3.62067113,     -0.4359922056,      -1.090652337,       1.949556039
          0,           0,          30,      -3.664063339,     -0.4866673294,      -1.129295611,       1.901151628
          0,           0,          31,      -3.707303147,     -0.5373767528,      -1.168097649,       1.853082023
          0,           0,          32,      -3.750329117,     -0.5881403125,      -1.207269185,       1.805310599
          0,           0,          33,      -3.793144255,     -0.6389697748,      -1.246885271,       1.757792274
          0,           0,          34,      -3.835827031,     -0.6898694804,      -1.286969463,       1.710464844
          0,           0,          35,      -3.878512619,     -0.7408369576,      -1.327536813,       1.663250812
          0,           0,          36,      -3.921352152,     -0.7918614879,      -1.368600849,       1.616072586
          0,           0,          37,      -3.964457225,     -0.8429236131,      -1.410159886,       1.568884063
          0,           0,          38,      -4.007895454,     -0.8939928302,       -1.45218929,       1.521666778
          0,           0,          39,      -4.051690795,     -0.9450288364,      -1.494638175,       1.474425858
          0,           0,          40,      -4.095832711,     -0.9959832278,      -1.537433588,       1.427182816
          0,           0,          41,      -4.140290437,      -1.046803375,      -1.580494561,       1.379965987
          0,           0,          42,      -4.185021894,      -1.097434424,      -1.623743109,       1.332806029
          0,           0,          43,      -4.229948581,      -1.147819816,      -1.667105489,       1.285759012
          0,           0,          44,      -4.274998288,      -1.197904989,      -1.710497208,       1.238874643
          0,           0,          45,      -4.320124427,      -1.247643027,      -1.753844634,       1.192179515
          0,           0,          46,      -4.365267363,      -1.296993082,        -1.7971067,       1.145709542
          0,           0,          47,      -4.410364258,      -1.345914903,      -1.840251226,       1.099505805
          0,           0,          48,      -4.455359432,      -1.394374816,      -1.883246963,       1.053604707
          0,           0,          49,      -4.500213735,      -1.442348962,      -1.926070302,       1.008028926
          0,           0,          50,      -4.544898733,      -1.489818067,      -1.968705151,      0.9627926598
          0,           0,          51,       -4.58938672,      -1.536767468,      -2.011140567,      0.9179100087
          0,           0,          52,      -4.633656509,      -1.583191026,      -2.053367141,      0.8733886499
          0,           0,          53,      -4.677693809,      -1.629091165,      -2.095381829,      0.8292299125
          0,           0,          54,      -4.721494406,      -1.674478561,      -2.137189308,       0.785426079
          0,           0,          55,       -4.76506107,      -1.719371047,       -2.17880174,      0.7419632016
          0,           0,          56,      -4.808400247,      -1.763791609,      -2.220236287,      0.6988239233
          0,           0,          57,      -4.851520663,      -1.807766741,      -2.261509656,      0.6559889444
          0,           0,          58,      -4.894433433,      -1.851325915,      -2.302637976,      0.6134368726
          0,           0,          59,      -4.937151891,      -1.894500899,      -2.343636728,      0.5711445601
          0,           0,          60,      -4.979689873,      -1.937324585,      -2.384519787,      0.5290887578
          0,           0,          61,      -5.022061373,      -1.979832954,      -2.425297818,      0.4872462073
          0,           0,          62,      -5.064278588,      -2.022057973,      -2.465982268,        0.44559616
          0,           0,          63,      -5.106354213,      -2.064030235,       -2.50658163,      0.4041182216
          0,           0,          64,      -5.148300182,      -2.105780352,      -2.547105117,      0.3627933497
          0,           0,          65,      -5.190127291,      -2.147337193,      -2.587560361,      0.3216043846
          0,           0,          66,      -5.231845664,      -2.188727479,      -2.627953519,       0.280535686
          0,           0,          67,      -5.273465755,      -2.229976171,      -2.668290786,      0.2395719962
          0,           0,          68,      -5.314998443,      -2.271106769,      -2.708579051,      0.1986983922
